,rent_address,stop_name,min_distance,min_duration,postcode,price
43,4-23-albert-street-east-melbourne-vic-3002-16083380,Southern Cross Railway Station (Melbourne City),3503.98,440.55,3002,475.0
44,9-322-albert-street-east-melbourne-vic-3002-16087584,Southern Cross Railway Station (Melbourne City),3897.87,498.72,3002,990.0
45,203-33-cliveden-close-east-melbourne-vic-3002-16087803,Southern Cross Railway Station (Melbourne City),3401.91,427.51,3002,380.0
46,38-400-victoria-parade-east-melbourne-vic-3002-12863768,Southern Cross Railway Station (Melbourne City),4270.67,512.52,3002,770.0
47,23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Southern Cross Railway Station (Melbourne City),3580.8,447.79,3002,750.0
48,13-86-hotham-street-east-melbourne-vic-3002-16065438,Southern Cross Railway Station (Melbourne City),4574.7,554.68,3002,450.0
49,p08p-191-powlett-street-east-melbourne-vic-3002-16061199,Southern Cross Railway Station (Melbourne City),4458.77,539.13,3002,625.0
50,7-126-wellington-parade-east-melbourne-vic-3002-16061003,Southern Cross Railway Station (Melbourne City),4205.37,509.41,3002,1800.0
51,1105-162-albert-street-east-melbourne-vic-3002-16084999,Southern Cross Railway Station (Melbourne City),4378.25,546.75,3002,420.0
52,104-150-clarendon-street-east-melbourne-vic-3002-16076278,Southern Cross Railway Station (Melbourne City),4464.61,525.84,3002,950.0
53,107k-211-powlett-street-east-melbourne-vic-3002-16085151,Southern Cross Railway Station (Melbourne City),4416.03,528.88,3002,550.0
54,12-174-george-street-east-melbourne-vic-3002-14217723,Southern Cross Railway Station (Melbourne City),4437.89,538.05,3002,495.0
55,unit-13p-189-powlett-st-east-melbourne-vic-3002-16078040,Southern Cross Railway Station (Melbourne City),4494.45,547.7,3002,600.0
56,g02-135-roden-street-west-melbourne-vic-3003-15657129,Southern Cross Railway Station (Melbourne City),1524.42,205.77,3003,580.0
57,201-65-dudley-street-west-melbourne-vic-3003-16076288,Southern Cross Railway Station (Melbourne City),1559.35,194.57,3003,420.0
58,78-hawke-street-west-melbourne-vic-3003-16084403,Southern Cross Railway Station (Melbourne City),1572.97,208.07,3003,1100.0
59,603-spencer-street-west-melbourne-vic-3003-16065963,Southern Cross Railway Station (Melbourne City),1701.87,220.21,3003,525.0
60,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Southern Cross Railway Station (Melbourne City),2030.49,278.94,3003,500.0
61,260-adderley-street-west-melbourne-vic-3003-16071421,Southern Cross Railway Station (Melbourne City),1678.85,217.07,3003,950.0
62,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Southern Cross Railway Station (Melbourne City),5738.93,688.38,3004,425.0
63,405-442-st-kilda-road-melbourne-vic-3004-16057221,Southern Cross Railway Station (Melbourne City),4295.9,546.35,3004,380.0
64,405-15-queens-road-melbourne-vic-3004-16074877,Southern Cross Railway Station (Melbourne City),4103.67,533.91,3004,550.0
65,19-73-queens-road-melbourne-vic-3004-16052308,Southern Cross Railway Station (Melbourne City),5705.82,683.61,3004,580.0
66,1312-35-albert-rd-melbourne-vic-3004-16053245,Southern Cross Railway Station (Melbourne City),3556.3,457.27,3004,570.0
67,517-74-queens-road-melbourne-vic-3004-16040056,Southern Cross Railway Station (Melbourne City),5739.78,688.5,3004,450.0
68,104-12-queens-road-melbourne-vic-3004-16055021,Southern Cross Railway Station (Melbourne City),4016.17,537.13,3004,440.0
69,902-133-russell-st-melbourne-vic-3004-16078264,Southern Cross Railway Station (Melbourne City),2675.26,326.71,3004,650.0
70,309-77-queens-road-melbourne-vic-3004-15339268,Southern Cross Railway Station (Melbourne City),5795.46,696.52,3004,430.0
71,314-499-st-kilda-road-melbourne-vic-3004-16071284,Southern Cross Railway Station (Melbourne City),5249.59,626.88,3004,900.0
72,303-250-st-kilda-road-melbourne-vic-3004-16068286,Southern Cross Railway Station (Melbourne City),3656.86,463.3,3004,1395.0
