,price,state,propertyType,bathrooms,bedrooms,carspaces,region,suburb,postcode,dateListed,listingSlug,latitude,longitude
0,350.0,VIC,ApartmentUnitFlat,1,1,0,Melbourne Region,MALVERN EAST,3145,2022-09-27T11:19:49,211-2a-clarence-street-malvern-east-vic-3145-16106072,-37.8749466,145.041626
1,400.0,VIC,ApartmentUnitFlat,1,2,1,Eastern Suburbs,GLEN IRIS,3146,2022-09-27T10:37:38,5-68-edgar-street-north-glen-iris-vic-3146-16105927,-37.8496933,145.0468
2,440.0,VIC,Townhouse,2,2,1,Melbourne Region,FRANKSTON,3199,2022-09-19T12:03:45,2-62-screen-street-frankston-vic-3199-16094995,-38.1545563,145.142334
3,720.0,VIC,ApartmentUnitFlat,1,3,2,Melbourne Region,CAULFIELD NORTH,3161,2022-09-30T14:35:17,1-41-kooyong-rd-caulfield-north-vic-3161-16113276,-37.86777,145.01828
4,645.0,VIC,House,1,2,0,Melbourne Region,PORT MELBOURNE,3207,2022-09-20T10:18:33,13-raglan-street-port-melbourne-vic-3207-16096777,-37.8358955,144.947861
5,600.0,VIC,ApartmentUnitFlat,1,3,1,Melbourne Region,DOCKLANDS,3008,2022-09-28T12:14:30,312-57-spencer-street-docklands-vic-3008-16108605,-37.8200455,144.954285
6,495.0,VIC,House,1,2,1,Melbourne Region,MURRUMBEENA,3163,2022-09-21T13:25:29,3-brisbane-street-murrumbeena-vic-3163-16099765,-37.88608,145.069534
7,520.0,VIC,ApartmentUnitFlat,1,2,1,Melbourne Region,NORTHCOTE,3070,2022-09-28T12:09:10,g04-66-waterloo-road-northcote-vic-3070-16108577,-37.7734,145.002884
8,310.0,VIC,ApartmentUnitFlat,1,1,1,Eastern Suburbs,HAWTHORN,3122,2022-09-20T10:05:51,3-197-auburn-road-hawthorn-vic-3122-16096743,-37.8266258,145.044708
9,780.0,VIC,Townhouse,2,3,1,Melbourne Region,BALACLAVA,3183,2022-09-20T21:40:53,9a-rosamond-street-balaclava-vic-3183-16098659,-37.87005,144.990982
10,475.0,VIC,ApartmentUnitFlat,1,1,1,Melbourne Region,MELBOURNE,3000,2022-09-29T08:24:16,623-539-st-kilda-road-melbourne-vic-3000-16110078,-37.84524,144.979645
11,530.0,VIC,ApartmentUnitFlat,2,2,1,Melbourne Region,ABBOTSFORD,3067,2022-09-28T13:44:43,1108-20-shamrock-street-abbotsford-vic-3067-15091677,-37.80992,145.008179
12,460.0,VIC,ApartmentUnitFlat,1,2,1,Eastern Suburbs,HAWTHORN,3122,2022-09-27T13:08:20,13-112-riversdale-road-hawthorn-vic-3122-16106515,-37.8291969,145.036285
13,475.0,VIC,ApartmentUnitFlat,1,2,0,Melbourne Region,MELBOURNE,3000,2022-09-20T16:09:11,501-243-franklin-street-melbourne-vic-3000-16098203,-37.8097649,144.956985
14,550.0,VIC,House,2,2,2,Eastern Suburbs,MONT ALBERT,3127,2022-09-27T15:06:37,206-801-whitehorse-road-mont-albert-vic-3127-16107016,-37.81625,145.111069
