rent_address,stop_name,min_distance,min_duration
104-12-queens-road-melbourne-vic-3004-16055021,Southern Cross Railway Station (Melbourne City),4016.17,537.13
7-56-kooyong-road-caulfield-north-vic-3161-16054643,Southern Cross Railway Station (Melbourne City),10085.82,962.81
8-2-victor-road-glen-iris-vic-3146-14736582,Southern Cross Railway Station (Melbourne City),14360.0,1191.14
7-161-victoria-road-hawthorn-east-vic-3123-16054548,Southern Cross Railway Station (Melbourne City),10745.92,1163.95
3-30-logan-street-hamlyn-heights-vic-3215-16054463,North Geelong Railway Station (North Geelong),2647.32,287.03
108-best-street-fitzroy-north-vic-3068-16054451,Southern Cross Railway Station (Melbourne City),7127.63,748.06
11-13-tibbles-street-beaumaris-vic-3193-16054347,Southern Cross Railway Station (Melbourne City),22107.31,2033.91
220-631-victoria-street-abbotsford-vic-3067-16054340,Southern Cross Railway Station (Melbourne City),6584.36,776.05
7-8-10-james-avenue-kew-vic-3101-16054256,Southern Cross Railway Station (Melbourne City),11531.08,1140.13
25-living-cres-point-cook-vic-3030-16054167,Tarneit Railway Station (Tarneit),14814.45,1196.48
9-76-carlisle-street-st-kilda-vic-3182-16054050,Southern Cross Railway Station (Melbourne City),7327.05,705.15
102-9-village-avenue-brunswick-east-vic-3057-15220991,Southern Cross Railway Station (Melbourne City),7766.05,838.0
1-rotorua-street-caulfield-south-vic-3162-16053690,Southern Cross Railway Station (Melbourne City),14488.78,1243.18
270-langridge-street-abbotsford-vic-3067-15242733,Southern Cross Railway Station (Melbourne City),5516.19,655.17
2-91-beach-road-sandringham-vic-3191-16053597,Southern Cross Railway Station (Melbourne City),17024.26,1633.85
1312-35-albert-rd-melbourne-vic-3004-16053245,Southern Cross Railway Station (Melbourne City),3556.3,457.27
3-21-tibrockney-street-highett-vic-3190-16053078,Southern Cross Railway Station (Melbourne City),20772.9,1885.67
41b-arkaringa-crescent-black-rock-vic-3193-16052986,Southern Cross Railway Station (Melbourne City),20340.78,1901.63
2s-378-390-st-georges-road-fitzroy-north-vic-3068-16055926,Southern Cross Railway Station (Melbourne City),7529.6,739.14
207-720-queensberry-street-north-melbourne-vic-3051-16052939,Southern Cross Railway Station (Melbourne City),2381.32,317.79
22-109-nimmo-street-middle-park-vic-3206-16052918,Southern Cross Railway Station (Melbourne City),4791.76,505.7
3a-maltarra-street-clayton-south-vic-3169-16052876,Southern Cross Railway Station (Melbourne City),26329.8,1940.18
1-david-lane-windsor-vic-3181-15900527,Southern Cross Railway Station (Melbourne City),7549.67,781.91
12-yates-lane-parkville-vic-3052-15148071,Southern Cross Railway Station (Melbourne City),4858.26,460.67
12-1325-high-street-malvern-vic-3144-16052711,Southern Cross Railway Station (Melbourne City),12941.49,1123.54
74-barrett-street-albert-park-vic-3206-16052698,Southern Cross Railway Station (Melbourne City),4218.85,453.91
4-45-st-elmo-road-ivanhoe-vic-3079-16052693,Southern Cross Railway Station (Melbourne City),14693.51,1429.87
21-32-darling-street-south-yarra-vic-3141-16052677,Southern Cross Railway Station (Melbourne City),5761.57,672.68
19-73-queens-road-melbourne-vic-3004-16052308,Southern Cross Railway Station (Melbourne City),5705.82,683.61
4-111-ruskin-street-elwood-vic-3184-16052249,Southern Cross Railway Station (Melbourne City),8764.38,880.46
101-1377-burke-road-kew-east-vic-3102-12909786,Southern Cross Railway Station (Melbourne City),14344.08,1204.88
1559-heatherton-road-dandenong-north-vic-3175-16051481,Southern Cross Railway Station (Melbourne City),34160.48,1946.03
40a-macedon-parade-wollert-vic-3750-15280632,Donnybrook Railway Station (Donnybrook),14931.77,730.89
11-170-albion-street-brunswick-vic-3056-16051288,Southern Cross Railway Station (Melbourne City),7679.68,850.95
1-803-whitehorse-road-mont-albert-vic-3127-16051285,Southern Cross Railway Station (Melbourne City),21334.04,1541.06
715-5-olive-york-way-brunswick-west-vic-3055-16051260,Southern Cross Railway Station (Melbourne City),9791.59,825.72
19-amreli-st-deanside-vic-3336-15176030,Caroline Springs Railway Station (Ravenhall),6223.66,553.46
4-31-bayview-crescent-black-rock-vic-3193-16051099,Southern Cross Railway Station (Melbourne City),20054.33,1887.06
15-31-barnsbury-road-deepdene-vic-3103-16051009,Southern Cross Railway Station (Melbourne City),12047.1,1283.04
