,rent_address,school_name,min_distance,min_duration,postcode,price
829,2-24-power-street-dandenong-vic-3175-15185470,Cudgee Primary School,253.18,45.52,3175,399.0
830,4-34-clarke-street-prahran-vic-3181-16078572,Eaglehawk Primary School,1378.81,145.83,3181,360.0
831,8-13-lewisham-road-windsor-vic-3181-16075380,California Gully Primary School,812.67,93.38,3181,475.0
832,10-11-irving-avenue-prahran-vic-3181-16073356,Huntly Primary School,664.9,60.64,3181,540.0
833,101-6-percy-place-prahran-vic-3181-16076172,Newport Lakes Primary School,313.13,60.03,3181,490.0
834,12-28-the-avenue-windsor-vic-3181-16078988,Avoca Primary School,471.92,83.99,3181,550.0
835,1-97-charles-street-prahran-vic-3181-16087452,Cavendish Primary School,1014.01,120.76,3181,620.0
836,306-25-clifton-street-prahran-vic-3181-16078928,Cudgee Primary School,548.45,76.8,3181,425.0
837,2-70-williams-road-prahran-vic-3181-16087414,Flemington Primary School,853.06,117.08,3181,450.0
838,1-42-grandview-grove-prahran-vic-3181-16062555,Gisborne Primary School,478.31,86.76,3181,800.0
839,15-21-irving-avenue-prahran-vic-3181-15635697,Gisborne Primary School,902.38,127.96,3181,440.0
840,2-227-chapel-street-prahran-vic-3181-16077707,Newport Lakes Primary School,354.63,36.4,3181,430.0
841,53-duke-street-windsor-vic-3181-16063116,Avoca Primary School,507.35,83.4,3181,520.0
842,105-10-porter-street-prahran-vic-3181-16069578,Newport Lakes Primary School,224.78,38.83,3181,410.0
843,604-7-king-street-prahran-vic-3181-16072835,Cavendish Primary School,508.38,51.65,3181,510.0
844,510-42-porter-street-prahran-vic-3181-16078605,Cavendish Primary School,1018.5,133.35,3181,260.0
845,203-152-peel-street-windsor-vic-3181-16090148,California Gully Primary School,513.78,92.36,3181,400.0
846,3-51-james-street-prahran-vic-3181-16090001,Avoca Primary School,308.78,47.92,3181,875.0
847,46-earl-street-windsor-vic-3181-16087402,Avoca Primary School,506.4,80.01,3181,460.0
848,27-duke-street-prahran-vic-3181-16086431,Colac Primary School,611.16,82.65,3181,700.0
849,716-15-clifton-street-prahran-vic-3181-16077503,Cudgee Primary School,614.26,92.59,3181,500.0
850,10-k7-high-street-windsor-vic-3181-16063444,Bacchus Marsh Primary School,116.04,15.17,3181,350.0
851,93-chomley-street-prahran-vic-3181-16073373,Sandringham Primary School,645.03,88.61,3181,685.0
852,26-thomas-street-south-windsor-vic-3181-16066356,Colac Primary School,611.26,89.94,3181,750.0
853,3-56-larnook-street-prahran-vic-3181-16064188,Huntly Primary School,132.12,14.58,3181,1100.0
854,22-union-street-windsor-vic-3181-16059839,Bacchus Marsh Primary School,798.53,110.94,3181,880.0
855,24-spring-street-prahran-vic-3181-16066838,Hallam Primary School,934.18,111.39,3181,610.0
856,g3-2a-henry-street-windsor-vic-3181-16088449,Avenel Primary School,882.85,148.48,3181,390.0
857,439-111-punt-road-windsor-vic-3181-16055654,Bacchus Marsh Primary School,249.29,39.51,3181,550.0
858,51-thomas-street-windsor-vic-3181-16088312,Cavendish Primary School,343.14,67.23,3181,1000.0
859,4-317-dandenong-road-prahran-vic-3181-16067845,Huntly Primary School,403.83,34.3,3181,430.0
860,15a-the-avenue-windsor-vic-3181-16082070,California Gully Primary School,543.63,58.73,3181,850.0
861,7-larnook-street-prahran-vic-3181-16082241,Gisborne Primary School,553.76,82.69,3181,920.0
862,2-16-green-street-prahran-vic-3181-16068447,Colac Primary School,608.49,89.44,3181,740.0
863,29-10-clifton-street-prahran-vic-3181-16050826,Cudgee Primary School,642.24,99.31,3181,540.0
864,5-17-ellesmere-road-prahran-vic-3181-16068966,California Gully Primary School,643.02,75.16,3181,415.0
865,40-kelvin-grove-prahran-vic-3181-16068985,Huntly Primary School,282.79,36.28,3181,815.0
866,42-commercial-road-prahran-vic-3181-16050172,Campbells Creek Primary School,708.62,70.6,3181,560.0
867,49-highbury-grove-prahran-vic-3181-16056833,Sandringham Primary School,548.65,79.23,3181,1050.0
868,502-27-macquarie-street-prahran-vic-3181-16042904,Cavendish Primary School,297.7,57.27,3181,440.0
869,8-k3-union-street-windsor-vic-3181-16042862,Bacchus Marsh Primary School,747.34,105.68,3181,400.0
870,207-120-high-street-windsor-vic-3181-16042309,Cavendish Primary School,48.77,7.8,3181,400.0
871,3-30-the-avenue-windsor-vic-3181-16035963,Avoca Primary School,457.87,82.87,3181,595.0
872,24-union-street-windsor-vic-3181-16055616,Bacchus Marsh Primary School,808.88,112.01,3181,800.0
873,8b-highbury-grove-prahran-vic-3181-15809710,Sandringham Primary School,444.0,67.63,3181,760.0
874,8-237-dandenong-road-windsor-vic-3181-16066062,St Andrews Primary School,554.97,69.03,3181,455.0
875,12-30-james-street-windsor-vic-3181-16083970,Avoca Primary School,355.83,59.21,3181,270.0
876,1-29-the-avenue-windsor-vic-3181-16063438,Avoca Primary School,493.64,85.73,3181,500.0
877,1-david-lane-windsor-vic-3181-15900527,Colac Primary School,511.24,97.87,3181,1400.0
878,8-21-irving-avenue-prahran-vic-3181-16051850,Gisborne Primary School,902.38,127.96,3181,400.0
879,11-york-street-prahran-vic-3181-15901403,Newport Lakes Primary School,725.37,89.49,3181,690.0
880,16-174-peel-street-windsor-vic-3181-16080532,California Gully Primary School,413.43,72.52,3181,385.0
881,401-high-street-prahran-vic-3181-16088024,Elphinstone Primary School,814.51,105.37,3181,675.0
882,502-283-high-street-prahran-vic-3181-16065163,Newport Lakes Primary School,611.23,65.64,3181,1200.0
883,201-323-dandenong-road-prahran-vic-3181-16065119,Bellbrae Primary School,324.71,27.18,3181,525.0
884,310-22-chatham-street-prahran-vic-3181-16079412,Cavendish Primary School,485.92,58.11,3181,450.0
885,203-72-high-street-prahran-vic-3181-16064123,Newport Lakes Primary School,268.44,35.62,3181,360.0
886,6-percy-place-prahran-vic-3181-16047983,Newport Lakes Primary School,313.13,60.03,3181,715.0
887,104-139-york-street-prahran-vic-3181-16065475,Newport Lakes Primary School,1214.58,100.15,3181,410.0
888,48-321-chapel-street-prahran-vic-3181-16064313,Cavendish Primary School,712.01,68.98,3181,450.0
889,27-4-victoria-street-windsor-vic-3181-11761425,Avoca Primary School,778.51,135.46,3181,550.0
890,817-132-commercial-road-prahran-vic-3181-16065154,Cavendish Primary School,765.98,75.74,3181,450.0
891,1-8-princes-close-prahran-vic-3181-16065129,Cavendish Primary School,653.27,68.58,3181,620.0
892,6-10-lalbert-crescent-prahran-vic-3181-16064800,Bellbrae Primary School,296.45,28.84,3181,1100.0
893,2-anchor-place-prahran-vic-3181-16079263,Newport Lakes Primary School,695.71,112.14,3181,1100.0
894,21-313-beaconsfield-parade-st-kilda-west-vic-3182-16056043,Warrandyte Primary School,1519.33,204.36,3182,450.0
895,4-12-vale-street-st-kilda-vic-3182-16087511,Avoca Primary School,876.58,143.66,3182,375.0
896,61-acland-street-st-kilda-vic-3182-16073629,Footscray Primary School,1238.62,206.7,3182,780.0
897,1-27-eildon-road-st-kilda-vic-3182-16056185,Warrandyte Primary School,646.07,117.42,3182,625.0
898,318-181-fitzroy-street-st-kilda-vic-3182-16056356,Warrandyte Primary School,355.79,64.02,3182,580.0
899,4-29-marine-parade-st-kilda-vic-3182-16063644,Eaglehawk Primary School,971.29,188.16,3182,450.0
900,206a-14-16-the-esplanade-st-kilda-vic-3182-16042840,Warrandyte Primary School,1242.77,187.56,3182,750.0
901,205-16-18-grey-street-st-kilda-vic-3182-16089700,Warrandyte Primary School,356.83,69.81,3182,390.0
902,2-257-barkly-street-st-kilda-vic-3182-16066559,Hallam Primary School,629.31,144.05,3182,280.0
903,7-2-kipling-st-st-kilda-vic-3182-16087516,Hamilton (Gray Street) Primary School,485.06,46.49,3182,370.0
904,206-126-chapel-street-st-kilda-vic-3182-16076046,Allansford and District Primary School,639.04,75.56,3182,450.0
905,204-55-wellington-street-st-kilda-vic-3182-16089144,Avenel Primary School,864.62,124.41,3182,700.0
906,10-98-barkly-street-st-kilda-vic-3182-16087425,Warrandyte Primary School,950.38,131.7,3182,795.0
