rent_address,stop_name,min_distance,min_duration
26-william-street-dromana-vic-3936-16085361,NULL,NULL,NULL
6-bass-street-flinders-vic-3929-16084910,NULL,NULL,NULL
7-23-bendigo-avenue-elwood-vic-3184-16085426,Southern Cross Railway Station (Melbourne City),9435.17,941.57
1-12-omar-street-caulfield-south-vic-3162-16085399,Southern Cross Railway Station (Melbourne City),13021.03,1125.51
602-250-city-road-southbank-vic-3006-16085393,Southern Cross Railway Station (Melbourne City),1726.76,237.2
2-14-binns-street-montmorency-vic-3094-16085351,Southern Cross Railway Station (Melbourne City),24209.6,2147.32
603-101-river-street-south-yarra-vic-3141-16085330,Southern Cross Railway Station (Melbourne City),6769.87,759.53
80a-waverley-street-moonee-ponds-vic-3039-16085329,Southern Cross Railway Station (Melbourne City),9074.84,858.9
12-174-george-street-east-melbourne-vic-3002-14217723,Southern Cross Railway Station (Melbourne City),4437.89,538.05
1-15-tintern-avenue-toorak-vic-3142-16085299,Southern Cross Railway Station (Melbourne City),7103.61,850.5
210-26-warleigh-grove-brighton-vic-3186-15226300,Southern Cross Railway Station (Melbourne City),12079.0,1270.21
205-95-ormond-road-elwood-vic-3184-16085196,Southern Cross Railway Station (Melbourne City),9544.5,942.38
15-64-auburn-rd-hawthorn-vic-3122-16085195,Southern Cross Railway Station (Melbourne City),9820.18,1055.15
609-14-david-street-richmond-vic-3121-16085191,Southern Cross Railway Station (Melbourne City),7002.06,812.09
409-108-bay-street-port-melbourne-vic-3207-16085177,Southern Cross Railway Station (Melbourne City),4193.02,478.48
107k-211-powlett-street-east-melbourne-vic-3002-16085151,Southern Cross Railway Station (Melbourne City),4416.03,528.88
44-francis-cres-glen-iris-vic-3146-16085112,Southern Cross Railway Station (Melbourne City),14968.37,1245.59
4-52-lyndhurst-street-richmond-vic-3121-16085100,Southern Cross Railway Station (Melbourne City),5708.66,697.65
203-highfield-road-camberwell-vic-3124-16085093,Southern Cross Railway Station (Melbourne City),15258.86,1340.7
6-6-denbigh-road-armadale-vic-3143-16085067,Southern Cross Railway Station (Melbourne City),10136.39,1009.74
17-king-street-richmond-vic-3121-16085050,Southern Cross Railway Station (Melbourne City),5359.6,648.61
1105-162-albert-street-east-melbourne-vic-3002-16084999,Southern Cross Railway Station (Melbourne City),4378.25,546.75
10-5-allard-street-brunswick-west-vic-3055-16084995,Southern Cross Railway Station (Melbourne City),7461.14,713.44
eg07-11-flockhart-street-abbotsford-vic-3067-16084992,Southern Cross Railway Station (Melbourne City),6324.51,770.01
11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,Southern Cross Railway Station (Melbourne City),3201.5,378.98
7-1a-hughenden-road-st-kilda-east-vic-3183-16084967,Southern Cross Railway Station (Melbourne City),9012.61,892.76
28-wilson-street-highett-vic-3190-16084920,Southern Cross Railway Station (Melbourne City),19710.11,1794.47
g06-81-cemetery-road-carlton-vic-3053-16084878,Southern Cross Railway Station (Melbourne City),4353.67,526.68
4-4-6-wilson-street-wodonga-vic-3690-16084871,Wodonga Railway Station (Wodonga),5306.54,550.68
3-402-toorak-road-toorak-vic-3142-16084857,Southern Cross Railway Station (Melbourne City),6830.17,798.53
303-81-riversdale-road-hawthorn-vic-3122-16084849,Southern Cross Railway Station (Melbourne City),9786.23,935.23
204-378-390-st-george-road-fitzroy-north-vic-3068-16084845,Southern Cross Railway Station (Melbourne City),7529.6,739.14
37-margot-street-chadstone-vic-3148-16084833,Southern Cross Railway Station (Melbourne City),18781.23,1444.33
16-teal-court-wodonga-vic-3690-16084825,Wodonga Railway Station (Wodonga),4446.62,609.24
4-5-bell-court-wodonga-vic-3690-16084806,Wodonga Railway Station (Wodonga),5756.1,585.72
40-daintree-way-wodonga-vic-3690-16084804,Wodonga Railway Station (Wodonga),5044.5,641.29
