rent_address,stop_name,min_distance,min_duration
707-435-nepean-highway-frankston-vic-3199-16085906,NULL,NULL,NULL
1-cassawory-place-safety-beach-vic-3936-16085503,NULL,NULL,NULL
2-70-williams-road-prahran-vic-3181-16087414,Southern Cross Railway Station (Melbourne City),8653.34,935.25
10-brooke-street-eaglemont-vic-3084-16087413,Southern Cross Railway Station (Melbourne City),15190.89,1293.58
46-earl-street-windsor-vic-3181-16087402,Southern Cross Railway Station (Melbourne City),7400.6,865.54
g02-135-roden-street-west-melbourne-vic-3003-15657129,Southern Cross Railway Station (Melbourne City),1524.42,205.77
3-31-chapel-street-st-kilda-east-vic-3183-16087349,Southern Cross Railway Station (Melbourne City),7645.39,762.07
19-22-somerville-road-hampton-park-vic-3976-16087306,Southern Cross Railway Station (Melbourne City),42200.85,2323.87
121-5-beavers-road-northcote-vic-3070-16087294,Southern Cross Railway Station (Melbourne City),9547.95,960.73
11-1062-1064-burke-road-balwyn-north-vic-3104-15337867,Southern Cross Railway Station (Melbourne City),14735.94,1239.8
1-831-toorak-road-hawthorn-east-vic-3123-16087198,Southern Cross Railway Station (Melbourne City),11929.21,1019.52
10a-cummins-rd-brighton-east-vic-3187-16087161,Southern Cross Railway Station (Melbourne City),17664.32,1584.61
68-merton-street-albert-park-vic-3206-16087154,Southern Cross Railway Station (Melbourne City),3986.74,425.56
2-10-allambee-avenue-camberwell-vic-3124-16087120,Southern Cross Railway Station (Melbourne City),13654.12,1315.21
35-108-124-union-street-brunswick-vic-3056-16087109,Southern Cross Railway Station (Melbourne City),7335.21,680.86
103-88-tram-road-doncaster-vic-3108-14872098,Southern Cross Railway Station (Melbourne City),20029.94,1425.56
106-1059-1061-dandenong-road-malvern-east-vic-3145-16087078,Southern Cross Railway Station (Melbourne City),14295.56,1284.44
12-cameron-street-richmond-vic-3121-14219096,Southern Cross Railway Station (Melbourne City),5233.88,654.67
3-53-wanda-rd-caulfield-north-vic-3161-16087035,Southern Cross Railway Station (Melbourne City),10171.96,978.31
10-193-fitzroy-street-st-kilda-vic-3182-16087017,Southern Cross Railway Station (Melbourne City),6709.82,660.79
434-elgar-road-box-hill-vic-3128-16087001,Southern Cross Railway Station (Melbourne City),21273.93,1551.02
5-1a-lansdowne-street-st-kilda-east-vic-3183-16086953,Southern Cross Railway Station (Melbourne City),9193.19,904.43
107-182-barkly-street-st-kilda-vic-3182-16086941,Southern Cross Railway Station (Melbourne City),7147.01,692.67
