rent_address,stop_name,min_distance,min_duration
26-fellows-street-mitcham-vic-3132-15099580,Southern Cross Railway Station (Melbourne City),26380.31,1827.9
13-160-coppin-street-richmond-vic-3121-16075196,Southern Cross Railway Station (Melbourne City),6264.26,705.9
11-maskell-court-fyansford-vic-3218-16075159,Geelong Railway Station (Geelong),5001.42,540.58
9-1264-glen-huntly-road-carnegie-vic-3163-16075104,Southern Cross Railway Station (Melbourne City),14723.8,1279.04
6-36-edward-street-sandringham-vic-3191-16075086,Southern Cross Railway Station (Melbourne City),19610.57,1880.19
4-597-orrong-road-armadale-vic-3143-16075042,Southern Cross Railway Station (Melbourne City),8673.33,908.24
41-chadstone-road-malvern-east-vic-3145-16074988,Southern Cross Railway Station (Melbourne City),18821.83,1385.02
83-waitara-grove-norlane-vic-3214-16074961,North Shore Railway Station (North Shore),3023.02,331.54
108-56-myrtle-street-ivanhoe-vic-3079-16074928,Southern Cross Railway Station (Melbourne City),16574.47,1498.47
36-mcdougall-street-geelong-west-vic-3218-16074920,Geelong Railway Station (Geelong),3014.9,333.77
405-15-queens-road-melbourne-vic-3004-16074877,Southern Cross Railway Station (Melbourne City),4103.67,533.91
1807-2-claremont-street-south-yarra-vic-3141-16074836,Southern Cross Railway Station (Melbourne City),5769.13,704.58
204-2-4-kent-road-box-hill-vic-3128-16074780,Southern Cross Railway Station (Melbourne City),22654.52,1667.66
101-25-33-wills-street-melbourne-vic-3000-14868152,Southern Cross Railway Station (Melbourne City),2353.8,286.39
2905b-11-rose-lane-melbourne-vic-3000-16074279,Southern Cross Railway Station (Melbourne City),1539.84,181.05
g03-1457-high-street-glen-iris-vic-3146-16074275,Southern Cross Railway Station (Melbourne City),13272.07,1081.49
5-16-princes-street-abbotsford-vic-3067-11131595,Southern Cross Railway Station (Melbourne City),5753.21,709.06
11-corsair-street-richmond-vic-3121-16074197,Southern Cross Railway Station (Melbourne City),6386.75,733.32
6-stayner-street-chelsea-vic-3196-16074195,Southern Cross Railway Station (Melbourne City),48972.23,2861.98
24-6-8-avondale-road-armadale-vic-3143-16074178,Southern Cross Railway Station (Melbourne City),9479.93,1026.54
3-564c-moreland-road-brunswick-west-vic-3055-16074162,Southern Cross Railway Station (Melbourne City),8695.09,694.63
8-7-9-bell-street-coburg-vic-3058-16074155,Southern Cross Railway Station (Melbourne City),10561.05,1086.83
6-103-walpole-street-kew-vic-3101-16074115,Southern Cross Railway Station (Melbourne City),10555.48,1006.59
14-1517-malvern-road-glen-iris-vic-3146-16074097,Southern Cross Railway Station (Melbourne City),13317.71,1081.08
6-14-pitt-street-brunswick-vic-3056-16074091,Southern Cross Railway Station (Melbourne City),7174.61,769.23
68-dover-street-caulfield-south-vic-3162-16074034,Southern Cross Railway Station (Melbourne City),13950.57,1192.82
27-donna-buang-street-camberwell-vic-3124-15704271,Southern Cross Railway Station (Melbourne City),13548.17,1178.94
504-2-6-duckett-street-brunswick-vic-3056-16073933,Southern Cross Railway Station (Melbourne City),7278.2,818.6
2-24-barunah-street-hadfield-vic-3046-16073906,Southern Cross Railway Station (Melbourne City),14905.98,1262.93
1901-368-st-kilda-road-melbourne-vic-3000-16073890,Southern Cross Railway Station (Melbourne City),4088.07,442.42
