rent_address,min_distance,min_duration
1-24-charlton-cres-reservoir-vic-3073-16109817,18273.2,1783.09
1a-monica-street-burwood-vic-3125-16097697,18260.26,1669.33
48-clifton-avenue-clifton-hill-vic-3068-16092358,9654.91,1163.02
2-28-millward-street-brunswick-west-vic-3055-16103927,10488.23,1027.25
2-109-grange-road-glen-huntly-vic-3163-16091489,12529.77,1080.55
5-256-williams-road-toorak-vic-3142-16098967,6428.41,756.17
706-111-leicester-street-carlton-vic-3053-16108027,6166.78,708.16
105-18-cadow-street-kew-east-vic-3102-16104932,14981.39,1416.83
232-538-little-lonsdale-street-melbourne-vic-3000-16094294,4167.67,468.04
1-3-weebill-court-werribee-vic-3030-14233278,30029.14,1796.12
4-2-4-jessamine-avenue-prahran-vic-3181-16096629,7922.53,803.73
320-68-la-trobe-street-melbourne-vic-3000-16098385,5920.88,673.08
502-201-high-street-prahran-vic-3181-16108215,6535.31,681.74
2-64-park-street-south-yarra-vic-3141-16093045,4386.71,559.07
1412-4-joseph-road-footscray-vic-3011-16106028,8623.64,972.08
2-10-alford-street-brighton-east-vic-3187-16094684,11600.84,1184.65
1202-620-collins-street-melbourne-vic-3000-16114058,3466.34,377.5
1107-6-joseph-road-footscray-vic-3011-16104041,8669.32,977.56
209-97-palmerston-crescent-south-melbourne-vic-3205-16099232,2710.92,336.52
712-68-wests-road-maribyrnong-vic-3032-16093377,14074.33,1389.19
726-warrigal-road-malvern-east-vic-3145-16092294,18660.66,1316.13
6-22-french-avenue-northcote-vic-3070-16099680,12988.29,1333.42
1a-marriott-street-caulfield-vic-3162-16103818,10705.45,918.02
8-bevan-street-ormond-vic-3204-16111581,13366.87,1132.47
309-501-little-collins-street-melbourne-vic-3000-16107439,3941.12,454.1
4-74-darebin-st-heidelberg-vic-3084-16113528,19670.53,1757.52
1008-2-claremont-street-south-yarra-vic-3141-14225672,5275.77,661.23
9-26-loch-street-st-kilda-west-vic-3182-16108504,3974.79,372.63
203-59-63-warrigal-road-hughesdale-vic-3166-13009899,16540.26,1455.69
177-urquhart-street-coburg-vic-3058-16099429,13382.92,1398.34
811v-162-albert-street-east-melbourne-vic-3002-16096094,6711.17,768.89
106-273-lygon-street-brunswick-east-vic-3057-16095784,9826.27,1036.79
101-108-flinders-street-melbourne-vic-3000-16104629,4931.2,584.49
20-illawarra-street-williamstown-vic-3016-16104991,14049.46,1300.19
116-288-albert-street-brunswick-vic-3056-16113457,9835.02,1064.96
1005-285-city-road-southbank-vic-3006-16111246,2162.03,274.79
11-406-cardigan-street-carlton-vic-3053-16107251,7341.77,797.04
20-greenside-cres-keysborough-vic-3173-16110634,42847.63,2433.48
4-22-magnolia-road-gardenvale-vic-3185-16109985,11825.78,1008.97
2-40-glenbrook-avenue-clayton-vic-3168-16110582,24355.34,1654.06
6-59-61-ormond-esplanade-elwood-vic-3184-16110347,7097.66,715.62
12-283-royal-parade-parkville-vic-3052-16096882,7917.37,875.38
301-1150-toorak-road-camberwell-vic-3124-16100175,15063.08,1300.37
44-bushlark-drive-carrum-downs-vic-3201-16097673,52857.14,2743.91
20-2-greenfield-drive-clayton-vic-3168-15740628,25770.67,1906.89
unit-101m-201-powlett-street-east-melbourne-vic-3002-16109142,6691.48,755.73
106-stratus-street-tarneit-vic-3029-16100986,32312.6,2172.07
568-camberwell-road-camberwell-vic-3124-16098540,14977.29,1267.44
399-brunswick-road-brunswick-vic-3056-16091358,9850.01,1033.31
304-38-nicholson-street-fitzroy-north-vic-3068-16098711,9806.57,1075.88
409-85-market-street-south-melbourne-vic-3205-16092256,2115.41,266.51
51-carrington-road-niddrie-vic-3042-16112270,17723.06,1625.94
103-16-malane-street-bentleigh-east-vic-3165-16098175,17043.88,1444.16
401-408-lonsdale-street-melbourne-vic-3000-16014585,4700.96,520.5
218-71-abinger-street-richmond-vic-3121-16094828,10143.21,901.66
7-74-south-street-wodonga-vic-3690-16091669,317108.0,13022.53
49-64-fitzroy-street-st-kilda-vic-3182-16095131,4427.02,421.13
18-29-george-street-east-melbourne-vic-3002-16108770,6457.08,768.58
4-65-paxton-street-malvern-east-vic-3145-16108869,12227.43,1141.46
478-wellington-street-clifton-hill-vic-3068-16105769,8861.19,1021.87
