,rent_address,min_distance,min_duration,postcode,price
0,3006-31-a-beckett-street-melbourne-vic-3000-16104600,5314.69,592.53,3000,450.0
1,29-400-little-collins-street-melbourne-vic-3000-16022489,4248.62,475.59,3000,400.0
2,1701-620-collins-street-melbourne-vic-3000-16114048,3466.34,377.5,3000,650.0
3,2503-7-katherine-place-melbourne-vic-3000-16096811,3512.92,387.51,3000,415.0
4,g06-501-little-collins-street-melbourne-vic-3000-16096996,3941.12,454.1,3000,425.0
5,816-101-therry-st-melbourne-vic-3000-16068338,5503.84,607.52,3000,820.0
6,501-243-franklin-street-melbourne-vic-3000-16098203,4968.22,568.53,3000,475.0
7,1202-31-spring-street-melbourne-vic-3000-16111139,5115.81,614.32,3000,570.0
8,623-539-st-kilda-road-melbourne-vic-3000-16110078,4639.19,580.83,3000,475.0
9,4010-639-lonsdale-street-melbourne-vic-3000-16091026,3972.13,434.88,3000,650.0
10,313-394-collins-street-melbourne-vic-3000-15401052,4182.16,469.29,3000,500.0
11,312b-399-bourke-street-melbourne-vic-3000-16096996,4465.95,493.42,3000,400.0
12,401-408-lonsdale-street-melbourne-vic-3000-16014585,4700.96,520.5,3000,410.0
13,5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,4272.13,493.11,3000,570.0
14,1202-620-collins-street-melbourne-vic-3000-16114058,3466.34,377.5,3000,500.0
15,315-118-russell-street-melbourne-vic-3000-16108688,4972.05,577.52,3000,550.0
16,601-8-exploration-lane-melbourne-vic-3000-16081723,5707.46,652.38,3000,530.0
17,101-108-flinders-street-melbourne-vic-3000-16104629,4931.2,584.49,3000,650.0
18,701-101-therry-st-melbourne-vic-3000-16069017,5503.84,607.52,3000,585.0
19,513-118-franklin-street-melbourne-vic-3000-15397839,5474.26,604.33,3000,450.0
20,1713-25-therry-street-melbourne-vic-3000-16097001,5521.11,618.18,3000,500.0
21,703-500-flinders-street-melbourne-vic-3000-16102690,3727.43,429.1,3000,220.0
22,232-538-little-lonsdale-street-melbourne-vic-3000-16094294,4167.67,468.04,3000,780.0
23,7-562-little-bourke-street-melbourne-vic-3000-16094300,4045.99,453.52,3000,380.0
24,3008-288-spencer-street-melbourne-vic-3000-16097762,4277.02,494.28,3000,410.0
25,1309-199-william-street-melbourne-vic-3000-16093914,4426.2,492.5,3000,520.0
26,320-68-la-trobe-street-melbourne-vic-3000-16098385,5920.88,673.08,3000,430.0
27,309-501-little-collins-street-melbourne-vic-3000-16107439,3941.12,454.1,3000,400.0
28,3604-568-collins-street-melbourne-vic-3000-16102990,3617.04,395.58,3000,580.0
29,1411-250-elizabeth-street-melbourne-vic-3000-16092022,4764.33,524.1,3000,520.0
30,33-400-little-collins-street-melbourne-vic-3000-16022489,4248.62,475.59,3000,400.0
31,1003-225-elizabeth-street-melbourne-vic-3000-16111540,4657.0,528.0,3000,575.0
32,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,5453.21,614.2,3000,600.0
33,18-29-george-street-east-melbourne-vic-3002-16108770,6457.08,768.58,3002,350.0
34,811v-162-albert-street-east-melbourne-vic-3002-16096094,6711.17,768.89,3002,600.0
35,806-296-victoria-parade-east-melbourne-vic-3002-13799976,6336.05,744.06,3002,1800.0
36,23-102-jolimont-road-east-melbourne-vic-3002-16110025,5611.6,649.12,3002,1300.0
37,29-8-wellington-crescent-east-melbourne-vic-3002-16096702,5416.67,644.78,3002,750.0
