rent_address,min_distance,min_duration
107-35-camberwell-road-hawthorn-east-vic-3123-16104010,12663.72,1147.12
8-16-marine-parade-st-kilda-vic-3182-16107202,5378.29,531.7
1-1-ellesmere-road-windsor-vic-3181-16107246,7276.49,737.2
8-52-pender-street-thornbury-vic-3071-16113012,14371.83,1412.14
12-203-alma-rd-st-kilda-east-vic-3183-16097827,6946.72,684.33
49-pascall-street-mount-waverley-vic-3149-16095717,21605.94,1989.07
02-378-st-georges-road-fitzroy-north-vic-3068-16111995,9818.68,1008.15
513-118-franklin-street-melbourne-vic-3000-15397839,5474.26,604.33
6-164-wattletree-road-malvern-vic-3144-16100356,9484.69,899.36
4-653-park-street-brunswick-vic-3056-16109007,9241.41,971.56
4-25-melrose-drive-wodonga-vic-3690-12527064,315788.25,12842.82
5-lightfoot-street-richmond-vic-3121-10274422,10098.3,941.57
11-regent-avenue-springvale-vic-3171-16110391,29856.39,2155.69
4-cirrus-close-hampton-park-vic-3976-16112856,46419.14,2693.25
3-138-mitchell-street-brunswick-vic-3056-16104854,11200.44,1181.52
406-631-victoria-street-abbotsford-vic-3067-16102921,10838.17,995.73
101-67-well-street-brighton-vic-3186-16091137,11631.87,1217.07
2-14-hiscock-street-chadstone-vic-3148-15363745,19687.79,1458.61
20-523-burwood-road-hawthorn-vic-3122-16103788,11863.13,1088.03
4-17-hope-street-glen-iris-vic-3146-16110227,11394.76,1071.48
3-1-nangnak-lane-mont-albert-vic-3127-16105157,19270.06,1718.09
1-25-rose-street-armadale-vic-3143-10042843,9073.38,918.82
209-3-elliott-ave-carnegie-vic-3163-16097314,13534.73,1183.94
207-11-13-jackson-street-st-kilda-vic-3182-16103822,4214.92,438.48
46-73-river-street-richmond-vic-3121-16094613,10405.52,945.84
8-260-wattletree-road-malvern-vic-3144-16098780,10515.1,985.09
3-46-foam-street-elwood-vic-3184-16109685,7711.34,799.93
10-299-burke-road-glen-iris-vic-3146-16103519,13306.83,1059.67
34-589-glenferrie-road-hawthorn-vic-3122-16094937,11100.77,1033.14
5-490-492-moreland-road-brunswick-west-vic-3055-16091467,12500.54,1096.18
10-11-marine-parade-st-kilda-vic-3182-16091874,5447.32,536.67
5-12a-toward-street-murrumbeena-vic-3163-16099704,14429.8,1305.28
4-105-wattle-valley-road-camberwell-vic-3124-16105634,15066.96,1382.53
3-100-coventry-street-southbank-vic-3006-16111756,2570.67,355.17
1-204-neerim-road-carnegie-vic-3163-15580163,12616.08,1091.3
1-116-inkerman-road-st-kilda-vic-3182-15926395,5374.35,538.68
1-2a-robe-street-st-kilda-vic-3182-16095963,4746.84,494.93
1-69-centre-dandenong-road-dingley-village-vic-3172-16099840,29650.21,2503.88
10-talliver-terrace-truganina-vic-3029-16111383,24795.47,1631.52
13-fenwick-street-thornbury-vic-3071-16108011,13153.76,1321.62
30-beluga-street-mount-eliza-vic-3930-16104711,72665.73,3796.99
3-4-beverley-street-glen-huntly-vic-3163-16109544,12618.58,1110.6
2-ritz-street-vermont-south-vic-3133-15960853,26230.44,2324.79
1-3-jaguar-drive-clayton-vic-3168-16022646,26153.96,1975.48
505-79-river-street-south-yarra-vic-3141-16108010,5913.99,710.8
15-18-princes-street-st-kilda-vic-3182-16027235,4810.84,471.49
3-1-freeman-street-caulfield-vic-3162-16092052,11294.69,979.0
706-75-wellington-street-collingwood-vic-3066-15210408,7027.88,796.74
3-3-mackay-ave-carnegie-vic-3163-16098646,13392.44,1144.99
12-abbotsford-avenue-malvern-east-vic-3145-16092573,14693.79,1339.55
13-47-brighton-road-st-kilda-vic-3182-16099504,6051.79,598.73
1-2-2-woodstock-street-st-kilda-vic-3182-16093793,6522.05,655.68
1601-7-claremont-street-south-yarra-vic-3141-15452608,5805.85,750.5
512-4-joseph-rd-footscray-vic-3011-15583218,8623.64,972.08
44-elliott-ave-balwyn-vic-3103-16105752,16838.44,1514.31
4-22-allison-road-elsternwick-vic-3185-11212197,8969.12,823.6
29-2-hanlon-court-wodonga-vic-3690-16106894,318116.03,13077.69
17-crown-close-oakleigh-east-vic-3166-16113552,23532.99,1629.15
72-perth-street-prahran-vic-3181-16108083,5792.4,695.78
22a-tweed-st-highett-vic-3190-16103736,17319.87,1615.41
1305-45-claremont-street-south-yarra-vic-3141-16097070,5567.52,710.5
13-58-clarendon-street-thornbury-vic-3071-16101018,13040.31,1326.8
1c-lewisham-road-windsor-vic-3181-16104364,7254.27,740.61
4-86-normanby-avenue-thornbury-vic-3071-16108540,12232.09,1205.31
5-120-murray-street-caulfield-vic-3162-16098698,10893.29,951.78
75-cutter-street-richmond-vic-3121-16105791,9465.45,858.27
46-elm-grove-kew-east-vic-3102-16099817,14674.08,1484.0
24-300-high-street-prahran-vic-3181-16092833,6798.16,708.77
6-217-buckley-street-seddon-vic-3011-16104892,11160.82,1014.8
402-2a-clarence-street-malvern-east-vic-3145-16095778,10763.08,1018.98
2-hailar-lane-lara-vic-3212-16107512,60615.16,2936.63
2-276-hawthorn-road-caulfield-vic-3162-16097784,10251.58,881.65
107-324-centre-road-bentleigh-vic-3204-16094020,15360.87,1265.59
402-1-chapel-mews-south-yarra-vic-3141-16108066,5825.54,692.26
g06-501-little-collins-street-melbourne-vic-3000-16096996,3941.12,454.1
72b-ardoyne-st-black-rock-vic-3193-16109670,19333.5,1830.9
19-canterbury-street-richmond-vic-3121-16096668,9508.27,853.2
102-9-dryburgh-street-west-melbourne-vic-3003-15235467,5490.36,659.78
3006-31-a-beckett-street-melbourne-vic-3000-16104600,5314.69,592.53
1402-82-queens-rd-melbourne-vic-3004-16099647,5482.5,597.98
4-162-lygon-street-brunswick-east-vic-3057-16101848,9518.06,1013.42
1311-18-claremont-street-south-yarra-vic-3141-16106506,5739.3,738.52
102-4-yertchuk-avenue-ashwood-vic-3147-16095641,17608.55,1741.02
1508-6-joseph-road-footscray-vic-3011-16091829,8669.32,977.56
27-carroll-street-north-melbourne-vic-3051-16104463,7052.09,789.44
g09-59-earl-street-kew-vic-3101-14910454,12727.4,1234.38
11-mell-street-toorak-vic-3142-16096375,8179.58,840.39
82-115-neerim-road-glen-huntly-vic-3163-16095621,12000.57,1041.22
1108-81-south-wharf-drive-docklands-vic-3008-16107733,3033.1,345.61
4-35-marne-street-south-yarra-vic-3141-16103633,4558.74,575.79
3-15-17-bendigo-street-collingwood-vic-3066-16108579,8888.3,1020.05
21-425-toorak-road-toorak-vic-3142-16113469,6633.04,809.09
3-15-elata-street-oakleigh-south-vic-3167-16099363,18838.93,1632.35
13-neptune-street-st-kilda-vic-3182-16108169,4801.76,472.66
88-surrey-road-blackburn-north-vic-3130-16112949,25418.06,1703.88
13-trenerry-crescent-abbotsford-vic-3067-14338216,9108.42,1016.95
4-44-clarence-street-elsternwick-vic-3185-16110408,10932.59,948.28
8-36-blessington-street-st-kilda-vic-3182-16110703,6082.62,638.36
station-street-caulfield-north-vic-3161-16094214,10667.34,928.65
24-723-orrong-road-toorak-vic-3142-16109865,7317.6,859.65
1108-2-joseph-road-footscray-vic-3011-16113701,8551.68,963.44
722-627-victoria-street-abbotsford-vic-3067-16102907,10938.03,1020.62
3-10-adelaide-street-murrumbeena-vic-3163-16109631,13844.02,1213.02
5-8-10-turakina-avenue-edithvale-vic-3196-16104021,31065.55,2847.9
22-ethel-street-malvern-vic-3144-16099895,12274.5,1027.7
2b-parker-st-brighton-east-vic-3187-16091552,15012.29,1291.76
31-moama-road-malvern-east-vic-3145-16092594,11892.87,1080.32
13a-laity-street-richmond-vic-3121-16099660,8036.21,937.55
10-2-4-baker-street-malvern-east-vic-3145-16103677,12701.74,1136.33
56-28-southgate-avenue-southbank-vic-3006-16107621,3456.9,485.57
78-wattle-valley-rd-canterbury-vic-3126-16109321,15061.59,1381.12
130-stanley-road-keysborough-vic-3173-16093594,40152.88,2310.47
10-26-warleigh-grove-brighton-vic-3186-16111350,10455.33,1097.94
94-lennox-street-richmond-vic-3121-16113257,7242.67,856.41
104-77-riversdale-road-hawthorn-vic-3122-16100086,10523.87,991.61
2-81-abinger-street-richmond-vic-3121-16099075,7916.2,917.5
12-786-warrigal-road-malvern-east-vic-3145-16105663,19210.44,1374.32
5-45-grenville-street-hampton-vic-3188-16094685,14071.86,1373.55
11-shamrock-street-richmond-vic-3121-16091440,7073.2,856.98
11g-21-northumberland-street-collingwood-vic-3066-16110786,7002.51,804.29
54-athelstan-road-camberwell-vic-3124-16104500,14224.76,1229.92
40-berry-avenue-edithvale-vic-3196-16105305,31944.09,2903.76
3-56-smith-street-south-melbourne-vic-3205-16105162,892.92,149.27
43-cochrane-avenue-camberwell-vic-3124-16109593,14197.69,1204.59
101-392-lygon-street-brunswick-east-vic-3057-16095591,10323.84,1080.18
201-43-zetland-road-mont-albert-vic-3127-16092749,19272.55,1733.57
1-16-18-millswyn-street-south-yarra-vic-3141-16104898,4058.91,519.2
56-davanzo-avenue-clarinda-vic-3169-16092173,24193.07,2150.57
12-39-heller-street-brunswick-west-vic-3055-16112167,10550.95,1027.96
1207-39-park-street-south-melbourne-vic-3205-16093617,2731.0,364.23
10-303-305-huntingdale-road-chadstone-vic-3148-16099550,21104.6,1546.68
2-67-moonya-rd-carnegie-vic-3163-16098026,14594.32,1279.67
2-44-robe-street-st-kilda-vic-3182-16100042,4744.25,456.65
9-oakley-street-mount-dandenong-vic-3767-16111799,50853.99,3799.28
3-91-livingstone-street-ivanhoe-vic-3079-16097930,15283.24,1505.83
304-11-reid-street-fitzroy-north-vic-3068-16098276,8630.39,952.33
6-20-gerald-st-murrumbeena-vic-3163-16097327,14931.54,1348.14
7-51-55-goldsmith-street-elwood-vic-3184-16104905,7144.61,761.4
7-36-johnstone-street-malvern-vic-3144-16104691,10067.06,1049.04
602-71-inkerman-st-st-kilda-east-vic-3183-16091456,6490.62,623.01
12-rosamond-street-balaclava-vic-3183-16113271,6300.43,628.33
g06-3-claire-street-mckinnon-vic-3204-15344621,15257.11,1291.1
3104-45-clarke-street-southbank-vic-3006-14397368,2308.11,300.34
6-cherry-cl-melton-west-vic-3337-16098222,48183.78,2601.07
g05-237-napier-street-fitzroy-vic-3065-16099451,7034.49,884.65
201-136-murray-street-caulfield-vic-3162-10136316,10615.06,908.71
202-53-browns-road-bentleigh-east-vic-3165-16097230,17392.02,1437.29
4-mandeville-crescent-toorak-vic-3142-16099272,8833.51,876.82
2-55-wanda-rd-caulfield-north-vic-3161-16093913,8466.33,808.64
station-street-caulfield-north-vic-3161-16094214,10667.34,928.65
