rent_address,min_distance,min_duration
9-67-ballarat-rd-footscray-vic-3011-16098677,10214.7,1141.38
14-thomas-st-camberwell-vic-3124-16106434,17320.76,1533.96
1-10-keith-street-oakleigh-east-vic-3166-16099635,19304.67,1735.69
5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,4272.13,493.11
704-68-wests-road-maribyrnong-vic-3032-16092164,14074.33,1389.19
1-383-serpells-road-doncaster-east-vic-3109-16111336,29160.32,2086.26
19-norwood-st-sandringham-vic-3191-16094744,16558.46,1596.25
3008-288-spencer-street-melbourne-vic-3000-16097762,4277.02,494.28
101-20-weir-street-balwyn-vic-3103-16106435,16807.28,1532.29
59-comas-grove-thornbury-vic-3071-16108541,13704.28,1324.51
8-133-clarke-street-northcote-vic-3070-16091779,10517.0,1120.1
8-31-charnwood-road-st-kilda-vic-3182-16111421,5684.36,595.15
46a-46b-turner-road-highett-vic-3190-16109315,21894.14,1819.19
1-4-6-mallawa-street-clayton-south-vic-3169-16092812,27746.41,2038.66
74-sutherland-road-armadale-vic-3143-16092668,9120.82,917.57
2-16-thurloo-street-chadstone-vic-3148-16096767,19358.32,1454.53
1-1-ruskin-street-elwood-vic-3184-16106092,6205.42,617.21
39-220-barkly-street-st-kilda-vic-3182-14537180,5660.96,547.53
3-681-inkerman-road-caulfield-north-vic-3161-16107828,8699.34,807.23
1-9-robert-st-elwood-vic-3184-16108685,7179.0,728.48
13-23-power-street-hawthorn-vic-3122-16092614,11130.04,1073.45
2-445-glenferrie-road-malvern-vic-3144-16109767,8632.92,970.12
8-8-cardigan-street-st-kilda-east-vic-3183-16094608,6751.71,647.5
2-14-gregory-street-oak-park-vic-3046-16095581,16650.24,1562.76
2902-250-city-road-southbank-vic-3006-16111286,3030.24,332.41
15-2a-bates-street-malvern-east-vic-3145-16108936,11176.26,1004.54
7-regent-street-yarraville-vic-3013-16096035,10259.25,920.87
1309-199-william-street-melbourne-vic-3000-16093914,4426.2,492.5
47-bedford-street-collingwood-vic-3066-16105364,7347.11,874.24
709-12-14-claremont-street-south-yarra-vic-3141-16098801,5778.88,745.64
10-4a-wando-grove-st-kilda-east-vic-3183-16099165,7478.63,759.67
2613-65-dudley-street-west-melbourne-vic-3003-16108153,4478.06,507.12
26a-bonny-street-bentleigh-east-vic-3165-16058750,19203.43,1573.44
1855-malvern-road-malvern-east-vic-3145-16103632,12001.39,1095.62
84-palmerston-crescent-south-melbourne-vic-3205-16106315,2762.19,356.29
23-66-murray-street-prahran-vic-3181-16093824,7408.64,797.83
3-487-kooyong-road-elsternwick-vic-3185-16105411,11321.02,965.43
29-turnball-grove-northcote-vic-3070-16110278,11675.11,1208.18
139-chapel-street-st-kilda-vic-3182-16110151,5986.89,591.09
50-thea-grove-doncaster-east-vic-3109-16094598,25646.83,1811.02
1-3-crescent-road-camberwell-vic-3124-16096867,14891.61,1257.08
6-47-wheeler-st-ormond-vic-3204-16098675,14338.41,1200.63
4-gilmour-road-camberwell-vic-3124-16106772,16948.5,1493.92
