rent_address,mall,min_distance,min_duration
2705-14-16-the-esplanade-st-kilda-vic-3182-16072154,206 Bourke Street,951.21,115.84
10-110-caroline-street-south-yarra-vic-3141-16072135,Bulleen Plaza,1071.56,117.27
3-27-flinders-lane-melbourne-vic-3000-16072122,Bayside Shopping Centre,607.87,90.86
2-34-westerfield-drive-notting-hill-vic-3168-16072082,206 Bourke Street,1623.96,256.95
45-69-palmer-street-richmond-vic-3121-16072067,Barkly Square,1587.28,197.97
613b-455-glen-huntly-road-elsternwick-vic-3185-16072040,206 Bourke Street,3560.08,365.82
3-45-westbury-st-st-kilda-east-vic-3183-16071948,Acland Court Shopping Centre,2199.82,203.35
102-9-bligh-place-melbourne-vic-3000-16071806,Balnarring Village Shopping Centre,692.01,107.14
4-34-horne-street-elsternwick-vic-3185-16071700,206 Bourke Street,3161.63,333.0
89-marshall-street-ivanhoe-vic-3079-16071672,206 Bourke Street,911.69,118.34
201-18-claremont-street-south-yarra-vic-3141-16071671,Bourke Street Mall,1050.65,141.85
607-7-claremont-street-south-yarra-vic-3141-16071649,Brand Smart Premium Outlet Centre,1117.2,153.83
408-2-elland-avenue-box-hill-vic-3128-11439410,206 Bourke Street,446.32,67.39
304-17-gordon-street-elsternwick-vic-3185-16071640,206 Bourke Street,3102.62,336.49
1-14-bletchley-road-hughesdale-vic-3166-16071580,Balnarring Village Shopping Centre,1315.03,188.69
9-9-11-adamson-street-brighton-vic-3186-16071478,Balnarring Village Shopping Centre,5935.54,713.09
260-adderley-street-west-melbourne-vic-3003-16071421,Box Hill Central,1385.88,191.52
207-esplanade-west-port-melbourne-vic-3207-16071401,Barkly Square,2227.86,329.03
75-pethajohn-parade-grovedale-vic-3216-16071375,Acland Court Shopping Centre,5896.93,539.95
14-straughan-st-glen-iris-vic-3146-16053776,206 Bourke Street,3504.41,363.18
37-kireep-road-balwyn-vic-3103-16071098,206 Bourke Street,3984.28,406.92
9-20-kooyong-road-caulfield-north-vic-3161-16071029,Acland Court Shopping Centre,1018.7,125.45
15-2-the-vaucluse-richmond-vic-3121-15094456,Berwick Marketplace,2352.88,284.06
103-107-cambridge-street-collingwood-vic-3066-16070749,Balnarring Village Shopping Centre,2040.94,276.64
17-3-seisman-place-port-melbourne-vic-3207-16070746,Barkly Square,2510.91,363.1
10-39-41-abbott-street-sandringham-vic-3191-16070656,206 Bourke Street,3587.69,281.83
2-23-jean-street-cheltenham-vic-3192-16070584,Balnarring Village Shopping Centre,715.87,156.02
9-96-oban-road-ringwood-north-vic-3134-16070551,206 Bourke Street,2908.9,327.25
1-307-309-bay-road-cheltenham-vic-3192-16070516,Altona Gate Shopping Centre,1672.78,244.98
1008-80-clarendon-street-southbank-vic-3006-16070358,Brand Smart Premium Outlet Centre,967.69,120.29
30-8-graham-street-port-melbourne-vic-3207-16070356,Barkly Square,2733.84,386.45
345-station-street-carlton-north-vic-3054-16070322,Acland Court Shopping Centre,2514.29,305.72
22-whites-rd-mount-duneed-vic-3217-16070194,Altona Gate Shopping Centre,7612.37,702.41
6-2-vine-street-blackburn-vic-3130-16070145,Balnarring Village Shopping Centre,1472.12,159.77
538-22-barkly-street-brunswick-east-vic-3057-16070143,206 Bourke Street,1292.23,201.54
234-tucker-road-mckinnon-vic-3204-16070139,206 Bourke Street,3211.01,302.63
1-235-burwood-highway-burwood-east-vic-3151-15110932,206 Bourke Street,1339.6,131.2
205-20-garden-street-south-yarra-vic-3141-16069955,Barrabool Hills Plaza,405.17,66.68
7-50-carlisle-street-st-kilda-vic-3182-15751006,206 Bourke Street,392.77,47.99
3-27-royal-avenue-springvale-vic-3171-16069826,206 Bourke Street,4844.18,588.46
1006-1-clara-street-south-yarra-vic-3141-16069801,Bayside Shopping Centre,328.31,63.89
118-clark-street-port-melbourne-vic-3207-14198116,Acland Court Shopping Centre,2491.4,390.7
55-great-valley-road-glen-iris-vic-3146-16069673,Balnarring Village Shopping Centre,2614.26,258.56
5-47-mary-street-richmond-vic-3121-16069592,Barrabool Hills Plaza,2362.78,285.56
105-10-porter-street-prahran-vic-3181-16069578,Acland Court Shopping Centre,1013.84,103.16
107-lyons-street-port-melbourne-vic-3207-16069564,Barkly Square,1957.72,272.76
107-801-whitehorse-road-mont-albert-vic-3127-16069503,206 Bourke Street,1408.67,184.63
307-1c-michael-street-brunswick-vic-3056-16069494,206 Bourke Street,467.2,55.41
8-1512-malvern-road-glen-iris-vic-3146-16069445,Balnarring Village Shopping Centre,1794.5,170.23
1-20-kent-avenue-brighton-vic-3186-16069407,206 Bourke Street,4061.5,473.67
205-2a-clarence-street-malvern-east-vic-3145-16069391,Acland Court Shopping Centre,903.35,141.87
11-290-south-road-hampton-east-vic-3188-16069282,Acland Court Shopping Centre,2671.62,391.4
24-brooklyn-avenue-caulfield-south-vic-3162-16069207,206 Bourke Street,4172.6,390.07
6-645-malvern-road-toorak-vic-3142-16069122,Barrabool Hills Plaza,1000.68,103.45
9-139-melbourne-avenue-glenroy-vic-3046-16069112,206 Bourke Street,4069.0,496.54
8-27-beena-avenue-carnegie-vic-3163-16069094,206 Bourke Street,1299.85,138.15
701-101-therry-st-melbourne-vic-3000-16069017,Belmont Village,672.63,87.63
705-8-joseph-road-footscray-vic-3011-16069015,206 Bourke Street,1026.36,157.92
1305-8-joseph-road-footscray-vic-3011-16068917,206 Bourke Street,1026.36,157.92
311-75-wellington-st-collingwood-vic-3066-16068804,Altona Gate Shopping Centre,1920.76,237.56
1202-8-joseph-road-footscray-vic-3011-16068802,206 Bourke Street,1026.36,157.92
4-73-alma-road-st-kilda-vic-3182-16068784,206 Bourke Street,1631.66,187.13
803-597-sydney-road-brunswick-vic-3056-16068732,206 Bourke Street,1599.54,196.12
11-326-plenty-road-preston-vic-3072-16068669,Barkly Square,1256.56,138.85
101-439-bay-street-brighton-vic-3186-16068532,Barkly Square,5536.7,725.77
22-falcon-street-armstrong-creek-vic-3217-16068482,Acland Court Shopping Centre,9637.36,801.83
8-182-barkly-street-fitzroy-north-vic-3068-16068469,206 Bourke Street,2325.46,299.2
816-101-therry-st-melbourne-vic-3000-16068338,Belmont Village,672.63,87.63
303-250-st-kilda-road-melbourne-vic-3004-16068286,Bayside Shopping Centre,1612.98,243.32
3-89-surrey-road-blackburn-north-vic-3130-16068104,Altona Gate Shopping Centre,1721.34,211.21
46-loyola-grove-richmond-vic-3121-16068071,Balnarring Village Shopping Centre,1615.78,190.91
25-chestnut-street-richmond-vic-3121-16068056,Berwick Marketplace,1333.91,175.13
6-770-malvern-road-armadale-vic-3143-16067956,Barrabool Hills Plaza,1654.61,168.83
188b-kerferd-road-albert-park-vic-3206-16067878,Acland Court Shopping Centre,3770.49,463.72
3-34-leslie-street-richmond-vic-3121-16067868,Balnarring Village Shopping Centre,1185.11,176.5
20-12-dundas-street-thornbury-vic-3071-15981310,Barkly Square,1929.33,240.57
8-46-the-grove-coburg-vic-3058-16067821,Acland Court Shopping Centre,3434.38,354.92
31-magnolia-avenue-bentleigh-east-vic-3165-16067616,206 Bourke Street,3921.35,428.49
25-hull-street-richmond-vic-3121-16067586,Bellarine Village Shopping Centre,2431.0,289.43
2-32-caroline-street-aberfeldie-vic-3040-16067388,Barkly Square,4798.03,548.68
4-3-park-avenue-glen-huntly-vic-3163-16067217,206 Bourke Street,2750.01,259.63
46-princes-st-carlton-north-vic-3054-16067211,Braybrook Shopping Centre,2558.73,312.2
1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,Altona Gate Shopping Centre,1226.75,164.06
15-40-harold-street-hawthorn-east-vic-3123-16066989,206 Bourke Street,484.0,69.4
102-21-riversdale-road-hawthorn-vic-3122-16066891,Altona Gate Shopping Centre,3381.14,406.44
1608-8-joseph-road-footscray-vic-3011-16066840,206 Bourke Street,1026.36,157.92
1402-8-joseph-road-footscray-vic-3011-16066763,206 Bourke Street,1026.36,157.92
25-mimosa-avenue-oakleigh-south-vic-3167-14978035,Acland Court Shopping Centre,2074.08,221.35
2-257-barkly-street-st-kilda-vic-3182-16066559,206 Bourke Street,340.8,52.63
97-stafford-street-abbotsford-vic-3067-16066490,Barkly Square,3004.83,332.42
26-thomas-street-south-windsor-vic-3181-16066356,Acland Court Shopping Centre,981.6,111.21
104-88-tram-road-doncaster-vic-3108-14825508,Altona Gate Shopping Centre,828.41,101.32
421-528-swanston-street-carlton-vic-3053-16066152,Bendigo Marketplace,1083.17,146.99
3-22b-south-road-brighton-vic-3186-16065921,Acland Court Shopping Centre,6181.83,555.06
ug05-708-burwood-road-hawthorn-east-vic-3123-16065863,206 Bourke Street,1132.59,142.25
21-elm-grove-brighton-vic-3186-16065852,206 Bourke Street,5108.1,533.87
14-henderson-street-south-melbourne-vic-3205-16065791,Barkly Square,2307.46,345.17
18-214-kambrook-road-caulfield-vic-3162-16065771,Acland Court Shopping Centre,2300.42,235.85
25-wolseley-parade-kensington-vic-3031-16065752,Acland Court Shopping Centre,3000.71,382.01
78-marriage-rd-brighton-east-vic-3187-16065745,Acland Court Shopping Centre,3982.85,498.96
202-4-chapel-mews-south-yarra-vic-3141-16065573,Belmont Village,206.99,21.74
3-5-greig-court-elwood-vic-3184-16065526,206 Bourke Street,2273.06,286.63
4-90-clowes-street-south-yarra-vic-3141-16065476,Burnside Hub,1566.94,181.98
13-86-hotham-street-east-melbourne-vic-3002-16065438,Altona Gate Shopping Centre,1769.1,273.87
6-percy-place-prahran-vic-3181-16047983,Acland Court Shopping Centre,1102.19,124.36
201-356-carlisle-street-balaclava-vic-3183-16065312,206 Bourke Street,1787.54,217.78
817-132-commercial-road-prahran-vic-3181-16065154,Altona Gate Shopping Centre,250.14,18.01
62-clauscen-street-fitzroy-north-vic-3068-16065136,206 Bourke Street,1952.69,248.35
1-8-princes-close-prahran-vic-3181-16065129,Acland Court Shopping Centre,401.91,33.81
4-121-wellington-st-flemington-vic-3031-16065041,Altona Gate Shopping Centre,2378.67,268.35
15-85-caroline-street-south-yarra-vic-3141-16064912,Bourke Street Mall,1265.86,126.36
8-merry-street-ringwood-east-vic-3135-16064353,206 Bourke Street,2239.46,277.6
2-372-orrong-road-caulfield-north-vic-3161-16064315,Acland Court Shopping Centre,2017.09,217.6
48-321-chapel-street-prahran-vic-3181-16064313,Altona Gate Shopping Centre,167.49,17.06
203-72-high-street-prahran-vic-3181-16064123,Acland Court Shopping Centre,1057.5,99.95
