rent_address,mall,min_distance,min_duration
5-310-beach-road-black-rock-vic-3193-16061407,206 Bourke Street,5199.15,415.52
101-17-murrumbeena-road-murrumbeena-vic-3163-16061406,206 Bourke Street,1338.63,155.92
417-11-urquhart-street-coburg-vic-3058-16061379,206 Bourke Street,3000.0,324.19
38-400-victoria-parade-east-melbourne-vic-3002-12863768,Altona Gate Shopping Centre,1515.28,190.34
1-watson-street-armadale-vic-3143-16061315,Barrabool Hills Plaza,1639.6,167.23
37-taylor-street-fitzroy-north-vic-3068-16061269,206 Bourke Street,2442.84,254.79
3764-point-nepean-road-portsea-vic-3944-16061261,null,null,null
p08p-191-powlett-street-east-melbourne-vic-3002-16061199,Altona Gate Shopping Centre,1703.37,216.95
10-gellibrand-street-williamstown-vic-3016-16061167,206 Bourke Street,7331.91,691.72
1-27-venus-st-caulfield-south-vic-3162-16061113,206 Bourke Street,4912.86,401.65
402-1399-dandenong-road-malvern-east-vic-3145-16060867,Acland Court Shopping Centre,1257.67,172.29
107-795-toorak-road-hawthorn-east-vic-3123-16060859,Altona Gate Shopping Centre,310.5,39.08
4-13-lillimur-road-ormond-vic-3204-16060820,206 Bourke Street,3531.61,311.14
6-headland-drive-leopold-vic-3224-16060771,Acland Court Shopping Centre,8013.17,561.74
5-12-wyuna-rd-caulfield-north-vic-3161-16060765,Acland Court Shopping Centre,1468.99,181.09
2-11-therese-avenue-mount-waverley-vic-3149-16060186,Altona Gate Shopping Centre,3429.43,399.92
4-lucerne-avenue-mornington-vic-3931-16060040,Acland Court Shopping Centre,1751.32,192.51
5-265-clayton-road-clayton-vic-3168-16059981,Acland Court Shopping Centre,3998.0,471.02
505-25-nott-street-port-melbourne-vic-3207-16059890,Balnarring Village Shopping Centre,2927.76,431.49
12-45-marine-parade-st-kilda-vic-3182-16059741,206 Bourke Street,965.27,139.25
3-23-cavendish-drive-heatherton-vic-3202-16087838,Acland Court Shopping Centre,3542.97,454.4
8-23-27-cavendish-drive-heatherton-vic-3202-16087837,Acland Court Shopping Centre,3542.97,454.4
1002-1-acacia-place-abbotsford-vic-3067-16087823,Altona Gate Shopping Centre,383.59,73.07
203-33-cliveden-close-east-melbourne-vic-3002-16087803,Bayside Shopping Centre,842.91,124.15
16-1-3-carre-street-elsternwick-vic-3185-16087759,206 Bourke Street,3423.65,359.05
301-99-palmerston-crescent-south-melbourne-vic-3205-16087718,Brandon Park Shopping Centre,2574.86,290.86
103-35-43-high-street-glen-iris-vic-3146-16087710,206 Bourke Street,3556.62,351.62
1a-chivers-road-templestowe-vic-3106-16087683,206 Bourke Street,2111.36,140.79
60-neptune-street-richmond-vic-3121-16087614,Barkly Square,1939.89,263.0
9-322-albert-street-east-melbourne-vic-3002-16087584,Altona Gate Shopping Centre,1142.47,176.54
703-6-acacia-place-abbotsford-vic-3067-16087573,Altona Gate Shopping Centre,402.2,77.53
4-102-moreland-road-brunswick-vic-3056-16087543,206 Bourke Street,3003.17,355.14
7-2-kipling-st-st-kilda-vic-3182-16087516,206 Bourke Street,1550.69,171.71
4-12-vale-street-st-kilda-vic-3182-16087511,206 Bourke Street,428.06,60.09
711-422-collins-street-melbourne-vic-3000-16087505,Balnarring Village Shopping Centre,522.62,62.71
1-71-mathoura-road-toorak-vic-3142-16087504,Barrabool Hills Plaza,418.25,46.81
1b-milroy-street-brighton-east-vic-3187-16087492,206 Bourke Street,5930.19,485.83
6-8-10-lincoln-road-essendon-vic-3040-16087456,Barkly Square,2302.34,254.76
1-97-charles-street-prahran-vic-3181-16087452,Altona Gate Shopping Centre,498.17,63.02
10-98-barkly-street-st-kilda-vic-3182-16087425,206 Bourke Street,592.48,68.0
2-70-williams-road-prahran-vic-3181-16087414,Barrabool Hills Plaza,1909.09,203.49
