,rent_address,mall,min_distance,min_duration,postcode,price
56,201-65-dudley-street-west-melbourne-vic-3003-16076288,Box Hill Central,725.22,100.72,3003,420.0
57,g02-135-roden-street-west-melbourne-vic-3003-15657129,Box Hill Central,1047.37,152.49,3003,580.0
58,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Bourke Street Mall,1737.52,253.38,3003,500.0
59,603-spencer-street-west-melbourne-vic-3003-16065963,Berwick Marketplace,1249.98,153.21,3003,525.0
60,260-adderley-street-west-melbourne-vic-3003-16071421,Box Hill Central,1385.88,191.52,3003,950.0
61,78-hawke-street-west-melbourne-vic-3003-16084403,Box Hill Central,1280.0,182.51,3003,1100.0
62,309-77-queens-road-melbourne-vic-3004-15339268,Altona Gate Shopping Centre,2157.2,230.62,3004,430.0
63,19-73-queens-road-melbourne-vic-3004-16052308,Altona Gate Shopping Centre,2067.56,217.71,3004,580.0
64,405-15-queens-road-melbourne-vic-3004-16074877,Berwick Marketplace,2163.41,219.0,3004,550.0
65,1312-35-albert-rd-melbourne-vic-3004-16053245,Braybrook Shopping Centre,2430.2,290.24,3004,570.0
66,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Acland Court Shopping Centre,2100.67,222.48,3004,425.0
67,1507-12-queens-rd-melbourne-vic-3004-16081919,Bentons Square Shopping Centre,2275.84,237.79,3004,700.0
68,104-12-queens-road-melbourne-vic-3004-16055021,Bentons Square Shopping Centre,2275.84,237.79,3004,440.0
69,902-133-russell-st-melbourne-vic-3004-16078264,Brandon Park Shopping Centre,180.69,26.26,3004,650.0
70,113-350-st-kilda-road-melbourne-vic-3004-16063679,Bayside Shopping Centre,2009.36,224.1,3004,1500.0
71,303-250-st-kilda-road-melbourne-vic-3004-16068286,Bayside Shopping Centre,1612.98,243.32,3004,1395.0
72,405-442-st-kilda-road-melbourne-vic-3004-16057221,Brandon Park Shopping Centre,2228.4,271.83,3004,380.0
73,517-74-queens-road-melbourne-vic-3004-16040056,Altona Gate Shopping Centre,2101.52,222.6,3004,450.0
74,314-499-st-kilda-road-melbourne-vic-3004-16071284,Belmont Village,1489.96,148.4,3004,900.0
75,1008-80-clarendon-street-southbank-vic-3006-16070358,Brand Smart Premium Outlet Centre,967.69,120.29,3006,650.0
76,3402-61-haig-street-southbank-vic-3006-15171750,Brand Smart Premium Outlet Centre,1047.39,139.42,3006,395.0
77,1306-285-city-road-southbank-vic-3006-16077906,Brand Smart Premium Outlet Centre,1103.41,130.17,3006,500.0
78,1510-1-freshwater-place-southbank-vic-3006-16089972,Brand Smart Premium Outlet Centre,1787.62,264.79,3006,640.0
79,1603-250-city-road-southbank-vic-3006-16085712,Brand Smart Premium Outlet Centre,1121.44,152.52,3006,400.0
80,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Brandon Park Shopping Centre,1929.98,279.11,3006,850.0
81,104-285-city-road-southbank-vic-3006-16088546,Brand Smart Premium Outlet Centre,1103.41,130.17,3006,550.0
82,1701a-60-dorcas-street-southbank-vic-3006-16053477,Brandon Park Shopping Centre,2206.66,329.01,3006,400.0
83,3606-45-clarke-street-southbank-vic-3006-16052560,Brand Smart Premium Outlet Centre,1249.49,155.72,3006,650.0
84,48-183-city-road-southbank-vic-3006-16088421,Brand Smart Premium Outlet Centre,1499.84,193.44,3006,750.0
85,602-250-city-road-southbank-vic-3006-16085393,Brand Smart Premium Outlet Centre,1121.44,152.52,3006,385.0
86,2204-250-city-road-southbank-vic-3006-16047014,Brand Smart Premium Outlet Centre,1121.44,152.52,3006,475.0
87,705-26-southgate-avenue-southbank-vic-3006-16080371,Brandon Park Shopping Centre,2080.87,306.93,3006,530.0
88,1209-8-pearl-river-rd-docklands-vic-3008-16076547,Braybrook Shopping Centre,386.85,63.22,3008,420.0
89,1112-8-mccrae-street-docklands-vic-3008-16086787,Barkly Square,684.22,149.51,3008,445.0
90,1811-8-marmion-pl-docklands-vic-3008-16076987,Broadmeadows Shopping Centre,404.85,66.42,3008,480.0
91,1201-8-joseph-road-footscray-vic-3011-16066987,206 Bourke Street,1026.36,157.92,3011,485.0
92,705-8-joseph-road-footscray-vic-3011-16069015,206 Bourke Street,1026.36,157.92,3011,475.0
93,1202-8-joseph-road-footscray-vic-3011-16068802,206 Bourke Street,1026.36,157.92,3011,485.0
94,1003-8-joseph-road-footscray-vic-3011-16084073,206 Bourke Street,1026.36,157.92,3011,480.0
95,609-2-joseph-road-footscray-vic-3011-15372330,206 Bourke Street,1068.53,162.98,3011,800.0
96,2003-8-joseph-road-footscray-vic-3011-16078798,206 Bourke Street,1026.36,157.92,3011,520.0
97,18-bell-street-seddon-vic-3011-16090272,Acland Court Shopping Centre,1292.35,216.2,3011,560.0
98,807-2-joseph-road-footscray-vic-3011-16073204,206 Bourke Street,1068.53,162.98,3011,390.0
99,1102-6-joseph-road-footscray-vic-3011-15336314,206 Bourke Street,1017.84,156.9,3011,550.0
100,2308-6-joseph-road-footscray-vic-3011-16080066,206 Bourke Street,1017.84,156.9,3011,400.0
101,1608-8-joseph-road-footscray-vic-3011-16066840,206 Bourke Street,1026.36,157.92,3011,500.0
102,1402-8-joseph-road-footscray-vic-3011-16066763,206 Bourke Street,1026.36,157.92,3011,485.0
103,1603-8-joseph-road-footscray-vic-3011-16066608,206 Bourke Street,1026.36,157.92,3011,490.0
104,1303-8-joseph-road-footscray-vic-3011-16080780,206 Bourke Street,1026.36,157.92,3011,490.0
105,1305-8-joseph-road-footscray-vic-3011-16068917,206 Bourke Street,1026.36,157.92,3011,490.0
106,18-pitt-street-west-footscray-vic-3012-16076032,Acland Court Shopping Centre,1069.85,136.57,3012,590.0
107,313-110-roberts-street-west-footscray-vic-3012-16070615,Balnarring Village Shopping Centre,2673.18,259.37,3012,550.0
108,1-82-ashley-street-west-footscray-vic-3012-16073237,Acland Court Shopping Centre,513.96,77.34,3012,395.0
109,38-urwin-street-yarraville-vic-3013-16068181,206 Bourke Street,3091.37,319.29,3013,490.0
110,2-248-francis-street-yarraville-vic-3013-16063967,Altona Gate Shopping Centre,3230.48,368.77,3013,550.0
111,65-francis-street-yarraville-vic-3013-16065715,Acland Court Shopping Centre,2885.07,351.39,3013,550.0
112,1-16-vernon-street-south-kingsville-vic-3015-16075648,206 Bourke Street,3242.96,341.19,3015,475.0
113,7-11-15-basil-street-newport-vic-3015-16061402,206 Bourke Street,3718.56,394.65,3015,600.0
114,27-anzac-crescent-williamstown-vic-3016-16066020,206 Bourke Street,7043.8,675.22,3016,1350.0
115,10-gellibrand-street-williamstown-vic-3016-16061167,206 Bourke Street,7331.91,691.72,3016,530.0
116,1-27-mcbain-st-altona-vic-3018-16090275,206 Bourke Street,5898.79,614.83,3018,500.0
117,10-3-robin-street-altona-vic-3018-16073665,Acland Court Shopping Centre,4550.38,458.7,3018,280.0
118,390-duke-street-sunshine-north-vic-3020-15333130,206 Bourke Street,3093.36,262.82,3020,650.0
119,rear-25-alfreida-st-st-albans-vic-3021-16048249,Acland Court Shopping Centre,2335.21,320.43,3021,250.0
120,403-118-cairnlea-drive-cairnlea-vic-3023-16061980,206 Bourke Street,1952.14,211.92,3023,390.0
121,16-macedon-close-caroline-springs-vic-3023-16072871,Acland Court Shopping Centre,2655.45,311.27,3023,450.0
122,80c-first-ave-altona-north-vic-3025-16056452,206 Bourke Street,1450.86,157.54,3025,725.0
123,61a-fifth-avenue-altona-north-vic-3025-16086328,206 Bourke Street,1612.84,188.27,3025,570.0
124,13-draconis-lane-williams-landing-vic-3027-16073635,Acland Court Shopping Centre,4236.91,458.56,3027,380.0
125,37-hoddle-way-altona-meadows-vic-3028-16090729,206 Bourke Street,2483.83,249.96,3028,400.0
126,35-stratus-street-tarneit-vic-3029-16073803,Balnarring Village Shopping Centre,4074.41,406.66,3029,360.0
127,35-hoffman-cr-truganina-vic-3029-16066267,206 Bourke Street,3599.77,409.38,3029,500.0
128,37-award-crescent-truganina-vic-3029-16058731,Altona Gate Shopping Centre,1672.4,226.43,3029,410.0
129,33-stratus-street-tarneit-vic-3029-16073774,Balnarring Village Shopping Centre,4074.41,406.66,3029,360.0
130,9-garland-terrace-point-cook-vic-3030-15364222,Acland Court Shopping Centre,2936.67,281.77,3030,420.0
131,25-living-cres-point-cook-vic-3030-16054167,206 Bourke Street,6652.4,514.56,3030,420.0
132,25-wolseley-parade-kensington-vic-3031-16065752,Acland Court Shopping Centre,3000.71,382.01,3031,995.0
133,4-121-wellington-st-flemington-vic-3031-16065041,Altona Gate Shopping Centre,2378.67,268.35,3031,415.0
134,1-28-ormond-road-ascot-vale-vic-3032-16052047,Acland Court Shopping Centre,1340.17,176.69,3032,300.0
135,16f-54-la-scala-avenue-maribyrnong-vic-3032-14989099,Balnarring Village Shopping Centre,2001.2,242.79,3032,410.0
136,21-330-sydenham-road-sydenham-vic-3037-16086162,206 Bourke Street,2662.93,391.85,3037,390.0
137,80a-waverley-street-moonee-ponds-vic-3039-16085329,Barkly Square,1908.41,201.88,3039,750.0
138,12-vine-street-moonee-ponds-vic-3039-16079832,206 Bourke Street,862.17,128.74,3039,650.0
139,105-333-ascot-vale-rd-moonee-ponds-vic-3039-16083963,206 Bourke Street,508.58,89.53,3039,480.0
140,5-141-park-street-moonee-ponds-vic-3039-16080239,Barkly Square,1762.15,203.43,3039,800.0
141,12-108-maribyrnong-road-moonee-ponds-vic-3039-16015441,Altona Gate Shopping Centre,1450.61,176.29,3039,400.0
142,2-16-lyon-street-essendon-vic-3040-16065350,Barkly Square,2884.9,354.24,3040,320.0
143,2-32-caroline-street-aberfeldie-vic-3040-16067388,Barkly Square,4798.03,548.68,3040,520.0
144,6-8-10-lincoln-road-essendon-vic-3040-16087456,Barkly Square,2302.34,254.76,3040,850.0
145,1a-ogilvie-st-essendon-vic-3040-16082587,Barrabool Hills Plaza,4145.47,420.66,3040,560.0
146,8-10-lincoln-road-essendon-vic-3040-16080138,Barkly Square,2302.34,254.76,3040,550.0
147,35-clifton-street-aberfeldie-vic-3040-16090841,Barrabool Hills Plaza,4406.06,396.83,3040,750.0
