rent_address,mall,min_distance,min_duration
306-25-clifton-street-prahran-vic-3181-16078928,Acland Court Shopping Centre,648.45,68.65
11-8-lamin-lane-toorak-vic-3142-16078927,Barrabool Hills Plaza,290.31,32.36
1009-338-kings-way-south-melbourne-vic-3205-16078854,Brand Smart Premium Outlet Centre,2774.43,356.55
2003-8-joseph-road-footscray-vic-3011-16078798,206 Bourke Street,1026.36,157.92
53-elster-avenue-gardenvale-vic-3185-16078745,206 Bourke Street,4873.49,527.73
90-edgevale-road-kew-vic-3101-16078740,206 Bourke Street,3139.92,350.23
2-94-buckingham-street-richmond-vic-3121-14830817,Balnarring Village Shopping Centre,1570.18,233.29
402-20-garden-street-south-yarra-vic-3141-16078689,Barrabool Hills Plaza,405.17,66.68
2108-288-spencer-street-melbourne-vic-3000-15572564,Box Hill Central,524.17,87.88
510-42-porter-street-prahran-vic-3181-16078605,Acland Court Shopping Centre,502.67,75.61
3-206-alma-rd-st-kilda-east-vic-3183-16078582,Acland Court Shopping Centre,2108.58,206.46
4-34-clarke-street-prahran-vic-3181-16078572,Altona Gate Shopping Centre,774.82,75.61
11-64-auburn-rd-hawthorn-vic-3122-16076131,206 Bourke Street,1881.49,185.57
7-237-balaclava-road-caulfield-north-vic-3161-16078540,206 Bourke Street,1645.75,172.85
34-garrisson-drive-glen-waverley-vic-3150-16078539,Balnarring Village Shopping Centre,1082.68,192.64
8-24-melbourne-street-murrumbeena-vic-3163-16078538,206 Bourke Street,1546.05,162.38
10-304-tooronga-road-glen-iris-vic-3146-16078526,Balnarring Village Shopping Centre,1029.23,112.4
3-22-roseberry-grove-glen-huntly-vic-3163-16078525,Acland Court Shopping Centre,1646.95,178.39
5-9-marlton-crescent-st-kilda-vic-3182-16078497,206 Bourke Street,2278.28,289.22
5-8-10-turakina-avenue-edithvale-vic-3196-16078476,206 Bourke Street,4252.27,471.09
57-bent-street-northcote-vic-3070-16078474,206 Bourke Street,940.35,140.65
3-24-elster-avenue-elsternwick-vic-3185-16078453,206 Bourke Street,4834.2,532.79
2-44-rosstown-road-carnegie-vic-3163-16078450,206 Bourke Street,462.11,86.44
39-comer-street-brighton-east-vic-3187-16078421,Acland Court Shopping Centre,4881.7,481.3
18-mclean-street-thornhill-park-vic-3335-15604969,206 Bourke Street,5944.75,380.05
