rent_address,mall,min_distance,min_duration
111-378-390-saint-georges-road-fitzroy-north-vic-3068-16057525,Acland Court Shopping Centre,2192.28,239.84
8-375-hoddle-street-collingwood-vic-3066-16057038,Altona Gate Shopping Centre,3502.17,426.98
80c-first-ave-altona-north-vic-3025-16056452,206 Bourke Street,1450.86,157.54
1-12-cole-crescent-chadstone-vic-3148-16056418,206 Bourke Street,2016.27,275.53
3-72-leamington-street-reservoir-vic-3073-16055115,206 Bourke Street,3398.02,464.22
103-56-harp-road-kew-vic-3101-16054693,206 Bourke Street,4081.85,461.72
4-2-clifton-road-hawthorn-east-vic-3123-16053841,Altona Gate Shopping Centre,927.07,91.19
1-1062-burke-rd-balwyn-north-vic-3104-16053394,206 Bourke Street,3303.35,409.53
11-201-graham-street-port-melbourne-vic-3207-16053109,Balnarring Village Shopping Centre,2799.88,395.82
13-bird-avenue-northcote-vic-3070-16053046,Acland Court Shopping Centre,2189.38,221.1
17-201-graham-street-port-melbourne-vic-3207-16052558,Balnarring Village Shopping Centre,2799.88,395.82
8-21-irving-avenue-prahran-vic-3181-16051850,Barrabool Hills Plaza,1958.4,214.36
14-durrant-street-brighton-vic-3186-16051810,206 Bourke Street,6005.71,613.35
27-352-canterbury-road-st-kilda-vic-3182-16050504,206 Bourke Street,1262.98,142.08
8-108-george-street-east-melbourne-vic-3002-16049735,Altona Gate Shopping Centre,1540.77,243.92
1802-7-claremont-street-south-yarra-vic-3141-16047399,Brand Smart Premium Outlet Centre,1117.2,153.83
410-9-13-o-connell-street-north-melbourne-vic-3051-16043326,Birallee Village Shopping Centre,682.03,83.36
5-972-riversdale-road-surrey-hills-vic-3127-16042769,206 Bourke Street,4488.4,430.95
3-9-moule-street-brunswick-west-vic-3055-16042300,Acland Court Shopping Centre,2089.03,233.96
802-181-fitzroy-st-st-kilda-vic-3182-15915050,206 Bourke Street,1354.26,156.06
215-56-nicholson-street-abbotsford-vic-3067-13682400,Barrabool Hills Plaza,2172.7,241.77
412-5-olive-york-way-brunswick-west-vic-3055-16041470,Acland Court Shopping Centre,2520.32,282.48
19-parkdale-avenue-balwyn-vic-3103-16041468,206 Bourke Street,4005.29,409.46
206-126-carlisle-street-st-kilda-vic-3182-16041005,206 Bourke Street,830.2,101.78
8-union-street-windsor-vic-3181-12040015,Acland Court Shopping Centre,1673.57,183.44
517-74-queens-road-melbourne-vic-3004-16040056,Altona Gate Shopping Centre,2101.52,222.6
16-glyndebourne-avenue-toorak-vic-3142-16037962,Altona Gate Shopping Centre,2047.04,202.57
7b-carr-street-brighton-east-vic-3187-16037629,Acland Court Shopping Centre,2955.41,403.24
2104-38-rose-lane-melbourne-vic-3000-16035456,Box Hill Central,293.93,37.44
