rent_address,mall,min_distance,min_duration
18-37-39-carroll-crescent-glen-iris-vic-3146-16088255,Balnarring Village Shopping Centre,1207.87,153.03
818-sydney-rd-coburg-north-vic-3058-16088235,206 Bourke Street,3056.69,311.93
68-yarra-boulevard-richmond-vic-3121-12659355,Barkly Square,2484.13,288.18
34-stott-street-box-hill-south-vic-3128-13133669,206 Bourke Street,3454.44,462.16
87-canning-street-carlton-vic-3053-12678308,Brimbank Central Shopping Centre,1999.23,261.09
25-10-tennyson-street-st-kilda-vic-3182-16088206,206 Bourke Street,998.09,144.97
106-34-princeton-terrace-bundoora-vic-3083-16088123,206 Bourke Street,5839.81,579.61
505-139-bouverie-street-carlton-vic-3053-14377358,Birallee Village Shopping Centre,1115.23,144.36
10-24-rose-street-box-hill-vic-3128-16088120,206 Bourke Street,1154.49,120.52
14-193-brighton-road-elwood-vic-3184-16088112,206 Bourke Street,2007.03,203.99
4c-21-the-esplanade-st-kilda-vic-3182-16088109,206 Bourke Street,760.79,96.47
9-744-orrong-road-toorak-vic-3142-15923220,Barkly Square,871.88,96.5
11-51-53-grange-road-toorak-vic-3142-16088102,Barkly Square,761.62,87.34
2-12-brennand-street-fitzroy-north-vic-3068-14628144,Barkly Square,2719.36,394.62
108-3-11-hoddle-street-collingwood-vic-3066-16088068,Altona Gate Shopping Centre,2616.81,316.6
605-369-high-street-kew-vic-3101-16088032,Acland Court Shopping Centre,2980.5,338.71
401-high-street-prahran-vic-3181-16088024,Altona Gate Shopping Centre,1472.7,125.54
38-highett-street-richmond-vic-3121-16087992,Altona Gate Shopping Centre,2296.65,356.35
10-illawara-drive-mickleham-vic-3064-16087933,206 Bourke Street,8375.95,784.49
3-133-glenlyon-road-brunswick-vic-3056-16087910,206 Bourke Street,1376.33,141.31
24-whites-rd-mount-duneed-vic-3217-16087894,Altona Gate Shopping Centre,7692.99,715.0
97-collier-crescent-brunswick-west-vic-3055-16087893,206 Bourke Street,1940.08,212.51
13-25-royal-avenue-glen-huntly-vic-3163-16087887,206 Bourke Street,2468.7,223.15
5-1a-lansdowne-road-st-kilda-east-vic-3183-16086953,Barrabool Hills Plaza,2546.61,283.87
4-82-trenerry-crescent-abbotsford-vic-3067-16057111,Barkly Square,3588.69,386.58
27-hawthorn-road-northcote-vic-3070-16051293,206 Bourke Street,989.13,152.67
6-65-clarence-street-elsternwick-vic-3185-16039179,206 Bourke Street,4294.7,386.23
r-1134-dandenong-road-carnegie-vic-3163-16038868,206 Bourke Street,648.38,94.31
557-swanston-street-carlton-vic-3053-16010438,Bendigo Marketplace,1096.71,145.65
1-42a-hawthorn-grove-hawthorn-vic-3122-16057366,Balnarring Village Shopping Centre,2236.48,281.36
405-442-st-kilda-road-melbourne-vic-3004-16057221,Brandon Park Shopping Centre,2228.4,271.83
76-manooka-road-brookfield-vic-3338-16056949,206 Bourke Street,3189.84,363.49
10-mercer-way-armadale-vic-3143-16056859,Acland Court Shopping Centre,1973.23,225.32
49-highbury-grove-prahran-vic-3181-16056833,Barrabool Hills Plaza,1787.16,184.4
4-4-essex-street-pascoe-vale-vic-3044-16056699,Balnarring Village Shopping Centre,4446.33,436.29
2-361-st-kilda-st-brighton-vic-3186-16056674,206 Bourke Street,4159.88,462.77
38-262-heidelberg-road-fairfield-vic-3078-16056607,206 Bourke Street,2759.97,289.35
38-argo-street-south-yarra-vic-3141-16056584,Barrabool Hills Plaza,798.9,73.49
703-75-wellington-st-collingwood-vic-3066-16054467,Altona Gate Shopping Centre,1920.76,237.56
318-181-fitzroy-street-st-kilda-vic-3182-16056356,206 Bourke Street,1354.26,156.06
609-2-joseph-road-footscray-vic-3011-15372330,206 Bourke Street,1068.53,162.98
915-528-swanston-street-carlton-vic-3053-16056312,Bendigo Marketplace,1083.17,146.99
1-27-eildon-road-st-kilda-vic-3182-16056185,206 Bourke Street,1135.25,144.49
21-313-beaconsfield-parade-st-kilda-west-vic-3182-16056043,206 Bourke Street,2446.6,291.12
543-pascoe-vale-road-pascoe-vale-vic-3044-16056030,206 Bourke Street,4646.73,558.68
9-26-auburn-grove-hawthorn-east-vic-3123-16056022,206 Bourke Street,1183.01,154.38
2s-378-390-st-georges-road-fitzroy-north-vic-3068-16055926,Acland Court Shopping Centre,2192.28,239.84
11-2-belsize-avenue-carnegie-vic-3163-16055916,206 Bourke Street,887.83,104.28
3-83-fewster-road-hampton-vic-3188-16055794,Acland Court Shopping Centre,2639.0,309.79
207-107-beach-street-port-melbourne-vic-3207-16055713,206 Bourke Street,2968.44,460.0
24-union-street-windsor-vic-3181-16055616,Acland Court Shopping Centre,1611.97,177.11
1-12-darling-street-south-yarra-vic-3141-16055432,Bourke Street Mall,639.08,65.7
8b-highbury-grove-prahran-vic-3181-15809710,Barrabool Hills Plaza,1609.69,165.32
3-flinders-avenue-lara-vic-3212-16055309,206 Bourke Street,5333.1,482.07
2-airedale-avenue-hawthorn-east-vic-3123-16029073,Altona Gate Shopping Centre,1385.51,141.49
10-3-boston-road-balwyn-vic-3103-16055201,206 Bourke Street,3119.73,361.43
3108-500-elizabeth-st-melbourne-vic-3000-16055187,Belmont Village,565.23,72.2
7-13-hughenden-road-st-kilda-east-vic-3183-16055120,Acland Court Shopping Centre,1987.83,216.38
217-339-swanston-st-melbourne-vic-3000-16055041,Birallee Village Shopping Centre,319.7,53.06
104-12-queens-road-melbourne-vic-3004-16055021,Bentons Square Shopping Centre,2275.84,237.79
7-56-kooyong-road-caulfield-north-vic-3161-16054643,Acland Court Shopping Centre,1510.83,178.56
8-2-victor-road-glen-iris-vic-3146-14736582,206 Bourke Street,3365.83,348.62
7-161-victoria-road-hawthorn-east-vic-3123-16054548,206 Bourke Street,1020.43,140.96
3-30-logan-street-hamlyn-heights-vic-3215-16054463,Acland Court Shopping Centre,2122.37,238.2
108-best-street-fitzroy-north-vic-3068-16054451,206 Bourke Street,2763.53,366.77
11-13-tibbles-street-beaumaris-vic-3193-16054347,Acland Court Shopping Centre,3465.35,387.34
220-631-victoria-street-abbotsford-vic-3067-16054340,Altona Gate Shopping Centre,774.75,112.93
7-8-10-james-avenue-kew-vic-3101-16054256,Acland Court Shopping Centre,3352.29,428.39
25-living-cres-point-cook-vic-3030-16054167,206 Bourke Street,6652.4,514.56
9-76-carlisle-street-st-kilda-vic-3182-16054050,206 Bourke Street,546.55,53.21
102-9-village-avenue-brunswick-east-vic-3057-15220991,206 Bourke Street,2395.54,251.92
1-rotorua-street-caulfield-south-vic-3162-16053690,206 Bourke Street,4253.46,380.72
270-langridge-street-abbotsford-vic-3067-15242733,Bellarine Village Shopping Centre,2271.58,253.92
2-91-beach-road-sandringham-vic-3191-16053597,206 Bourke Street,4243.58,338.74
1312-35-albert-rd-melbourne-vic-3004-16053245,Braybrook Shopping Centre,2430.2,290.24
3-21-tibrockney-street-highett-vic-3190-16053078,206 Bourke Street,1124.29,123.14
41b-arkaringa-crescent-black-rock-vic-3193-16052986,206 Bourke Street,4384.34,337.47
221-378-390-saint-georges-road-fitzroy-north-vic-3068-16052965,Acland Court Shopping Centre,2192.28,239.84
207-720-queensberry-street-north-melbourne-vic-3051-16052939,Birallee Village Shopping Centre,1673.4,169.46
22-109-nimmo-street-middle-park-vic-3206-16052918,206 Bourke Street,3067.55,354.45
3a-maltarra-street-clayton-south-vic-3169-16052876,Acland Court Shopping Centre,4235.73,560.57
1-david-lane-windsor-vic-3181-15900527,Acland Court Shopping Centre,1362.92,155.46
12-yates-lane-parkville-vic-3052-15148071,Acland Court Shopping Centre,3043.4,289.45
12-1325-high-street-malvern-vic-3144-16052711,Barkly Square,1970.59,210.09
74-barrett-street-albert-park-vic-3206-16052698,Acland Court Shopping Centre,3372.35,422.34
4-45-st-elmo-road-ivanhoe-vic-3079-16052693,206 Bourke Street,1023.83,130.18
21-32-darling-street-south-yarra-vic-3141-16052677,Bourke Street Mall,766.75,75.91
19-73-queens-road-melbourne-vic-3004-16052308,Altona Gate Shopping Centre,2067.56,217.71
4-111-ruskin-street-elwood-vic-3184-16052249,206 Bourke Street,1571.65,184.13
101-1377-burke-road-kew-east-vic-3102-12909786,206 Bourke Street,5331.92,529.68
1559-heatherton-road-dandenong-north-vic-3175-16051481,206 Bourke Street,2168.92,242.57
40a-macedon-parade-wollert-vic-3750-15280632,206 Bourke Street,4127.16,387.35
11-170-albion-street-brunswick-vic-3056-16051288,206 Bourke Street,2099.48,239.11
1-803-whitehorse-road-mont-albert-vic-3127-16051285,206 Bourke Street,1372.56,182.27
715-5-olive-york-way-brunswick-west-vic-3055-16051260,Acland Court Shopping Centre,2520.32,282.48
19-amreli-st-deanside-vic-3336-15176030,206 Bourke Street,4882.96,473.27
4-31-bayview-crescent-black-rock-vic-3193-16051099,206 Bourke Street,4315.64,328.7
15-31-barnsbury-road-deepdene-vic-3103-16051009,206 Bourke Street,2736.92,364.26
