rent_address,mall,min_distance,min_duration
1204-14-16-the-esplanade-st-kilda-vic-3182-16090888,206 Bourke Street,951.21,115.84
4-11-tooronga-road-malvern-east-vic-3145-16090865,Acland Court Shopping Centre,854.18,132.88
1402-229-toorak-road-south-yarra-vic-3141-16090852,Bellarine Village Shopping Centre,604.82,81.84
35-clifton-street-aberfeldie-vic-3040-16090841,Barrabool Hills Plaza,4406.06,396.83
4-10-12-lillian-street-clayton-vic-3168-15234232,206 Bourke Street,4306.44,401.07
7-21-dunoon-st-murrumbeena-vic-3163-16090776,206 Bourke Street,1703.09,185.0
37-hoddle-way-altona-meadows-vic-3028-16090729,206 Bourke Street,2483.83,249.96
5-141-glenhuntly-road-elwood-vic-3184-16090615,206 Bourke Street,2579.41,248.35
6-20-pine-avenue-elwood-vic-3184-16090586,206 Bourke Street,2657.89,290.11
188-park-street-fitzroy-north-vic-3068-16090583,206 Bourke Street,2665.05,358.62
502-118-russell-street-melbourne-vic-3000-16090549,Brandon Park Shopping Centre,240.18,36.87
3-16-malakoff-street-st-kilda-east-vic-3183-16090509,206 Bourke Street,2094.52,206.82
12-45-collins-street-thornbury-vic-3071-16090482,Barkly Square,2242.22,280.25
3-16-blissington-street-springvale-vic-3171-16090463,Acland Court Shopping Centre,2197.83,295.06
1-64-fitzroy-street-st-kilda-west-vic-3182-16090436,206 Bourke Street,1296.36,144.42
23-parer-street-burwood-vic-3125-16090404,Acland Court Shopping Centre,4321.56,453.43
209-92-96-albert-street-brunswick-east-vic-3057-16090378,206 Bourke Street,1988.36,197.94
552-drummond-street-carlton-vic-3053-16090356,Brandon Park Shopping Centre,2287.54,302.07
2-69-darling-road-malvern-east-vic-3145-16090331,206 Bourke Street,884.33,98.59
3-55-johnston-street-port-melbourne-vic-3207-16090322,Balnarring Village Shopping Centre,2850.95,403.31
1-27-mcbain-st-altona-vic-3018-16090275,206 Bourke Street,5898.79,614.83
18-bell-street-seddon-vic-3011-16090272,Acland Court Shopping Centre,1292.35,216.2
110-clark-street-port-melbourne-vic-3207-16090219,Acland Court Shopping Centre,2487.88,389.86
1-12-avoca-ave-elwood-vic-3184-16090201,206 Bourke Street,842.65,180.05
8-7-cardigan-street-st-kilda-east-vic-3183-16090197,206 Bourke Street,2325.49,225.29
8-mary-moodie-way-brunswick-east-vic-3057-16090196,206 Bourke Street,1373.88,213.98
3-bell-street-hawthorn-vic-3122-16090187,206 Bourke Street,3101.58,311.03
9-hillcrest-avenue-chadstone-vic-3148-16090183,Acland Court Shopping Centre,2969.01,292.41
1-53-woolton-avenue-thornbury-vic-3071-16090180,206 Bourke Street,2006.27,226.38
26b-raymond-street-ashwood-vic-3147-16090168,Acland Court Shopping Centre,2771.0,331.44
203-152-peel-street-windsor-vic-3181-16090148,Acland Court Shopping Centre,1337.69,139.96
401-52-nott-street-port-melbourne-vic-3207-16090119,Balnarring Village Shopping Centre,2892.23,422.97
903-93-dow-street-port-melbourne-vic-3207-16090117,Balnarring Village Shopping Centre,2727.43,387.55
26-yolanda-street-bonshaw-vic-3352-15313845,Acland Court Shopping Centre,8381.32,765.56
15-foundry-circuit-beveridge-vic-3753-14484858,206 Bourke Street,17844.68,1138.47
1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Acland Court Shopping Centre,2100.67,222.48
5-masefield-avenue-sandringham-vic-3191-16090053,206 Bourke Street,4950.91,476.56
