rent_address,mall,min_distance,min_duration
7-23-bendigo-avenue-elwood-vic-3184-16085426,206 Bourke Street,2242.44,245.24
1-12-omar-street-caulfield-south-vic-3162-16085399,Acland Court Shopping Centre,3877.87,335.23
602-250-city-road-southbank-vic-3006-16085393,Brand Smart Premium Outlet Centre,1121.44,152.52
26-william-street-dromana-vic-3936-16085361,206 Bourke Street,1231.44,164.89
2-14-binns-street-montmorency-vic-3094-16085351,Acland Court Shopping Centre,3567.29,458.5
603-101-river-street-south-yarra-vic-3141-16085330,Belmont Village,460.22,52.09
80a-waverley-street-moonee-ponds-vic-3039-16085329,Barkly Square,1908.41,201.88
12-174-george-street-east-melbourne-vic-3002-14217723,Altona Gate Shopping Centre,1632.29,257.25
1-15-tintern-avenue-toorak-vic-3142-16085299,Barrabool Hills Plaza,295.97,57.52
210-26-warleigh-grove-brighton-vic-3186-15226300,206 Bourke Street,5748.7,606.67
205-95-ormond-road-elwood-vic-3184-16085196,206 Bourke Street,2351.78,246.05
15-64-auburn-rd-hawthorn-vic-3122-16085195,206 Bourke Street,1881.49,185.57
609-14-david-street-richmond-vic-3121-16085191,Balnarring Village Shopping Centre,1312.35,172.01
409-108-bay-street-port-melbourne-vic-3207-16085177,Balnarring Village Shopping Centre,2643.99,378.38
107k-211-powlett-street-east-melbourne-vic-3002-16085151,Altona Gate Shopping Centre,1660.63,206.69
44-francis-cres-glen-iris-vic-3146-16085112,206 Bourke Street,2692.25,289.59
4-52-lyndhurst-street-richmond-vic-3121-16085100,Bayside Shopping Centre,2040.22,262.56
203-highfield-road-camberwell-vic-3124-16085093,206 Bourke Street,3726.28,325.69
6-6-denbigh-road-armadale-vic-3143-16085067,Acland Court Shopping Centre,1181.16,152.54
17-king-street-richmond-vic-3121-16085050,Bulleen Plaza,2346.07,291.21
1105-162-albert-street-east-melbourne-vic-3002-16084999,Altona Gate Shopping Centre,1622.85,224.57
10-5-allard-street-brunswick-west-vic-3055-16084995,Acland Court Shopping Centre,1995.62,217.32
eg07-11-flockhart-street-abbotsford-vic-3067-16084992,Acland Court Shopping Centre,1081.07,160.93
11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,206 Bourke Street,364.76,87.54
7-1a-hughenden-road-st-kilda-east-vic-3183-16084967,Acland Court Shopping Centre,2165.52,237.7
28-wilson-street-highett-vic-3190-16084920,206 Bourke Street,1478.56,124.67
6-bass-street-flinders-vic-3929-16084910,206 Bourke Street,16849.18,833.37
g06-81-cemetery-road-carlton-vic-3053-16084878,Belmont Village,2347.08,293.63
4-4-6-wilson-street-wodonga-vic-3690-16084871,Altona Gate Shopping Centre,1546.98,170.67
3-402-toorak-road-toorak-vic-3142-16084857,Barrabool Hills Plaza,221.63,26.03
303-81-riversdale-road-hawthorn-vic-3122-16084849,206 Bourke Street,2590.51,228.38
204-378-390-st-george-road-fitzroy-north-vic-3068-16084845,Acland Court Shopping Centre,2192.28,239.84
37-margot-street-chadstone-vic-3148-16084833,Acland Court Shopping Centre,1075.88,164.17
16-teal-court-wodonga-vic-3690-16084825,206 Bourke Street,2171.51,318.24
4-5-bell-court-wodonga-vic-3690-16084806,206 Bourke Street,1351.98,190.68
40-daintree-way-wodonga-vic-3690-16084804,206 Bourke Street,3760.12,426.4
3-27-ruskin-street-elwood-vic-3184-16084771,206 Bourke Street,914.97,128.93
3-23-auburn-grove-hawthorn-vic-3122-16084647,206 Bourke Street,1156.07,140.9
911-408-lonsdale-street-melbourne-vic-3000-16084620,Brimbank Central Shopping Centre,306.54,32.39
9-huon-street-wodonga-vic-3690-16084603,Altona Gate Shopping Centre,1766.61,208.99
38-park-crescent-caulfield-north-vic-3161-16084584,Acland Court Shopping Centre,1089.89,159.87
2-kurrajong-avenue-st-kilda-east-vic-3183-16084549,Acland Court Shopping Centre,2629.26,260.26
349-fitzroy-street-fitzroy-vic-3065-16084496,Brimbank Central Shopping Centre,2034.94,269.79
2-24-o-connor-street-reservoir-vic-3073-16084487,Altona Gate Shopping Centre,3982.8,444.87
1102-32-bray-street-south-yarra-vic-3141-16084480,Balnarring Village Shopping Centre,451.5,50.45
1203-77-river-street-south-yarra-vic-3141-16084470,Belmont Village,175.1,20.57
78-hawke-street-west-melbourne-vic-3003-16084403,Box Hill Central,1280.0,182.51
6-566-glenferrie-road-hawthorn-vic-3122-16084160,206 Bourke Street,2695.24,235.92
1-48-pearl-drive-craigieburn-vic-3064-16084074,206 Bourke Street,1948.48,294.21
1003-8-joseph-road-footscray-vic-3011-16084073,206 Bourke Street,1026.36,157.92
2-116-jasper-road-bentleigh-vic-3204-16084051,Acland Court Shopping Centre,2773.67,336.38
918-422-collins-st-melbourne-vic-3000-16084005,Balnarring Village Shopping Centre,522.62,62.71
104-somerset-street-richmond-vic-3121-16083987,Balnarring Village Shopping Centre,1736.94,227.56
12-30-james-street-windsor-vic-3181-16083970,Acland Court Shopping Centre,1286.35,140.68
105-333-ascot-vale-rd-moonee-ponds-vic-3039-16083963,206 Bourke Street,508.58,89.53
1-6-turner-road-highett-vic-3190-16083938,Altona Gate Shopping Centre,1199.02,175.77
1-6-rattray-avenue-wodonga-vic-3690-16083917,Acland Court Shopping Centre,2164.87,261.38
3-492-plenty-road-preston-vic-3072-16083908,Balnarring Village Shopping Centre,1384.71,158.91
13-brenda-court-nunawading-vic-3131-16083837,206 Bourke Street,1745.05,225.95
30-80-enterprise-dr-bundoora-vic-3083-16083831,206 Bourke Street,5905.02,577.56
12-park-street-abbotsford-vic-3067-16083814,Bendigo Marketplace,2226.97,259.62
1492-malvern-road-glen-iris-vic-3146-16051441,Balnarring Village Shopping Centre,1748.24,182.73
214-54-nott-street-port-melbourne-vic-3207-16083798,Balnarring Village Shopping Centre,2993.44,433.09
4-5-southey-court-elwood-vic-3184-16083693,206 Bourke Street,1553.54,237.79
