rent_address,mall,min_distance,min_duration
6-rolls-street-coburg-vic-3058-16063327,206 Bourke Street,3342.22,418.39
1206-118-russell-street-melbourne-vic-3000-16062720,Brandon Park Shopping Centre,240.18,36.87
57-baker-street-richmond-vic-3121-16062642,Altona Gate Shopping Centre,1378.24,166.13
647-hawthorn-road-brighton-east-vic-3187-15563252,206 Bourke Street,5354.64,436.26
532-631-victoria-street-abbotsford-vic-3067-16061939,Altona Gate Shopping Centre,774.75,112.93
73-the-crescent-port-melbourne-vic-3207-16061763,206 Bourke Street,3274.97,495.54
4-allaware-avenue-croydon-vic-3136-15141770,Acland Court Shopping Centre,2048.77,237.47
38-kauri-grove-glen-waverley-vic-3150-15889540,206 Bourke Street,2012.32,294.76
14-13-churchill-avenue-chadstone-vic-3148-16061665,Acland Court Shopping Centre,2693.17,270.35
175-richardson-street-middle-park-vic-3206-16061617,206 Bourke Street,3307.88,380.73
52-54-tinning-street-brunswick-vic-3056-16061469,206 Bourke Street,2340.26,292.48
7-11-15-basil-street-newport-vic-3015-16061402,206 Bourke Street,3718.56,394.65
26-austin-street-hughesdale-vic-3166-13441918,Balnarring Village Shopping Centre,2398.47,276.41
16-neville-street-bentleigh-east-vic-3165-16061303,Acland Court Shopping Centre,4504.01,505.53
11-bennett-street-richmond-vic-3121-16061186,Altona Gate Shopping Centre,1099.84,156.07
7-126-wellington-parade-east-melbourne-vic-3002-16061003,Altona Gate Shopping Centre,1399.77,228.6
5-bemboka-avenue-clayton-south-vic-3169-16060995,Acland Court Shopping Centre,6570.84,670.35
210-79-81-asling-street-brighton-vic-3186-16060948,206 Bourke Street,4394.21,498.96
2-21-23-westgate-street-pascoe-vale-south-vic-3044-16060501,206 Bourke Street,4872.11,496.78
2-67-euston-road-hughesdale-vic-3166-16060352,Balnarring Village Shopping Centre,883.79,137.54
2-30-clarendon-avenue-oakleigh-south-vic-3167-16060050,Acland Court Shopping Centre,2217.78,225.44
5-158-kangaroo-road-hughesdale-vic-3166-16059918,Balnarring Village Shopping Centre,1267.2,179.68
22-union-street-windsor-vic-3181-16059839,Acland Court Shopping Centre,1622.33,178.17
206-75-wellington-street-collingwood-vic-3066-16059668,Altona Gate Shopping Centre,1920.76,237.56
54-o-grady-street-albert-park-vic-3206-16059651,Barkly Square,3041.89,398.36
4-16-manor-street-brighton-vic-3186-16059609,206 Bourke Street,6257.35,671.25
94-helen-street-northcote-vic-3070-16059106,206 Bourke Street,542.92,85.86
20-lord-street-richmond-vic-3121-16059083,Barkly Square,2069.24,262.66
level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Brandon Park Shopping Centre,1929.98,279.11
1-12-toward-street-murrumbeena-vic-3163-16058355,206 Bourke Street,1820.33,225.93
2-neptune-street-richmond-vic-3121-16058275,Barkly Square,1763.59,219.55
705-89-gladstone-street-south-melbourne-vic-3205-16058273,Barkly Square,929.7,192.58
4-main-road-clayton-south-vic-3169-16057923,206 Bourke Street,3269.45,451.95
49-savoy-grove-cranbourne-north-vic-3977-15751808,206 Bourke Street,2347.82,324.57
25-spicer-street-beaumaris-vic-3193-16057734,Acland Court Shopping Centre,2878.23,326.64
13-9-fitzroy-street-st-kilda-vic-3182-16057589,206 Bourke Street,1290.23,145.69
2a-garden-street-hawthorn-vic-3122-16056125,Bayside Shopping Centre,339.37,50.88
7-nevada-street-balwyn-north-vic-3104-16055843,206 Bourke Street,4849.07,575.95
439-111-punt-road-windsor-vic-3181-16055654,Acland Court Shopping Centre,1392.33,145.72
502-21-plenty-road-bundoora-vic-3083-16055079,206 Bourke Street,4511.66,545.43
1-18-raynes-street-balwyn-vic-3103-16054448,206 Bourke Street,4298.43,449.93
3-13-state-street-oakleigh-east-vic-3166-16054316,Altona Gate Shopping Centre,2895.21,347.76
55-1-albert-road-melbourne-vic-3000-16054304,Bayside Shopping Centre,2321.09,248.68
16-byrne-street-port-melbourne-vic-3207-16054203,206 Bourke Street,2614.65,404.31
228-la-trobe-st-melbourne-vic-3000-16054137,Belmont Village,657.05,95.76
6-89-seymour-road-elsternwick-vic-3185-16054067,Acland Court Shopping Centre,3016.27,304.95
105-337-balaclava-road-caulfield-north-vic-3161-16053704,Acland Court Shopping Centre,835.82,119.85
76b-oakleigh-road-carnegie-vic-3163-16053547,206 Bourke Street,1891.42,176.32
1701a-60-dorcas-street-southbank-vic-3006-16053477,Brandon Park Shopping Centre,2206.66,329.01
3-38-mitford-street-elwood-vic-3184-16053235,206 Bourke Street,693.78,144.33
2-9-bertram-street-elsternwick-vic-3185-13756533,206 Bourke Street,4784.55,505.42
2-2-melville-avenue-newtown-vic-3220-16052733,Altona Gate Shopping Centre,3203.31,315.73
g09-22-nicholson-street-fitzroy-north-vic-3068-16052600,206 Bourke Street,2335.64,234.83
3606-45-clarke-street-southbank-vic-3006-16052560,Brand Smart Premium Outlet Centre,1249.49,155.72
29-melview-drive-ringwood-north-vic-3134-16052408,206 Bourke Street,2476.75,277.6
57-lang-street-south-yarra-vic-3141-16052404,Birallee Village Shopping Centre,1038.69,152.87
1-28-ormond-road-ascot-vale-vic-3032-16052047,Acland Court Shopping Centre,1340.17,176.69
2-48-magnolia-road-gardenvale-vic-3185-16051707,Balnarring Village Shopping Centre,5214.29,465.54
4-260-st-kilda-road-st-kilda-vic-3182-16051315,206 Bourke Street,1248.03,168.98
5-5-luckie-street-nunawading-vic-3131-16050936,206 Bourke Street,901.08,161.39
29-10-clifton-street-prahran-vic-3181-16050826,Acland Court Shopping Centre,704.57,82.12
329-howe-parade-port-melbourne-vic-3207-16050374,206 Bourke Street,3422.76,531.03
42-commercial-road-prahran-vic-3181-16050172,Altona Gate Shopping Centre,562.42,46.36
2-gateway-close-chadstone-vic-3148-15228933,Acland Court Shopping Centre,2451.47,275.75
