rent_address,mall,min_distance,min_duration
3-1-nangnak-lane-mont-albert-vic-3127-16105157,206 Bourke Street,1539.08,201.35
1-25-rose-street-armadale-vic-3143-10042843,Bayside Shopping Centre,1731.86,192.0
209-3-elliott-ave-carnegie-vic-3163-16097314,206 Bourke Street,947.35,107.23
207-11-13-jackson-street-st-kilda-vic-3182-16103822,206 Bourke Street,1526.72,204.6
46-73-river-street-richmond-vic-3121-16094613,206 Bourke Street,1918.9,249.64
8-260-wattletree-road-malvern-vic-3144-16098780,Altona Gate Shopping Centre,1587.99,153.23
3-46-foam-street-elwood-vic-3184-16109685,206 Bourke Street,2808.51,299.19
10-299-burke-road-glen-iris-vic-3146-16103519,206 Bourke Street,1648.65,177.01
34-589-glenferrie-road-hawthorn-vic-3122-16094937,206 Bourke Street,2551.82,226.33
5-490-492-moreland-road-brunswick-west-vic-3055-16091467,Acland Court Shopping Centre,3215.62,352.91
10-11-marine-parade-st-kilda-vic-3182-16091874,206 Bourke Street,1066.51,135.22
5-12a-toward-street-murrumbeena-vic-3163-16099704,206 Bourke Street,1842.42,228.58
4-105-wattle-valley-road-camberwell-vic-3124-16105634,206 Bourke Street,2573.83,244.11
3-100-coventry-street-southbank-vic-3006-16111756,Bayside Shopping Centre,2049.75,247.14
1-204-neerim-road-carnegie-vic-3163-15580163,206 Bourke Street,1227.12,112.35
1-116-inkerman-road-st-kilda-vic-3182-15926395,206 Bourke Street,1024.98,132.86
1-2a-robe-street-st-kilda-vic-3182-16095963,206 Bourke Street,807.29,104.84
1-69-centre-dandenong-road-dingley-village-vic-3172-16099840,206 Bourke Street,246.95,18.45
10-talliver-terrace-truganina-vic-3029-16111383,Altona Gate Shopping Centre,1873.58,255.4
13-fenwick-street-thornbury-vic-3071-16108011,206 Bourke Street,958.15,194.31
30-beluga-street-mount-eliza-vic-3930-16104711,206 Bourke Street,3223.77,402.7
3-4-beverley-street-glen-huntly-vic-3163-16109544,Acland Court Shopping Centre,2300.23,294.16
2-ritz-street-vermont-south-vic-3133-15960853,206 Bourke Street,638.51,90.7
1-3-jaguar-drive-clayton-vic-3168-16022646,Acland Court Shopping Centre,3333.84,436.9
505-79-river-street-south-yarra-vic-3141-16108010,Altona Gate Shopping Centre,281.81,38.65
15-18-princes-street-st-kilda-vic-3182-16027235,206 Bourke Street,1173.16,138.58
3-1-freeman-street-caulfield-vic-3162-16092052,Acland Court Shopping Centre,2799.81,284.84
706-75-wellington-street-collingwood-vic-3066-15210408,Altona Gate Shopping Centre,1920.76,237.56
3-3-mackay-ave-carnegie-vic-3163-16098646,206 Bourke Street,2886.17,269.58
12-abbotsford-avenue-malvern-east-vic-3145-16092573,206 Bourke Street,1227.91,197.25
13-47-brighton-road-st-kilda-vic-3182-16099504,206 Bourke Street,1012.57,116.21
1-2-2-woodstock-street-st-kilda-vic-3182-16093793,206 Bourke Street,1483.07,180.17
1601-7-claremont-street-south-yarra-vic-3141-15452608,Balnarring Village Shopping Centre,1117.2,153.83
512-4-joseph-rd-footscray-vic-3011-15583218,206 Bourke Street,996.57,154.35
44-elliott-ave-balwyn-vic-3103-16105752,206 Bourke Street,4030.41,446.89
4-22-allison-road-elsternwick-vic-3185-11212197,206 Bourke Street,3552.56,373.93
29-2-hanlon-court-wodonga-vic-3690-16106894,206 Bourke Street,1248.76,161.34
17-crown-close-oakleigh-east-vic-3166-16113552,206 Bourke Street,2903.58,341.18
72-perth-street-prahran-vic-3181-16108083,206 Bourke Street,595.63,64.73
22a-tweed-st-highett-vic-3190-16103736,206 Bourke Street,1607.11,221.12
1305-45-claremont-street-south-yarra-vic-3141-16097070,Altona Gate Shopping Centre,878.87,113.83
13-58-clarendon-street-thornbury-vic-3071-16101018,206 Bourke Street,1780.14,244.68
1c-lewisham-road-windsor-vic-3181-16104364,Altona Gate Shopping Centre,2238.54,216.24
4-86-normanby-avenue-thornbury-vic-3071-16108540,Altona Gate Shopping Centre,2234.45,227.73
5-120-murray-street-caulfield-vic-3162-16098698,Acland Court Shopping Centre,3491.4,330.91
75-cutter-street-richmond-vic-3121-16105791,Barkly Square,2423.59,304.24
46-elm-grove-kew-east-vic-3102-16099817,206 Bourke Street,6792.58,697.86
24-300-high-street-prahran-vic-3181-16092833,206 Bourke Street,1002.14,84.69
6-217-buckley-street-seddon-vic-3011-16104892,206 Bourke Street,834.01,120.55
402-2a-clarence-street-malvern-east-vic-3145-16095778,206 Bourke Street,903.35,141.87
2-hailar-lane-lara-vic-3212-16107512,206 Bourke Street,5598.8,482.92
2-276-hawthorn-road-caulfield-vic-3162-16097784,Acland Court Shopping Centre,2849.69,260.78
107-324-centre-road-bentleigh-vic-3204-16094020,206 Bourke Street,4008.97,441.46
402-1-chapel-mews-south-yarra-vic-3141-16108066,Altona Gate Shopping Centre,193.36,20.11
g06-501-little-collins-street-melbourne-vic-3000-16096996,Birallee Village Shopping Centre,558.93,99.31
72b-ardoyne-st-black-rock-vic-3193-16109670,Acland Court Shopping Centre,5317.89,577.45
19-canterbury-street-richmond-vic-3121-16096668,Barkly Square,2183.53,270.16
102-9-dryburgh-street-west-melbourne-vic-3003-15235467,Acland Court Shopping Centre,1737.52,253.38
3006-31-a-beckett-street-melbourne-vic-3000-16104600,Bayside Shopping Centre,483.48,72.64
1402-82-queens-rd-melbourne-vic-3004-16099647,206 Bourke Street,2152.04,304.59
