rent_address,mall,min_distance,min_duration
211-2a-clarence-street-malvern-east-vic-3145-16106072,206 Bourke Street,903.35,141.87
5-68-edgar-street-north-glen-iris-vic-3146-16105927,206 Bourke Street,1382.4,184.45
2-62-screen-street-frankston-vic-3199-16094995,206 Bourke Street,1923.54,328.8
1-41-kooyong-rd-caulfield-north-vic-3161-16113276,206 Bourke Street,1424.12,159.81
13-raglan-street-port-melbourne-vic-3207-16096777,Barkly Square,1909.71,271.51
312-57-spencer-street-docklands-vic-3008-16108605,Bellpost Shopping Centre,120.47,19.37
3-brisbane-street-murrumbeena-vic-3163-16099765,206 Bourke Street,1364.15,149.14
g04-66-waterloo-road-northcote-vic-3070-16108577,206 Bourke Street,1170.87,169.85
3-197-auburn-road-hawthorn-vic-3122-16096743,206 Bourke Street,1796.97,175.85
9a-rosamond-street-balaclava-vic-3183-16098659,206 Bourke Street,1287.47,154.65
623-539-st-kilda-road-melbourne-vic-3000-16110078,Barkly Square,1288.65,125.11
1108-20-shamrock-street-abbotsford-vic-3067-15091677,206 Bourke Street,1124.89,171.45
13-112-riversdale-road-hawthorn-vic-3122-16106515,206 Bourke Street,2328.36,209.51
501-243-franklin-street-melbourne-vic-3000-16098203,Bellpost Shopping Centre,706.98,86.53
206-801-whitehorse-road-mont-albert-vic-3127-16107016,206 Bourke Street,1408.67,184.63
6-33-grove-rd-hawthorn-vic-3122-16094567,Balnarring Village Shopping Centre,1666.4,211.79
9-21-rockley-road-south-yarra-vic-3141-16109121,Acland Court Shopping Centre,759.57,86.1
7-6-ripon-grove-elsternwick-vic-3185-16100128,206 Bourke Street,3126.52,370.76
9-182-hawdon-street-heidelberg-vic-3084-16105331,206 Bourke Street,1265.75,149.43
7-162-brighton-road-ripponlea-vic-3185-16100540,206 Bourke Street,2915.47,313.08
5-selbourne-street-hawthorn-vic-3122-16100969,206 Bourke Street,2097.44,246.6
14-3-balston-street-balaclava-vic-3183-16112313,206 Bourke Street,2092.99,211.42
38-vermont-street-wodonga-vic-3690-16093688,206 Bourke Street,1327.26,156.26
g2-26-nicholson-street-fitzroy-north-vic-3068-16108768,206 Bourke Street,2320.78,233.64
203-120-hotham-street-st-kilda-east-vic-3183-16098448,206 Bourke Street,2137.12,237.53
3-43-gillies-street-fairfield-vic-3078-16100715,206 Bourke Street,2376.9,251.41
205-1-redhill-terrace-doncaster-east-vic-3109-16094041,206 Bourke Street,938.74,127.78
28-rimmington-way-rockbank-vic-3335-16099477,Acland Court Shopping Centre,10391.69,604.37
124-abbott-st-sandringham-vic-3191-16111338,206 Bourke Street,2698.35,205.86
15-queen-street-fitzroy-north-vic-3068-16098797,206 Bourke Street,2287.42,299.62
2-2-rae-court-prahran-vic-3181-16092519,206 Bourke Street,1875.5,177.81
303-88-beaconsfield-parade-albert-park-vic-3206-16095682,206 Bourke Street,3680.56,444.17
14-lesney-street-richmond-vic-3121-16111270,Bellpost Shopping Centre,1286.59,151.03
147-patterson-road-bentleigh-vic-3204-16099099,Acland Court Shopping Centre,3127.84,362.66
2-4-prior-rd-malvern-east-vic-3145-16096071,206 Bourke Street,578.86,116.8
20-davison-street-richmond-vic-3121-6782699,206 Bourke Street,957.62,146.3
8-pindari-drive-bayswater-vic-3153-16113044,Acland Court Shopping Centre,2425.91,252.61
6-27-gladwyn-avenue-bentleigh-east-vic-3165-15284183,206 Bourke Street,3240.9,329.86
41-balgowlah-avenue-keysborough-vic-3173-16104670,206 Bourke Street,1057.23,131.42
9-parer-street-oakleigh-vic-3166-16093353,206 Bourke Street,2199.1,248.16
4-16-toward-street-murrumbeena-vic-3163-16094879,206 Bourke Street,2219.48,226.22
101-96-curzon-street-north-melbourne-vic-3051-16099695,206 Bourke Street,1335.12,131.67
4-11-allambee-avenue-camberwell-vic-3124-16100759,206 Bourke Street,1943.61,236.37
206-470-smith-street-collingwood-vic-3066-16095724,Balnarring Village Shopping Centre,2947.23,369.98
165-patterson-road-bentleigh-vic-3204-16096720,Acland Court Shopping Centre,3255.42,371.85
71-balcombe-drive-mount-martha-vic-3934-16113110,206 Bourke Street,1824.09,174.79
2b-donald-street-brunswick-vic-3056-16094762,206 Bourke Street,2238.15,263.27
3-kingsley-grove-mount-waverley-vic-3149-16098328,206 Bourke Street,2310.07,266.69
7-2-graham-street-port-melbourne-vic-3207-16107609,Balnarring Village Shopping Centre,2656.33,381.37
19-60-wattletree-road-armadale-vic-3143-16109919,206 Bourke Street,644.45,89.88
303-960-high-street-armadale-vic-3143-16100725,206 Bourke Street,1407.09,145.75
4-28-banksia-street-clayton-vic-3168-16109082,Altona Gate Shopping Centre,3957.52,509.65
1-150-grange-road-alphington-vic-3078-16099545,206 Bourke Street,1795.8,180.23
19-32-queens-road-melbourne-vic-3004-16099040,Belmont Village,1754.83,185.62
3-allan-street-brunswick-vic-3056-16091524,206 Bourke Street,1332.58,139.81
9-17-st-leondards-avenue-st-kilda-vic-3182-16110829,206 Bourke Street,1070.27,177.22
79-buckingham-street-richmond-vic-3121-16100639,206 Bourke Street,1545.02,227.51
69-brighton-street-richmond-vic-3121-16096202,Acland Court Shopping Centre,1143.25,162.43
110-raglan-street-preston-vic-3072-16103893,206 Bourke Street,2041.6,244.28
2-26-may-park-avenue-ashwood-vic-3147-16112429,206 Bourke Street,1709.26,204.45
78a-teddington-road-hampton-vic-3188-16105795,Acland Court Shopping Centre,2894.34,309.86
39-lawrence-street-wodonga-vic-3690-16114126,Acland Court Shopping Centre,2091.91,239.51
2-melville-avenue-newtown-vic-3220-16090991,Altona Gate Shopping Centre,3170.42,309.81
7-1-duncraig-avenue-armadale-vic-3143-16107324,206 Bourke Street,239.25,45.26
g01-8-carroll-street-richmond-vic-3121-16105144,Bourke Street Mall,2048.85,238.78
27-ellsworth-crescent-camberwell-vic-3124-16093229,Acland Court Shopping Centre,3915.08,427.51
10-chucklecreek-lane-armstrong-creek-vic-3217-16110820,Altona Gate Shopping Centre,8059.02,672.26
33-broomfield-road-hawthorn-east-vic-3123-16098753,206 Bourke Street,1993.57,195.03
5-548-moreland-road-brunswick-west-vic-3055-16109592,Altona Gate Shopping Centre,2742.28,284.67
22-174-peel-street-windsor-vic-3181-16109077,206 Bourke Street,1237.33,116.74
32-632-st-kilda-road-melbourne-vic-3004-16091641,206 Bourke Street,2209.29,312.83
3-14-carmichael-road-oakleigh-east-vic-3166-16091410,Acland Court Shopping Centre,2891.68,314.11
1109-2-joseph-road-footscray-vic-3011-15421439,206 Bourke Street,1068.53,162.98
2-413a-waverley-road-malvern-east-vic-3145-16112451,206 Bourke Street,1668.28,182.47
702-74-queens-road-melbourne-vic-3004-16113717,Altona Gate Shopping Centre,2101.52,222.6
1003-225-elizabeth-street-melbourne-vic-3000-16111540,Box Hill Central,506.84,89.59
9-62-wattletree-road-armadale-vic-3143-16091210,206 Bourke Street,530.13,72.11
207-2-6-mccutcheon-street-northcote-vic-3070-15874383,206 Bourke Street,544.21,79.45
72-austin-crescent-pascoe-vale-vic-3044-16108578,206 Bourke Street,6086.61,648.95
29-1066-lygon-street-carlton-north-vic-3054-16099369,206 Bourke Street,1393.48,161.73
4-31-33-o-connor-street-brunswick-east-vic-3057-16109419,206 Bourke Street,1741.66,181.75
304-708-burwood-rd-hawthorn-vic-3122-16096604,206 Bourke Street,1132.59,142.25
23-11-auburn-gr-hawthorn-east-vic-3123-16106129,206 Bourke Street,1272.06,157.6
12-55-alexandra-street-st-kilda-east-vic-3183-16096796,Acland Court Shopping Centre,2661.02,247.64
308-71-canterbury-street-richmond-vic-3121-14973757,Barrabool Hills Plaza,2135.46,254.96
2-116-anderson-street-south-yarra-vic-3141-16100924,Burnside Hub,1635.88,192.29
304a-33-inkerman-st-st-kilda-vic-3182-16104398,206 Bourke Street,657.24,73.1
10-katta-court-ashwood-vic-3147-16092329,Acland Court Shopping Centre,1852.88,228.08
3-20-parkers-rd-parkdale-vic-3195-16096970,206 Bourke Street,1791.58,206.04
102-8a-evergreen-mews-armadale-vic-3143-16098928,Barrabool Hills Plaza,1774.23,189.15
304-152-peel-street-windsor-vic-3181-16108695,206 Bourke Street,1337.69,139.96
20-sycamore-street-caulfield-south-vic-3162-16111960,Acland Court Shopping Centre,3981.24,380.04
27-4-wando-grove-st-kilda-east-vic-3183-16098295,Acland Court Shopping Centre,2144.76,246.14
305-1200-high-street-malvern-vic-3144-15192944,206 Bourke Street,1939.15,210.56
78-oakover-road-preston-vic-3072-16096755,Balnarring Village Shopping Centre,1807.03,268.14
3604-568-collins-street-melbourne-vic-3000-16102990,Belmont Village,234.85,40.8
15-gibdon-street-burnley-vic-3121-16105787,Balnarring Village Shopping Centre,1966.41,249.62
19-552-moreland-road-brunswick-west-vic-3055-16112090,Altona Gate Shopping Centre,2711.56,281.9
71-amelia-street-brunswick-vic-3056-16111322,206 Bourke Street,405.76,59.7
4-71-esplanade-west-port-melbourne-vic-3207-16092101,Barkly Square,2510.73,348.38
304-27-dickmann-street-richmond-vic-3121-16113260,Bellpost Shopping Centre,1428.27,173.8
14-acland-street-south-yarra-vic-3141-16100335,Box Hill Central,1662.17,178.77
1212-35-malcolm-street-south-yarra-vic-3141-16104529,Balnarring Village Shopping Centre,94.38,8.95
19-asquith-street-kew-vic-3101-16113258,206 Bourke Street,5177.19,634.36
2e-hopetoun-avenue-canterbury-vic-3126-16099464,206 Bourke Street,2447.8,275.94
7-mahla-ave-wollert-vic-3750-14803288,206 Bourke Street,1578.47,170.17
20a-burwah-avenue-brighton-east-vic-3187-16103434,Acland Court Shopping Centre,3633.55,468.12
1310-450-st-kilda-road-melbourne-vic-3004-16099990,Bentons Square Shopping Centre,2176.66,220.91
