,rent_address,mall,min_distance,min_duration,postcode,price
0,5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Acland Court Shopping Centre,519.28,86.71,3000,570.0
1,513-118-franklin-street-melbourne-vic-3000-15397839,Barrabool Hills Plaza,643.05,84.44,3000,450.0
2,29-400-little-collins-street-melbourne-vic-3000-16022489,Bentons Square Shopping Centre,466.25,50.18,3000,400.0
3,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Bendigo Marketplace,378.36,57.7,3000,600.0
4,1411-250-elizabeth-street-melbourne-vic-3000-16092022,Brand Smart Premium Outlet Centre,81.25,9.22,3000,520.0
5,1309-199-william-street-melbourne-vic-3000-16093914,Bentons Square Shopping Centre,673.36,86.1,3000,520.0
6,1713-25-therry-street-melbourne-vic-3000-16097001,Barrabool Hills Plaza,689.9,98.3,3000,500.0
7,1202-31-spring-street-melbourne-vic-3000-16111139,Altona Gate Shopping Centre,457.01,95.24,3000,570.0
8,703-500-flinders-street-melbourne-vic-3000-16102690,Berwick Marketplace,578.68,106.04,3000,220.0
9,313-394-collins-street-melbourne-vic-3000-15401052,Altona Gate Shopping Centre,446.34,54.29,3000,500.0
10,3008-288-spencer-street-melbourne-vic-3000-16097762,Acland Court Shopping Centre,524.17,87.88,3000,410.0
11,1003-225-elizabeth-street-melbourne-vic-3000-16111540,Box Hill Central,506.84,89.59,3000,575.0
12,701-101-therry-st-melbourne-vic-3000-16069017,Barrabool Hills Plaza,672.63,87.63,3000,585.0
13,232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Balnarring Village Shopping Centre,414.83,61.64,3000,780.0
14,2503-7-katherine-place-melbourne-vic-3000-16096811,Bentons Square Shopping Centre,502.33,73.36,3000,415.0
15,320-68-la-trobe-street-melbourne-vic-3000-16098385,Birallee Village Shopping Centre,605.5,89.18,3000,430.0
16,1701-620-collins-street-melbourne-vic-3000-16114048,Bellpost Shopping Centre,84.15,22.72,3000,650.0
17,101-108-flinders-street-melbourne-vic-3000-16104629,Barrabool Hills Plaza,490.49,73.13,3000,650.0
18,501-243-franklin-street-melbourne-vic-3000-16098203,Bellpost Shopping Centre,706.98,86.53,3000,475.0
19,1202-620-collins-street-melbourne-vic-3000-16114058,Bellpost Shopping Centre,84.15,22.72,3000,500.0
20,312b-399-bourke-street-melbourne-vic-3000-16096996,Bentons Square Shopping Centre,460.96,47.41,3000,400.0
21,816-101-therry-st-melbourne-vic-3000-16068338,Barrabool Hills Plaza,672.63,87.63,3000,820.0
22,4010-639-lonsdale-street-melbourne-vic-3000-16091026,Barkly Square,219.29,28.48,3000,650.0
23,g06-501-little-collins-street-melbourne-vic-3000-16096996,Birallee Village Shopping Centre,558.93,99.31,3000,425.0
24,401-408-lonsdale-street-melbourne-vic-3000-16014585,Brand Smart Premium Outlet Centre,306.54,32.39,3000,410.0
25,7-562-little-bourke-street-melbourne-vic-3000-16094300,Bellpost Shopping Centre,295.86,70.44,3000,380.0
26,623-539-st-kilda-road-melbourne-vic-3000-16110078,Barkly Square,1288.65,125.11,3000,475.0
27,309-501-little-collins-street-melbourne-vic-3000-16107439,Birallee Village Shopping Centre,558.93,99.31,3000,400.0
