rent_address,mall,min_distance,min_duration
3-188-bay-road-sandringham-vic-3191-16112438,206 Bourke Street,2645.14,198.59
28-somerset-road-glen-iris-vic-3146-16108831,Altona Gate Shopping Centre,2991.13,291.31
6-5-winifred-essendon-vic-3040-16105691,206 Bourke Street,2119.68,288.68
2-12-chastleton-avenue-toorak-vic-3142-16111165,206 Bourke Street,1164.15,131.13
42-321-chapel-street-prahran-vic-3181-16094332,206 Bourke Street,167.49,17.06
2-7-ormond-road-ormond-vic-3204-16096904,206 Bourke Street,3241.16,313.11
1215-7-claremont-street-south-yarra-vic-3141-16108496,Balnarring Village Shopping Centre,1117.2,153.83
11-115-victoria-rd-hawthorn-east-vic-3123-16099268,206 Bourke Street,1141.31,130.78
2-6-charlotte-place-st-kilda-vic-3182-16104068,206 Bourke Street,2344.19,292.82
1-16-darling-street-south-yarra-vic-3141-16100628,Acland Court Shopping Centre,674.79,68.55
208-20-station-street-highett-vic-3190-16092254,206 Bourke Street,324.3,57.89
35-mahla-avenue-wollert-vic-3750-16092524,206 Bourke Street,1694.76,198.08
5-61-stanley-street-west-melbourne-vic-3003-16105408,Acland Court Shopping Centre,964.92,134.73
204-294-lygon-street-brunswick-east-vic-3057-15429522,206 Bourke Street,1908.22,187.65
16-rossmoyne-street-thornbury-vic-3071-16107643,Acland Court Shopping Centre,1820.39,192.91
4-peter-st-south-yarra-vic-3141-16111285,206 Bourke Street,1015.61,140.7
2-17-railway-parade-murrumbeena-vic-3163-16109008,206 Bourke Street,1676.81,203.82
1-2-cunningham-place-oakleigh-south-vic-3167-16094025,206 Bourke Street,5930.81,672.42
204-27-the-avenue-windsor-vic-3181-16103482,206 Bourke Street,1416.65,123.77
3-28a-carlisle-crescent-hughesdale-vic-3166-15840574,206 Bourke Street,1642.5,220.11
18-112-riversdale-road-hawthorn-vic-3122-16108055,206 Bourke Street,2328.36,209.51
511-37-39-park-street-south-melbourne-vic-3205-16111490,Bayside Shopping Centre,2630.35,301.48
5-4-little-buckingham-street-richmond-vic-3121-16099408,Barkly Square,1975.26,235.89
1202-31-spring-street-melbourne-vic-3000-16111139,Altona Gate Shopping Centre,457.01,95.24
4-49a-tennyson-street-elwood-vic-3184-16109927,206 Bourke Street,2105.31,236.65
3-17-moorhouse-street-richmond-vic-3121-13330833,Altona Gate Shopping Centre,1896.82,301.56
1-koetong-crescent-west-wodonga-vic-3690-16112153,206 Bourke Street,2658.31,265.42
3201-245-city-road-southbank-vic-3006-16094069,Altona Gate Shopping Centre,1218.67,148.49
3-aisbett-ave-camberwell-vic-3124-16109108,206 Bourke Street,3848.13,415.16
33-campbell-street-brighton-vic-3186-16104223,206 Bourke Street,4521.35,459.6
110-22-chatham-street-prahran-vic-3181-16104912,206 Bourke Street,344.82,31.15
43-eastbourne-street-prahran-vic-3181-16099313,206 Bourke Street,962.25,86.43
5-princes-place-port-melbourne-vic-3207-16095122,Altona Gate Shopping Centre,2776.68,422.07
2-1-mitchell-court-noble-park-vic-3174-16091711,206 Bourke Street,4042.28,435.58
106-35-victoria-parade-collingwood-vic-3066-16093671,Altona Gate Shopping Centre,1477.85,197.64
6-183-coppin-street-richmond-vic-3121-16105773,Barrabool Hills Plaza,1905.23,209.87
g01-43-crisp-street-hampton-vic-3188-16104598,206 Bourke Street,3576.84,362.41
5-9-rosstown-road-carnegie-vic-3163-16110849,206 Bourke Street,754.84,156.7
