rent_address,mall,min_distance,min_duration
17-6-adam-street-richmond-vic-3121-16100713,Balnarring Village Shopping Centre,2277.66,286.67
701-101-therry-st-melbourne-vic-3000-16069017,Barrabool Hills Plaza,672.63,87.63
510-77-river-street-south-yarra-vic-3141-16093296,Altona Gate Shopping Centre,175.1,20.57
1-107-grosvenor-street-balaclava-vic-3183-16096804,206 Bourke Street,2382.85,264.75
13-7-sutherland-road-armadale-vic-3143-16113177,Acland Court Shopping Centre,1065.56,139.58
2-27-leaburn-avenue-caulfield-north-vic-3161-16099564,Acland Court Shopping Centre,1931.04,239.85
11-macquarie-road-wodonga-vic-3690-16100280,206 Bourke Street,3804.44,435.1
2-mayrose-crescent-brighton-east-vic-3187-16103263,Altona Gate Shopping Centre,5827.06,530.46
4-18-loch-street-coburg-vic-3058-16092618,206 Bourke Street,3653.06,454.75
2-8-rupert-street-mitcham-vic-3132-16113687,206 Bourke Street,1745.22,165.7
1-24-charlton-cres-reservoir-vic-3073-16109817,206 Bourke Street,3445.01,347.7
1a-monica-street-burwood-vic-3125-16097697,206 Bourke Street,4516.58,482.99
48-clifton-avenue-clifton-hill-vic-3068-16092358,Altona Gate Shopping Centre,3074.56,450.21
2-28-millward-street-brunswick-west-vic-3055-16103927,206 Bourke Street,1276.36,126.73
2-109-grange-road-glen-huntly-vic-3163-16091489,206 Bourke Street,1763.26,155.48
5-256-williams-road-toorak-vic-3142-16098967,Altona Gate Shopping Centre,536.44,49.99
706-111-leicester-street-carlton-vic-3053-16108027,Balnarring Village Shopping Centre,1057.46,148.58
105-18-cadow-street-kew-east-vic-3102-16104932,206 Bourke Street,6157.81,605.56
232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Balnarring Village Shopping Centre,414.83,61.64
1-3-weebill-court-werribee-vic-3030-14233278,206 Bourke Street,1456.08,219.04
4-2-4-jessamine-avenue-prahran-vic-3181-16096629,Barrabool Hills Plaza,2186.43,263.32
320-68-la-trobe-street-melbourne-vic-3000-16098385,Birallee Village Shopping Centre,605.5,89.18
502-201-high-street-prahran-vic-3181-16108215,206 Bourke Street,726.31,60.66
2-64-park-street-south-yarra-vic-3141-16093045,Brand Smart Premium Outlet Centre,1499.64,177.95
1412-4-joseph-road-footscray-vic-3011-16106028,206 Bourke Street,996.57,154.35
2-10-alford-street-brighton-east-vic-3187-16094684,206 Bourke Street,5886.9,651.31
1202-620-collins-street-melbourne-vic-3000-16114058,Bellpost Shopping Centre,84.15,22.72
1107-6-joseph-road-footscray-vic-3011-16104041,206 Bourke Street,1017.84,156.9
209-97-palmerston-crescent-south-melbourne-vic-3205-16099232,Brandon Park Shopping Centre,2598.97,295.2
712-68-wests-road-maribyrnong-vic-3032-16093377,Altona Gate Shopping Centre,1025.47,151.49
726-warrigal-road-malvern-east-vic-3145-16092294,206 Bourke Street,835.64,155.52
6-22-french-avenue-northcote-vic-3070-16099680,Acland Court Shopping Centre,1335.03,153.13
1a-marriott-street-caulfield-vic-3162-16103818,Acland Court Shopping Centre,2210.57,223.86
8-bevan-street-ormond-vic-3204-16111581,206 Bourke Street,4869.33,455.23
309-501-little-collins-street-melbourne-vic-3000-16107439,Birallee Village Shopping Centre,558.93,99.31
4-74-darebin-st-heidelberg-vic-3084-16113528,206 Bourke Street,914.27,117.64
1008-2-claremont-street-south-yarra-vic-3141-14225672,Acland Court Shopping Centre,566.83,72.72
9-26-loch-street-st-kilda-west-vic-3182-16108504,206 Bourke Street,1805.77,200.42
203-59-63-warrigal-road-hughesdale-vic-3166-13009899,206 Bourke Street,406.82,79.76
177-urquhart-street-coburg-vic-3058-16099429,206 Bourke Street,2147.16,261.06
811v-162-albert-street-east-melbourne-vic-3002-16096094,Altona Gate Shopping Centre,1622.85,224.57
106-273-lygon-street-brunswick-east-vic-3057-16095784,206 Bourke Street,1777.82,172.58
101-108-flinders-street-melbourne-vic-3000-16104629,Barrabool Hills Plaza,490.49,73.13
20-illawarra-street-williamstown-vic-3016-16104991,206 Bourke Street,12224.57,1103.88
116-288-albert-street-brunswick-vic-3056-16113457,206 Bourke Street,1028.08,126.02
