rent_address,mall,min_distance,min_duration
148-bay-street-brighton-vic-3186-16111243,206 Bourke Street,5341.99,525.0
2-103-waverley-road-chadstone-vic-3148-16098229,206 Bourke Street,1190.68,118.53
2512-70-southbank-boulevard-southbank-vic-3006-16097066,Bellpost Shopping Centre,1659.69,233.44
316b-south-road-hampton-east-vic-3188-16101248,206 Bourke Street,2281.17,330.76
1-43-barkly-street-carlton-vic-3053-16114029,Braybrook Shopping Centre,1361.92,193.35
6-75-westbury-street-st-kilda-east-vic-3183-16104087,206 Bourke Street,2002.57,194.15
106-471-malvern-road-south-yarra-vic-3141-16099095,206 Bourke Street,755.78,45.83
1-kadir-street-bentleigh-east-vic-3165-16110561,Altona Gate Shopping Centre,2173.18,276.61
3-1-coane-street-oakleigh-east-vic-3166-16110864,206 Bourke Street,3891.27,349.21
10-5-wilson-street-murrumbeena-vic-3163-16104133,206 Bourke Street,1971.56,362.71
10-1231-malvern-road-malvern-vic-3144-16097026,Balnarring Village Shopping Centre,1910.1,182.84
1-125-henty-street-reservoir-vic-3073-16113414,206 Bourke Street,2139.33,285.38
2-grace-court-kew-vic-3101-16095943,Altona Gate Shopping Centre,4038.32,465.56
118-normanby-avenue-thornbury-vic-3071-16109205,Altona Gate Shopping Centre,2455.66,243.66
2-31-howitt-street-south-yarra-vic-3141-16109026,Balnarring Village Shopping Centre,1049.43,114.92
62a-union-street-windsor-vic-3181-16096060,206 Bourke Street,1488.29,164.38
2-55-avoca-street-south-yarra-vic-3141-16103349,206 Bourke Street,969.44,122.97
207-6-mater-street-collingwood-vic-3066-16091253,Balnarring Village Shopping Centre,3008.8,388.74
503-147-beach-street-port-melbourne-vic-3207-16113115,206 Bourke Street,3709.35,529.58
3-1a-wimba-avenue-kew-vic-3101-16100819,206 Bourke Street,3981.88,388.97
6-44-type-street-richmond-vic-3121-16099000,206 Bourke Street,1964.4,251.02
p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Altona Gate Shopping Centre,1739.05,225.52
311-39-park-street-south-melbourne-vic-3205-16109887,Bayside Shopping Centre,2608.15,299.7
3-20-24-dublin-road-ringwood-east-vic-3135-16112504,206 Bourke Street,2217.17,229.22
3-291-rathmines-street-thornbury-vic-3071-16091151,Acland Court Shopping Centre,2122.24,234.82
4-odessa-street-st-kilda-vic-3182-16094649,206 Bourke Street,1637.57,200.21
205-6-8-wellington-road-box-hill-vic-3128-16110292,206 Bourke Street,1180.96,175.92
6-berrima-street-oakleigh-east-vic-3166-15137796,206 Bourke Street,2949.55,337.75
1-62-simpson-st-east-melbourne-vic-3002-16099921,Altona Gate Shopping Centre,1886.0,272.71
906-14-queens-road-melbourne-vic-3004-16104224,Bentons Square Shopping Centre,2174.67,220.62
8-victoria-road-northcote-vic-3070-16093432,206 Bourke Street,2359.31,238.29
703-500-flinders-street-melbourne-vic-3000-16102690,Berwick Marketplace,578.68,106.04
310-380-bay-street-brighton-vic-3186-16097678,Barkly Square,5682.32,738.1
1-40-glenbrook-avenue-clayton-vic-3168-16110445,206 Bourke Street,3727.08,364.74
2-23-amaroo-street-chadstone-vic-3148-15802799,206 Bourke Street,1489.66,201.0
16-197-auburn-road-hawthorn-vic-3122-16109889,206 Bourke Street,1796.97,175.85
10-15-inkerman-street-st-kilda-vic-3182-16111511,206 Bourke Street,612.0,67.86
3-34-durham-road-surrey-hills-vic-3127-16103162,Acland Court Shopping Centre,3330.97,348.54
5-90-toorak-road-west-south-yarra-vic-3141-16096683,Brandon Park Shopping Centre,1393.8,145.91
9-4-normanby-street-windsor-vic-3181-16103941,206 Bourke Street,1385.37,132.68
49-northcote-road-armadale-vic-3143-16097996,Acland Court Shopping Centre,1924.12,218.14
12-valiant-street-abbotsford-vic-3067-16098146,Balnarring Village Shopping Centre,3061.39,354.29
103-38-nicholson-street-fitzroy-north-vic-3068-16097154,206 Bourke Street,2271.11,232.97
9-pine-camberwell-vic-3124-16112483,Altona Gate Shopping Centre,1500.21,135.9
21-361-royal-parade-parkville-vic-3052-16104740,206 Bourke Street,1249.29,148.64
27-pepperell-lane-malvern-east-vic-3145-16109184,206 Bourke Street,984.63,111.95
312b-399-bourke-street-melbourne-vic-3000-16096996,Bentons Square Shopping Centre,460.96,47.41
