rent_address,mall,min_distance,min_duration
7-562-little-bourke-street-melbourne-vic-3000-16094300,Bellpost Shopping Centre,295.86,70.44
g04-652-high-street-prahran-vic-3181-16111416,Barrabool Hills Plaza,1731.94,168.47
2-309-hawthorn-road-caulfield-north-vic-3161-16110754,Acland Court Shopping Centre,2832.34,259.64
717-101-tram-road-doncaster-vic-3108-16103524,206 Bourke Street,812.52,115.35
2-70-power-street-hawthorn-vic-3122-16075968,Altona Gate Shopping Centre,2125.15,245.94
2-12-sylvester-street-oak-park-vic-3046-16105234,206 Bourke Street,5917.81,796.84
207-79-merton-street-altona-meadows-vic-3028-16107073,206 Bourke Street,183.52,31.08
6-11-kooyong-road-caulfield-north-vic-3161-16035335,206 Bourke Street,1054.95,130.28
201-6-station-st-caulfield-north-vic-3161-16108638,206 Bourke Street,861.67,130.24
5-111-ruskin-street-elwood-vic-3184-16104155,206 Bourke Street,1571.65,184.13
4-19-chapman-street-north-melbourne-vic-3051-16112887,Birallee Village Shopping Centre,2267.56,247.82
1-969-riversdale-road-surrey-hills-vic-3127-16099850,206 Bourke Street,4494.84,431.53
6-45-coorigil-road-carnegie-vic-3163-16091052,206 Bourke Street,1561.6,155.03
8-27-oxford-street-box-hill-vic-3128-16098733,206 Bourke Street,941.55,113.71
601-8-exploration-lane-melbourne-vic-3000-16081723,Birallee Village Shopping Centre,392.09,68.47
494-abbotsford-street-north-melbourne-vic-3051-16093609,Birallee Village Shopping Centre,2334.6,221.03
33-carramar-street-chadstone-vic-3148-16096061,206 Bourke Street,1661.02,205.56
6-1403-dandenong-road-malvern-east-vic-3145-16094655,206 Bourke Street,1214.12,166.01
4-24-lascelles-avenue-toorak-vic-3142-16111381,206 Bourke Street,663.78,78.18
13-343-beaconsfield-parade-st-kilda-west-vic-3182-16108716,206 Bourke Street,1798.67,240.76
35-233-canterbury-road-st-kilda-west-vic-3182-16109040,206 Bourke Street,1343.48,152.99
17-wandoo-avenue-clarinda-vic-3169-16108397,206 Bourke Street,4884.05,473.67
6-25-dickens-street-elwood-vic-3184-16099687,206 Bourke Street,774.9,163.79
107-15-bond-street-caulfield-vic-3162-15367271,206 Bourke Street,800.96,134.37
10-216-station-street-edithvale-vic-3196-14486078,206 Bourke Street,3960.59,414.88
7-54-tennyson-street-elwood-vic-3184-16106407,206 Bourke Street,1725.1,223.86
814-4-acacia-place-abbotsford-vic-3067-16097710,206 Bourke Street,401.99,77.48
610-2-6-railway-road-cheltenham-vic-3192-16092472,206 Bourke Street,1555.12,275.44
1908-6-joseph-road-footscray-vic-3011-15399494,206 Bourke Street,1017.84,156.9
311-7-nepean-highway-elsternwick-vic-3185-16099376,206 Bourke Street,2997.45,333.02
27-rocco-avenue-donnybrook-vic-3064-16098102,206 Bourke Street,9690.03,762.44
15-4-wills-street-glen-iris-vic-3146-16098084,206 Bourke Street,2050.92,241.45
2-119-victoria-road-hawthorn-east-vic-3123-16091571,206 Bourke Street,1103.72,132.38
5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,206 Bourke Street,1741.66,181.75
13-2a-robe-street-st-kilda-vic-3182-16113609,206 Bourke Street,807.29,104.84
808-250-city-road-southbank-vic-3006-16103830,Balnarring Village Shopping Centre,1121.44,152.52
7a-fraser-street-bentleigh-east-vic-3165-16104506,Acland Court Shopping Centre,4661.6,524.83
4008-45-clarke-street-southbank-vic-3006-16098289,Altona Gate Shopping Centre,1249.49,155.72
8-yuille-street-brighton-vic-3186-16105002,Acland Court Shopping Centre,5800.61,544.28
1-339-brunswick-road-brunswick-vic-3056-16096511,206 Bourke Street,765.14,78.58
18-park-grove-richmond-vic-3121-16105798,Balnarring Village Shopping Centre,2747.79,377.42
203-5-7-wilson-street-south-yarra-vic-3141-15197334,Altona Gate Shopping Centre,404.82,64.66
207-8-burrowes-street-ascot-vale-vic-3032-16105755,Barrabool Hills Plaza,2317.46,251.5
2604-89-gladstone-street-south-melbourne-vic-3205-16097179,206 Bourke Street,929.7,192.58
5-19-palmer-street-richmond-vic-3121-16098868,206 Bourke Street,1821.15,242.44
1-142-booran-road-caulfield-south-vic-3162-16107934,Acland Court Shopping Centre,2348.89,246.28
