rent_address,mall,min_distance,min_duration
12-rosamond-street-balaclava-vic-3183-16113271,206 Bourke Street,1261.46,152.82
g06-3-claire-street-mckinnon-vic-3204-15344621,206 Bourke Street,4439.33,401.92
3104-45-clarke-street-southbank-vic-3006-14397368,Altona Gate Shopping Centre,1249.49,155.72
6-cherry-cl-melton-west-vic-3337-16098222,206 Bourke Street,4126.37,448.98
g05-237-napier-street-fitzroy-vic-3065-16099451,Balnarring Village Shopping Centre,1925.19,304.65
201-136-murray-street-caulfield-vic-3162-10136316,Acland Court Shopping Centre,3213.17,287.84
202-53-browns-road-bentleigh-east-vic-3165-16097230,Acland Court Shopping Centre,4593.13,476.69
4-mandeville-crescent-toorak-vic-3142-16099272,206 Bourke Street,1564.76,155.3
2-55-wanda-rd-caulfield-north-vic-3161-16093913,206 Bourke Street,1429.71,177.57
station-street-caulfield-north-vic-3161-16094221,206 Bourke Street,697.73,117.13
2-parkview-avenue-brunswick-east-vic-3057-16108388,Acland Court Shopping Centre,2480.43,325.26
31-rubens-grove-canterbury-vic-3126-16112358,206 Bourke Street,2038.61,255.82
201a-8-grosvenor-street-abbotsford-vic-3067-16093576,206 Bourke Street,967.8,133.75
202-555-burke-road-camberwell-vic-3124-16109562,206 Bourke Street,1080.7,101.13
159-richardson-street-carlton-north-vic-3054-16096889,206 Bourke Street,1694.99,199.56
g02-236-jasper-road-mckinnon-vic-3204-16111151,Acland Court Shopping Centre,4040.62,427.59
10-113-eskdale-road-caulfield-north-vic-3161-16112117,206 Bourke Street,1080.37,163.58
5-48-spray-street-elwood-vic-3184-16092133,206 Bourke Street,2456.25,280.44
1011-77-queens-road-melbourne-vic-3004-16109866,Altona Gate Shopping Centre,2157.2,230.62
7-55-pleasant-street-pascoe-vale-vic-3044-15507181,206 Bourke Street,5751.52,626.47
504-415-glen-huntly-road-elsternwick-vic-3185-16107407,206 Bourke Street,3452.76,353.87
23-bolinda-road-balwyn-north-vic-3104-16098242,206 Bourke Street,5424.21,517.54
71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Barkly Square,3607.92,388.56
3-24-26-burns-street-elwood-vic-3184-16092084,206 Bourke Street,2555.35,252.39
23-102-jolimont-road-east-melbourne-vic-3002-16110025,206 Bourke Street,1053.76,180.49
2-11-barrina-street-blackburn-south-vic-3130-16107646,Altona Gate Shopping Centre,3393.61,456.48
6-1204-glen-huntly-road-glen-huntly-vic-3163-16110831,206 Bourke Street,1899.48,172.45
8-1b-kinkora-road-hawthorn-vic-3122-16104258,Balnarring Village Shopping Centre,1986.2,240.16
3-198-bluff-road-sandringham-vic-3191-16100496,206 Bourke Street,3367.01,253.85
40-kokoda-place-mordialloc-vic-3195-16096229,206 Bourke Street,723.47,124.28
17a-clendon-road-toorak-vic-3142-16105569,206 Bourke Street,1545.39,144.59
1001b-2-wests-road-maribyrnong-vic-3032-16110067,206 Bourke Street,1012.39,110.88
102-190-alma-rd-st-kilda-east-vic-3183-16098637,Acland Court Shopping Centre,2239.46,217.1
1205-77-river-street-south-yarra-vic-3141-14520896,Altona Gate Shopping Centre,175.1,20.57
24-kleine-street-noble-park-vic-3174-16102906,206 Bourke Street,3587.0,333.07
14-65-george-street-fitzroy-vic-3065-16109661,206 Bourke Street,1466.83,209.05
3-20-tintern-avenue-toorak-vic-3142-16096159,Acland Court Shopping Centre,362.41,59.81
1-210-tucker-road-bentleigh-vic-3204-16103255,206 Bourke Street,4746.94,482.69
209-8-montrose-street-hawthorn-east-vic-3123-16109618,206 Bourke Street,1432.34,158.93
14-116-albert-street-brunswick-vic-3056-16099340,206 Bourke Street,1876.21,183.57
11-8-tattenham-street-caulfield-vic-3162-16110783,206 Bourke Street,1295.5,152.6
17-fourth-street-black-rock-vic-3193-16108263,Altona Gate Shopping Centre,5524.14,570.82
7-burnie-street-toorak-vic-3142-16105562,206 Bourke Street,1247.15,219.23
3-483-st-kilda-street-elwood-vic-3184-16094510,206 Bourke Street,3049.41,305.1
2-123-cheddar-road-reservoir-vic-3073-16106073,Barkly Square,4992.26,452.32
69-chapel-street-st-kilda-vic-3182-16107526,206 Bourke Street,1530.43,158.68
2-31-33-caroline-street-hawthorn-east-vic-3123-16109612,206 Bourke Street,1583.68,183.94
22b-park-ave-glen-huntly-vic-3163-16094731,206 Bourke Street,2598.5,225.8
40-wellington-street-richmond-vic-3121-16094652,Bulleen Plaza,1762.82,200.57
1-bethwyn-street-bentleigh-east-vic-3165-16103205,206 Bourke Street,3734.46,339.33
5-56-58-burwood-road-hawthorn-vic-3122-16096828,Barkly Square,2675.74,318.24
26-clarence-street-elsternwick-vic-3185-12646931,206 Bourke Street,4429.17,457.73
13-47-brighton-road-elwood-vic-3184-16099504,206 Bourke Street,1012.57,116.21
1-80-mitchell-street-brunswick-vic-3056-16104131,206 Bourke Street,2675.87,283.82
3-31-wanda-road-caulfield-north-vic-3161-15230423,206 Bourke Street,1661.11,203.05
205-6-dart-street-highett-vic-3190-16096414,206 Bourke Street,361.69,45.58
402-77-abinger-street-richmond-vic-3121-16110511,206 Bourke Street,2261.12,261.16
10-8-eddy-strret-moonee-ponds-vic-3039-16096123,206 Bourke Street,441.43,71.59
425-greenhalghs-road-delacombe-vic-3356-16104213,Acland Court Shopping Centre,7246.96,696.05
3-92-brougham-street-kew-vic-3101-16092388,Acland Court Shopping Centre,2837.85,348.59
7-2-heather-street-south-melbourne-vic-3205-16094728,Brandon Park Shopping Centre,2315.65,252.53
3505-14-16-the-esplanadr-st-kilda-vic-3182-16106828,206 Bourke Street,951.21,115.84
3-60-serrell-st-malvern-east-vic-3145-16107329,206 Bourke Street,1401.16,192.56
10-sutton-street-carlton-north-vic-3054-16097594,Acland Court Shopping Centre,2358.22,280.1
2-16-vale-st-st-kilda-vic-3182-16108973,206 Bourke Street,1367.75,153.31
16-spring-street-prahran-vic-3181-16109263,Acland Court Shopping Centre,1340.42,151.64
283-mitta-north-road-eskdale-vic-3701-16100349,null,null,null
4-16-wills-street-glen-iris-vic-3146-16111457,206 Bourke Street,1955.51,224.28
202-2-separation-street-northcote-vic-3070-16099480,206 Bourke Street,285.34,47.12
2-14-rowell-avenue-camberwell-vic-3124-16097609,206 Bourke Street,1479.1,201.53
4-1458-high-street-glen-iris-vic-3146-16103489,Barkly Square,1917.13,215.43
12-8-10-lincoln-road-essendon-vic-3040-16091133,Barkly Square,2302.34,254.76
313-1-brunswick-road-brunswick-east-vic-3057-16099118,206 Bourke Street,1568.25,193.74
100-settlement-road-belmont-vic-3216-16094466,206 Bourke Street,2040.73,247.13
301-2a-nelson-street-balaclava-vic-3183-16104630,206 Bourke Street,1587.98,213.79
118-864-blackburn-road-clayton-vic-3168-16103508,206 Bourke Street,1638.67,241.12
16-silvan-street-oakleigh-south-vic-3167-15400067,Barkly Square,5065.18,557.82
1-255-derby-street-pascoe-vale-vic-3044-15378014,206 Bourke Street,5021.0,465.7
803-222-bay-road-sandringham-vic-3191-16103691,206 Bourke Street,2171.96,220.96
