rent_address,mall,min_distance,min_duration
12-24-dunoon-street-murrumbeena-vic-3163-16110351,206 Bourke Street,1994.61,185.04
385-burke-road-glen-iris-vic-3146-16096642,206 Bourke Street,1177.01,109.82
907-37-39-park-street-south-melbourne-vic-3205-15842582,Bayside Shopping Centre,2608.15,299.7
406-75-palmerston-crescent-south-melbourne-vic-3205-16093654,Brimbank Central Shopping Centre,2589.93,333.14
34-abinger-street-richmond-vic-3121-16096038,206 Bourke Street,2384.81,285.91
121-5-beavers-road-northcote-vic-3070-16088994,206 Bourke Street,679.78,97.14
5-1011-glen-huntly-road-caulfield-vic-3162-16111675,Acland Court Shopping Centre,2350.63,241.88
51-spearmint-boulevard-manor-lakes-vic-3024-13582212,206 Bourke Street,3186.81,307.5
8-9-celeste-court-st-kilda-east-vic-3183-16109885,Acland Court Shopping Centre,2109.04,220.75
104-71-abinger-street-richmond-vic-3121-16096988,206 Bourke Street,2246.71,257.7
2503-7-katherine-place-melbourne-vic-3000-16096811,Bentons Square Shopping Centre,502.33,73.36
16-2-armadale-street-armadale-vic-3143-16092266,206 Bourke Street,863.18,108.54
1-3-7-sebastopol-street-st-kilda-vic-3182-16104975,206 Bourke Street,2095.2,208.72
1701-620-collins-street-melbourne-vic-3000-16114048,Bellpost Shopping Centre,84.15,22.72
407-386-spencer-street-west-melbourne-vic-3003-16106534,Acland Court Shopping Centre,578.21,74.82
2-41-albenca-street-mentone-vic-3194-15355277,206 Bourke Street,854.91,175.26
7-1344-dandenong-road-hughesdale-vic-3166-16112445,206 Bourke Street,1084.25,213.46
9a-spencer-street-northcote-vic-3070-16103679,206 Bourke Street,1139.19,191.5
2-horne-street-brunswick-vic-3056-16107121,206 Bourke Street,1373.98,147.26
257-koornang-road-carnegie-vic-3163-16108611,206 Bourke Street,1344.2,123.64
815-91-galada-avenue-parkville-vic-3052-16108978,206 Bourke Street,2458.75,252.94
g02-178-union-rd-surrey-hills-vic-3127-16103762,206 Bourke Street,3146.81,303.73
33a-marcus-road-dingley-village-vic-3172-16097552,206 Bourke Street,246.91,20.16
306-63-lygon-street-brunswick-east-vic-3057-16104850,206 Bourke Street,779.01,111.26
60-spring-street-east-port-melbourne-vic-3207-16113151,Barkly Square,1992.8,286.72
22-399-toorak-rd-south-yarra-vic-3141-16103168,Altona Gate Shopping Centre,471.38,49.31
507-23-queens-road-melbourne-vic-3004-16098966,Bentons Square Shopping Centre,2314.97,230.58
20a-park-street-pascoe-vale-vic-3044-16100660,206 Bourke Street,4500.27,545.63
ug05c-55-camberwell-road-hawthorn-east-vic-3123-16065863,206 Bourke Street,892.26,104.62
1-151-glen-huntly-rd-elwood-vic-3184-16095357,206 Bourke Street,2705.9,266.43
214-15-31-batman-street-west-melbourne-vic-3003-14585741,Acland Court Shopping Centre,771.89,101.04
4-15-munro-st-kew-east-vic-3102-16103832,Acland Court Shopping Centre,4864.09,475.49
27-clynden-avenue-malvern-east-vic-3145-16105966,206 Bourke Street,1987.05,209.71
3-21-brickwood-st-brighton-vic-3186-16109290,206 Bourke Street,4192.36,486.42
106-8-wells-st-southbank-vic-3006-16110505,206 Bourke Street,1512.57,219.22
29-400-little-collins-street-melbourne-vic-3000-16022489,Bentons Square Shopping Centre,466.25,50.18
16-2a-brougham-street-richmond-vic-3121-16094696,Bayside Shopping Centre,1878.96,223.86
05-07-lambeth-place-st-kilda-vic-3182-16111844,206 Bourke Street,1540.93,185.55
23-palm-street-fairfield-vic-3078-16099457,206 Bourke Street,2147.34,213.48
7-15-hotham-st-st-kilda-east-vic-3183-16104219,Altona Gate Shopping Centre,2277.93,221.97
2-424-toorak-road-toorak-vic-3142-16103422,206 Bourke Street,17.8,1.83
207-2-willis-lane-hampton-east-vic-3188-16093050,Acland Court Shopping Centre,5369.28,540.12
714-11-urquhart-street-coburg-vic-3058-16097143,206 Bourke Street,2948.5,332.66
409-41-dryburgh-street-west-melbourne-vic-3003-16113705,Acland Court Shopping Centre,1707.73,263.17
9-39-eildon-rd-st-kilda-vic-3182-14637707,206 Bourke Street,1021.97,117.3
229b-1-19-colombo-street-mitcham-vic-3132-16106908,206 Bourke Street,452.49,67.14
260-adderley-street-west-melbourne-vic-3003-16103206,Acland Court Shopping Centre,1385.88,191.52
210-445-royal-parade-parkville-vic-3052-16105650,206 Bourke Street,952.04,135.64
1-flinders-street-coburg-vic-3058-15138487,Altona Gate Shopping Centre,3941.59,402.54
3-fortelny-way-moonee-ponds-vic-3039-16103083,Balnarring Village Shopping Centre,1318.13,167.11
1-2-mill-road-oakleigh-vic-3166-15374846,206 Bourke Street,989.68,181.2
2-1-alexandra-avenue-south-yarra-vic-3141-16106940,Burnside Hub,1638.9,207.43
5-16-blessington-court-st-kilda-vic-3182-16091470,206 Bourke Street,832.87,135.81
4-82-buckingham-street-richmond-vic-3121-16109770,206 Bourke Street,1540.51,226.69
28-lyons-street-carnegie-vic-3163-16096310,206 Bourke Street,1914.47,193.98
685-orrong-rd-toorak-vic-3142-16111493,206 Bourke Street,676.42,73.71
3-119-mcdonald-st-mordialloc-vic-3195-16111302,Acland Court Shopping Centre,1682.37,234.29
21-palermo-street-south-yarra-vic-3141-16099286,Altona Gate Shopping Centre,269.65,51.41
2-53-evans-street-brunswick-vic-3056-16092503,206 Bourke Street,1489.99,165.65
2-7-jika-place-richmond-vic-3121-16096685,Altona Gate Shopping Centre,2181.74,333.56
1-08-91-dow-street-port-melbourne-vic-3207-16108681,Balnarring Village Shopping Centre,2759.6,396.43
15-99-109-creswick-street-footscray-vic-3011-16105427,206 Bourke Street,870.03,135.99
207g-31-napoleon-street-collingwood-vic-3066-16108865,Balnarring Village Shopping Centre,2759.3,332.22
1-huntley-street-brighton-vic-3186-16110309,206 Bourke Street,3008.62,340.62
144-high-st-glen-iris-vic-3146-16092883,Altona Gate Shopping Centre,3210.36,345.93
43-bevan-street-albert-park-vic-3206-16109623,Barrabool Hills Plaza,2488.2,349.12
4-26-davis-avenue-south-yarra-vic-3141-16111137,Acland Court Shopping Centre,786.65,114.7
3-15-leman-crescent-noble-park-vic-3174-16104774,206 Bourke Street,4064.8,412.77
62-hawksburn-road-south-yarra-vic-3141-16109344,Balnarring Village Shopping Centre,668.85,86.31
1-26-patty-street-mentone-vic-3194-16106737,Altona Gate Shopping Centre,2487.74,370.31
3-60-patrick-street-oakleigh-east-vic-3166-16099764,Acland Court Shopping Centre,3912.97,383.86
2-1845-dandenong-road-oakleigh-east-vic-3166-16092807,206 Bourke Street,3558.93,338.22
2-22-ellesmere-road-prahran-vic-3181-16112401,Altona Gate Shopping Centre,1994.83,178.54
104-71-89-hobsons-road-kensington-vic-3031-16111222,206 Bourke Street,2341.37,311.93
111-436-442-huntingdale-road-mount-waverley-vic-3149-16105315,Acland Court Shopping Centre,2037.77,190.66
9-39-studley-park-rd-kew-vic-3101-16110655,206 Bourke Street,2067.08,219.55
10-949-high-street-reservoir-vic-3073-15297144,Altona Gate Shopping Centre,3916.85,390.03
201-26-30-waltham-street-sandringham-vic-3191-16102732,206 Bourke Street,3893.34,326.11
109-380-queensberry-street-north-melbourne-vic-3051-14961044,Altona Gate Shopping Centre,619.28,80.21
49-spring-road-highett-vic-3190-16111073,Acland Court Shopping Centre,1281.61,194.41
608-627-victoria-street-abbotsford-vic-3067-16112055,206 Bourke Street,874.61,137.82
17-352-victoria-street-north-melbourne-vic-3051-16112376,Bayside Shopping Centre,389.92,44.45
78-allison-road-elsternwick-vic-3185-16092486,Acland Court Shopping Centre,3367.66,339.69
9a-9b-ludwell-crescent-bentleigh-east-vic-3165-16092784,206 Bourke Street,4186.7,480.76
75-neptune-street-richmond-vic-3121-16110194,206 Bourke Street,2115.54,271.24
4-17-colac-gr-belmont-vic-3216-15755710,Acland Court Shopping Centre,2866.27,266.27
3-54-hill-street-bentleigh-east-vic-3165-16091798,Acland Court Shopping Centre,4498.19,492.55
3511-151-city-road-southbank-vic-3006-16094411,Bellarine Village Shopping Centre,1410.35,194.04
3-4-spencer-road-camberwell-vic-3124-16091161,206 Bourke Street,1451.18,161.24
4-8-10-lincoln-road-essendon-vic-3040-16098657,Barkly Square,2302.34,254.76
g03-1271-1273-high-street-malvern-vic-3144-16109656,206 Bourke Street,2029.99,203.38
307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Acland Court Shopping Centre,2731.73,368.57
202-39-studley-park-rd-kew-vic-3101-16110655,206 Bourke Street,2067.08,219.55
3-1-frederick-street-caulfield-south-vic-3162-16106461,Acland Court Shopping Centre,3883.04,388.16
12-kennealy-st-surrey-hills-vic-3127-16112779,Acland Court Shopping Centre,3400.61,371.07
238a-were-street-brighton-east-vic-3187-16110215,Acland Court Shopping Centre,4633.66,480.27
4-22-crimea-street-st-kilda-vic-3182-15808911,206 Bourke Street,1669.37,212.44
5-48-farnham-street-flemington-vic-3031-16103716,Altona Gate Shopping Centre,2457.24,286.96
913-1-ascot-vale-road-flemington-vic-3031-14811213,Balnarring Village Shopping Centre,2582.43,283.68
1-45-neville-st-bentleigh-east-vic-3165-16095004,Acland Court Shopping Centre,4169.15,506.84
30-233-235-canterbury-road-st-kilda-west-vic-3182-16108250,206 Bourke Street,1343.48,152.99
1605-6-joseph-road-footscray-vic-3011-16109994,206 Bourke Street,1017.84,156.9
2-9-oak-grove-ripponlea-vic-3185-16100046,206 Bourke Street,2233.11,270.66
29-8-wellington-crescent-east-melbourne-vic-3002-16096702,Acland Court Shopping Centre,975.97,133.43
6-18-bute-st-murrumbeena-vic-3163-16112065,206 Bourke Street,2262.39,251.81
2b-waterloo-crescent-st-kilda-vic-3182-16103682,206 Bourke Street,897.98,100.27
10-21-university-street-carlton-vic-3053-10308643,Brimbank Central Shopping Centre,1452.42,198.0
108-67-77-hawthorn-road-caulfield-north-vic-3161-16113540,Acland Court Shopping Centre,1780.47,190.8
2-1-manatunga-street-clayton-vic-3168-16099845,Acland Court Shopping Centre,3471.33,422.94
67-clarke-street-northcote-vic-3070-16092703,Acland Court Shopping Centre,2192.82,248.81
804-1-olive-york-way-brunswick-west-vic-3055-15357145,Acland Court Shopping Centre,2412.23,268.35
10-arnold-place-wodonga-vic-3690-16109206,206 Bourke Street,1402.77,172.05
8-18-mercer-road-armadale-vic-3143-16098674,206 Bourke Street,2053.68,244.63
2-9-virginia-street-springvale-vic-3171-16103573,206 Bourke Street,3663.1,502.46
43-bent-st-caulfield-south-vic-3162-16093981,Acland Court Shopping Centre,2943.48,308.35
107-7-9-cowra-street-brighton-vic-3186-16103475,Barkly Square,5606.65,748.28
7-connell-street-hawthorn-vic-3122-16112571,Barrabool Hills Plaza,2010.69,253.97
21-872-874-doncaster-road-doncaster-east-vic-3109-16093627,Altona Gate Shopping Centre,2468.79,233.05
24-43-caroline-street-south-yarra-vic-3141-16105251,Acland Court Shopping Centre,893.4,103.85
16-42-waterloo-crescent-st-kilda-vic-3182-16112116,206 Bourke Street,887.95,105.12
