rent_address,stop_name,min_distance,min_duration
232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Southern Cross Railway Station (Melbourne City),1813.77,210.22
1-3-weebill-court-werribee-vic-3030-14233278,Tarneit Railway Station (Tarneit),6831.7,643.09
4-2-4-jessamine-avenue-prahran-vic-3181-16096629,Southern Cross Railway Station (Melbourne City),9663.81,973.14
320-68-la-trobe-street-melbourne-vic-3000-16098385,Southern Cross Railway Station (Melbourne City),3566.98,415.27
502-201-high-street-prahran-vic-3181-16108215,Southern Cross Railway Station (Melbourne City),7009.42,810.72
2-64-park-street-south-yarra-vic-3141-16093045,Southern Cross Railway Station (Melbourne City),4880.08,602.42
1412-4-joseph-road-footscray-vic-3011-16106028,Southern Cross Railway Station (Melbourne City),4964.59,522.73
2-10-alford-street-brighton-east-vic-3187-16094684,Southern Cross Railway Station (Melbourne City),15107.81,1361.63
1202-620-collins-street-melbourne-vic-3000-16114058,Southern Cross Railway Station (Melbourne City),1112.44,119.68
1605-6-joseph-road-footscray-vic-3011-16109994,Southern Cross Railway Station (Melbourne City),5010.27,528.22
209-97-palmerston-crescent-south-melbourne-vic-3205-16099232,Southern Cross Railway Station (Melbourne City),3204.29,379.88
712-68-wests-road-maribyrnong-vic-3032-16093377,Ardeer Railway Station (Ardeer),9176.3,950.87
726-warrigal-road-malvern-east-vic-3145-16092294,Southern Cross Railway Station (Melbourne City),17877.56,1256.48
6-22-french-avenue-northcote-vic-3070-16099680,Southern Cross Railway Station (Melbourne City),10699.2,1064.41
1a-marriott-street-caulfield-vic-3162-16103818,Southern Cross Railway Station (Melbourne City),12446.72,1087.44
8-bevan-street-ormond-vic-3204-16111581,Southern Cross Railway Station (Melbourne City),15108.14,1301.88
309-501-little-collins-street-melbourne-vic-3000-16107439,Southern Cross Railway Station (Melbourne City),1587.22,196.28
4-74-darebin-st-heidelberg-vic-3084-16113528,Southern Cross Railway Station (Melbourne City),17318.8,1520.52
1008-2-claremont-street-south-yarra-vic-3141-14225672,Southern Cross Railway Station (Melbourne City),5769.13,704.58
9-26-loch-street-st-kilda-west-vic-3182-16108504,Southern Cross Railway Station (Melbourne City),5716.07,542.04
203-59-63-warrigal-road-hughesdale-vic-3166-13009899,Southern Cross Railway Station (Melbourne City),19414.33,1444.66
177-urquhart-street-coburg-vic-3058-16099429,Southern Cross Railway Station (Melbourne City),10704.99,1120.22
811v-162-albert-street-east-melbourne-vic-3002-16096094,Southern Cross Railway Station (Melbourne City),4378.25,546.75
106-273-lygon-street-brunswick-east-vic-3057-16095784,Southern Cross Railway Station (Melbourne City),7148.33,758.66
101-108-flinders-street-melbourne-vic-3000-16104629,Southern Cross Railway Station (Melbourne City),2988.95,359.95
20-illawarra-street-williamstown-vic-3016-16104991,Southern Cross Railway Station (Melbourne City),13176.62,1205.44
116-288-albert-street-brunswick-vic-3056-16113457,Southern Cross Railway Station (Melbourne City),6608.28,737.86
1005-285-city-road-southbank-vic-3006-16111246,Southern Cross Railway Station (Melbourne City),1708.72,214.85
11-406-cardigan-street-carlton-vic-3053-16107251,Southern Cross Railway Station (Melbourne City),4663.84,518.91
20-greenside-cres-keysborough-vic-3173-16110634,Southern Cross Railway Station (Melbourne City),42064.54,2373.83
4-22-magnolia-road-gardenvale-vic-3185-16109985,Southern Cross Railway Station (Melbourne City),13567.06,1178.39
2-40-glenbrook-avenue-clayton-vic-3168-16110582,Southern Cross Railway Station (Melbourne City),23572.24,1594.41
6-59-61-ormond-esplanade-elwood-vic-3184-16110347,Southern Cross Railway Station (Melbourne City),9455.11,934.9
12-283-royal-parade-parkville-vic-3052-16096882,Southern Cross Railway Station (Melbourne City),4690.63,548.28
301-1150-toorak-road-camberwell-vic-3124-16100175,Southern Cross Railway Station (Melbourne City),14279.99,1240.72
44-bushlark-drive-carrum-downs-vic-3201-16097673,Southern Cross Railway Station (Melbourne City),52074.04,2684.26
20-2-greenfield-drive-clayton-vic-3168-15740628,Southern Cross Railway Station (Melbourne City),24987.57,1847.25
unit-101m-201-powlett-street-east-melbourne-vic-3002-16109142,Southern Cross Railway Station (Melbourne City),4339.75,518.73
106-stratus-street-tarneit-vic-3029-16100986,Tarneit Railway Station (Tarneit),7231.44,671.3
568-camberwell-road-camberwell-vic-3124-16098540,Southern Cross Railway Station (Melbourne City),14194.19,1207.8
399-brunswick-road-brunswick-vic-3056-16091358,Southern Cross Railway Station (Melbourne City),6789.86,644.93
304-38-nicholson-street-fitzroy-north-vic-3068-16098711,Southern Cross Railway Station (Melbourne City),7517.49,806.87
