rent_address,stop_name,min_distance,min_duration
18-park-grove-richmond-vic-3121-16105798,Southern Cross Railway Station (Melbourne City),8969.9,818.83
203-5-7-wilson-street-south-yarra-vic-3141-15197334,Southern Cross Railway Station (Melbourne City),6407.67,757.08
207-8-burrowes-street-ascot-vale-vic-3032-16105755,Southern Cross Railway Station (Melbourne City),6985.98,675.41
2604-89-gladstone-street-south-melbourne-vic-3205-16097179,Southern Cross Railway Station (Melbourne City),2478.73,292.67
5-19-palmer-street-richmond-vic-3121-16098868,Southern Cross Railway Station (Melbourne City),6036.43,710.83
1-142-booran-road-caulfield-south-vic-3162-16107934,Southern Cross Railway Station (Melbourne City),14196.15,1225.11
1-12-stawell-street-kew-vic-3101-16108050,Southern Cross Railway Station (Melbourne City),9019.65,1024.31
6-hillside-road-mount-waverley-vic-3149-16099260,Southern Cross Railway Station (Melbourne City),21667.19,1624.68
1101-77-river-street-south-yarra-vic-3141-15537769,Southern Cross Railway Station (Melbourne City),6300.65,736.08
504-649-chapel-street-south-yarra-vic-3141-16097235,Southern Cross Railway Station (Melbourne City),6227.49,731.96
25-maple-walk-moonee-ponds-vic-3039-16097397,Southern Cross Railway Station (Melbourne City),7826.24,760.72
12-murray-street-richmond-vic-3121-16103776,Southern Cross Railway Station (Melbourne City),6207.08,742.53
801-8-joseph-road-footscray-vic-3011-16109999,Southern Cross Railway Station (Melbourne City),5018.79,529.24
14-13-rosedale-ave-glen-huntly-vic-3163-16103695,Southern Cross Railway Station (Melbourne City),14483.5,1261.64
5-32-bay-street-brighton-vic-3186-16104811,Southern Cross Railway Station (Melbourne City),11833.95,1195.99
14-rosella-road-parkdale-vic-3195-16103628,Southern Cross Railway Station (Melbourne City),28370.59,2527.01
1-velra-ave-murrumbeena-vic-3163-16091106,Southern Cross Railway Station (Melbourne City),18663.74,1606.76
3-outlook-drive-kalorama-vic-3766-16093096,Nar Nar Goon Railway Station (Nar Nar Goon),52405.16,3853.03
202-8-blanche-street-st-kilda-vic-3182-16095573,Southern Cross Railway Station (Melbourne City),6845.13,668.58
7-norwood-rd-caulfield-north-vic-3161-16111976,Southern Cross Railway Station (Melbourne City),9454.72,934.59
1-3-7-sebastopol-street-st-kilda-east-vic-3183-16104975,Southern Cross Railway Station (Melbourne City),8186.65,798.55
2-21-munro-st-hawthorn-east-vic-3123-16108516,Southern Cross Railway Station (Melbourne City),11149.87,1064.17
g07-12-14-dickens-street-elwood-vic-3184-16098537,Southern Cross Railway Station (Melbourne City),8027.02,816.01
4-32-power-street-hawthorn-vic-3122-16103495,Southern Cross Railway Station (Melbourne City),8114.38,951.89
6-labassa-grove-caulfield-north-vic-3161-16110340,Southern Cross Railway Station (Melbourne City),9551.71,895.93
1713-25-therry-street-melbourne-vic-3000-16097001,Southern Cross Railway Station (Melbourne City),2670.94,338.89
c306-11-shamrock-street-abbotsford-vic-3067-16103805,Southern Cross Railway Station (Melbourne City),6400.33,776.65
1b-hazel-grove-pascoe-vale-vic-3044-16098940,Southern Cross Railway Station (Melbourne City),11277.55,963.24
74-myers-parade-altona-meadows-vic-3028-16094320,Tarneit Railway Station (Tarneit),11735.64,921.4
1e-wilmot-street-malvern-vic-3144-16095645,Southern Cross Railway Station (Melbourne City),13940.23,1237.95
1-9-poets-grove-elwood-vic-3184-16100027,Southern Cross Railway Station (Melbourne City),9373.67,952.49
3-1845-dandenong-road-oakleigh-east-vic-3166-16092754,Southern Cross Railway Station (Melbourne City),24181.92,1671.13
south-melbourne-vic-3205-15842582,Southern Cross Railway Station (Melbourne City),2835.33,322.52
6-fairview-drive-cheltenham-vic-3192-16111130,Southern Cross Railway Station (Melbourne City),22901.51,2080.17
1-8-10-lincoln-road-essendon-vic-3040-16095553,Southern Cross Railway Station (Melbourne City),9980.81,935.17
476b-sydney-road-brunswick-vic-3056-16101831,Southern Cross Railway Station (Melbourne City),6739.39,754.13
unit-1607-50-claremont-st-south-yarra-vic-3141-16111948,Southern Cross Railway Station (Melbourne City),6095.0,757.09
4-5-winton-road-malvern-east-vic-3145-16103745,Southern Cross Railway Station (Melbourne City),15231.46,1302.69
33-theodore-avenue-noble-park-vic-3174-16104719,Southern Cross Railway Station (Melbourne City),36995.48,2266.05
24-macpherson-street-carlton-north-vic-3054-16092806,Southern Cross Railway Station (Melbourne City),6065.61,683.33
