rent_address,stop_name,min_distance,min_duration
409-85-market-street-south-melbourne-vic-3205-16092256,Southern Cross Railway Station (Melbourne City),2003.26,253.97
51-carrington-road-niddrie-vic-3042-16112270,Deer Park Railway Station (Deer Park),13687.86,932.85
103-16-malane-street-bentleigh-east-vic-3165-16098175,Southern Cross Railway Station (Melbourne City),18785.15,1613.57
401-408-lonsdale-street-melbourne-vic-3000-16014585,Southern Cross Railway Station (Melbourne City),2347.06,262.68
218-71-abinger-street-richmond-vic-3121-16094828,Southern Cross Railway Station (Melbourne City),5989.55,694.12
7-74-south-street-wodonga-vic-3690-16091669,Wodonga Railway Station (Wodonga),3153.02,485.61
49-64-fitzroy-street-st-kilda-vic-3182-16095131,Southern Cross Railway Station (Melbourne City),6168.29,590.55
18-29-george-street-east-melbourne-vic-3002-16108770,Southern Cross Railway Station (Melbourne City),4575.37,560.58
4-65-paxton-street-malvern-east-vic-3145-16108869,Southern Cross Railway Station (Melbourne City),15059.06,1268.99
478-wellington-street-clifton-hill-vic-3068-16105769,Southern Cross Railway Station (Melbourne City),6509.47,784.87
4-30-mitford-street-st-kilda-vic-3182-16099536,Southern Cross Railway Station (Melbourne City),7659.79,786.25
15-39-41-wellington-street-st-kilda-vic-3182-16110681,Southern Cross Railway Station (Melbourne City),6865.6,672.15
158-burnley-street-richmond-vic-3121-13706826,Southern Cross Railway Station (Melbourne City),6354.71,771.37
1-296-inkerman-st-st-kilda-east-vic-3183-16106154,Southern Cross Railway Station (Melbourne City),8347.33,801.41
5-297-st-kilda-street-brighton-vic-3186-16092184,Southern Cross Railway Station (Melbourne City),12004.7,1207.66
21-dover-street-richmond-vic-3121-16103850,Southern Cross Railway Station (Melbourne City),5656.73,710.36
16a-plunket-street-brighton-east-vic-3187-16099058,Southern Cross Railway Station (Melbourne City),16627.3,1462.38
17-1-acland-street-st-kilda-vic-3182-16108171,Southern Cross Railway Station (Melbourne City),6516.31,637.61
2-abeckett-street-prahran-vic-3181-16095838,Southern Cross Railway Station (Melbourne City),8158.43,872.17
101-1443-dandenong-road-malvern-east-vic-3145-16113756,Southern Cross Railway Station (Melbourne City),18875.26,1365.34
6-18-ireland-street-west-melbourne-vic-3003-16093709,Southern Cross Railway Station (Melbourne City),1614.02,210.85
1204-33-clarke-street-southbank-vic-3006-16093367,Southern Cross Railway Station (Melbourne City),1711.82,238.28
57-lord-st-richmond-vic-3121-16112934,Southern Cross Railway Station (Melbourne City),6164.84,736.18
2-274-st-georges-road-northcote-vic-3070-16113021,Southern Cross Railway Station (Melbourne City),9398.58,892.58
17-228-the-avenue-parkville-vic-3052-16104553,Southern Cross Railway Station (Melbourne City),5122.26,592.98
89b-ruskin-street-elwood-vic-3184-16092997,Southern Cross Railway Station (Melbourne City),8563.69,882.53
404-70-batesford-road-chadstone-vic-3148-16094741,Southern Cross Railway Station (Melbourne City),18706.63,1383.65
45-victoria-street-brunswick-east-vic-3057-16105604,Southern Cross Railway Station (Melbourne City),8046.32,887.69
36a-featherby-way-altona-meadows-vic-3028-16110093,Tarneit Railway Station (Tarneit),14284.82,1085.86
16-174-toorak-road-west-south-yarra-vic-3141-16097614,Southern Cross Railway Station (Melbourne City),5007.51,595.77
level-2-5-9-martin-street-heidelberg-vic-3084-16103734,Southern Cross Railway Station (Melbourne City),17418.08,1509.39
73-fraser-street-richmond-vic-3121-16091575,Southern Cross Railway Station (Melbourne City),6311.72,720.23
57-lincoln-street-richmond-vic-3121-16092170,Southern Cross Railway Station (Melbourne City),6326.7,757.82
45-mckean-street-fitzroy-north-vic-3068-16092855,Southern Cross Railway Station (Melbourne City),6467.27,790.81
4-264-bluff-road-sandringham-vic-3191-16092529,Southern Cross Railway Station (Melbourne City),20231.53,1819.3
7-walters-street-brunswick-vic-3056-16101017,Southern Cross Railway Station (Melbourne City),9159.89,862.19
20-flourish-walk-doreen-vic-3754-16109319,Donnybrook Railway Station (Donnybrook),21236.88,1325.08
217-222-bay-road-sandringham-vic-3191-16103690,Southern Cross Railway Station (Melbourne City),20376.04,1842.03
4010-639-lonsdale-street-melbourne-vic-3000-16091026,Southern Cross Railway Station (Melbourne City),1618.23,177.06
6-374-dandenong-road-caulfield-north-vic-3161-16111921,Southern Cross Railway Station (Melbourne City),9536.87,924.97
4-492-plenty-road-preston-vic-3072-16103925,Southern Cross Railway Station (Melbourne City),13087.68,1205.1
76-allison-road-elsternwick-vic-3185-16105190,Southern Cross Railway Station (Melbourne City),11732.94,1051.68
3-29-mernda-ave-carnegie-vic-3163-16103178,Southern Cross Railway Station (Melbourne City),15200.06,1354.15
2-bennett-street-deepdene-vic-3103-16104504,Southern Cross Railway Station (Melbourne City),12190.39,1293.43
1b-laura-grove-mount-waverley-vic-3149-16096160,Southern Cross Railway Station (Melbourne City),26455.32,1904.85
10-208-210-high-street-templestowe-lower-vic-3107-16091613,Southern Cross Railway Station (Melbourne City),18193.12,1456.02
33-nimmo-street-middle-park-vic-3206-16111553,Southern Cross Railway Station (Melbourne City),4437.47,454.69
11-ridder-court-dingley-village-vic-3172-16104299,Southern Cross Railway Station (Melbourne City),31572.83,2459.08
1-3-guthrie-street-brunswick-west-vic-3055-16103784,Southern Cross Railway Station (Melbourne City),6596.95,617.01
47-speight-street-thornbury-vic-3071-16094346,Southern Cross Railway Station (Melbourne City),11198.47,1093.03
4-14-enfield-road-brighton-vic-3186-16106550,Southern Cross Railway Station (Melbourne City),12351.69,1304.16
18-11-17-park-street-st-kilda-west-vic-3182-16099197,Southern Cross Railway Station (Melbourne City),6246.72,605.67
6-518-bluff-rd-hampton-vic-3188-16103170,Southern Cross Railway Station (Melbourne City),17941.81,1659.4
