,rent_address,stop_name,min_distance,min_duration,postcode,price
49,906-14-queens-road-melbourne-vic-3004-16104224,Southern Cross Railway Station (Melbourne City),4063.05,541.27,3004,500.0
50,1310-450-st-kilda-road-melbourne-vic-3004-16099990,Southern Cross Railway Station (Melbourne City),4061.06,540.98,3004,620.0
51,507-23-queens-road-melbourne-vic-3004-16098966,Southern Cross Railway Station (Melbourne City),4341.16,557.86,3004,575.0
52,19-32-queens-road-melbourne-vic-3004-16099040,Southern Cross Railway Station (Melbourne City),4506.31,564.84,3004,525.0
53,1402-82-queens-rd-melbourne-vic-3004-16099647,Southern Cross Railway Station (Melbourne City),6173.96,715.39,3004,520.0
54,32-632-st-kilda-road-melbourne-vic-3004-16091641,Southern Cross Railway Station (Melbourne City),6231.21,723.63,3004,700.0
55,702-74-queens-road-melbourne-vic-3004-16113717,Southern Cross Railway Station (Melbourne City),5739.78,688.5,3004,530.0
56,1011-77-queens-road-melbourne-vic-3004-16109866,Southern Cross Railway Station (Melbourne City),5795.46,696.52,3004,590.0
57,1204-33-clarke-street-southbank-vic-3006-16093367,Southern Cross Railway Station (Melbourne City),1711.82,238.28,3006,350.0
58,4008-45-clarke-street-southbank-vic-3006-16098289,Southern Cross Railway Station (Melbourne City),1854.8,240.4,3006,650.0
59,808-250-city-road-southbank-vic-3006-16103830,Southern Cross Railway Station (Melbourne City),1726.76,237.2,3006,575.0
60,1005-285-city-road-southbank-vic-3006-16111246,Southern Cross Railway Station (Melbourne City),1708.72,214.85,3006,450.0
61,106-8-wells-st-southbank-vic-3006-16110505,Southern Cross Railway Station (Melbourne City),3556.45,439.2,3006,1200.0
62,3201-245-city-road-southbank-vic-3006-16094069,Southern Cross Railway Station (Melbourne City),1823.98,233.16,3006,575.0
63,56-28-southgate-avenue-southbank-vic-3006-16107621,Southern Cross Railway Station (Melbourne City),2743.1,405.27,3006,550.0
64,3104-45-clarke-street-southbank-vic-3006-14397368,Southern Cross Railway Station (Melbourne City),1854.8,240.4,3006,590.0
