rent_address,stop_name,min_distance,min_duration
283-mitta-north-road-eskdale-vic-3701-16100349,NULL,NULL,NULL
1108-2-joseph-road-footscray-vic-3011-16113701,Southern Cross Railway Station (Melbourne City),4892.63,514.1
722-627-victoria-street-abbotsford-vic-3067-16102907,Southern Cross Railway Station (Melbourne City),6684.22,800.94
3-10-adelaide-street-murrumbeena-vic-3163-16109631,Southern Cross Railway Station (Melbourne City),15585.3,1382.44
5-8-10-turakina-avenue-edithvale-vic-3196-16104021,Southern Cross Railway Station (Melbourne City),48600.32,2911.47
22-ethel-street-malvern-vic-3144-16099895,Southern Cross Railway Station (Melbourne City),11491.4,968.06
2b-parker-st-brighton-east-vic-3187-16091552,Southern Cross Railway Station (Melbourne City),16753.56,1461.18
31-moama-road-malvern-east-vic-3145-16092594,Southern Cross Railway Station (Melbourne City),13634.15,1249.74
13a-laity-street-richmond-vic-3121-16099660,Southern Cross Railway Station (Melbourne City),6154.5,729.55
10-2-4-baker-street-malvern-east-vic-3145-16103677,Southern Cross Railway Station (Melbourne City),14443.01,1305.75
56-28-southgate-avenue-southbank-vic-3006-16107621,Southern Cross Railway Station (Melbourne City),2743.1,405.27
78-wattle-valley-rd-canterbury-vic-3126-16109321,Southern Cross Railway Station (Melbourne City),14278.5,1321.48
130-stanley-road-keysborough-vic-3173-16093594,Southern Cross Railway Station (Melbourne City),39369.79,2250.82
10-26-warleigh-grove-brighton-vic-3186-16111350,Southern Cross Railway Station (Melbourne City),12079.0,1270.21
94-lennox-street-richmond-vic-3121-16113257,Southern Cross Railway Station (Melbourne City),5360.96,648.41
104-77-riversdale-road-hawthorn-vic-3122-16100086,Southern Cross Railway Station (Melbourne City),9740.77,931.96
2-81-abinger-street-richmond-vic-3121-16099075,Southern Cross Railway Station (Melbourne City),6034.49,709.5
12-786-warrigal-road-malvern-east-vic-3145-16105663,Southern Cross Railway Station (Melbourne City),18427.35,1314.67
5-45-grenville-street-hampton-vic-3188-16094685,Southern Cross Railway Station (Melbourne City),16333.75,1554.93
11-shamrock-street-richmond-vic-3121-16091440,Southern Cross Railway Station (Melbourne City),6121.8,758.06
11g-21-northumberland-street-collingwood-vic-3066-16110786,Southern Cross Railway Station (Melbourne City),4650.78,567.29
54-athelstan-road-camberwell-vic-3124-16104500,Southern Cross Railway Station (Melbourne City),13441.67,1170.27
40-berry-avenue-edithvale-vic-3196-16105305,Southern Cross Railway Station (Melbourne City),50102.85,2900.7
3-56-smith-street-south-melbourne-vic-3205-16105162,Southern Cross Railway Station (Melbourne City),3203.42,417.03
43-cochrane-avenue-camberwell-vic-3124-16109593,Southern Cross Railway Station (Melbourne City),13414.59,1144.95
101-392-lygon-street-brunswick-east-vic-3057-16095591,Southern Cross Railway Station (Melbourne City),7645.9,802.05
201-43-zetland-road-mont-albert-vic-3127-16092749,Southern Cross Railway Station (Melbourne City),21725.54,1596.19
1-16-18-millswyn-street-south-yarra-vic-3141-16104898,Southern Cross Railway Station (Melbourne City),4552.28,562.55
56-davanzo-avenue-clarinda-vic-3169-16092173,Southern Cross Railway Station (Melbourne City),26828.17,2199.2
12-39-heller-street-brunswick-west-vic-3055-16112167,Southern Cross Railway Station (Melbourne City),6782.27,628.01
1207-39-park-street-south-melbourne-vic-3205-16093617,Southern Cross Railway Station (Melbourne City),3224.36,407.58
10-303-305-huntingdale-road-chadstone-vic-3148-16099550,Southern Cross Railway Station (Melbourne City),20321.51,1487.03
2-67-moonya-rd-carnegie-vic-3163-16098026,Southern Cross Railway Station (Melbourne City),16335.59,1449.09
2-44-robe-street-st-kilda-vic-3182-16100042,Southern Cross Railway Station (Melbourne City),6485.53,626.07
9-oakley-street-mount-dandenong-vic-3767-16111799,Nar Nar Goon Railway Station (Nar Nar Goon),47388.73,3325.33
3-91-livingstone-street-ivanhoe-vic-3079-16097930,Southern Cross Railway Station (Melbourne City),12994.16,1236.82
304-11-reid-street-fitzroy-north-vic-3068-16098276,Southern Cross Railway Station (Melbourne City),6341.31,683.32
6-20-gerald-st-murrumbeena-vic-3163-16097327,Southern Cross Railway Station (Melbourne City),16672.82,1517.55
7-51-55-goldsmith-street-elwood-vic-3184-16104905,Southern Cross Railway Station (Melbourne City),9076.46,955.36
7-36-johnstone-street-malvern-vic-3144-16104691,Southern Cross Railway Station (Melbourne City),11808.33,1218.45
602-71-inkerman-st-st-kilda-east-vic-3183-16091456,Southern Cross Railway Station (Melbourne City),8231.89,792.42
12-rosamond-street-balaclava-vic-3183-16113271,Southern Cross Railway Station (Melbourne City),8041.71,797.74
g06-3-claire-street-mckinnon-vic-3204-15344621,Southern Cross Railway Station (Melbourne City),16998.38,1460.52
3104-45-clarke-street-southbank-vic-3006-14397368,Southern Cross Railway Station (Melbourne City),1854.8,240.4
6-cherry-cl-melton-west-vic-3337-16098222,Melton Railway Station (Melton South),7598.84,777.04
g05-237-napier-street-fitzroy-vic-3065-16099451,Southern Cross Railway Station (Melbourne City),4680.59,626.83
201-136-murray-street-caulfield-vic-3162-10136316,Southern Cross Railway Station (Melbourne City),12356.33,1078.13
202-53-browns-road-bentleigh-east-vic-3165-16097230,Southern Cross Railway Station (Melbourne City),19133.3,1606.71
4-mandeville-crescent-toorak-vic-3142-16099272,Southern Cross Railway Station (Melbourne City),8591.67,923.06
2-55-wanda-rd-caulfield-north-vic-3161-16093913,Southern Cross Railway Station (Melbourne City),10207.6,978.05
station-street-caulfield-north-vic-3161-16094221,Southern Cross Railway Station (Melbourne City),12408.62,1098.07
2-parkview-avenue-brunswick-east-vic-3057-16108388,Southern Cross Railway Station (Melbourne City),8762.9,921.52
31-rubens-grove-canterbury-vic-3126-16112358,Southern Cross Railway Station (Melbourne City),12133.06,1291.0
201a-8-grosvenor-street-abbotsford-vic-3067-16093576,Southern Cross Railway Station (Melbourne City),6273.81,746.29
202-555-burke-road-camberwell-vic-3124-16109562,Southern Cross Railway Station (Melbourne City),12519.3,1075.1
159-richardson-street-carlton-north-vic-3054-16096889,Southern Cross Railway Station (Melbourne City),5691.17,646.16
g02-236-jasper-road-mckinnon-vic-3204-16111151,Southern Cross Railway Station (Melbourne City),17141.32,1460.24
10-113-eskdale-road-caulfield-north-vic-3161-16112117,Southern Cross Railway Station (Melbourne City),12312.53,1106.22
5-48-spray-street-elwood-vic-3184-16092133,Southern Cross Railway Station (Melbourne City),9648.97,976.77
1011-77-queens-road-melbourne-vic-3004-16109866,Southern Cross Railway Station (Melbourne City),5795.46,696.52
7-55-pleasant-street-pascoe-vale-vic-3044-15507181,Southern Cross Railway Station (Melbourne City),12398.91,1094.36
504-415-glen-huntly-road-elsternwick-vic-3185-16107407,Southern Cross Railway Station (Melbourne City),10233.26,1005.8
23-bolinda-road-balwyn-north-vic-3104-16098242,Southern Cross Railway Station (Melbourne City),15930.17,1362.56
71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Southern Cross Railway Station (Melbourne City),6976.2,802.53
3-24-26-burns-street-elwood-vic-3184-16092084,Southern Cross Railway Station (Melbourne City),9335.85,904.33
23-102-jolimont-road-east-melbourne-vic-3002-16110025,Southern Cross Railway Station (Melbourne City),3729.89,441.12
2-11-barrina-street-blackburn-south-vic-3130-16107646,Southern Cross Railway Station (Melbourne City),25406.01,1845.8
6-1204-glen-huntly-road-glen-huntly-vic-3163-16110831,Southern Cross Railway Station (Melbourne City),14422.84,1245.73
8-1b-kinkora-road-hawthorn-vic-3122-16104258,Southern Cross Railway Station (Melbourne City),8392.85,967.77
3-198-bluff-road-sandringham-vic-3191-16100496,Southern Cross Railway Station (Melbourne City),19665.01,1855.56
40-kokoda-place-mordialloc-vic-3195-16096229,Southern Cross Railway Station (Melbourne City),29567.56,2651.27
17a-clendon-road-toorak-vic-3142-16105569,Southern Cross Railway Station (Melbourne City),8609.8,914.48
1001b-2-wests-road-maribyrnong-vic-3032-16110067,Ardeer Railway Station (Ardeer),8764.2,907.92
102-190-alma-rd-st-kilda-east-vic-3183-16098637,Southern Cross Railway Station (Melbourne City),8797.13,862.83
1205-77-river-street-south-yarra-vic-3141-14520896,Southern Cross Railway Station (Melbourne City),6300.65,736.08
24-kleine-street-noble-park-vic-3174-16102906,Southern Cross Railway Station (Melbourne City),36450.24,2198.1
14-65-george-street-fitzroy-vic-3065-16109661,Southern Cross Railway Station (Melbourne City),4222.23,531.24
3-20-tintern-avenue-toorak-vic-3142-16096159,Southern Cross Railway Station (Melbourne City),6970.86,832.05
