rent_address,stop_name,min_distance,min_duration
18-112-riversdale-road-hawthorn-vic-3122-16108055,Southern Cross Railway Station (Melbourne City),10048.39,954.11
511-37-39-park-street-south-melbourne-vic-3205-16111490,Southern Cross Railway Station (Melbourne City),3246.57,409.36
5-4-little-buckingham-street-richmond-vic-3121-16099408,Southern Cross Railway Station (Melbourne City),5946.04,704.97
1202-31-spring-street-melbourne-vic-3000-16111139,Southern Cross Railway Station (Melbourne City),2986.87,371.97
4-49a-tennyson-street-elwood-vic-3184-16109927,Southern Cross Railway Station (Melbourne City),8885.81,888.59
3-17-moorhouse-street-richmond-vic-3121-13330833,Southern Cross Railway Station (Melbourne City),4702.42,582.37
1-koetong-crescent-west-wodonga-vic-3690-16112153,Wodonga Railway Station (Wodonga),3780.35,466.29
3201-245-city-road-southbank-vic-3006-16094069,Southern Cross Railway Station (Melbourne City),1823.98,233.16
3-aisbett-ave-camberwell-vic-3124-16109108,Southern Cross Railway Station (Melbourne City),15333.78,1369.31
33-campbell-street-brighton-vic-3186-16104223,Southern Cross Railway Station (Melbourne City),11489.87,1132.25
110-22-chatham-street-prahran-vic-3181-16104912,Southern Cross Railway Station (Melbourne City),6906.68,783.97
43-eastbourne-street-prahran-vic-3181-16099313,Southern Cross Railway Station (Melbourne City),7245.36,836.48
5-princes-place-port-melbourne-vic-3207-16095122,Southern Cross Railway Station (Melbourne City),4325.71,522.16
2-1-mitchell-court-noble-park-vic-3174-16091711,Southern Cross Railway Station (Melbourne City),32664.74,2026.64
106-35-victoria-parade-collingwood-vic-3066-16093671,Southern Cross Railway Station (Melbourne City),4233.24,519.82
6-183-coppin-street-richmond-vic-3121-16105773,Southern Cross Railway Station (Melbourne City),6379.17,715.09
g01-43-crisp-street-hampton-vic-3188-16104598,Southern Cross Railway Station (Melbourne City),17198.51,1685.81
5-9-rosstown-road-carnegie-vic-3163-16110849,Southern Cross Railway Station (Melbourne City),13968.38,1275.82
6-8-clyde-street-kew-east-vic-3102-16106556,Southern Cross Railway Station (Melbourne City),12445.54,1233.05
112-4-acacia-place-abbotsford-vic-3067-16104805,Southern Cross Railway Station (Melbourne City),6863.78,815.12
135-spring-street-west-port-melbourne-vic-3207-16110342,Southern Cross Railway Station (Melbourne City),3290.02,373.78
211-7-red-hill-terrace-doncaster-east-vic-3109-16092464,Southern Cross Railway Station (Melbourne City),27198.22,1905.09
1-540-glenhuntly-road-elsternwick-vic-3185-12838412,Southern Cross Railway Station (Melbourne City),11763.55,1077.29
937-riversdale-road-surrey-hills-vic-3127-16095527,Southern Cross Railway Station (Melbourne City),15193.51,1385.56
108a-queens-parade-fitzroy-north-vic-3068-16113014,Southern Cross Railway Station (Melbourne City),6267.91,742.97
46-nicholson-street-brunswick-east-vic-3057-16112281,Southern Cross Railway Station (Melbourne City),7657.75,814.61
1-52-medway-street-box-hill-vic-3128-16112906,Southern Cross Railway Station (Melbourne City),21238.18,1513.28
5-327-dandenong-road-prahran-vic-3181-16112180,Southern Cross Railway Station (Melbourne City),9582.03,935.35
6-eyre-st-balwyn-vic-3103-16095631,Southern Cross Railway Station (Melbourne City),15332.18,1288.59
306-198-st-kilda-road-st-kilda-vic-3182-16113646,Southern Cross Railway Station (Melbourne City),7352.76,747.6
3-52-baker-street-richmond-vic-3121-16098254,Southern Cross Railway Station (Melbourne City),6355.8,772.04
6-30-munro-st-hawthorn-east-vic-3123-16112646,Southern Cross Railway Station (Melbourne City),11018.6,1033.81
2-47-brighton-road-st-kilda-vic-3182-16103420,Southern Cross Railway Station (Melbourne City),9293.15,892.33
1-15-melbourne-street-murrumbeena-vic-3163-16103337,Southern Cross Railway Station (Melbourne City),15820.21,1427.81
8-grange-road-sandringham-vic-3191-15431555,Southern Cross Railway Station (Melbourne City),18294.39,1774.1
6-507-dandenong-road-armadale-vic-3143-16098888,Southern Cross Railway Station (Melbourne City),10879.34,1026.87
304-708-burwood-rd-hawthorn-east-vic-3123-16096604,Southern Cross Railway Station (Melbourne City),9940.96,1065.56
7-2a-burnie-street-toorak-vic-3142-16108212,Southern Cross Railway Station (Melbourne City),9055.52,893.36
24-henderson-street-south-melbourne-vic-3205-16091414,Southern Cross Railway Station (Melbourne City),3915.83,459.51
1-20-carramar-street-chadstone-vic-3148-16100769,Southern Cross Railway Station (Melbourne City),19479.94,1499.87
303-11-hoddle-street-collingwood-vic-3066-16093268,Southern Cross Railway Station (Melbourne City),5358.04,637.64
502-46-villiers-street-north-melbourne-vic-3051-16091326,Southern Cross Railway Station (Melbourne City),3102.67,367.97
201-21-mills-boulevard-alphington-vic-3078-16094987,Southern Cross Railway Station (Melbourne City),11007.38,1114.56
8-jenkin-street-brunswick-vic-3056-16107288,Southern Cross Railway Station (Melbourne City),7170.65,778.49
1-kalymna-grove-st-kilda-east-vic-3183-16110858,Southern Cross Railway Station (Melbourne City),8770.37,837.25
10-55-heller-street-brunswick-west-vic-3055-16099137,Southern Cross Railway Station (Melbourne City),6588.11,630.53
unit-901-50-claremont-st-south-yarra-vic-3141-16098894,Southern Cross Railway Station (Melbourne City),6095.0,757.09
g02-555-burke-road-camberwell-vic-3124-16095744,Southern Cross Railway Station (Melbourne City),12519.3,1075.1
314-14-elizabeth-street-malvern-vic-3144-16110243,Southern Cross Railway Station (Melbourne City),12448.86,1086.32
10-edlington-street-hawthorn-vic-3122-16113945,Southern Cross Railway Station (Melbourne City),9591.83,1035.7
9-67-ballarat-rd-footscray-vic-3011-16098677,Southern Cross Railway Station (Melbourne City),6555.65,692.03
14-thomas-st-camberwell-vic-3124-16106434,Southern Cross Railway Station (Melbourne City),16537.67,1474.32
1-10-keith-street-oakleigh-east-vic-3166-16099635,Southern Cross Railway Station (Melbourne City),22203.68,1694.17
5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Southern Cross Railway Station (Melbourne City),1918.23,235.29
704-68-wests-road-maribyrnong-vic-3032-16092164,Ardeer Railway Station (Ardeer),9176.3,950.87
1-383-serpells-road-doncaster-east-vic-3109-16111336,Southern Cross Railway Station (Melbourne City),26808.6,1849.26
19-norwood-st-sandringham-vic-3191-16094744,Southern Cross Railway Station (Melbourne City),18820.34,1777.63
3008-288-spencer-street-melbourne-vic-3000-16097762,Southern Cross Railway Station (Melbourne City),1923.12,236.46
101-20-weir-street-balwyn-vic-3103-16106435,Southern Cross Railway Station (Melbourne City),13657.52,1427.07
59-comas-grove-thornbury-vic-3071-16108541,Southern Cross Railway Station (Melbourne City),11415.2,1055.5
8-133-clarke-street-northcote-vic-3070-16091779,Southern Cross Railway Station (Melbourne City),8227.92,851.09
8-31-charnwood-road-st-kilda-vic-3182-16111421,Southern Cross Railway Station (Melbourne City),7425.63,764.57
46a-46b-turner-road-highett-vic-3190-16109315,Southern Cross Railway Station (Melbourne City),23635.41,1988.61
1-4-6-mallawa-street-clayton-south-vic-3169-16092812,Southern Cross Railway Station (Melbourne City),26963.32,1979.02
74-sutherland-road-armadale-vic-3143-16092668,Southern Cross Railway Station (Melbourne City),9608.87,1026.8
2-16-thurloo-street-chadstone-vic-3148-16096767,Southern Cross Railway Station (Melbourne City),18575.23,1394.89
1-1-ruskin-street-elwood-vic-3184-16106092,Southern Cross Railway Station (Melbourne City),7946.69,786.62
39-220-barkly-street-st-kilda-vic-3182-14537180,Southern Cross Railway Station (Melbourne City),7402.23,716.95
3-681-inkerman-road-caulfield-north-vic-3161-16107828,Southern Cross Railway Station (Melbourne City),10440.62,976.65
1-9-robert-st-elwood-vic-3184-16108685,Southern Cross Railway Station (Melbourne City),8920.27,897.89
13-23-power-street-hawthorn-vic-3122-16092614,Southern Cross Railway Station (Melbourne City),8245.72,959.27
2-445-glenferrie-road-malvern-vic-3144-16109767,Southern Cross Railway Station (Melbourne City),11610.11,954.71
8-8-cardigan-street-st-kilda-east-vic-3183-16094608,Southern Cross Railway Station (Melbourne City),8492.98,816.91
2-14-gregory-street-oak-park-vic-3046-16095581,Southern Cross Railway Station (Melbourne City),12881.55,1162.81
2902-250-city-road-southbank-vic-3006-16111286,Southern Cross Railway Station (Melbourne City),1726.76,237.2
15-2a-bates-street-malvern-east-vic-3145-16108936,Southern Cross Railway Station (Melbourne City),12917.53,1173.95
7-regent-street-yarraville-vic-3013-16096035,Southern Cross Railway Station (Melbourne City),6753.29,687.94
1309-199-william-street-melbourne-vic-3000-16093914,Southern Cross Railway Station (Melbourne City),2072.3,234.68
47-bedford-street-collingwood-vic-3066-16105364,Southern Cross Railway Station (Melbourne City),4993.21,616.42
709-12-14-claremont-street-south-yarra-vic-3141-16098801,Southern Cross Railway Station (Melbourne City),6272.24,789.0
10-4a-wando-grove-st-kilda-east-vic-3183-16099165,Southern Cross Railway Station (Melbourne City),9219.91,929.09
2613-65-dudley-street-west-melbourne-vic-3003-16108153,Southern Cross Railway Station (Melbourne City),1559.35,194.57
26a-bonny-street-bentleigh-east-vic-3165-16058750,Southern Cross Railway Station (Melbourne City),20944.71,1742.85
1855-malvern-road-malvern-east-vic-3145-16103632,Southern Cross Railway Station (Melbourne City),14096.55,1167.3
84-palmerston-crescent-south-melbourne-vic-3205-16106315,Southern Cross Railway Station (Melbourne City),3255.56,399.64
23-66-murray-street-prahran-vic-3181-16093824,Southern Cross Railway Station (Melbourne City),7899.07,856.45
3-487-kooyong-road-elsternwick-vic-3185-16105411,Southern Cross Railway Station (Melbourne City),13062.29,1134.85
29-turnball-grove-northcote-vic-3070-16110278,Southern Cross Railway Station (Melbourne City),9386.02,939.17
139-chapel-street-st-kilda-vic-3182-16110151,Southern Cross Railway Station (Melbourne City),7728.16,760.51
50-thea-grove-doncaster-east-vic-3109-16094598,Southern Cross Railway Station (Melbourne City),23295.1,1574.02
