rent_address,stop_name,min_distance,min_duration
75-pethajohn-parade-grovedale-vic-3216-16071375,NULL,NULL,NULL
24-6-8-avondale-road-armadale-vic-3143-16074178,Albert Park,4494.77,500.95
3-564c-moreland-road-brunswick-west-vic-3055-16074162,Lower Maribyrnong River land,5350.14,532.32
8-7-9-bell-street-coburg-vic-3058-16074155,Yarra Bend Park,8566.44,735.36
6-103-walpole-street-kew-vic-3101-16074115,Yarra Bend Park,1514.51,206.2
6-14-pitt-street-brunswick-vic-3056-16074091,Carlton Court House Historic Reserve,3273.71,330.54
68-dover-street-caulfield-south-vic-3162-16074034,Middle Brighton Pier and Breakwater,5261.99,510.53
27-donna-buang-street-camberwell-vic-3124-15704271,Wattle Park,5763.03,505.86
504-2-6-duckett-street-brunswick-vic-3056-16073933,Carlton Court House Historic Reserve,4976.48,475.58
2-24-barunah-street-hadfield-vic-3046-16073906,Merri Creek Land (368 Mahoneys Rd),4627.22,395.64
1901-368-st-kilda-road-melbourne-vic-3000-16073890,Albert Park,1050.72,201.15
5-58-alexandra-st-st-kilda-east-vic-3183-16073874,Albert Park,2680.51,290.17
1211-200-spencer-street-melbourne-vic-3000-16073870,Albert Park,2989.12,411.14
2-841-toorak-road-hawthorn-east-vic-3123-16073848,Herring Island,5663.59,493.66
35-stratus-street-tarneit-vic-3029-16073803,Werribee Township Regional Park,4021.2,501.14
5-661-663-nepean-highway-brighton-east-vic-3187-16073805,Middle Brighton Pier and Breakwater,4062.27,441.08
35-stratus-street-tarneit-vic-3029-16073803,Werribee Township Regional Park,4021.2,501.14
10-3-robin-street-altona-vic-3018-16073665,Altona Pier,2798.83,308.54
4-48-weir-street-balwyn-vic-3103-16073644,Wattle Park,4796.34,444.06
13-draconis-lane-williams-landing-vic-3027-16073635,Truganina South Nature Conservation Reserve,1955.27,246.52
2c-381-toorak-road-south-yarra-vic-3141-16073632,Albert Park,2864.97,355.68
61-acland-street-st-kilda-vic-3182-16073629,Albert Park,1173.06,157.25
2-5-ellis-road-glen-iris-vic-3146-16073465,Herring Island,7255.69,586.61
100-clarendon-street-coburg-vic-3058-16073408,Carlton Court House Historic Reserve,7485.18,685.21
9-55-blackwood-street-carnegie-vic-3163-16073375,Wattle Park,8642.41,867.17
93-chomley-street-prahran-vic-3181-16073373,Albert Park,3731.09,419.58
10-11-irving-avenue-prahran-vic-3181-16073356,Albert Park,3305.7,363.94
167-richardson-street-middle-park-vic-3206-16073349,Kerford Road and Lagoon Piers,1021.45,147.8
52-hope-street-brunswick-vic-3056-16048861,Carlton Court House Historic Reserve,5089.57,481.44
1-11-woorigoleen-road-toorak-vic-3142-16073252,Herring Island,2976.78,322.92
5-26-union-street-richmond-vic-3121-16073238,Lower Yarra River land,2158.17,212.01
1-82-ashley-street-west-footscray-vic-3012-16073237,Lower Maribyrnong River land,4206.14,425.57
46-alder-st-caulfield-south-vic-3162-16073205,Middle Brighton Pier and Breakwater,5433.28,536.34
807-2-joseph-road-footscray-vic-3011-16073204,Lower Maribyrnong River land,679.18,89.43
30-edenhope-circuit-armstrong-creek-vic-3217-16073183,Lake Connewarre Wildlife Reserve (hunting),5691.52,667.77
67-weir-loop-bundoora-vic-3083-16073139,Gresswell Forest (part a) Nature Conservation Reserve,3223.62,483.77
1-66-riddell-parade-elsternwick-vic-3185-16073001,St Kilda (Brookes Jetty),4290.6,480.52
6-359-balaclava-road-caulfield-north-vic-3161-16073003,Herring Island,8167.0,728.2
404-466-lygon-street-brunswick-vic-3056-16072893,Carlton Court House Historic Reserve,4035.96,375.55
1102-6-joseph-road-footscray-vic-3011-15336314,Lower Maribyrnong River land,796.83,103.55
14-hawson-avenue-glen-huntly-vic-3163-16072886,Karkarook Park (water authority land),9346.57,862.03
16-macedon-close-caroline-springs-vic-3023-16072871,Clarke Road Streamside Reserve,2403.08,346.03
105-88-cambridge-street-collingwood-vic-3066-15175620,Lower Yarra River land,1476.67,177.04
604-7-king-street-prahran-vic-3181-16072835,Albert Park,2388.15,295.81
512-803-dandenong-road-malvern-east-vic-3145-16072805,Herring Island,8285.78,744.38
9-47-49-caroline-street-south-yarra-vic-3141-16072801,Albert Park,1795.39,243.85
6d-9-beach-street-port-melbourne-vic-3207-16072776,Kerford Road and Lagoon Piers,456.44,53.06
3-20-malvern-grove-caulfield-north-vic-3161-16072766,Herring Island,6751.08,652.87
1-3-goldsmith-st-elwood-vic-3184-16072668,St Kilda (Brookes Jetty),1609.77,241.07
601-5-olive-york-way-brunswick-west-vic-3055-15143998,Lower Maribyrnong River land,6155.89,651.84
22-davis-avenue-south-yarra-vic-3141-16072495,Albert Reserve,2263.63,282.47
9-123-beaconsfield-parade-albert-park-vic-3206-16072484,Kerford Road and Lagoon Piers,89.43,23.44
301-10-12-high-street-glen-iris-vic-3146-16072393,Wattle Park,6541.87,598.41
3-40-northcote-avenue-caulfield-north-vic-3161-15503694,Albert Park,6470.16,560.43
5-556-dandenong-rd-caulfield-north-vic-3161-16072372,Herring Island,6623.08,636.79
3-102-truganini-road-carnegie-vic-3163-15350999,Karkarook Park (water authority land),7797.39,746.46
1-1-namur-street-kew-east-vic-3102-16072307,Yarra Valley Parklands (COM),3710.45,472.74
8-19-21-abbott-street-sandringham-vic-3191-16072299,Sandringham Jetty and Breakwater,1036.63,119.25
2705-14-16-the-esplanade-st-kilda-vic-3182-16072154,Albert Park,1137.26,162.21
10-110-caroline-street-south-yarra-vic-3141-16072135,Albert Park,2219.15,290.36
3-27-flinders-lane-melbourne-vic-3000-16072122,Princes Warf,2315.1,337.32
2-34-westerfield-drive-notting-hill-vic-3168-16072082,Dandenong Valley Parklands (COM),6052.63,740.36
45-69-palmer-street-richmond-vic-3121-16072067,Lower Yarra River land,663.92,78.11
613b-455-glen-huntly-road-elsternwick-vic-3185-16072040,St Kilda (Brookes Jetty),4009.59,417.73
3-45-westbury-st-st-kilda-east-vic-3183-16071948,Albert Park,1946.5,227.33
102-9-bligh-place-melbourne-vic-3000-16071806,Albert Park,2718.86,413.42
4-34-horne-street-elsternwick-vic-3185-16071700,Middle Brighton Pier and Breakwater,3447.06,359.69
89-marshall-street-ivanhoe-vic-3079-16071672,Darebin Creek Land,1578.12,160.7
201-18-claremont-street-south-yarra-vic-3141-16071671,Albert Park,2688.1,385.53
607-7-claremont-street-south-yarra-vic-3141-16071649,Albert Park,2754.65,397.51
408-2-elland-avenue-box-hill-vic-3128-11439410,Wattle Park,4539.13,502.31
304-17-gordon-street-elsternwick-vic-3185-16071640,St Kilda (Brookes Jetty),3552.13,388.4
1-14-bletchley-road-hughesdale-vic-3166-16071580,Karkarook Park (water authority land),6624.28,667.04
260-adderley-street-west-melbourne-vic-3003-16071421,Carlton Court House Historic Reserve,3375.83,384.92
207-esplanade-west-port-melbourne-vic-3207-16071401,Kerford Road and Lagoon Piers,1101.26,166.31
14-straughan-st-glen-iris-vic-3146-16053776,Wattle Park,4393.33,432.32
37-kireep-road-balwyn-vic-3103-16071098,Wattle Park,4893.81,470.53
9-20-kooyong-road-caulfield-north-vic-3161-16071029,Albert Park,4009.21,391.5
