,rent_address,stop_name,min_distance,min_duration,postcode,price
0,1211-200-spencer-street-melbourne-vic-3000-16073870,Albert Park,2989.12,411.14,3000,480.0
1,1901-368-st-kilda-road-melbourne-vic-3000-16073890,Albert Park,1050.72,201.15,3000,1800.0
2,3002-288-spencer-st-melbourne-vic-3000-16081949,Carlton Court House Historic Reserve,3149.05,403.14,3000,510.0
3,9-15-rankins-lane-melbourne-vic-3000-16076773,Carlton Court House Historic Reserve,2518.23,334.56,3000,900.0
4,612-408-lonsdale-street-melbourne-vic-3000-16079773,Carlton Court House Historic Reserve,2293.95,269.53,3000,350.0
5,711-422-collins-street-melbourne-vic-3000-16087505,Albert Park,2824.64,405.28,3000,400.0
6,911-408-lonsdale-street-melbourne-vic-3000-16084620,Carlton Court House Historic Reserve,2293.95,269.53,3000,330.0
7,2205-22-24-jane-bell-lane-melbourne-vic-3000-16076879,Carlton Court House Historic Reserve,1609.11,200.47,3000,550.0
8,502-118-russell-street-melbourne-vic-3000-16090549,Carlton Court House Historic Reserve,2026.67,253.84,3000,620.0
9,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,Carlton Court House Historic Reserve,3004.24,371.13,3000,625.0
10,57-243-collins-street-melbourne-vic-3000-16089287,Carlton Court House Historic Reserve,2798.59,327.69,3000,400.0
11,1715-220-spencer-street-melbourne-vic-3000-16071670,Albert Park,3050.63,417.47,3000,600.0
12,3510-442-elizabeth-st-melbourne-vic-3000-16076491,Carlton Court House Historic Reserve,1860.3,228.46,3000,680.0
13,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,Carlton Court House Historic Reserve,1469.6,181.27,3000,600.0
14,918-422-collins-st-melbourne-vic-3000-16084005,Albert Park,2824.64,405.28,3000,600.0
15,2108-288-spencer-street-melbourne-vic-3000-15572564,Carlton Court House Historic Reserve,3149.05,403.14,3000,350.0
16,217-339-swanston-st-melbourne-vic-3000-16055041,Carlton Court House Historic Reserve,2101.86,266.61,3000,380.0
17,55-1-albert-road-melbourne-vic-3000-16054304,Albert Park,455.45,85.16,3000,950.0
18,1411-120-a-beckett-st-melbourne-vic-3000-16062428,Carlton Court House Historic Reserve,2027.01,246.78,3000,680.0
19,3108-500-elizabeth-st-melbourne-vic-3000-16055187,Carlton Court House Historic Reserve,1885.35,229.21,3000,410.0
20,202a-441-lonsdale-street-melbourne-vic-3000-16090002,Carlton Court House Historic Reserve,2529.05,304.7,3000,300.0
21,602-118-franklin-street-melbourne-vic-3000-16082578,Carlton Court House Historic Reserve,1963.17,241.45,3000,330.0
22,102-9-bligh-place-melbourne-vic-3000-16071806,Albert Park,2718.86,413.42,3000,600.0
23,3-27-flinders-lane-melbourne-vic-3000-16072122,Princes Warf,2315.1,337.32,3000,420.0
24,1505-250-elizabeth-street-melbourne-vic-3000-16078181,Carlton Court House Historic Reserve,2340.32,275.3,3000,520.0
25,104-300-swanston-street-melbourne-vic-3000-13671355,Carlton Court House Historic Reserve,1762.4,237.26,3000,550.0
26,1007-238-flinders-st-melbourne-vic-3000-16066003,Albert Park,2815.74,404.4,3000,320.0
27,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,Albert Park,2989.12,411.14,3000,440.0
28,1605-565-flinders-street-melbourne-vic-3000-16080390,Albert Park,2780.73,347.43,3000,500.0
29,1206-118-russell-street-melbourne-vic-3000-16062720,Carlton Court House Historic Reserve,2026.67,253.84,3000,550.0
30,4-180-little-collins-street-melbourne-vic-3000-16080818,Carlton Court House Historic Reserve,2152.33,271.63,3000,500.0
31,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,Carlton Court House Historic Reserve,1984.06,265.17,3000,350.0
32,101-25-33-wills-street-melbourne-vic-3000-14868152,Carlton Court House Historic Reserve,2469.79,310.19,3000,400.0
33,2104-38-rose-lane-melbourne-vic-3000-16035456,Carlton Court House Historic Reserve,2940.35,356.57,3000,550.0
34,504-350-la-trobe-street-melbourne-vic-3000-15302782,Carlton Court House Historic Reserve,2344.71,289.78,3000,395.0
35,2004-288-spencer-street-melbourne-vic-3000-16076141,Carlton Court House Historic Reserve,3149.05,403.14,3000,360.0
36,1211-260-spencer-street-melbourne-vic-3000-16065974,Carlton Court House Historic Reserve,3105.75,378.33,3000,700.0
37,2905b-11-rose-lane-melbourne-vic-3000-16074279,Albert Park,3131.03,441.81,3000,575.0
38,2004-288-spencer-street-melbourne-vic-3000-16076141,Carlton Court House Historic Reserve,3149.05,403.14,3000,360.0
39,9-322-albert-street-east-melbourne-vic-3002-16087584,Lower Yarra River land,2257.75,273.92,3002,990.0
40,8-108-george-street-east-melbourne-vic-3002-16049735,Lower Yarra River land,2154.15,287.82,3002,450.0
41,12-vale-street-east-melbourne-vic-3002-16070321,Lower Yarra River land,2399.89,342.14,3002,1150.0
42,203-33-cliveden-close-east-melbourne-vic-3002-16087803,Princes Warf,2550.14,370.62,3002,380.0
43,23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Princes Warf,2729.03,390.89,3002,750.0
44,13-86-hotham-street-east-melbourne-vic-3002-16065438,Lower Yarra River land,1974.63,264.13,3002,450.0
45,12-174-george-street-east-melbourne-vic-3002-14217723,Lower Yarra River land,2269.9,310.97,3002,495.0
46,1105-162-albert-street-east-melbourne-vic-3002-16084999,Lower Yarra River land,1783.3,234.63,3002,420.0
47,po9p-191-powlett-street-east-melbourne-vic-3002-16088441,Lower Yarra River land,1669.72,213.66,3002,675.0
48,104-150-clarendon-street-east-melbourne-vic-3002-16076278,Lower Yarra River land,2221.1,266.06,3002,950.0
49,38-400-victoria-parade-east-melbourne-vic-3002-12863768,Lower Yarra River land,1955.93,227.21,3002,770.0
50,1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,Lower Yarra River land,2361.54,293.42,3002,750.0
51,4-23-albert-street-east-melbourne-vic-3002-16083380,Carlton Court House Historic Reserve,2238.32,265.89,3002,475.0
52,7-126-wellington-parade-east-melbourne-vic-3002-16061003,Lower Yarra River land,2466.9,333.66,3002,1800.0
53,unit-13p-189-powlett-st-east-melbourne-vic-3002-16078040,Lower Yarra River land,1703.35,221.73,3002,600.0
54,107k-211-powlett-street-east-melbourne-vic-3002-16085151,Lower Yarra River land,1624.92,202.91,3002,550.0
55,p08p-191-powlett-street-east-melbourne-vic-3002-16061199,Lower Yarra River land,1667.66,213.17,3002,625.0
56,g02-135-roden-street-west-melbourne-vic-3003-15657129,Carlton Court House Historic Reserve,3156.97,381.37,3003,580.0
57,260-adderley-street-west-melbourne-vic-3003-16071421,Carlton Court House Historic Reserve,3375.83,384.92,3003,950.0
58,201-65-dudley-street-west-melbourne-vic-3003-16076288,Carlton Court House Historic Reserve,3110.01,374.75,3003,420.0
59,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Carlton Court House Historic Reserve,3546.28,400.76,3003,500.0
60,603-spencer-street-west-melbourne-vic-3003-16065963,Carlton Court House Historic Reserve,3088.04,356.47,3003,525.0
61,78-hawke-street-west-melbourne-vic-3003-16084403,Carlton Court House Historic Reserve,3269.95,375.92,3003,1100.0
62,104-12-queens-road-melbourne-vic-3004-16055021,Albert Park,622.54,119.42,3004,440.0
63,1507-12-queens-rd-melbourne-vic-3004-16081919,Albert Park,622.54,119.42,3004,700.0
64,1312-35-albert-rd-melbourne-vic-3004-16053245,Albert Park,176.92,41.47,3004,570.0
65,309-77-queens-road-melbourne-vic-3004-15339268,Albert Reserve,985.81,136.03,3004,430.0
66,405-442-st-kilda-road-melbourne-vic-3004-16057221,Albert Park,751.33,150.0,3004,380.0
67,303-250-st-kilda-road-melbourne-vic-3004-16068286,Princes Warf,1686.26,273.33,3004,1395.0
68,902-133-russell-st-melbourne-vic-3004-16078264,Carlton Court House Historic Reserve,1967.18,243.24,3004,650.0
69,19-73-queens-road-melbourne-vic-3004-16052308,Albert Reserve,896.17,123.12,3004,580.0
70,405-15-queens-road-melbourne-vic-3004-16074877,Albert Park,710.04,116.2,3004,550.0
71,113-350-st-kilda-road-melbourne-vic-3004-16063679,Albert Park,1015.9,202.8,3004,1500.0
72,517-74-queens-road-melbourne-vic-3004-16040056,Albert Reserve,930.13,128.01,3004,450.0
73,314-499-st-kilda-road-melbourne-vic-3004-16071284,Albert Reserve,682.44,94.6,3004,900.0
74,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Albert Reserve,929.28,127.89,3004,425.0
75,1510-1-freshwater-place-southbank-vic-3006-16089972,Princes Warf,1887.02,255.05,3006,640.0
76,3606-45-clarke-street-southbank-vic-3006-16052560,Albert Park,1769.42,287.09,3006,650.0
77,1701a-60-dorcas-street-southbank-vic-3006-16053477,Albert Park,985.57,173.46,3006,400.0
78,705-26-southgate-avenue-southbank-vic-3006-16080371,Princes Warf,1817.91,258.92,3006,530.0
79,104-285-city-road-southbank-vic-3006-16088546,Albert Park,2008.43,270.31,3006,550.0
80,1008-80-clarendon-street-southbank-vic-3006-16070358,Albert Park,2131.47,292.17,3006,650.0
81,48-183-city-road-southbank-vic-3006-16088421,Albert Park,2031.92,276.62,3006,750.0
82,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Princes Warf,1667.02,231.1,3006,850.0
83,1306-285-city-road-southbank-vic-3006-16077906,Albert Park,2008.43,270.31,3006,500.0
84,602-250-city-road-southbank-vic-3006-16085393,Albert Park,1887.4,311.58,3006,385.0
85,1603-250-city-road-southbank-vic-3006-16085712,Albert Park,1887.4,311.58,3006,400.0
86,2204-250-city-road-southbank-vic-3006-16047014,Albert Park,1887.4,311.58,3006,475.0
87,3402-61-haig-street-southbank-vic-3006-15171750,Albert Park,2211.17,311.3,3006,395.0
88,1811-8-marmion-pl-docklands-vic-3008-16076987,Lower Maribyrnong River land,3828.43,450.6,3008,480.0
89,1209-8-pearl-river-rd-docklands-vic-3008-16076547,Lower Maribyrnong River land,3472.21,391.61,3008,420.0
90,1112-8-mccrae-street-docklands-vic-3008-16086787,Albert Park,3213.3,460.03,3008,445.0
91,1201-8-joseph-road-footscray-vic-3011-16066987,Lower Maribyrnong River land,805.35,104.57,3011,485.0
92,807-2-joseph-road-footscray-vic-3011-16073204,Lower Maribyrnong River land,679.18,89.43,3011,390.0
93,705-8-joseph-road-footscray-vic-3011-16069015,Lower Maribyrnong River land,805.35,104.57,3011,475.0
94,705-8-joseph-road-footscray-vic-3011-16069015,Lower Maribyrnong River land,805.35,104.57,3011,475.0
