rent_address,stop_name,min_distance,min_duration
13-9-fitzroy-street-st-kilda-vic-3182-16057589,Albert Park,1040.99,157.0
2a-garden-street-hawthorn-vic-3122-16056125,Albert Reserve,2584.14,269.49
439-111-punt-road-windsor-vic-3181-16055654,Albert Park,1259.38,201.12
502-21-plenty-road-bundoora-vic-3083-16055079,Gresswell Forest (part a) Nature Conservation Reserve,2865.46,430.16
1-18-raynes-street-balwyn-vic-3103-16054448,Wattle Park,5242.14,515.92
3-13-state-street-oakleigh-east-vic-3166-16054316,Karkarook Park (water authority land),7563.58,835.52
55-1-albert-road-melbourne-vic-3000-16054304,Albert Park,455.45,85.16
16-byrne-street-port-melbourne-vic-3207-16054203,Kerford Road and Lagoon Piers,1837.55,247.73
6-89-seymour-road-elsternwick-vic-3185-16054067,St Kilda (Brookes Jetty),5331.15,512.59
105-337-balaclava-road-caulfield-north-vic-3161-16053704,Herring Island,7993.36,714.52
76b-oakleigh-road-carnegie-vic-3163-16053547,Karkarook Park (water authority land),7223.73,688.69
1701a-60-dorcas-street-southbank-vic-3006-16053477,Albert Park,985.57,173.46
3-38-mitford-street-elwood-vic-3184-16053235,St Kilda (Brookes Jetty),1460.17,237.47
2-9-bertram-street-elsternwick-vic-3185-13756533,Middle Brighton Pier and Breakwater,4054.67,458.63
2-2-melville-avenue-newtown-vic-3220-16052733,Geelong Telegraph Station Historic Reserve,3123.51,360.41
g09-22-nicholson-street-fitzroy-north-vic-3068-16052600,Carlton Court House Historic Reserve,3243.25,352.41
3606-45-clarke-street-southbank-vic-3006-16052560,Albert Park,1769.42,287.09
57-lang-street-south-yarra-vic-3141-16052404,Albert Reserve,2022.4,234.65
1-28-ormond-road-ascot-vale-vic-3032-16052047,Lower Maribyrnong River land,3690.16,404.08
2-48-magnolia-road-gardenvale-vic-3185-16051707,Middle Brighton Pier and Breakwater,3493.54,377.18
4-260-st-kilda-road-st-kilda-vic-3182-16051315,Albert Park,1500.43,207.33
5-5-luckie-street-nunawading-vic-3131-16050936,Mullum Mullum Park,3295.44,427.67
29-10-clifton-street-prahran-vic-3181-16050826,Albert Park,2522.01,343.46
329-howe-parade-port-melbourne-vic-3207-16050374,Westgate Park,1925.73,376.54
42-commercial-road-prahran-vic-3181-16050172,Albert Reserve,1497.0,172.91
2-gateway-close-chadstone-vic-3148-15228933,Wattle Park,7955.63,792.3
3-20-hughenden-road-st-kilda-east-vic-3183-16048551,Albert Park,3094.18,339.84
414-77-river-street-south-yarra-vic-3141-16048403,Albert Park,2756.08,339.73
rear-25-alfreida-st-st-albans-vic-3021-16048249,Cairnlea Estate Nature Conservation Reserve,3171.68,384.27
104-park-orchard-drive-pakenham-vic-3810-16047301,Pakenham G71 Bushland Reserve,6403.12,538.29
2204-250-city-road-southbank-vic-3006-16047014,Albert Park,1887.4,311.58
7-13-hawksburn-road-south-yarra-vic-3141-16046810,Albert Park,3236.52,437.46
502-27-macquarie-street-prahran-vic-3181-16042904,Albert Reserve,2137.36,277.51
8-k3-union-street-windsor-vic-3181-16042862,Albert Park,1010.5,147.95
206a-14-16-the-esplanade-st-kilda-vic-3182-16042840,Albert Park,1137.26,162.21
14-245-williams-road-south-yarra-vic-3141-16042334,Herring Island,3204.25,350.39
207-120-high-street-windsor-vic-3181-16042309,Albert Reserve,1831.47,222.18
302-270-centre-road-bentleigh-vic-3204-16041922,Middle Brighton Pier and Breakwater,5131.62,532.85
1-04-26-warleigh-grove-brighton-vic-3186-15879283,Middle Brighton Pier and Breakwater,2129.52,270.97
9-488-glenferrie-road-hawthorn-vic-3122-16040221,Lower Yarra River land,3090.15,306.46
177-urquhart-street-coburg-vic-3058-16040113,Yarra Bend Park,8710.37,768.75
2-14-hatfield-street-balwyn-north-vic-3104-16039515,Part Yarra Valley Parklands,3363.32,347.48
1-51-rochester-road-canterbury-vic-3126-16038373,Wattle Park,4188.28,389.06
5-lucas-street-brighton-east-vic-3187-16037643,Sandringham Jetty and Breakwater,3287.41,331.66
11-kawana-mews-cranbourne-vic-3977-16037155,Langwarrin Bushland Reserve,4884.15,334.06
3-30-the-avenue-windsor-vic-3181-16035963,Albert Reserve,2843.29,319.02
73-easey-street-collingwood-vic-3066-16027969,Lower Yarra River land,1588.54,252.4
11-kawana-mews-cranbourne-vic-3977-16037155,Langwarrin Bushland Reserve,4884.15,334.06
202-23-maverston-street-glen-iris-vic-3146-16018321,Wattle Park,4707.89,447.25
204-171-173-inkerman-street-st-kilda-vic-3182-16015508,Albert Park,1417.48,181.68
23a-thomas-street-brighton-east-vic-3187-16071256,Middle Brighton Pier and Breakwater,4454.2,484.4
24-euston-road-hughesdale-vic-3166-15210228,Karkarook Park (water authority land),6333.43,624.09
14-avenue-athol-canterbury-vic-3126-16070437,Wattle Park,5019.43,507.39
4-wells-street-richmond-vic-3121-16069616,Lower Yarra River land (addition) Park,687.91,101.24
4-273-balaclava-rd-caulfield-north-vic-3161-16013121,Herring Island,7540.05,684.85
26-219-227-auburn-road-hawthorn-vic-3122-16068411,Lower Yarra River land,3334.42,334.69
38-urwin-street-yarraville-vic-3013-16068181,"Williamstown Workshop, Piers & Stony Creek Backwash",3694.16,367.82
107-15-hamilton-street-bentleigh-vic-3204-15281179,Karkarook Park (water authority land),6295.74,652.52
53-hambleton-street-albert-park-vic-3206-16066946,Kerford Road and Lagoon Piers,977.6,124.8
119-8-lygon-street-brunswick-east-vic-3057-16066944,Carlton Court House Historic Reserve,2321.95,240.37
3-6-gilmour-rd-camberwell-vic-3124-16066736,Wattle Park,2141.38,232.16
5-2-park-avenue-glen-huntly-vic-3163-16066311,Karkarook Park (water authority land),8622.46,803.58
202-9-13-o-connell-street-north-melbourne-vic-3051-16066203,Carlton Court House Historic Reserve,2361.52,289.78
8-237-dandenong-road-windsor-vic-3181-16066062,Albert Park,2791.03,321.12
354b-clarendon-street-south-melbourne-vic-3205-16065911,Albert Park,1142.32,174.64
