rent_address,stop_name,min_distance,min_duration
g10-1-red-hill-terrace-doncaster-east-vic-3109-16085903,Yarra Valley Parklands,4012.19,465.76
1805-50-albert-road-south-melbourne-vic-3205-12112230,Albert Park,407.99,83.46
7-10-nash-st-glen-iris-vic-3146-16085807,Herring Island,6522.05,528.3
804s-227-toorak-rd-south-yarra-vic-3141-16085781,Albert Park,2256.19,293.07
1603-250-city-road-southbank-vic-3006-16085712,Albert Park,1887.4,311.58
2-62-chapman-avenue-glenroy-vic-3046-16085659,Lower Maribyrnong River land,10529.43,865.42
6-12-phillip-street-mentone-vic-3194-13444145,Mordialloc Pier,5087.99,591.15
9-566-glenferrie-road-hawthorn-vic-3122-16085611,Lower Yarra River land,2505.49,264.37
10-633-inkerman-road-caulfield-north-vic-3161-16085522,Albert Park,4122.94,405.24
6-laburnum-court-brighton-vic-3186-16085520,Middle Brighton Pier and Breakwater,3365.51,386.46
204-107-cambridge-street-collingwood-vic-3066-16085513,Lower Yarra River land,1367.05,206.51
1-cassawory-place-safety-beach-vic-3936-16085503,Port Phillip Bay Coastal Reserve (COM),822.89,113.18
5-34-bute-street-murrumbeena-vic-3163-16085475,Karkarook Park (water authority land),6306.08,688.47
130-corriedale-crescent-park-orchards-vic-3114-16040346,Mullum Mullum Park,4473.56,551.64
5-186-bay-rd-sandringham-vic-3191-16090981,Sandringham Jetty and Breakwater,2805.47,285.5
207-171-173-inkerman-street-st-kilda-east-vic-3183-16090952,Albert Park,1417.48,181.68
2-rubens-grove-canterbury-vic-3126-16090938,Wattle Park,5086.17,470.56
4-11-tooronga-road-malvern-east-vic-3145-16090865,Herring Island,7705.24,665.41
1402-229-toorak-road-south-yarra-vic-3141-16090852,Albert Park,2262.56,317.36
35-clifton-street-aberfeldie-vic-3040-16090841,Lower Maribyrnong River land,2268.34,220.88
4-10-12-lillian-street-clayton-vic-3168-15234232,Karkarook Park (water authority land),6069.6,623.58
7-21-dunoon-st-murrumbeena-vic-3163-16090776,Karkarook Park (water authority land),7189.9,684.12
37-hoddle-way-altona-meadows-vic-3028-16090729,Point Cook Coastal Park,468.01,67.39
5-141-glenhuntly-road-elwood-vic-3184-16090615,St Kilda (Brookes Jetty),2630.67,255.99
6-20-pine-avenue-elwood-vic-3184-16090586,St Kilda (Brookes Jetty),2675.82,296.47
188-park-street-fitzroy-north-vic-3068-16090583,Carlton Court House Historic Reserve,3066.9,316.02
502-118-russell-street-melbourne-vic-3000-16090549,Carlton Court House Historic Reserve,2026.67,253.84
3-16-malakoff-street-st-kilda-east-vic-3183-16090509,Albert Park,2347.72,259.76
12-45-collins-street-thornbury-vic-3071-16090482,Yarra Bend Park,5357.21,474.68
3-16-blissington-street-springvale-vic-3171-16090463,Dandenong Valley Parklands,8984.49,1027.11
1-64-fitzroy-street-st-kilda-west-vic-3182-16090436,Albert Park,23.96,4.31
23-parer-street-burwood-vic-3125-16090404,Wattle Park,2752.64,266.8
209-92-96-albert-street-brunswick-east-vic-3057-16090378,Carlton Court House Historic Reserve,3457.97,345.33
552-drummond-street-carlton-vic-3053-16090356,Carlton Court House Historic Reserve,1169.41,131.74
2-69-darling-road-malvern-east-vic-3145-16090331,Wattle Park,8626.71,795.96
3-55-johnston-street-port-melbourne-vic-3207-16090322,Kerford Road and Lagoon Piers,389.1,46.03
1-27-mcbain-st-altona-vic-3018-16090275,Altona Pier,699.87,91.47
18-bell-street-seddon-vic-3011-16090272,Lower Maribyrnong River land,2579.3,334.36
110-clark-street-port-melbourne-vic-3207-16090219,Kerford Road and Lagoon Piers,1893.75,204.26
1-12-avoca-ave-elwood-vic-3184-16090201,St Kilda (Brookes Jetty),1609.04,273.19
8-7-cardigan-street-st-kilda-east-vic-3183-16090197,Albert Park,2578.7,278.23
8-mary-moodie-way-brunswick-east-vic-3057-16090196,Carlton Court House Historic Reserve,3052.86,354.67
3-bell-street-hawthorn-vic-3122-16090187,Lower Yarra River land,2864.24,312.26
9-hillcrest-avenue-chadstone-vic-3148-16090183,Wattle Park,8473.17,808.96
1-53-woolton-avenue-thornbury-vic-3071-16090180,Yarra Bend Park,4726.54,471.47
26b-raymond-street-ashwood-vic-3147-16090168,Wattle Park,5921.02,538.13
203-152-peel-street-windsor-vic-3181-16090148,Albert Park,1783.37,268.93
401-52-nott-street-port-melbourne-vic-3207-16090119,Kerford Road and Lagoon Piers,979.59,128.74
903-93-dow-street-port-melbourne-vic-3207-16090117,Kerford Road and Lagoon Piers,724.17,113.39
1413-610-st-kilda-rd-melbourne-vic-3004-16090064,Albert Reserve,929.28,127.89
5-masefield-avenue-sandringham-vic-3191-16090053,Black Rock Jetty,1764.81,172.32
202a-441-lonsdale-street-melbourne-vic-3000-16090002,Carlton Court House Historic Reserve,2529.05,304.7
3-51-james-street-prahran-vic-3181-16090001,Albert Park,2101.77,327.18
1510-1-freshwater-place-southbank-vic-3006-16089972,Princes Warf,1887.02,255.05
304-2-6-duckett-street-brunswick-vic-3056-16089922,Carlton Court House Historic Reserve,4976.48,475.58
113-392-st-georges-road-fitzroy-north-vic-3068-16089889,Yarra Bend Park,3173.48,344.14
3-84-winfield-road-balwyn-north-vic-3104-16089860,Part Yarra Valley Parklands,4935.28,378.18
503-75-wellington-street-collingwood-vic-3066-16089857,Lower Yarra River land,1380.03,163.87
1701-18-claremont-street-south-yarra-vic-3141-16089739,Albert Park,2688.1,385.53
205-16-18-grey-street-st-kilda-vic-3182-16089700,Albert Park,251.32,44.46
24-spencer-rd-camberwell-vic-3124-16089697,Wattle Park,3581.42,347.56
73a-castlewood-street-bentleigh-east-vic-3165-16089696,Karkarook Park (water authority land),3620.84,432.12
8-2-murray-street-thornbury-vic-3071-16089692,Yarra Bend Park,5706.89,490.26
1-47-oakwood-avenue-dandenong-north-vic-3175-16089665,Dandenong Police Paddocks Reserve,5013.73,521.04
7-11-truganini-road-carnegie-vic-3163-16089644,Wattle Park,9642.75,926.01
51-duke-street-richmond-vic-3121-16089558,Lower Yarra River land,2102.46,227.85
605-70-stanley-street-collingwood-vic-3066-16089493,Lower Yarra River land,1446.69,205.9
804-7-evergreen-mews-armadale-vic-3143-16089480,Herring Island,3921.64,424.45
128-thomas-mitchell-drive-wodonga-vic-3690-16089463,Proposed Murray River Park (part),1347.7,233.04
4-16-18-shaftesbury-avenue-malvern-vic-3144-16089440,Herring Island,5777.95,527.25
