rent_address,stop_name,min_distance,min_duration
10-18-gerald-street-murrumbeena-vic-3163-16063451,Karkarook Park (water authority land),6444.84,624.1
10-k7-high-street-windsor-vic-3181-16063444,Albert Reserve,1086.26,146.64
29-70-church-street-hawthorn-vic-3122-16063437,Lower Yarra River land,675.93,81.23
503-9-dryburgh-street-west-melbourne-vic-3003-16063432,Carlton Court House Historic Reserve,3546.28,400.76
3-79-barkly-street-st-kilda-vic-3182-16063362,Albert Park,884.4,112.82
105-801-centre-road-bentleigh-east-vic-3165-16063308,Karkarook Park (water authority land),3901.09,424.43
9-106-addison-street-elwood-vic-3184-16063225,St Kilda (Brookes Jetty),1693.32,185.25
4-2-selwyn-avenue-elwood-vic-3184-16063201,St Kilda (Brookes Jetty),2249.34,231.28
3-4-orrong-road-elsternwick-vic-3185-16063179,St Kilda (Brookes Jetty),4355.99,455.8
4-867-883-drummond-street-carlton-north-vic-3054-16063178,Carlton Court House Historic Reserve,1873.96,224.89
614-5-olive-york-way-brunswick-west-vic-3055-15426148,Lower Maribyrnong River land,6155.89,651.84
53-duke-street-windsor-vic-3181-16063116,Albert Park,2120.37,308.49
94-coppin-street-richmond-vic-3121-16062861,Lower Yarra River land,1327.78,128.21
27-16-20-milton-street-elwood-vic-3184-15503430,St Kilda (Brookes Jetty),2462.44,326.12
508-7-balcombe-rd-mentone-vic-3194-16062820,Mordialloc Pier,4427.65,462.91
1-42-grandview-grove-prahran-vic-3181-16062555,Albert Park,4058.98,527.89
4-nareeb-court-toorak-vic-3142-16044504,Herring Island,4022.04,412.08
1411-120-a-beckett-st-melbourne-vic-3000-16062428,Carlton Court House Historic Reserve,2027.01,246.78
748-warrigal-road-malvern-east-vic-3145-14989490,Wattle Park,6559.3,737.54
107-358-moreland-road-brunswick-west-vic-3055-16062260,Carlton Court House Historic Reserve,7004.6,642.54
2-74-hawthorn-rd-caulfield-north-vic-3161-16062077,Albert Park,4799.67,453.12
34-97-brickworks-drive-brunswick-vic-3056-16062022,Carlton Court House Historic Reserve,4891.51,484.64
808-2-claremont-street-south-yarra-vic-3141-16061993,Albert Park,2224.57,308.24
403-118-cairnlea-drive-cairnlea-vic-3023-16061980,Cairnlea Estate Nature Conservation Reserve,1399.31,253.96
105-39-appleton-street-richmond-vic-3121-16061881,Lower Yarra River land,505.79,103.67
5-419-waverley-road-malvern-east-vic-3145-16061833,Wattle Park,7507.41,752.58
909-528-swanston-street-carlton-vic-3053-16061810,Carlton Court House Historic Reserve,1301.67,156.18
31a-tweed-st-highett-vic-3190-16061681,Sandringham Jetty and Breakwater,4312.61,378.24
g04-12-major-street-highett-vic-3190-15263650,Sandringham Jetty and Breakwater,4839.85,416.62
2-474-glenferrie-road-hawthorn-vic-3122-16061541,Lower Yarra River land,3309.92,329.0
92-wilson-street-wodonga-vic-3690-16061441,Wodonga Regional Park,3585.21,483.97
