rent_address,stop_name,min_distance,min_duration
3-22-roseberry-grove-glen-huntly-vic-3163-16078525,NULL,NULL,NULL
19-tivoli-road-south-yarra-vic-3141-16079814,Albert Park,2689.57,342.71
109-6-dalgety-street-oakleigh-vic-3166-16079810,Karkarook Park (water authority land),6284.1,690.59
24-wertheim-street-richmond-vic-3121-16079802,Lower Yarra River land,923.53,173.61
1a-clarendon-avenue-wodonga-vic-3690-16079795,Wodonga Bushland Reserve,3973.49,514.91
612-408-lonsdale-street-melbourne-vic-3000-16079773,Carlton Court House Historic Reserve,2293.95,269.53
14-58-62-mary-street-kew-vic-3101-16079756,Yarra Bend Park,2251.53,318.29
6-19-sydney-street-murrumbeena-vic-3163-16079700,Wattle Park,8365.07,830.88
203-333-ferrars-street-south-melbourne-vic-3205-16079686,Kerford Road and Lagoon Piers,1499.7,171.89
103-5-7-nepean-highway-elsternwick-vic-3185-16079664,St Kilda (Brookes Jetty),3391.61,371.64
g-04-567-glenferrie-road-hawthorn-vic-3122-16079647,Lower Yarra River land,2462.01,261.24
72-oban-street-south-yarra-vic-3141-16079620,Herring Island,3502.82,410.31
8-49-patterson-street-middle-park-vic-3206-16079493,St Kilda Pier and Breakwater,929.41,117.93
701-57-bay-street-port-melbourne-vic-3207-16079490,Kerford Road and Lagoon Piers,953.48,106.14
310-22-chatham-street-prahran-vic-3181-16079412,Albert Reserve,1815.7,243.83
11-evans-street-chadstone-vic-3148-16079398,Wattle Park,6611.06,707.66
286a-balcombe-rd-beaumaris-vic-3193-16079394,Ricketts Point Marine Sanctuary,3462.41,283.46
3-25-barkly-street-mordialloc-vic-3195-16079387,Mordialloc Pier,1456.73,243.94
7a-los-angeles-court-ripponlea-vic-3185-16079275,St Kilda (Brookes Jetty),2985.0,381.79
565-heidelberg-road-alphington-vic-3078-16079269,Yarra Bend Park,1258.3,196.57
2-anchor-place-prahran-vic-3181-16079263,Albert Park,2575.48,356.3
3-2a-vautier-street-elwood-vic-3184-16079224,St Kilda (Brookes Jetty),2430.75,261.53
11-binalong-ave-chadstone-vic-3148-16079197,Wattle Park,6087.41,643.58
75a-watts-street-box-hill-north-vic-3129-16079176,Wattle Park,5230.3,556.44
616-14-david-street-richmond-vic-3121-16079171,Lower Yarra River land,419.77,89.56
2-vella-court-springvale-south-vic-3172-16079155,Braeside Park,3453.5,385.16
6-leslie-street-st-kilda-east-vic-3183-16079147,Albert Park,2437.79,267.5
4-7-vale-street-pascoe-vale-vic-3044-16079115,Lower Maribyrnong River land,7221.17,770.34
3-798-warrigal-road-malvern-east-vic-3145-16079041,Karkarook Park (water authority land),5939.87,718.54
4-nightingale-street-balaclava-vic-3183-16078992,St Kilda (Brookes Jetty),2185.39,285.37
12-28-the-avenue-windsor-vic-3181-16078988,Albert Park,2834.88,317.88
4-2-waxman-parade-brunswick-west-vic-3055-16078957,Lower Maribyrnong River land,4772.43,493.5
78-hope-street-brunswick-vic-3056-16078953,Carlton Court House Historic Reserve,5255.85,499.57
173-spensley-street-clifton-hill-vic-3068-16078951,Lower Yarra River land,1737.26,250.98
306-25-clifton-street-prahran-vic-3181-16078928,Albert Park,2428.23,320.96
11-8-lamin-lane-toorak-vic-3142-16078927,Herring Island,2451.14,281.72
1009-338-kings-way-south-melbourne-vic-3205-16078854,Albert Park,680.3,141.42
2003-8-joseph-road-footscray-vic-3011-16078798,Lower Maribyrnong River land,805.35,104.57
53-elster-avenue-gardenvale-vic-3185-16078745,Middle Brighton Pier and Breakwater,3188.49,346.96
90-edgevale-road-kew-vic-3101-16078740,Lower Yarra River land,3008.05,348.95
2-94-buckingham-street-richmond-vic-3121-14830817,Lower Yarra River land (addition) Park,870.53,171.36
402-20-garden-street-south-yarra-vic-3141-16078689,Albert Reserve,2649.94,285.28
2108-288-spencer-street-melbourne-vic-3000-15572564,Carlton Court House Historic Reserve,3149.05,403.14
510-42-porter-street-prahran-vic-3181-16078605,Albert Reserve,2026.05,256.3
3-206-alma-rd-st-kilda-east-vic-3183-16078582,Albert Park,2853.3,300.98
4-34-clarke-street-prahran-vic-3181-16078572,Albert Reserve,2834.22,294.89
11-64-auburn-rd-hawthorn-vic-3122-16076131,Lower Yarra River land,3238.52,324.64
7-237-balaclava-road-caulfield-north-vic-3161-16078540,Albert Park,5184.66,450.69
34-garrisson-drive-glen-waverley-vic-3150-16078539,Dandenong Valley Parklands (COM),1763.37,161.25
