rent_address,school_name,min_distance,min_duration
119-8-lygon-street-brunswick-east-vic-3057-16066944,Berwick Primary School,379.56,56.35
3-6-gilmour-rd-camberwell-vic-3124-16066736,Warrandyte Primary School,844.19,98.45
5-2-park-avenue-glen-huntly-vic-3163-16066311,Warrnambool West Primary School,543.42,48.79
202-9-13-o-connell-street-north-melbourne-vic-3051-16066203,Bellbrae Primary School,599.65,85.89
8-237-dandenong-road-windsor-vic-3181-16066062,St Andrews Primary School,554.97,69.03
354b-clarendon-street-south-melbourne-vic-3205-16065911,St Andrews Primary School,724.59,103.6
31-foster-ave-glen-huntly-vic-3163-16064783,St Andrews Primary School,633.44,87.71
4-129-131-kambrook-road-caulfield-north-vic-3161-16064416,Colac Primary School,647.28,71.4
105-20-station-street-highett-vic-3190-16063906,Eltham Primary School,1318.13,169.79
16f-54-la-scala-avenue-maribyrnong-vic-3032-14989099,Berwick Primary School,838.62,127.31
1-29-the-avenue-windsor-vic-3181-16063438,Avoca Primary School,493.64,85.73
3-12-thea-avenue-balwyn-north-vic-3104-16062335,California Gully Primary School,459.21,82.85
12-2a-brenbeal-street-balwyn-vic-3103-16061618,Flemington Primary School,59.21,9.68
24-343-church-street-richmond-vic-3121-16061297,Huntly Primary School,120.87,15.5
30-high-street-mont-albert-vic-3127-16060025,Creswick Primary School,926.13,79.41
16-homewood-lane-highton-vic-3216-16059490,Colac Primary School,1049.05,84.77
37-award-crescent-truganina-vic-3029-16058731,Cheltenham Primary School,1253.57,162.31
55-durrant-street-brighton-vic-3186-16058681,Alberton Primary School,1047.39,114.78
3-24-auburn-grove-hawthorn-east-vic-3123-16058606,Cheltenham Primary School,838.55,91.57
12-126-wattle-valley-road-camberwell-vic-3124-15138321,Eltham Primary School,433.71,76.84
111-378-390-saint-georges-road-fitzroy-north-vic-3068-16057525,Berwick Primary School,268.23,37.99
8-375-hoddle-street-collingwood-vic-3066-16057038,Campbells Creek Primary School,1208.95,178.75
80c-first-ave-altona-north-vic-3025-16056452,Belmont Primary School,921.92,133.37
1-12-cole-crescent-chadstone-vic-3148-16056418,Allansford and District Primary School,1100.69,156.51
3-72-leamington-street-reservoir-vic-3073-16055115,Belmont Primary School,673.15,161.55
103-56-harp-road-kew-vic-3101-16054693,Warrandyte Primary School,776.89,110.87
4-2-clifton-road-hawthorn-east-vic-3123-16053841,Hawthorn West Primary School,769.03,103.28
1-1062-burke-rd-balwyn-north-vic-3104-16053394,Castlemaine Primary School,563.11,51.16
11-201-graham-street-port-melbourne-vic-3207-16053109,Avenel Primary School,679.99,59.3
13-bird-avenue-northcote-vic-3070-16053046,California Gully Primary School,624.88,69.16
