rent_address,school_name,min_distance,min_duration
2401-14-16-the-esplanade-st-kilda-vic-3182-16072629,Warrandyte Primary School,1242.77,187.56
601-5-olive-york-way-brunswick-west-vic-3055-15143998,Newport Lakes Primary School,640.63,77.53
22-davis-avenue-south-yarra-vic-3141-16072495,Allansford and District Primary School,521.95,82.39
9-123-beaconsfield-parade-albert-park-vic-3206-16072484,Avenel Primary School,794.06,88.63
301-10-12-high-street-glen-iris-vic-3146-16072393,Allansford and District Primary School,232.57,20.6
3-40-northcote-avenue-caulfield-north-vic-3161-15503694,Newport Lakes Primary School,1048.58,118.94
5-556-dandenong-rd-caulfield-north-vic-3161-16072372,Dromana Primary School,1369.17,254.13
3-102-truganini-road-carnegie-vic-3163-15350999,Allansford and District Primary School,263.89,22.67
1-1-namur-street-kew-east-vic-3102-16072307,Castlemaine Primary School,802.23,97.7
8-19-21-abbott-street-sandringham-vic-3191-16072299,Berwick Primary School,672.1,86.39
2705-14-16-the-esplanade-st-kilda-vic-3182-16072154,Warrandyte Primary School,1242.77,187.56
10-110-caroline-street-south-yarra-vic-3141-16072135,Echuca Primary School,858.7,111.02
3-27-flinders-lane-melbourne-vic-3000-16072122,Hawthorn West Primary School,576.04,83.88
2-34-westerfield-drive-notting-hill-vic-3168-16072082,Dromana Primary School,1201.42,173.19
45-69-palmer-street-richmond-vic-3121-16072067,Heidelberg Primary School,388.37,54.74
613b-455-glen-huntly-road-elsternwick-vic-3185-16072040,Flemington Primary School,291.83,59.69
3-45-westbury-st-st-kilda-east-vic-3183-16071948,Campbells Creek Primary School,240.79,21.67
102-9-bligh-place-melbourne-vic-3000-16071806,Huntly Primary School,943.37,138.09
4-34-horne-street-elsternwick-vic-3185-16071700,Elphinstone Primary School,631.74,105.65
89-marshall-street-ivanhoe-vic-3079-16071672,Colac Primary School,489.69,43.97
201-18-claremont-street-south-yarra-vic-3141-16071671,Newport Lakes Primary School,1126.34,152.6
607-7-claremont-street-south-yarra-vic-3141-16071649,Newport Lakes Primary School,1192.89,164.58
408-2-elland-avenue-box-hill-vic-3128-11439410,California Gully Primary School,715.06,105.34
304-17-gordon-street-elsternwick-vic-3185-16071640,Elphinstone Primary School,294.41,63.67
1-14-bletchley-road-hughesdale-vic-3166-16071580,Eaglehawk Primary School,268.52,33.6
9-9-11-adamson-street-brighton-vic-3186-16071478,Alberton Primary School,684.35,123.87
260-adderley-street-west-melbourne-vic-3003-16071421,Dromana Primary School,1172.9,148.27
207-esplanade-west-port-melbourne-vic-3207-16071401,Warrandyte Primary School,419.26,87.51
75-pethajohn-parade-grovedale-vic-3216-16071375,Ballarat Primary School (Dana Street),1559.01,183.1
14-straughan-st-glen-iris-vic-3146-16053776,Bacchus Marsh Primary School,1074.12,139.35
37-kireep-road-balwyn-vic-3103-16071098,Footscray Primary School,561.52,72.72
9-20-kooyong-road-caulfield-north-vic-3161-16071029,Hamilton (Gray Street) Primary School,1227.89,107.7
15-2-the-vaucluse-richmond-vic-3121-15094456,Grovedale Primary School,641.85,110.57
103-107-cambridge-street-collingwood-vic-3066-16070749,Dromana Primary School,372.52,67.05
17-3-seisman-place-port-melbourne-vic-3207-16070746,Beaufort Primary School,548.37,85.88
10-39-41-abbott-street-sandringham-vic-3191-16070656,Beaufort Primary School,427.9,66.86
2-23-jean-street-cheltenham-vic-3192-16070584,Alberton Primary School,1565.4,282.36
9-96-oban-road-ringwood-north-vic-3134-16070551,Campbells Creek Primary School,529.9,73.64
1-307-309-bay-road-cheltenham-vic-3192-16070516,Allansford and District Primary School,1522.4,165.98
1008-80-clarendon-street-southbank-vic-3006-16070358,Beaufort Primary School,908.65,126.19
30-8-graham-street-port-melbourne-vic-3207-16070356,Beaufort Primary School,478.93,68.96
345-station-street-carlton-north-vic-3054-16070322,Allansford and District Primary School,541.07,126.76
22-whites-rd-mount-duneed-vic-3217-16070194,Belmont Primary School,608.7,57.44
6-2-vine-street-blackburn-vic-3130-16070145,Warrnambool West Primary School,1251.42,170.49
538-22-barkly-street-brunswick-east-vic-3057-16070143,Grovedale Primary School,457.48,71.93
234-tucker-road-mckinnon-vic-3204-16070139,California Gully Primary School,412.71,35.57
1-235-burwood-highway-burwood-east-vic-3151-15110932,Warrnambool West Primary School,1448.75,143.71
205-20-garden-street-south-yarra-vic-3141-16069955,Newport Lakes Primary School,828.33,88.19
7-50-carlisle-street-st-kilda-vic-3182-15751006,Allansford and District Primary School,717.16,105.4
3-27-royal-avenue-springvale-vic-3171-16069826,Newport Lakes Primary School,607.14,119.81
