,rent_address,school_name,min_distance,min_duration,postcode,price
598,1006-1-clara-street-south-yarra-vic-3141-16069801,Grovedale Primary School,591.62,93.01,3141,450.0
600,205-10-claremont-street-south-yarra-vic-3141-15150687,Newport Lakes Primary School,1193.13,164.62,3141,400.0
601,512-77-river-street-south-yarra-vic-3141-16082119,Wandiligong Primary School,81.54,13.59,3141,430.0
602,10-nicholson-street-south-yarra-vic-3141-16082198,Alberton Primary School,212.91,24.41,3141,600.0
603,22-davis-avenue-south-yarra-vic-3141-16072495,Allansford and District Primary School,521.95,82.39,3141,1500.0
604,g11-2-hobson-street-south-yarra-vic-3141-16086164,Eaglehawk Primary School,1159.91,140.15,3141,600.0
605,19-balmoral-place-south-yarra-vic-3141-16077000,Colac Primary School,930.24,112.16,3141,1200.0
606,8-32-34-adams-street-south-yarra-vic-3141-16088477,Sandringham Primary School,528.22,81.12,3141,725.0
607,1701-18-claremont-street-south-yarra-vic-3141-16089739,Newport Lakes Primary School,1126.34,152.6,3141,750.0
608,8-davison-place-south-yarra-vic-3141-16086287,Cavendish Primary School,695.14,76.84,3141,1900.0
609,10-110-caroline-street-south-yarra-vic-3141-16072135,Echuca Primary School,858.7,111.02,3141,475.0
610,21-32-darling-street-south-yarra-vic-3141-16052677,Echuca Primary School,856.55,96.99,3141,390.0
611,402-20-garden-street-south-yarra-vic-3141-16078689,Newport Lakes Primary School,828.33,88.19,3141,350.0
612,7-38a-kensington-road-south-yarra-vic-3141-16077489,Hawthorn West Primary School,998.71,179.84,3141,525.0
613,19-386-toorak-road-south-yarra-vic-3141-15398642,Hamilton (Gray Street) Primary School,819.94,102.26,3141,530.0
614,11-245-williams-rd-south-yarra-vic-3141-16086320,Highton Primary School,1177.86,132.78,3141,340.0
615,1802-7-claremont-street-south-yarra-vic-3141-16047399,Newport Lakes Primary School,1192.89,164.58,3141,800.0
616,3-113-osborne-street-south-yarra-vic-3141-16082959,Allansford and District Primary School,798.36,132.54,3141,1000.0
617,56a-osborne-street-south-yarra-vic-3141-15943442,Allansford and District Primary School,760.9,121.06,3141,650.0
618,113-2-hobson-street-south-yarra-vic-3141-16068562,Eaglehawk Primary School,1159.91,140.15,3141,410.0
619,15-85-caroline-street-south-yarra-vic-3141-16064912,Doncaster Primary School,651.71,85.9,3141,400.0
620,808-2-claremont-street-south-yarra-vic-3141-16061993,Newport Lakes Primary School,746.13,90.93,3141,600.0
621,7-53-59-millswyn-street-south-yarra-vic-3141-16088496,Grovedale Primary School,564.86,71.46,3141,425.0
622,1402-229-toorak-road-south-yarra-vic-3141-16090852,Newport Lakes Primary School,784.13,100.05,3141,470.0
623,3-59-avoca-street-south-yarra-vic-3141-16083571,Echuca Primary School,696.84,108.72,3141,580.0
624,603-101-river-street-south-yarra-vic-3141-16085330,Wandiligong Primary School,291.92,51.82,3141,850.0
625,4-90-clowes-street-south-yarra-vic-3141-16065476,Hallam Primary School,183.63,27.19,3141,550.0
626,72-oban-street-south-yarra-vic-3141-16079620,Heathcote Primary School,1476.42,192.71,3141,1300.0
627,2003-7-yarra-street-south-yarra-vic-3141-16077173,Newport Lakes Primary School,734.34,82.66,3141,425.0
628,202-4-chapel-mews-south-yarra-vic-3141-16065573,Cudgee Primary School,282.68,32.49,3141,600.0
629,9-4-davidson-street-south-yarra-vic-3141-16075758,Elphinstone Primary School,723.64,108.73,3141,525.0
630,804-50-claremont-street-south-yarra-vic-3141-16089126,Newport Lakes Primary School,988.67,127.82,3141,450.0
631,130-471-malvern-road-south-yarra-vic-3141-16068569,Eltham Primary School,1050.48,127.89,3141,400.0
632,804s-227-toorak-rd-south-yarra-vic-3141-16085781,Cudgee Primary School,396.35,36.54,3141,450.0
633,205-20-garden-street-south-yarra-vic-3141-16069955,Newport Lakes Primary School,828.33,88.19,3141,450.0
634,607-7-claremont-street-south-yarra-vic-3141-16071649,Newport Lakes Primary School,1192.89,164.58,3141,620.0
635,1-15-tintern-avenue-toorak-vic-3142-16085299,Bellbrae Primary School,1311.46,179.89,3142,950.0
636,3-402-toorak-road-toorak-vic-3142-16084857,Huntly Primary School,1038.03,127.92,3142,475.0
637,11-8-lamin-lane-toorak-vic-3142-16078927,Wodonga Primary School,1194.96,116.53,3142,465.0
638,5-8-devorgilla-ave-toorak-vic-3142-16069736,Dromana Primary School,664.0,64.42,3142,725.0
639,3-34-mathoura-road-toorak-vic-3142-16067906,Wodonga Primary School,452.48,84.95,3142,400.0
640,4-nareeb-court-toorak-vic-3142-16044504,Doncaster Primary School,749.41,77.61,3142,1200.0
641,1-11-woorigoleen-road-toorak-vic-3142-16073252,Gisborne Primary School,824.82,142.07,3142,750.0
642,1-71-mathoura-road-toorak-vic-3142-16087504,Wodonga Primary School,1063.81,120.47,3142,310.0
643,4-151-canterbury-road-toorak-vic-3142-16063497,Wodonga Primary School,1194.96,116.53,3142,650.0
645,15-21-tintern-avenue-toorak-vic-3142-16078352,Bellbrae Primary School,1234.05,174.72,3142,520.0
647,11-91-mathoura-road-toorak-vic-3142-16089349,Wodonga Primary School,1132.09,123.7,3142,690.0
648,23a-bruce-street-toorak-vic-3142-16012345,Huntly Primary School,1481.67,197.16,3142,1850.0
649,11-51-53-grange-road-toorak-vic-3142-16088102,Ballarat Primary School (Dana Street),1681.52,163.83,3142,475.0
652,6-645-malvern-road-toorak-vic-3142-16069122,Wandiligong Primary School,617.55,74.03,3142,430.0
653,5-1-st-georges-road-toorak-vic-3142-16076186,Footscray Primary School,739.12,132.58,3142,280.0
654,16-glyndebourne-avenue-toorak-vic-3142-16037962,Eaglehawk Primary School,647.77,114.95,3142,850.0
655,34c-rose-street-armadale-vic-3143-16082480,Belmont Primary School,316.36,75.92,3143,650.0
656,1-watson-street-armadale-vic-3143-16061315,Footscray Primary School,328.63,59.56,3143,500.0
657,33-barkly-ave-armadale-vic-3143-16064100,Dromana Primary School,759.76,172.78,3143,1100.0
658,g05-523-dandenong-road-armadale-vic-3143-15178199,Echuca Primary School,1578.06,237.21,3143,435.0
659,4-597-orrong-road-armadale-vic-3143-16075042,Wandiligong Primary School,290.78,30.89,3143,400.0
660,6-6-denbigh-road-armadale-vic-3143-16085067,Hamilton (Gray Street) Primary School,899.41,113.45,3143,710.0
661,6-770-malvern-road-armadale-vic-3143-16067956,Sandringham Primary School,343.64,61.15,3143,450.0
662,24-6-8-avondale-road-armadale-vic-3143-16074178,Flemington Primary School,930.5,137.17,3143,400.0
663,10-mercer-way-armadale-vic-3143-16056859,California Gully Primary School,707.61,100.7,3143,670.0
664,804-7-evergreen-mews-armadale-vic-3143-16089480,Footscray Primary School,511.22,74.04,3143,475.0
665,12-1325-high-street-malvern-vic-3144-16052711,Avoca Primary School,613.65,86.99,3144,495.0
666,3-459-glenferrie-road-kooyong-vic-3144-16075413,Dromana Primary School,946.82,81.29,3144,660.0
667,63-mcarthur-street-malvern-vic-3144-16067027,Avenel Primary School,949.23,151.64,3144,580.0
