rent_address,school_name,min_distance,min_duration
7-23-bendigo-avenue-elwood-vic-3184-16085426,Castlemaine Primary School,643.16,98.49
1-12-omar-street-caulfield-south-vic-3162-16085399,Sandringham Primary School,525.58,70.35
602-250-city-road-southbank-vic-3006-16085393,Beaufort Primary School,1348.24,174.32
26-william-street-dromana-vic-3936-16085361,Alberton Primary School,2056.13,240.04
2-14-binns-street-montmorency-vic-3094-16085351,Avenel Primary School,206.03,35.84
603-101-river-street-south-yarra-vic-3141-16085330,Wandiligong Primary School,291.92,51.82
80a-waverley-street-moonee-ponds-vic-3039-16085329,Footscray Primary School,829.4,81.26
12-174-george-street-east-melbourne-vic-3002-14217723,Warrnambool West Primary School,1112.79,144.02
1-15-tintern-avenue-toorak-vic-3142-16085299,Bellbrae Primary School,1311.46,179.89
210-26-warleigh-grove-brighton-vic-3186-15226300,Colac Primary School,905.36,163.07
205-95-ormond-road-elwood-vic-3184-16085196,Campbells Creek Primary School,672.13,90.33
15-64-auburn-rd-hawthorn-vic-3122-16085195,Warrandyte Primary School,476.92,40.02
609-14-david-street-richmond-vic-3121-16085191,Cheltenham Primary School,480.63,66.52
409-108-bay-street-port-melbourne-vic-3207-16085177,Warrandyte Primary School,745.05,125.17
107k-211-powlett-street-east-melbourne-vic-3002-16085151,St Andrews Primary School,515.41,68.99
44-francis-cres-glen-iris-vic-3146-16085112,Alberton Primary School,1164.01,109.3
4-52-lyndhurst-street-richmond-vic-3121-16085100,Hamilton (Gray Street) Primary School,306.64,66.02
203-highfield-road-camberwell-vic-3124-16085093,Dromana Primary School,555.16,39.97
6-6-denbigh-road-armadale-vic-3143-16085067,Hamilton (Gray Street) Primary School,899.41,113.45
17-king-street-richmond-vic-3121-16085050,Hawthorn West Primary School,535.73,90.05
