rent_address,school_name,min_distance,min_duration
106-119-turner-street-abbotsford-vic-3067-16088557,Gisborne Primary School,681.35,108.79
104-285-city-road-southbank-vic-3006-16088546,Beaufort Primary School,785.62,104.33
408-5-union-street-brunswick-vic-3056-16088527,Elphinstone Primary School,588.49,67.61
7-53-59-millswyn-street-south-yarra-vic-3141-16088496,Grovedale Primary School,564.86,71.46
501-14-20-nicholson-street-coburg-vic-3058-16088479,Warrandyte Primary School,1007.27,83.92
8-32-34-adams-street-south-yarra-vic-3141-16088477,Sandringham Primary School,528.22,81.12
g3-2a-henry-street-windsor-vic-3181-16088449,Avenel Primary School,882.85,148.48
32-fourth-street-parkdale-vic-3195-16088448,Cavendish Primary School,963.11,87.51
po9p-191-powlett-street-east-melbourne-vic-3002-16088441,St Andrews Primary School,560.21,79.74
803-6-st-kilda-road-st-kilda-vic-3182-16088439,Avenel Primary School,620.06,97.23
1102a-glen-huntly-road-glen-huntly-vic-3163-16088434,Colac Primary School,562.26,55.95
2-15-parring-road-balwyn-vic-3103-16088426,Flemington Primary School,679.19,67.91
48-183-city-road-southbank-vic-3006-16088421,Colac Primary School,1028.27,141.28
11-lowerson-way-wodonga-vic-3690-16088390,Avoca Primary School,874.64,148.81
705-148-wells-street-south-melbourne-vic-3205-16088385,Creswick Primary School,927.25,188.13
33-swanson-crescent-chadstone-vic-3148-16088383,Campbells Creek Primary School,1616.38,148.71
8-39-heller-street-brunswick-west-vic-3055-16088313,Elphinstone Primary School,786.75,74.2
51-thomas-street-windsor-vic-3181-16088312,Cavendish Primary School,343.14,67.23
15-everest-cres-olinda-vic-3788-16088310,Avoca Primary School,1066.15,214.07
75-noble-street-newtown-vic-3220-16088286,Warrandyte Primary School,204.72,22.82
18-37-39-carroll-crescent-glen-iris-vic-3146-16088255,Echuca Primary School,1130.6,171.94
818-sydney-rd-coburg-north-vic-3058-16088235,Eaglehawk Primary School,226.02,34.27
68-yarra-boulevard-richmond-vic-3121-12659355,Campbells Creek Primary School,56.73,9.92
34-stott-street-box-hill-south-vic-3128-13133669,Cavendish Primary School,1320.52,227.57
87-canning-street-carlton-vic-3053-12678308,Cudgee Primary School,420.71,62.89
25-10-tennyson-street-st-kilda-vic-3182-16088206,Sandringham Primary School,524.9,125.97
106-34-princeton-terrace-bundoora-vic-3083-16088123,Ballarat Primary School (Dana Street),1639.89,229.41
505-139-bouverie-street-carlton-vic-3053-14377358,Chiltern Primary School,784.95,116.01
10-24-rose-street-box-hill-vic-3128-16088120,California Gully Primary School,1505.29,173.24
14-193-brighton-road-elwood-vic-3184-16088112,Wodonga Primary School,927.02,151.12
4c-21-the-esplanade-st-kilda-vic-3182-16088109,Warrandyte Primary School,1349.71,191.74
9-744-orrong-road-toorak-vic-3142-15923220,Ballarat Primary School (Dana Street),1233.31,114.65
