rent_address,school_name,min_distance,min_duration
12-park-street-abbotsford-vic-3067-16083814,Belmont Primary School,673.19,93.32
1492-malvern-road-glen-iris-vic-3146-16051441,Dromana Primary School,877.78,112.17
214-54-nott-street-port-melbourne-vic-3207-16083798,Avenel Primary School,873.54,96.58
4-5-southey-court-elwood-vic-3184-16083693,Footscray Primary School,708.79,170.1
714-20-shamrock-street-abbotsford-vic-3067-16083651,Cheltenham Primary School,1001.47,137.8
2a-stephens-street-caulfield-vic-3162-16083642,Colac Primary School,763.7,77.07
2-193-bambra-road-caulfield-south-vic-3162-16083583,Wandiligong Primary School,483.46,40.87
1-36-burnley-street-richmond-vic-3121-16083578,Hawthorn West Primary School,185.96,34.39
30-goulburn-way-eynesbury-vic-3338-16083577,Alberton Primary School,1200.44,172.85
3-59-avoca-street-south-yarra-vic-3141-16083571,Echuca Primary School,696.84,108.72
4-melrose-street-mont-albert-north-vic-3129-16083561,Cavendish Primary School,458.07,109.93
19-baker-street-richmond-vic-3121-16083535,Bacchus Marsh Primary School,596.57,85.93
1-1204-glen-huntly-road-glen-huntly-vic-3163-16083529,St Andrews Primary School,486.18,52.51
2a-anderson-street-bentleigh-vic-3204-16083500,Eaglehawk Primary School,442.22,54.52
504-1-olive-york-way-brunswick-west-vic-3055-15727179,Newport Lakes Primary School,585.74,68.19
313-15-bond-street-caulfield-vic-3162-16083470,Newport Lakes Primary School,514.39,52.06
1-28-wilgah-street-st-kilda-east-vic-3183-16083469,Heidelberg Primary School,770.57,74.6
2-117-tennyson-street-elwood-vic-3184-16083454,Ballarat Primary School (Dana Street),512.54,120.84
105-26-barkly-street-brunswick-east-vic-3057-16083390,Grovedale Primary School,459.29,72.19
31-55-hotham-street-st-kilda-east-vic-3183-16083388,Sandringham Primary School,408.65,54.54
