rent_address,school_name,min_distance,min_duration
127-willow-bend-bulleen-vic-3105-16081615,Ballarat Primary School (Dana Street),2435.11,350.89
1292-north-road-oakleigh-south-vic-3167-16081578,Bacchus Marsh Primary School,783.55,123.63
3-1-john-street-box-hill-vic-3128-16081572,St Andrews Primary School,1071.99,159.43
1-118-brighton-street-richmond-vic-3121-16081521,Beaufort Primary School,133.44,32.02
1-128-moriah-street-clayton-vic-3168-16081488,Cudgee Primary School,1495.38,179.54
2-33-frank-avenue-clayton-vic-3168-14995545,Newport Lakes Primary School,1179.71,184.93
1-26-adrian-street-chadstone-vic-3148-16081445,Ballarat Primary School (Dana Street),893.74,101.19
15-fintonia-street-hughesdale-vic-3166-16081433,Warrandyte Primary School,361.94,69.79
41-bishop-street-oakleigh-vic-3166-16081385,California Gully Primary School,1187.32,147.68
78-palmerston-crescent-south-melbourne-vic-3205-16081321,Heidelberg Primary School,394.75,77.47
10-2-johnson-street-northcote-vic-3070-16081202,Sandringham Primary School,901.53,114.67
310-770b-toorak-road-road-glen-iris-vic-3146-16081171,Heidelberg Primary School,441.64,53.87
9-63-millswyn-street-south-yarra-vic-3141-16081143,Hawthorn West Primary School,536.37,66.34
1-1013-dandenong-road-malvern-east-vic-3145-16081072,Warrnambool West Primary School,952.86,139.91
2-2-smith-street-richmond-vic-3121-16081068,Beaufort Primary School,364.38,43.63
2-997-dandenong-road-malvern-east-vic-3145-16081041,St Andrews Primary School,994.39,98.42
60-poplar-avenue-shepparton-vic-3630-16080936,Avoca Primary School,1288.45,166.44
11-york-street-prahran-vic-3181-15901403,Newport Lakes Primary School,725.37,89.49
516-77-river-street-south-yarra-vic-3141-16080824,Wandiligong Primary School,81.54,13.59
4-180-little-collins-street-melbourne-vic-3000-16080818,Grovedale Primary School,563.53,86.12
1304e-9-robert-street-collingwood-vic-3066-16080814,Warrnambool West Primary School,610.48,115.02
23-2-wellington-crescent-east-melbourne-vic-3002-16080787,Grovedale Primary School,1240.62,178.28
1303-8-joseph-road-footscray-vic-3011-16080780,Campbells Creek Primary School,568.21,77.66
209-8-garfield-street-richmond-vic-3121-16080755,Beaufort Primary School,382.73,53.43
6-6-prince-edward-ave-mckinnon-vic-3204-16080738,Creswick Primary School,837.53,71.66
2-6-millward-street-brunswick-vic-3056-16080703,Elphinstone Primary School,899.79,88.1
9-328-johnston-street-abbotsford-vic-3067-16080546,Grovedale Primary School,836.43,122.24
107-176-argyle-street-fitzroy-vic-3065-16080545,Alberton Primary School,270.97,62.76
16-174-peel-street-windsor-vic-3181-16080532,California Gully Primary School,413.43,72.52
9-67-blyth-st-brunswick-vic-3056-16080531,Doncaster Primary School,986.66,107.82
17-81-edinburgh-street-richmond-vic-3121-16080509,Beaufort Primary School,1094.73,174.38
10-2-lawson-grove-south-yarra-vic-3141-16080499,Eaglehawk Primary School,900.57,140.08
126-243-249a-bridge-road-richmond-vic-3121-16080478,Heathcote Primary School,493.6,65.02
23-hamer-street-moorabbin-vic-3189-16080433,Avoca Primary School,746.0,161.44
1605-565-flinders-street-melbourne-vic-3000-16080390,Highton Primary School,1215.01,163.91
705-26-southgate-avenue-southbank-vic-3006-16080371,Creswick Primary School,1428.75,225.09
44-chandler-road-noble-park-vic-3174-16080368,Campbells Creek Primary School,845.13,144.12
85-dunstan-parade-port-melbourne-vic-3207-16080357,Avoca Primary School,1361.75,211.43
54-kemp-avenue-mount-waverley-vic-3149-16080319,Avoca Primary School,721.76,128.42
5-200-cotham-road-kew-vic-3101-16080273,Campbells Creek Primary School,693.78,62.71
5-141-park-street-moonee-ponds-vic-3039-16080239,Gisborne Primary School,794.27,99.16
146-raleigh-street-thornbury-vic-3071-16080236,Bacchus Marsh Primary School,249.47,54.69
1-38-alma-rd-st-kilda-vic-3182-16080210,Hawthorn West Primary School,595.36,42.86
39a-wattle-grove-mulgrave-vic-3170-16080168,Campbells Creek Primary School,611.96,140.77
6-30-docker-street-elwood-vic-3184-16080165,Castlemaine Primary School,1017.73,130.21
8-10-lincoln-road-essendon-vic-3040-16080138,Elphinstone Primary School,421.32,53.99
g05-18-railway-crescent-hampton-vic-3188-16080133,Avenel Primary School,851.04,104.73
2005-178-edward-street-brunswick-east-vic-3057-16080082,Hamilton (Gray Street) Primary School,515.03,91.77
2308-6-joseph-road-footscray-vic-3011-16080066,Campbells Creek Primary School,559.68,76.64
6-137-coppin-street-richmond-vic-3121-16080016,Cavendish Primary School,692.81,80.1
