rent_address,school_name,min_distance,min_duration
6-rolls-street-coburg-vic-3058-16063327,Avenel Primary School,688.13,97.48
1206-118-russell-street-melbourne-vic-3000-16062720,Grovedale Primary School,437.87,68.33
57-baker-street-richmond-vic-3121-16062642,Belmont Primary School,743.71,101.06
647-hawthorn-road-brighton-east-vic-3187-15563252,Bacchus Marsh Primary School,533.71,93.86
532-631-victoria-street-abbotsford-vic-3067-16061939,Cheltenham Primary School,651.33,79.28
73-the-crescent-port-melbourne-vic-3207-16061763,Warrandyte Primary School,1035.96,185.93
4-allaware-avenue-croydon-vic-3136-15141770,Avenel Primary School,1055.49,140.35
38-kauri-grove-glen-waverley-vic-3150-15889540,Cudgee Primary School,1320.69,186.79
14-13-churchill-avenue-chadstone-vic-3148-16061665,Ballarat Primary School (Dana Street),564.78,73.71
175-richardson-street-middle-park-vic-3206-16061617,Belmont Primary School,354.96,59.26
52-54-tinning-street-brunswick-vic-3056-16061469,Berwick Primary School,987.52,115.91
7-11-15-basil-street-newport-vic-3015-16061402,Warrandyte Primary School,464.53,80.13
26-austin-street-hughesdale-vic-3166-13441918,Warrandyte Primary School,471.75,68.06
16-neville-street-bentleigh-east-vic-3165-16061303,Castlemaine Primary School,943.92,113.07
11-bennett-street-richmond-vic-3121-16061186,Cudgee Primary School,491.33,113.64
7-126-wellington-parade-east-melbourne-vic-3002-16061003,Grovedale Primary School,942.59,139.86
5-bemboka-avenue-clayton-south-vic-3169-16060995,Cudgee Primary School,902.54,206.18
210-79-81-asling-street-brighton-vic-3186-16060948,Cavendish Primary School,533.48,87.63
2-21-23-westgate-street-pascoe-vale-south-vic-3044-16060501,Gisborne Primary School,702.94,100.06
2-67-euston-road-hughesdale-vic-3166-16060352,Alberton Primary School,225.5,23.35
2-30-clarendon-avenue-oakleigh-south-vic-3167-16060050,Bacchus Marsh Primary School,328.55,74.3
5-158-kangaroo-road-hughesdale-vic-3166-16059918,Doncaster Primary School,842.55,97.8
22-union-street-windsor-vic-3181-16059839,Bacchus Marsh Primary School,798.53,110.94
206-75-wellington-street-collingwood-vic-3066-16059668,Dromana Primary School,244.24,36.43
54-o-grady-street-albert-park-vic-3206-16059651,Alberton Primary School,235.05,29.49
4-16-manor-street-brighton-vic-3186-16059609,Beaufort Primary School,681.32,110.34
94-helen-street-northcote-vic-3070-16059106,Belmont Primary School,311.46,68.69
20-lord-street-richmond-vic-3121-16059083,Colac Primary School,508.47,83.46
level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,Castlemaine Primary School,1277.86,197.27
1-12-toward-street-murrumbeena-vic-3163-16058355,Avoca Primary School,1233.23,176.31
2-neptune-street-richmond-vic-3121-16058275,Heidelberg Primary School,564.68,76.32
705-89-gladstone-street-south-melbourne-vic-3205-16058273,Avenel Primary School,127.59,20.4
4-main-road-clayton-south-vic-3169-16057923,Cheltenham Primary School,1255.41,168.17
49-savoy-grove-cranbourne-north-vic-3977-15751808,Wodonga Primary School,1034.76,231.61
25-spicer-street-beaumaris-vic-3193-16057734,Cheltenham Primary School,700.92,61.63
13-9-fitzroy-street-st-kilda-vic-3182-16057589,Warrandyte Primary School,1146.5,182.35
2a-garden-street-hawthorn-vic-3122-16056125,Newport Lakes Primary School,762.53,72.4
7-nevada-street-balwyn-north-vic-3104-16055843,Cheltenham Primary School,764.8,106.89
439-111-punt-road-windsor-vic-3181-16055654,Bacchus Marsh Primary School,249.29,39.51
502-21-plenty-road-bundoora-vic-3083-16055079,Castlemaine Primary School,221.85,37.82
1-18-raynes-street-balwyn-vic-3103-16054448,Ballarat Primary School (Dana Street),1055.21,144.29
3-13-state-street-oakleigh-east-vic-3166-16054316,Wodonga Primary School,97.04,11.65
55-1-albert-road-melbourne-vic-3000-16054304,Colac Primary School,692.34,121.92
16-byrne-street-port-melbourne-vic-3207-16054203,Avenel Primary School,417.46,91.83
228-la-trobe-st-melbourne-vic-3000-16054137,Heidelberg Primary School,992.15,141.95
6-89-seymour-road-elsternwick-vic-3185-16054067,Flemington Primary School,817.99,67.94
105-337-balaclava-road-caulfield-north-vic-3161-16053704,Cudgee Primary School,136.02,8.9
