rent_address,school_name,min_distance,min_duration
707-435-nepean-highway-frankston-vic-3199-16085906,Alberton Primary School,928.44,165.68
g10-1-red-hill-terrace-doncaster-east-vic-3109-16085903,Avenel Primary School,1770.13,242.79
1805-50-albert-road-south-melbourne-vic-3205-12112230,Colac Primary School,659.74,128.69
7-10-nash-st-glen-iris-vic-3146-16085807,Dromana Primary School,882.38,117.54
804s-227-toorak-rd-south-yarra-vic-3141-16085781,Cudgee Primary School,396.35,36.54
1603-250-city-road-southbank-vic-3006-16085712,Beaufort Primary School,1348.24,174.32
2-37-paxton-street-malvern-east-vic-3145-16085687,California Gully Primary School,667.06,118.4
2-62-chapman-avenue-glenroy-vic-3046-16085659,Warrandyte Primary School,592.57,79.44
6-12-phillip-street-mentone-vic-3194-13444145,Avoca Primary School,1393.73,230.64
9-566-glenferrie-road-hawthorn-vic-3122-16085611,Castlemaine Primary School,71.33,5.14
10-633-inkerman-road-caulfield-north-vic-3161-16085522,Ballarat Primary School (Dana Street),1174.1,80.43
6-laburnum-court-brighton-vic-3186-16085520,Alberton Primary School,784.56,149.59
204-107-cambridge-street-collingwood-vic-3066-16085513,Dromana Primary School,372.52,67.05
1-cassawory-place-safety-beach-vic-3936-16085503,Alberton Primary School,2303.41,275.15
5-34-bute-street-murrumbeena-vic-3163-16085475,Echuca Primary School,1537.48,254.18
130-corriedale-crescent-park-orchards-vic-3114-16040346,Avoca Primary School,976.27,112.83
2-melville-avenue-newtown-vic-3220-16090991,Campbells Creek Primary School,669.25,92.21
5-186-bay-rd-sandringham-vic-3191-16090981,Warrandyte Primary School,654.97,79.28
207-171-173-inkerman-street-st-kilda-east-vic-3183-16090952,Hawthorn West Primary School,733.71,56.4
2-rubens-grove-canterbury-vic-3126-16090938,Campbells Creek Primary School,470.66,98.93
1204-14-16-the-esplanade-st-kilda-vic-3182-16090888,Warrandyte Primary School,1242.77,187.56
4-11-tooronga-road-malvern-east-vic-3145-16090865,Avoca Primary School,66.33,4.77
1402-229-toorak-road-south-yarra-vic-3141-16090852,Newport Lakes Primary School,784.13,100.05
35-clifton-street-aberfeldie-vic-3040-16090841,Echuca Primary School,945.42,96.58
4-10-12-lillian-street-clayton-vic-3168-15234232,Cudgee Primary School,651.88,85.34
7-21-dunoon-st-murrumbeena-vic-3163-16090776,Avenel Primary School,1115.99,135.38
37-hoddle-way-altona-meadows-vic-3028-16090729,Allansford and District Primary School,408.34,45.15
5-141-glenhuntly-road-elwood-vic-3184-16090615,Berwick Primary School,536.44,43.21
6-20-pine-avenue-elwood-vic-3184-16090586,Castlemaine Primary School,978.24,134.38
188-park-street-fitzroy-north-vic-3068-16090583,Highton Primary School,736.28,132.72
502-118-russell-street-melbourne-vic-3000-16090549,Grovedale Primary School,437.87,68.33
