rent_address,min_distance,min_duration
12-70-edgar-street-north-glen-iris-vic-3146-16082708,13266.21,1170.35
208-34-union-street-brunswick-vic-3056-16082673,9380.93,1007.64
509a-1-acacia-place-abbotsford-vic-3067-16082671,11086.3,1023.38
2-49-osborne-avenue-glen-iris-vic-3146-16082650,12159.26,1120.64
64-ferguson-street-upwey-vic-3158-16082642,47461.77,3074.16
1a-ogilvie-st-essendon-vic-3040-16082587,14965.35,1414.93
602-118-franklin-street-melbourne-vic-3000-16082578,5474.26,604.33
g01-97-beach-road-mentone-vic-3194-16082520,23977.2,2182.09
14-grosvenor-road-glen-iris-vic-3146-16082500,12969.2,1108.95
336-70-batesford-road-chadstone-vic-3148-15375409,15417.75,1393.67
34c-rose-street-armadale-vic-3143-16082480,9099.88,925.18
1-29-arthur-street-coburg-north-vic-3058-16082466,15572.67,1640.21
14-park-street-fitzroy-north-vic-3068-16082451,9978.03,1034.94
22l-378-390-st-georges-road-fitzroy-north-vic-3068-16082386,9818.68,1008.15
15-10-davies-street-brunswick-vic-3056-16082384,11243.29,1228.95
67-florizel-street-glen-iris-vic-3146-16082373,16518.43,1366.6
1112-333-351-exhibition-street-melbourne-vic-3000-16082372,5924.47,672.8
508-839-dandenong-road-malvern-east-vic-3145-16082365,11431.23,1029.26
4-360-carlisle-street-balaclava-vic-3183-16082332,6816.14,665.94
22l-378-390-st-georges-road-fitzroy-north-vic-3068-16082386,9818.68,1008.15
14-21-marine-parade-st-kilda-vic-3182-16082302,5312.45,526.96
3-4-stillman-street-richmond-vic-3121-16082280,9617.55,874.13
7-larnook-street-prahran-vic-3181-16082241,8082.64,865.28
10-nicholson-street-south-yarra-vic-3141-16082198,5129.63,613.57
5-2-kipling-street-st-kilda-vic-3182-16082197,5900.86,592.12
2-4-anne-street-wodonga-vic-3690-16082183,319790.47,13034.17
1703-89-103-gladstone-street-south-melbourne-vic-3205-16082171,1783.34,227.66
512-77-river-street-south-yarra-vic-3141-16082119,5807.29,692.72
15a-the-avenue-windsor-vic-3181-16082070,7075.46,716.66
11-turner-street-abbotsford-vic-3067-16082069,8619.33,992.1
7-21-dawson-avenue-brighton-vic-3186-16082004,8294.73,880.23
242-chandler-road-keysborough-vic-3173-16081963,38451.34,2160.09
3002-288-spencer-st-melbourne-vic-3000-16081949,4277.02,494.28
113-2-hobson-street-south-yarra-vic-3141-16068562,7636.28,759.25
130-471-malvern-road-south-yarra-vic-3141-16068569,7682.69,756.34
880-swanston-street-carlton-vic-3053-16081935,6870.0,774.08
1507-12-queens-rd-melbourne-vic-3004-16081919,3522.8,493.77
1-333-coventry-street-south-melbourne-vic-3205-16081898,1808.95,249.45
9-491-south-road-bentleigh-vic-3204-16081842,17713.65,1478.44
3-76-glen-iris-road-glen-iris-vic-3146-16081785,15021.08,1240.59
1-30-swindon-road-hughesdale-vic-3166-16081742,16367.1,1417.79
108-326-328-burwood-highway-burwood-vic-3125-16081726,19106.23,1718.16
8-62-hawthorn-road-caulfield-north-vic-3161-16081715,8738.19,810.03
34-donald-st-highett-vic-3190-16081654,18419.45,1674.7
4-84-rochester-rd-balwyn-vic-3103-16081633,16650.22,1512.21
127-willow-bend-bulleen-vic-3105-16081615,20685.23,1645.02
1292-north-road-oakleigh-south-vic-3167-16081578,19119.14,1643.93
3-1-john-street-box-hill-vic-3128-16081572,20361.49,1827.15
1-118-brighton-street-richmond-vic-3121-16081521,6532.7,791.84
1-128-moriah-street-clayton-vic-3168-16081488,28412.5,1981.63
2-33-frank-avenue-clayton-vic-3168-14995545,22941.94,1944.66
1-26-adrian-street-chadstone-vic-3148-16081445,21457.48,1611.79
15-fintonia-street-hughesdale-vic-3166-16081433,16399.86,1423.96
41-bishop-street-oakleigh-vic-3166-16081385,18018.27,1592.52
78-palmerston-crescent-south-melbourne-vic-3205-16081321,2856.41,362.71
10-2-johnson-street-northcote-vic-3070-16081202,12235.38,1263.6
310-770b-toorak-road-road-glen-iris-vic-3146-16081171,12254.98,1037.09
9-63-millswyn-street-south-yarra-vic-3141-16081143,4194.55,543.61
1-1013-dandenong-road-malvern-east-vic-3145-16081072,11987.11,1057.08
2-2-smith-street-richmond-vic-3121-16081068,7445.49,879.97
2-997-dandenong-road-malvern-east-vic-3145-16081041,11699.87,1023.45
11-york-street-prahran-vic-3181-15901403,6904.71,731.84
512-77-river-street-south-yarra-vic-3141-16082119,5807.29,692.72
4-180-little-collins-street-melbourne-vic-3000-16080818,4863.8,587.84
1304e-9-robert-street-collingwood-vic-3066-16080814,7394.12,875.33
23-2-wellington-crescent-east-melbourne-vic-3002-16080787,5462.51,655.79
1303-8-joseph-road-footscray-vic-3011-16080780,8677.85,978.58
209-8-garfield-street-richmond-vic-3121-16080755,7252.66,873.94
6-6-prince-edward-ave-mckinnon-vic-3204-16080738,15025.89,1289.02
2-6-millward-street-brunswick-vic-3056-16080703,10738.0,1048.54
9-328-johnston-street-abbotsford-vic-3067-16080546,8630.63,991.29
107-176-argyle-street-fitzroy-vic-3065-16080545,7457.52,918.73
16-174-peel-street-windsor-vic-3181-16080532,5859.08,638.44
9-67-blyth-st-brunswick-vic-3056-16080531,10644.1,1099.17
17-81-edinburgh-street-richmond-vic-3121-16080509,9191.98,822.55
10-2-lawson-grove-south-yarra-vic-3141-16080499,5426.77,671.88
126-243-249a-bridge-road-richmond-vic-3121-16080478,7121.25,829.9
23-hamer-street-moorabbin-vic-3189-16080433,19772.37,1716.57
1605-565-flinders-street-melbourne-vic-3000-16080390,3239.92,339.54
705-26-southgate-avenue-southbank-vic-3006-16080371,3399.99,471.91
44-chandler-road-noble-park-vic-3174-16080368,34831.57,2018.47
85-dunstan-parade-port-melbourne-vic-3207-16080357,2897.94,365.95
54-kemp-avenue-mount-waverley-vic-3149-16080319,23623.85,1637.9
5-200-cotham-road-kew-vic-3101-16080273,13564.5,1267.68
5-141-park-street-moonee-ponds-vic-3039-16080239,13200.58,1304.99
146-raleigh-street-thornbury-vic-3071-16080236,13965.66,1392.62
1-38-alma-rd-st-kilda-vic-3182-16080210,5231.61,542.17
