,rent_address,min_distance,min_duration,postcode,price
0,612-408-lonsdale-street-melbourne-vic-3000-16079773,4700.96,520.5,3000,350.0
1,3510-442-elizabeth-st-melbourne-vic-3000-16076491,5317.22,586.47,3000,680.0
2,1211-260-spencer-street-melbourne-vic-3000-16065974,3954.56,432.71,3000,700.0
3,9-15-rankins-lane-melbourne-vic-3000-16076773,4680.98,535.82,3000,900.0
4,3002-288-spencer-st-melbourne-vic-3000-16081949,4277.02,494.28,3000,510.0
5,2205-22-24-jane-bell-lane-melbourne-vic-3000-16076879,5453.21,614.2,3000,550.0
6,711-422-collins-street-melbourne-vic-3000-16087505,4258.43,477.71,3000,400.0
7,911-408-lonsdale-street-melbourne-vic-3000-16084620,4700.96,520.5,3000,330.0
8,504-350-la-trobe-street-melbourne-vic-3000-15302782,4888.81,552.34,3000,395.0
9,1715-220-spencer-street-melbourne-vic-3000-16071670,3813.35,414.54,3000,600.0
10,3002-288-spencer-st-melbourne-vic-3000-16081949,4277.02,494.28,3000,510.0
11,1211-200-spencer-street-melbourne-vic-3000-16073870,3751.84,408.21,3000,480.0
12,1411-120-a-beckett-st-melbourne-vic-3000-16062428,5065.77,572.08,3000,680.0
13,104-300-swanston-street-melbourne-vic-3000-13671355,5606.5,650.99,3000,550.0
14,202a-441-lonsdale-street-melbourne-vic-3000-16090002,4561.68,516.04,3000,300.0
15,217-339-swanston-st-melbourne-vic-3000-16055041,5247.31,597.9,3000,380.0
16,3108-500-elizabeth-st-melbourne-vic-3000-16055187,5396.44,592.09,3000,410.0
17,102-9-bligh-place-melbourne-vic-3000-16071806,4151.8,494.3,3000,600.0
18,1605-565-flinders-street-melbourne-vic-3000-16080390,3239.92,339.54,3000,500.0
19,1112-333-351-exhibition-street-melbourne-vic-3000-16082372,5924.47,672.8,3000,600.0
20,unit-1713-200-spencer-st-melbourne-vic-3000-16069309,3751.84,408.21,3000,440.0
21,502-118-russell-street-melbourne-vic-3000-16090549,4972.05,577.52,3000,620.0
22,1505-250-elizabeth-street-melbourne-vic-3000-16078181,4764.33,524.1,3000,520.0
23,918-422-collins-st-melbourne-vic-3000-16084005,4258.43,477.71,3000,600.0
24,1901-368-st-kilda-road-melbourne-vic-3000-16073890,3251.59,433.81,3000,1800.0
25,4-180-little-collins-street-melbourne-vic-3000-16080818,4863.8,587.84,3000,500.0
26,11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,5555.4,636.79,3000,350.0
27,55-1-albert-road-melbourne-vic-3000-16054304,3174.92,408.67,3000,950.0
28,2004-288-spencer-street-melbourne-vic-3000-16076141,4277.02,494.28,3000,360.0
29,2311-601-little-lonsdale-street-melbourne-vic-3000-16089250,4314.35,492.51,3000,625.0
30,101-25-33-wills-street-melbourne-vic-3000-14868152,4962.57,578.1,3000,400.0
31,2905b-11-rose-lane-melbourne-vic-3000-16074279,3893.75,438.87,3000,575.0
32,2104-38-rose-lane-melbourne-vic-3000-16035456,4046.78,443.84,3000,550.0
33,602-118-franklin-street-melbourne-vic-3000-16082578,5474.26,604.33,3000,330.0
34,1007-238-flinders-st-melbourne-vic-3000-16066003,4248.68,485.27,3000,320.0
35,1206-118-russell-street-melbourne-vic-3000-16062720,4972.05,577.52,3000,550.0
36,3-27-flinders-lane-melbourne-vic-3000-16072122,5048.57,602.22,3000,420.0
37,57-243-collins-street-melbourne-vic-3000-16089287,4521.92,512.52,3000,400.0
38,2004-288-spencer-street-melbourne-vic-3000-16076141,4277.02,494.28,3000,360.0
39,203-33-cliveden-close-east-melbourne-vic-3002-16087803,5283.62,635.51,3002,380.0
40,12-174-george-street-east-melbourne-vic-3002-14217723,6319.6,746.05,3002,495.0
41,38-400-victoria-parade-east-melbourne-vic-3002-12863768,6622.4,749.52,3002,770.0
42,po9p-191-powlett-street-east-melbourne-vic-3002-16088441,6812.55,776.63,3002,675.0
43,1306v-296-victoria-parade-east-melbourne-vic-3002-16067034,6336.05,744.06,3002,750.0
44,12-vale-street-east-melbourne-vic-3002-16070321,6577.63,805.23,3002,1150.0
45,unit-13p-189-powlett-st-east-melbourne-vic-3002-16078040,6846.18,784.7,3002,600.0
46,8-108-george-street-east-melbourne-vic-3002-16049735,6228.08,732.73,3002,450.0
47,104-150-clarendon-street-east-melbourne-vic-3002-16076278,6346.32,733.84,3002,950.0
48,7-126-wellington-parade-east-melbourne-vic-3002-16061003,6087.08,717.41,3002,1800.0
49,1105-162-albert-street-east-melbourne-vic-3002-16084999,6711.17,768.89,3002,420.0
50,23-2-wellington-crescent-east-melbourne-vic-3002-16080787,5462.51,655.79,3002,750.0
51,4-23-albert-street-east-melbourne-vic-3002-16083380,5857.88,698.37,3002,475.0
52,13-86-hotham-street-east-melbourne-vic-3002-16065438,6456.41,762.68,3002,450.0
53,p08p-191-powlett-street-east-melbourne-vic-3002-16061199,6810.49,776.13,3002,625.0
54,9-322-albert-street-east-melbourne-vic-3002-16087584,6251.77,756.54,3002,990.0
55,107k-211-powlett-street-east-melbourne-vic-3002-16085151,6767.75,765.88,3002,550.0
56,201-65-dudley-street-west-melbourne-vic-3003-16076288,4478.06,507.12,3003,420.0
57,78-hawke-street-west-melbourne-vic-3003-16084403,5032.84,588.91,3003,1100.0
58,g02-135-roden-street-west-melbourne-vic-3003-15657129,4800.22,558.89,3003,580.0
59,603-spencer-street-west-melbourne-vic-3003-16065963,5033.26,596.41,3003,525.0
60,260-adderley-street-west-melbourne-vic-3003-16071421,5138.72,597.92,3003,950.0
61,503-9-dryburgh-street-west-melbourne-vic-3003-16063432,5490.36,659.78,3003,500.0
62,303-250-st-kilda-road-melbourne-vic-3004-16068286,3291.76,493.73,3004,1395.0
63,405-15-queens-road-melbourne-vic-3004-16074877,3610.31,490.55,3004,550.0
64,309-77-queens-road-melbourne-vic-3004-15339268,5522.48,603.74,3004,430.0
65,902-133-russell-st-melbourne-vic-3004-16078264,5029.16,584.53,3004,650.0
66,1312-35-albert-rd-melbourne-vic-3004-16053245,3062.93,413.91,3004,570.0
67,1413-610-st-kilda-rd-melbourne-vic-3004-16090064,5784.29,607.53,3004,425.0
68,104-12-queens-road-melbourne-vic-3004-16055021,3522.8,493.77,3004,440.0
69,405-442-st-kilda-road-melbourne-vic-3004-16057221,3802.53,502.99,3004,380.0
70,314-499-st-kilda-road-melbourne-vic-3004-16071284,4756.22,583.53,3004,900.0
71,517-74-queens-road-melbourne-vic-3004-16040056,5785.15,607.65,3004,450.0
72,113-350-st-kilda-road-melbourne-vic-3004-16063679,3216.77,435.46,3004,1500.0
73,1507-12-queens-rd-melbourne-vic-3004-16081919,3522.8,493.77,3004,700.0
74,19-73-queens-road-melbourne-vic-3004-16052308,5751.18,602.76,3004,580.0
75,1701a-60-dorcas-street-southbank-vic-3006-16053477,2632.16,374.39,3006,400.0
76,1510-1-freshwater-place-southbank-vic-3006-16089972,3106.74,429.77,3006,640.0
77,1008-80-clarendon-street-southbank-vic-3006-16070358,2285.06,296.65,3006,650.0
78,3606-45-clarke-street-southbank-vic-3006-16052560,2308.11,300.34,3006,650.0
79,2204-250-city-road-southbank-vic-3006-16047014,3030.24,332.41,3006,475.0
80,705-26-southgate-avenue-southbank-vic-3006-16080371,3399.99,471.91,3006,530.0
81,1306-285-city-road-southbank-vic-3006-16077906,2162.03,274.79,3006,500.0
82,level-35-3501-7-riverside-quay-southbank-vic-3006-16059042,3249.09,444.1,3006,850.0
83,3402-61-haig-street-southbank-vic-3006-15171750,2079.69,282.98,3006,395.0
84,602-250-city-road-southbank-vic-3006-16085393,3030.24,332.41,3006,385.0
85,104-285-city-road-southbank-vic-3006-16088546,2162.03,274.79,3006,550.0
86,48-183-city-road-southbank-vic-3006-16088421,2558.46,338.06,3006,750.0
87,1603-250-city-road-southbank-vic-3006-16085712,3030.24,332.41,3006,400.0
88,1112-8-mccrae-street-docklands-vic-3008-16086787,2850.68,411.55,3008,445.0
89,1209-8-pearl-river-rd-docklands-vic-3008-16076547,4718.55,671.07,3008,420.0
90,1811-8-marmion-pl-docklands-vic-3008-16076987,4505.86,648.49,3008,480.0
91,705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58,3011,475.0
92,705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58,3011,475.0
93,705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58,3011,475.0
94,1303-8-joseph-road-footscray-vic-3011-16080780,8677.85,978.58,3011,490.0
95,705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58,3011,475.0
96,1003-8-joseph-road-footscray-vic-3011-16084073,8677.85,978.58,3011,480.0
97,609-2-joseph-road-footscray-vic-3011-15372330,8551.68,963.44,3011,800.0
98,705-8-joseph-road-footscray-vic-3011-16069015,8677.85,978.58,3011,475.0
99,807-2-joseph-road-footscray-vic-3011-16073204,8551.68,963.44,3011,390.0
100,1201-8-joseph-road-footscray-vic-3011-16066987,8677.85,978.58,3011,485.0
101,1102-6-joseph-road-footscray-vic-3011-15336314,8669.32,977.56,3011,550.0
102,18-bell-street-seddon-vic-3011-16090272,9472.6,1064.52,3011,560.0
