rent_address,min_distance,min_duration
7-23-bendigo-avenue-elwood-vic-3184-16085426,7077.72,722.3
1-12-omar-street-caulfield-south-vic-3162-16085399,11279.76,956.09
602-250-city-road-southbank-vic-3006-16085393,3030.24,332.41
26-william-street-dromana-vic-3936-16085361,85218.98,4043.57
2-14-binns-street-montmorency-vic-3094-16085351,26561.33,2384.32
603-101-river-street-south-yarra-vic-3141-16085330,6092.4,724.24
80a-waverley-street-moonee-ponds-vic-3039-16085329,12843.53,1258.85
12-174-george-street-east-melbourne-vic-3002-14217723,6319.6,746.05
1-15-tintern-avenue-toorak-vic-3142-16085299,6610.24,807.15
210-26-warleigh-grove-brighton-vic-3186-15226300,10455.33,1097.94
205-95-ormond-road-elwood-vic-3184-16085196,7290.96,746.93
15-64-auburn-rd-hawthorn-vic-3122-16085195,12575.72,1146.82
609-14-david-street-richmond-vic-3121-16085191,10667.46,982.97
409-108-bay-street-port-melbourne-vic-3207-16085177,853.41,137.29
107k-211-powlett-street-east-melbourne-vic-3002-16085151,6767.75,765.88
44-francis-cres-glen-iris-vic-3146-16085112,12919.54,1206.06
4-52-lyndhurst-street-richmond-vic-3121-16085100,7590.37,905.65
203-highfield-road-camberwell-vic-3124-16085093,16041.96,1400.34
6-6-denbigh-road-armadale-vic-3143-16085067,8395.12,840.33
17-king-street-richmond-vic-3121-16085050,5618.83,804.29
1105-162-albert-street-east-melbourne-vic-3002-16084999,6711.17,768.89
10-5-allard-street-brunswick-west-vic-3055-16084995,11229.82,1113.4
eg07-11-flockhart-street-abbotsford-vic-3067-16084992,8676.23,1007.01
11a-131-lonsdale-sreet-melbourne-vic-3000-16084984,5555.4,636.79
7-1a-hughenden-road-st-kilda-east-vic-3183-16084967,7271.33,723.35
28-wilson-street-highett-vic-3190-16084920,17448.22,1613.09
6-bass-street-flinders-vic-3929-16084910,104367.66,4971.53
g06-81-cemetery-road-carlton-vic-3053-16084878,7178.29,813.52
4-4-6-wilson-street-wodonga-vic-3690-16084871,320085.41,13085.14
3-402-toorak-road-toorak-vic-3142-16084857,6336.8,755.17
303-81-riversdale-road-hawthorn-vic-3122-16084849,10569.33,994.88
204-378-390-st-george-road-fitzroy-north-vic-3068-16084845,9818.68,1008.15
37-margot-street-chadstone-vic-3148-16084833,16050.57,1496.94
16-teal-court-wodonga-vic-3690-16084825,316101.63,13065.61
4-5-bell-court-wodonga-vic-3690-16084806,320534.97,13120.17
40-daintree-way-wodonga-vic-3690-16084804,314318.75,12788.05
3-27-ruskin-street-elwood-vic-3184-16084771,6366.42,655.84
3-23-auburn-grove-hawthorn-vic-3122-16084647,12280.01,1150.76
911-408-lonsdale-street-melbourne-vic-3000-16084620,4700.96,520.5
9-huon-street-wodonga-vic-3690-16084603,318287.75,12887.74
38-park-crescent-caulfield-north-vic-3161-16084584,9771.21,899.28
2-kurrajong-avenue-st-kilda-east-vic-3183-16084549,7124.66,686.73
349-fitzroy-street-fitzroy-vic-3065-16084496,7350.32,853.7
2-24-o-connor-street-reservoir-vic-3073-16084487,17980.91,1774.9
1102-32-bray-street-south-yarra-vic-3141-16084480,5998.25,717.99
1203-77-river-street-south-yarra-vic-3141-16084470,5807.29,692.72
78-hawke-street-west-melbourne-vic-3003-16084403,5032.84,588.91
6-566-glenferrie-road-hawthorn-vic-3122-16084160,10824.42,1013.24
1-48-pearl-drive-craigieburn-vic-3064-16084074,31119.33,2730.28
1003-8-joseph-road-footscray-vic-3011-16084073,8677.85,978.58
2-116-jasper-road-bentleigh-vic-3204-16084051,16596.17,1370.67
918-422-collins-st-melbourne-vic-3000-16084005,4258.43,477.71
104-somerset-street-richmond-vic-3121-16083987,8223.8,955.13
12-30-james-street-windsor-vic-3181-16083970,6448.39,736.66
105-333-ascot-vale-rd-moonee-ponds-vic-3039-16083963,11303.64,1131.52
1-6-turner-road-highett-vic-3190-16083938,20092.89,1899.56
1-6-rattray-avenue-wodonga-vic-3690-16083917,318230.13,12903.69
3-492-plenty-road-preston-vic-3072-16083908,15376.77,1474.11
30-80-enterprise-dr-bundoora-vic-3083-16083831,25437.71,2300.94
12-park-street-abbotsford-vic-3067-16083814,7533.01,883.45
1492-malvern-road-glen-iris-vic-3146-16051441,12152.12,1126.57
214-54-nott-street-port-melbourne-vic-3207-16083798,1183.83,199.19
4-5-southey-court-elwood-vic-3184-16083693,7004.99,764.7
714-20-shamrock-street-abbotsford-vic-3067-16083651,8782.62,1020.99
2a-stephens-street-caulfield-vic-3162-16083642,10852.97,929.12
2-193-bambra-road-caulfield-south-vic-3162-16083583,11482.75,972.1
1-36-burnley-street-richmond-vic-3121-16083578,10196.92,916.93
30-goulburn-way-eynesbury-vic-3338-16083577,51535.02,2681.26
3-59-avoca-street-south-yarra-vic-3141-16083571,5108.49,641.05
4-melrose-street-mont-albert-north-vic-3129-16083561,23518.33,1789.04
19-baker-street-richmond-vic-3121-16083535,8108.75,937.96
1-1204-glen-huntly-road-glen-huntly-vic-3163-16083529,12681.56,1076.32
2a-anderson-street-bentleigh-vic-3204-16083500,16748.49,1416.46
504-1-olive-york-way-brunswick-west-vic-3055-15727179,13505.39,1216.34
313-15-bond-street-caulfield-vic-3162-16083470,10469.96,914.34
1-28-wilgah-street-st-kilda-east-vic-3183-16083469,7056.03,674.69
2-117-tennyson-street-elwood-vic-3184-16083454,7755.7,765.02
105-26-barkly-street-brunswick-east-vic-3057-16083390,9493.93,1042.56
31-55-hotham-street-st-kilda-east-vic-3183-16083388,6675.14,637.52
4-23-albert-street-east-melbourne-vic-3002-16083380,5857.88,698.37
2-36-crisp-st-hampton-vic-3188-16083355,14857.8,1508.86
13-warburton-road-camberwell-vic-3124-16083344,14614.78,1420.2
1-salford-avenue-balwyn-vic-3103-16083324,16583.64,1504.95
612-30-burnley-street-richmond-vic-3121-16083288,10732.29,976.47
314-284-highett-rd-highett-vic-3190-16083284,18397.62,1673.43
2-610-neerim-road-hughesdale-vic-3166-15940344,15349.42,1327.15
92-brunswick-road-brunswick-vic-3056-16083215,9437.37,984.6
2-22-carr-street-brighton-east-vic-3187-16083096,15801.06,1444.07
902-627-victoria-street-abbotsford-vic-3067-16083095,10938.03,1020.62
133-ramsden-street-clifton-hill-vic-3068-16083078,10508.29,1189.22
3-47-wellington-street-geelong-west-vic-3218-16082980,75843.76,3646.35
3-113-osborne-street-south-yarra-vic-3141-16082959,5610.63,713.34
514-6-acacia-place-abbotsford-vic-3067-16082921,11104.91,1027.84
4-165-clarke-street-northcote-vic-3070-16082860,10683.05,1149.99
112a-bluff-road-black-rock-vic-3193-16082856,17988.02,1702.32
47-gilbert-road-preston-vic-3072-16082846,13725.03,1335.45
10-10-larbert-road-noble-park-vic-3174-16082810,33899.88,2137.33
410-92-maroondah-highway-ringwood-vic-3134-16082788,31631.17,2103.04
390-duke-street-sunshine-north-vic-3020-15333130,17845.42,1623.99
26-huon-street-wodonga-vic-3690-16082752,318155.78,12888.64
