rent_address,stop_name,min_distance,min_duration
12-786-warrigal-road-malvern-east-vic-3145-16105663,NULL,NULL,NULL
6-1204-glen-huntly-road-glen-huntly-vic-3163-16110831,NULL,NULL,NULL
118-864-blackburn-road-clayton-vic-3168-16103508,NULL,NULL,NULL
1108-2-joseph-road-footscray-vic-3011-16113701,Lower Maribyrnong River land,679.18,89.43
722-627-victoria-street-abbotsford-vic-3067-16102907,Lower Yarra River land,206.09,41.05
3-10-adelaide-street-murrumbeena-vic-3163-16109631,Wattle Park,8332.59,828.58
5-8-10-turakina-avenue-edithvale-vic-3196-16104021,Mordialloc Pier,3995.28,396.62
22-ethel-street-malvern-vic-3144-16099895,Herring Island,4908.87,416.19
2b-parker-st-brighton-east-vic-3187-16091552,Middle Brighton Pier and Breakwater,4438.95,425.9
31-moama-road-malvern-east-vic-3145-16092594,Herring Island,9020.93,755.78
13a-laity-street-richmond-vic-3121-16099660,Lower Yarra River land (addition) Park,977.94,148.57
10-2-4-baker-street-malvern-east-vic-3145-16103677,Wattle Park,8926.5,814.71
56-28-southgate-avenue-southbank-vic-3006-16107621,Princes Warf,1874.83,272.58
78-wattle-valley-rd-canterbury-vic-3126-16109321,Wattle Park,2517.54,246.27
130-stanley-road-keysborough-vic-3173-16093594,Braeside Park,4067.31,509.24
10-26-warleigh-grove-brighton-vic-3186-16111350,Middle Brighton Pier and Breakwater,2129.52,270.97
94-lennox-street-richmond-vic-3121-16113257,Lower Yarra River land,1605.3,194.67
104-77-riversdale-road-hawthorn-vic-3122-16100086,Lower Yarra River land,2684.24,299.8
2-81-abinger-street-richmond-vic-3121-16099075,Lower Yarra River land,1108.79,133.9
5-45-grenville-street-hampton-vic-3188-16094685,Sandringham Jetty and Breakwater,1769.25,216.16
11-shamrock-street-richmond-vic-3121-16091440,Lower Yarra River land,2374.59,252.28
11g-21-northumberland-street-collingwood-vic-3066-16110786,Lower Yarra River land,1510.7,187.46
54-athelstan-road-camberwell-vic-3124-16104500,Wattle Park,5382.17,484.91
40-berry-avenue-edithvale-vic-3196-16105305,Patterson River,3819.26,311.5
3-56-smith-street-south-melbourne-vic-3205-16105162,Kerford Road and Lagoon Piers,1672.74,254.89
43-cochrane-avenue-camberwell-vic-3124-16109593,Wattle Park,5105.19,495.29
101-392-lygon-street-brunswick-east-vic-3057-16095591,Carlton Court House Historic Reserve,3745.0,363.36
201-43-zetland-road-mont-albert-vic-3127-16092749,Wattle Park,4187.7,418.06
1-16-18-millswyn-street-south-yarra-vic-3141-16104898,Albert Park,1007.71,166.2
56-davanzo-avenue-clarinda-vic-3169-16092173,Karkarook Park (water authority land),2983.22,420.54
12-39-heller-street-brunswick-west-vic-3055-16112167,Carlton Court House Historic Reserve,4493.62,458.38
1207-39-park-street-south-melbourne-vic-3205-16093617,Albert Park,506.49,90.29
10-303-305-huntingdale-road-chadstone-vic-3148-16099550,Wattle Park,6779.32,638.19
2-67-moonya-rd-carnegie-vic-3163-16098026,Karkarook Park (water authority land),6762.79,652.48
2-44-robe-street-st-kilda-vic-3182-16100042,Albert Park,647.29,89.18
9-oakley-street-mount-dandenong-vic-3767-16111799,Fiddlers Green Bushland Reserve,759.48,116.09
3-91-livingstone-street-ivanhoe-vic-3079-16097930,Darebin Creek Land,2153.84,251.76
304-11-reid-street-fitzroy-north-vic-3068-16098276,Carlton Court House Historic Reserve,2172.88,240.63
6-20-gerald-st-murrumbeena-vic-3163-16097327,Karkarook Park (water authority land),6306.08,688.47
7-51-55-goldsmith-street-elwood-vic-3184-16104905,St Kilda (Brookes Jetty),2256.69,268.17
7-36-johnstone-street-malvern-vic-3144-16104691,Herring Island,7655.41,694.77
602-71-inkerman-st-st-kilda-east-vic-3183-16091456,Albert Park,2393.65,255.53
12-rosamond-street-balaclava-vic-3183-16113271,St Kilda (Brookes Jetty),2159.92,293.74
g06-3-claire-street-mckinnon-vic-3204-15344621,Karkarook Park (water authority land),6665.32,636.63
3104-45-clarke-street-southbank-vic-3006-14397368,Albert Park,1769.42,287.09
6-cherry-cl-melton-west-vic-3337-16098222,Melton Gilgai Woodlands Nature Conservation Reserve,2782.41,420.85
g05-237-napier-street-fitzroy-vic-3065-16099451,Carlton Court House Historic Reserve,1361.83,232.69
201-136-murray-street-caulfield-vic-3162-10136316,St Kilda (Brookes Jetty),5499.53,527.38
202-53-browns-road-bentleigh-east-vic-3165-16097230,Karkarook Park (water authority land),4308.35,468.87
4-mandeville-crescent-toorak-vic-3142-16099272,Herring Island,3694.51,387.51
2-55-wanda-rd-caulfield-north-vic-3161-16093913,Albert Park,4198.34,417.8
station-street-caulfield-north-vic-3161-16094221,Herring Island,8424.14,770.92
2-parkview-avenue-brunswick-east-vic-3057-16108388,Carlton Court House Historic Reserve,4862.0,482.83
31-rubens-grove-canterbury-vic-3126-16112358,Yarra Bend Park,5620.37,606.77
201a-8-grosvenor-street-abbotsford-vic-3067-16093576,Lower Yarra River land (addition) Park,174.46,41.87
202-555-burke-road-camberwell-vic-3124-16109562,Lower Yarra River land,6017.07,528.5
159-richardson-street-carlton-north-vic-3054-16096889,Carlton Court House Historic Reserve,1790.27,207.47
g02-236-jasper-road-mckinnon-vic-3204-16111151,Karkarook Park (water authority land),6260.1,600.06
10-113-eskdale-road-caulfield-north-vic-3161-16112117,Herring Island,8473.02,780.15
5-48-spray-street-elwood-vic-3184-16092133,St Kilda (Brookes Jetty),2507.51,288.08
1011-77-queens-road-melbourne-vic-3004-16109866,Albert Reserve,985.81,136.03
7-55-pleasant-street-pascoe-vale-vic-3044-15507181,Lower Maribyrnong River land,8067.62,833.04
504-415-glen-huntly-road-elsternwick-vic-3185-16107407,St Kilda (Brookes Jetty),3902.27,405.78
23-bolinda-road-balwyn-north-vic-3104-16098242,Part Yarra Valley Parklands,3968.55,413.67
71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Lower Yarra River land,244.09,39.46
3-24-26-burns-street-elwood-vic-3184-16092084,St Kilda (Brookes Jetty),2905.17,301.01
23-102-jolimont-road-east-melbourne-vic-3002-16110025,Princes Warf,2878.12,384.23
2-11-barrina-street-blackburn-south-vic-3130-16107646,Davy Lane Reserve,5094.3,688.48
8-1b-kinkora-road-hawthorn-vic-3122-16104258,Lower Yarra River land,1509.53,191.49
3-198-bluff-road-sandringham-vic-3191-16100496,Black Rock Jetty,1929.71,183.8
40-kokoda-place-mordialloc-vic-3195-16096229,Mordialloc Pier,950.99,166.72
17a-clendon-road-toorak-vic-3142-16105569,Herring Island,3675.14,376.8
1001b-2-wests-road-maribyrnong-vic-3032-16110067,Lower Maribyrnong River land,2415.26,267.56
102-190-alma-rd-st-kilda-east-vic-3183-16098637,Albert Park,2756.29,295.22
1205-77-river-street-south-yarra-vic-3141-14520896,Albert Park,2756.08,339.73
24-kleine-street-noble-park-vic-3174-16102906,Braeside Park,5150.37,579.74
14-65-george-street-fitzroy-vic-3065-16109661,Lower Yarra River land,1902.76,224.93
3-20-tintern-avenue-toorak-vic-3142-16096159,Herring Island,2981.99,356.35
1-210-tucker-road-bentleigh-vic-3204-16103255,Karkarook Park (water authority land),5316.68,536.39
209-8-montrose-street-hawthorn-east-vic-3123-16109618,Lower Yarra River land,3040.11,316.05
14-116-albert-street-brunswick-vic-3056-16099340,Carlton Court House Historic Reserve,3345.82,330.95
11-8-tattenham-street-caulfield-vic-3162-16110783,Herring Island,9474.91,814.59
17-fourth-street-black-rock-vic-3193-16108263,Ricketts Point Marine Sanctuary,1506.07,136.96
7-burnie-street-toorak-vic-3142-16105562,Herring Island,2535.2,356.43
3-483-st-kilda-street-elwood-vic-3184-16094510,Middle Brighton Pier and Breakwater,2576.7,294.55
2-123-cheddar-road-reservoir-vic-3073-16106073,Merri Creek Park,7400.21,506.93
69-chapel-street-st-kilda-vic-3182-16107526,Albert Park,1691.51,198.66
