rent_address,stop_name,min_distance,min_duration
3-25-shepparson-avenue-carnegie-vic-3163-16094973,NULL,NULL,NULL
5-1011-glen-huntly-road-caulfield-vic-3162-16111675,NULL,NULL,NULL
7-1344-dandenong-road-hughesdale-vic-3166-16112445,NULL,NULL,NULL
304-27-dickmann-street-richmond-vic-3121-16113260,Lower Yarra River land,2421.03,235.96
14-acland-street-south-yarra-vic-3141-16100335,Albert Park,1865.18,248.73
1212-35-malcolm-street-south-yarra-vic-3141-16104529,Albert Park,2675.36,328.11
19-asquith-street-kew-vic-3101-16113258,Yarra Bend Park,2209.44,268.07
2e-hopetoun-avenue-canterbury-vic-3126-16099464,Wattle Park,4083.35,396.0
7-mahla-ave-wollert-vic-3750-14803288,Plenty Gorge Parklands,10933.31,1110.46
20a-burwah-avenue-brighton-east-vic-3187-16103434,Middle Brighton Pier and Breakwater,4547.07,434.98
1310-450-st-kilda-road-melbourne-vic-3004-16099990,Albert Park,667.43,123.28
12-mccomb-lane-cranbourne-vic-3977-16106494,Langwarrin Bushland Reserve,4814.16,317.26
17-120-princes-street-port-melbourne-vic-3207-16101214,Kerford Road and Lagoon Piers,1330.31,153.14
607-253-bridge-road-richmond-vic-3121-16100906,Lower Yarra River land,1597.95,147.74
1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Carlton Court House Historic Reserve,1609.11,200.47
12-2-freeman-street-hawthorn-east-vic-3123-16099575,Lower Yarra River land,3735.1,389.47
109-39-riversdale-road-hawthorn-vic-3122-16109227,Lower Yarra River land,2222.59,289.95
84-nott-street-port-melbourne-vic-3207-16112150,Kerford Road and Lagoon Piers,1104.84,158.8
604-8c-evergreen-mews-armadale-vic-3143-15223873,Herring Island,3921.64,424.45
310-24-becket-avenue-bentleigh-east-vic-3165-16098565,Karkarook Park (water authority land),4317.03,470.96
6-50-fitzroy-street-st-kilda-vic-3182-16096820,Albert Park,236.16,35.44
3-1-alexandra-avenue-south-yarra-vic-3141-16103763,Princes Warf,1865.95,255.57
12-24-dunoon-street-murrumbeena-vic-3163-16110351,Karkarook Park (water authority land),7163.3,680.93
385-burke-road-glen-iris-vic-3146-16096642,Herring Island,6129.09,473.66
907-37-39-park-street-south-melbourne-vic-3205-15842582,Albert Park,506.49,90.29
406-75-palmerston-crescent-south-melbourne-vic-3205-16093654,Albert Park,321.8,75.89
34-abinger-street-richmond-vic-3121-16096038,Lower Yarra River land,1461.46,166.05
121-5-beavers-road-northcote-vic-3070-16088994,Yarra Bend Park,3699.05,375.41
51-spearmint-boulevard-manor-lakes-vic-3024-13582212,Melbourne Strategic Assessment Reserve,2248.72,170.28
8-9-celeste-court-st-kilda-east-vic-3183-16109885,Albert Park,3022.56,327.43
104-71-abinger-street-richmond-vic-3121-16096988,Lower Yarra River land,1323.35,137.84
2503-7-katherine-place-melbourne-vic-3000-16096811,Albert Park,2333.4,336.56
16-2-armadale-street-armadale-vic-3143-16092266,Albert Park,4446.43,446.3
1-3-7-sebastopol-street-st-kilda-vic-3182-16104975,Albert Park,2348.41,261.65
1701-620-collins-street-melbourne-vic-3000-16114048,Albert Park,2703.59,380.46
407-386-spencer-street-west-melbourne-vic-3003-16106534,Carlton Court House Historic Reserve,3222.43,384.67
2-41-albenca-street-mentone-vic-3194-15355277,Mordialloc Pier,4626.51,553.38
9a-spencer-street-northcote-vic-3070-16103679,Yarra Bend Park,4158.46,469.77
2-horne-street-brunswick-vic-3056-16107121,Carlton Court House Historic Reserve,3229.73,324.01
257-koornang-road-carnegie-vic-3163-16108611,Karkarook Park (water authority land),7363.26,708.9
815-91-galada-avenue-parkville-vic-3052-16108978,Lower Maribyrnong River land,4306.91,525.3
g02-178-union-rd-surrey-hills-vic-3127-16103762,Wattle Park,2549.69,267.15
33a-marcus-road-dingley-village-vic-3172-16097552,Braeside Park,1332.41,144.05
306-63-lygon-street-brunswick-east-vic-3057-16104850,Carlton Court House Historic Reserve,2506.8,263.22
60-spring-street-east-port-melbourne-vic-3207-16113151,Kerford Road and Lagoon Piers,1777.04,225.58
22-399-toorak-rd-south-yarra-vic-3141-16103168,Albert Park,3085.1,379.15
507-23-queens-road-melbourne-vic-3004-16098966,Albert Park,947.53,140.16
