rent_address,stop_name,min_distance,min_duration
201-6-station-st-caulfield-north-vic-3161-16108638,Herring Island,8405.03,758.87
5-111-ruskin-street-elwood-vic-3184-16104155,St Kilda (Brookes Jetty),1769.72,229.23
4-19-chapman-street-north-melbourne-vic-3051-16112887,Carlton Court House Historic Reserve,3115.13,388.54
1-969-riversdale-road-surrey-hills-vic-3127-16099850,Wattle Park,855.64,116.83
6-45-coorigil-road-carnegie-vic-3163-16091052,Karkarook Park (water authority land),7134.44,692.67
8-27-oxford-street-box-hill-vic-3128-16098733,Wattle Park,3570.72,389.48
601-8-exploration-lane-melbourne-vic-3000-16081723,Carlton Court House Historic Reserve,1594.6,207.5
494-abbotsford-street-north-melbourne-vic-3051-16093609,Carlton Court House Historic Reserve,3707.67,387.1
33-carramar-street-chadstone-vic-3148-16096061,Wattle Park,6519.98,709.7
6-1403-dandenong-road-malvern-east-vic-3145-16094655,Karkarook Park (water authority land),5825.82,704.68
4-24-lascelles-avenue-toorak-vic-3142-16111381,Herring Island,2336.88,266.72
13-343-beaconsfield-parade-st-kilda-west-vic-3182-16108716,St Kilda Pier and Breakwater,876.78,125.31
35-233-canterbury-road-st-kilda-west-vic-3182-16109040,Albert Park,310.7,40.88
17-wandoo-avenue-clarinda-vic-3169-16108397,Karkarook Park (water authority land),4361.43,473.18
6-25-dickens-street-elwood-vic-3184-16099687,St Kilda (Brookes Jetty),1541.29,256.93
107-15-bond-street-caulfield-vic-3162-15367271,Herring Island,8371.73,757.68
10-216-station-street-edithvale-vic-3196-14486078,Mordialloc Pier,3720.74,344.78
7-54-tennyson-street-elwood-vic-3184-16106407,St Kilda (Brookes Jetty),2117.72,334.64
814-4-acacia-place-abbotsford-vic-3067-16097710,Lower Yarra River land,0.19,0.04
610-2-6-railway-road-cheltenham-vic-3192-16092472,Ricketts Point Marine Sanctuary,5435.19,478.29
1908-6-joseph-road-footscray-vic-3011-15399494,Lower Maribyrnong River land,796.83,103.55
311-7-nepean-highway-elsternwick-vic-3185-16099376,St Kilda (Brookes Jetty),3446.96,384.93
15-4-wills-street-glen-iris-vic-3146-16098084,Lower Yarra River land,7099.01,714.11
2-119-victoria-road-hawthorn-east-vic-3123-16091571,Lower Yarra River land,3889.52,396.1
5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,Carlton Court House Historic Reserve,3211.28,329.13
13-2a-robe-street-st-kilda-vic-3182-16113609,St Kilda (Brookes Jetty),1136.15,123.59
808-250-city-road-southbank-vic-3006-16103830,Albert Park,1887.4,311.58
7a-fraser-street-bentleigh-east-vic-3165-16104506,Karkarook Park (water authority land),4273.91,542.22
4008-45-clarke-street-southbank-vic-3006-16098289,Albert Park,1769.42,287.09
8-yuille-street-brighton-vic-3186-16105002,Sandringham Jetty and Breakwater,3048.89,331.63
1-339-brunswick-road-brunswick-vic-3056-16096511,Carlton Court House Historic Reserve,3828.79,395.64
