rent_address,stop_name,min_distance,min_duration
148-bay-street-brighton-vic-3186-16111243,Middle Brighton Pier and Breakwater,1400.7,150.17
2-103-waverley-road-chadstone-vic-3148-16098229,Wattle Park,6612.62,697.35
2512-70-southbank-boulevard-southbank-vic-3006-16097066,Princes Warf,1817.21,238.38
316b-south-road-hampton-east-vic-3188-16101248,Sandringham Jetty and Breakwater,4774.61,480.16
1-43-barkly-street-carlton-vic-3053-16114029,Carlton Court House Historic Reserve,778.1,121.37
6-75-westbury-street-st-kilda-east-vic-3183-16104087,Albert Park,2128.75,241.26
106-471-malvern-road-south-yarra-vic-3141-16099095,Albert Reserve,2815.18,265.11
1-kadir-street-bentleigh-east-vic-3165-16110561,Karkarook Park (water authority land),3759.65,476.79
3-1-coane-street-oakleigh-east-vic-3166-16110864,Karkarook Park (water authority land),6660.22,658.75
10-5-wilson-street-murrumbeena-vic-3163-16104133,Wattle Park,8291.97,839.29
10-1231-malvern-road-malvern-vic-3144-16097026,Herring Island,5517.9,487.2
1-125-henty-street-reservoir-vic-3073-16113414,Merri Creek Land (368 Mahoneys Rd),7663.59,671.17
2-grace-court-kew-vic-3101-16095943,Yarra Bend Park,1487.34,215.07
118-normanby-avenue-thornbury-vic-3071-16109205,Yarra Bend Park,5440.75,457.34
2-31-howitt-street-south-yarra-vic-3141-16109026,Albert Reserve,3122.54,309.7
62a-union-street-windsor-vic-3181-16096060,Albert Park,1195.71,167.0
2-55-avoca-street-south-yarra-vic-3141-16103349,Albert Park,2032.14,283.53
207-6-mater-street-collingwood-vic-3066-16091253,Lower Yarra River land,2187.48,328.36
503-147-beach-street-port-melbourne-vic-3207-16113115,Kerford Road and Lagoon Piers,2163.74,233.38
3-1a-wimba-avenue-kew-vic-3101-16100819,Yarra Bend Park,3328.04,396.96
6-44-type-street-richmond-vic-3121-16099000,Lower Yarra River land,786.28,130.22
p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Lower Yarra River land,1703.35,221.73
311-39-park-street-south-melbourne-vic-3205-16109887,Albert Park,506.49,90.29
3-20-24-dublin-road-ringwood-east-vic-3135-16112504,Mullum Mullum Park,4210.69,392.21
3-291-rathmines-street-thornbury-vic-3071-16091151,Yarra Bend Park,3584.91,316.57
4-odessa-street-st-kilda-vic-3182-16094649,Albert Park,1257.0,180.03
205-6-8-wellington-road-box-hill-vic-3128-16110292,Wattle Park,4323.8,517.6
6-berrima-street-oakleigh-east-vic-3166-15137796,Karkarook Park (water authority land),8316.03,830.21
1-62-simpson-st-east-melbourne-vic-3002-16099921,Lower Yarra River land,1611.48,233.01
906-14-queens-road-melbourne-vic-3004-16104224,Albert Park,669.42,123.56
8-victoria-road-northcote-vic-3070-16093432,Yarra Bend Park,991.74,99.69
703-500-flinders-street-melbourne-vic-3000-16102690,Albert Park,2507.65,375.32
310-380-bay-street-brighton-vic-3186-16097678,Middle Brighton Pier and Breakwater,2102.65,239.68
1-40-glenbrook-avenue-clayton-vic-3168-16110445,Karkarook Park (water authority land),7468.0,765.88
2-23-amaroo-street-chadstone-vic-3148-15802799,Wattle Park,6276.48,651.26
16-197-auburn-road-hawthorn-vic-3122-16109889,Lower Yarra River land,3154.0,314.92
10-15-inkerman-street-st-kilda-vic-3182-16111511,Albert Park,864.39,106.21
3-34-durham-road-surrey-hills-vic-3127-16103162,Wattle Park,2200.18,251.71
5-90-toorak-road-west-south-yarra-vic-3141-16096683,Albert Park,1079.69,165.51
9-4-normanby-street-windsor-vic-3181-16103941,Albert Reserve,2841.71,334.65
49-northcote-road-armadale-vic-3143-16097996,Herring Island,4124.4,470.3
12-valiant-street-abbotsford-vic-3067-16098146,Lower Yarra River land,827.16,121.08
103-38-nicholson-street-fitzroy-north-vic-3068-16097154,Carlton Court House Historic Reserve,3349.06,364.18
9-pine-camberwell-vic-3124-16112483,Wattle Park,5549.38,526.34
21-361-royal-parade-parkville-vic-3052-16104740,Carlton Court House Historic Reserve,2585.47,295.75
27-pepperell-lane-malvern-east-vic-3145-16109184,Wattle Park,8531.86,783.25
312b-399-bourke-street-melbourne-vic-3000-16096996,Carlton Court House Historic Reserve,2745.51,315.97
305-115-nott-street-port-melbourne-vic-3207-16105599,Kerford Road and Lagoon Piers,1117.94,159.79
207-6-station-st-caulfield-north-vic-3161-16108569,Herring Island,8405.03,758.87
9-312-316-barkers-road-hawthorn-vic-3122-16109610,Lower Yarra River land,2702.29,278.49
301-27-dickmann-street-richmond-vic-3121-16112647,Lower Yarra River land,2421.03,235.96
37a-bambra-road-caulfield-north-vic-3161-16098329,Middle Brighton Pier and Breakwater,7312.77,647.57
4-3-finchley-court-hawthorn-vic-3122-16104849,Lower Yarra River land,2453.52,279.85
210-12-napier-street-footscray-vic-3011-16100855,Lower Maribyrnong River land,1361.51,213.38
104-16-cobden-street-north-melbourne-vic-3051-16096636,Carlton Court House Historic Reserve,2073.66,237.38
1-127-cambridge-street-collingwood-vic-3066-16091234,Lower Yarra River land,1472.17,225.43
3-22-wave-street-elwood-vic-3184-16095176,St Kilda (Brookes Jetty),2507.79,270.36
128-gordon-street-balwyn-vic-3103-16091813,Part Yarra Valley Parklands,4934.67,502.37
1806-8-joseph-road-footscray-vic-3011-16109988,Lower Maribyrnong River land,805.35,104.57
9-164-wattletree-road-malvern-vic-3144-16100352,Herring Island,6307.43,594.21
429-burnley-street-richmond-vic-3121-16100386,Herring Island,1355.03,161.86
1008-68-cambridge-street-collingwood-vic-3066-16096565,Lower Yarra River land,1461.97,178.62
103-567-569-glenferrie-road-hawthorn-vic-3122-16108509,Lower Yarra River land,2464.42,261.41
66-albany-road-toorak-vic-3142-16109249,Herring Island,3317.34,347.22
6-mckay-avenue-black-rock-vic-3193-16110627,Black Rock Jetty,1264.21,175.36
37-109-lygon-street-carlton-vic-3053-16105252,Carlton Court House Historic Reserve,1048.06,138.2
209-427-hampton-street-hampton-vic-3188-16108518,Sandringham Jetty and Breakwater,1823.96,211.49
3-529-balcombe-rd-black-rock-vic-3193-16100369,Black Rock Jetty,1788.83,202.04
17-29-kooyong-road-armadale-vic-3143-16109622,Albert Park,4379.32,434.22
7-94-eskdale-rd-caulfield-north-vic-3161-16111066,Herring Island,8158.69,766.49
22-kiewa-east-road-tangambalanga-vic-3691-16101133,Beethang I100 Bushland Reserve,4091.77,411.12
46-mutton-road-fawkner-vic-3060-15915330,Merri Creek Land (368 Mahoneys Rd),4192.41,321.75
3-17-munro-st-kew-east-vic-3102-16104263,Yarra Valley Parklands (COM),3129.04,399.95
24-6-hensley-road-lalor-vic-3075-16093487,Cooper St Grassland Nature Conservation Reserve,6196.93,749.09
1-20-lincoln-street-oakleigh-vic-3166-16107897,Karkarook Park (water authority land),5861.38,626.45
315-118-russell-street-melbourne-vic-3000-16108688,Carlton Court House Historic Reserve,2026.67,253.84
1-791-malvern-road-toorak-vic-3142-16098134,Herring Island,4075.55,418.21
7-680-malvern-road-prahran-vic-3181-16097081,Albert Reserve,3445.89,325.26
23-milan-street-mentone-vic-3194-16094642,Ricketts Point Marine Sanctuary,3585.59,413.36
42-cassels-road-brunswick-vic-3056-16110238,Carlton Court House Historic Reserve,5852.71,576.07
98a-stawell-street-richmond-vic-3121-16104417,Lower Yarra River land,1053.7,145.66
2-29-wheeler-street-ormond-vic-3204-16107896,Karkarook Park (water authority land),7197.93,706.44
5-33-parkhill-road-kew-vic-3101-16112182,Yarra Bend Park,3187.41,387.97
710-stud-road-scoresby-vic-3179-15268201,Dandenong Valley Parklands,4722.8,644.62
3-112-114-huntingdale-road-mount-waverley-vic-3149-14880327,Wattle Park,5057.09,485.85
66-spring-street-east-port-melbourne-vic-3207-16111770,Kerford Road and Lagoon Piers,1726.96,214.67
1140-dandenong-rd-carnegie-vic-3163-16097320,Wattle Park,8656.53,872.92
108-139-143-bouverie-street-carlton-vic-3053-16100726,Carlton Court House Historic Reserve,1504.81,192.01
110-brunswick-road-brunswick-vic-3056-16103107,Carlton Court House Historic Reserve,2968.78,312.27
2-9-lillimur-road-ormond-vic-3204-16107547,Karkarook Park (water authority land),7522.62,748.11
2-melville-avenue-geelong-west-vic-3218-16090991,Geelong Telegraph Station Historic Reserve,3090.62,354.49
112-124-palmerston-street-carlton-vic-3053-16103862,Carlton Court House Historic Reserve,562.58,90.22
152-nelson-road-south-melbourne-vic-3205-16106350,Kerford Road and Lagoon Piers,1632.14,252.25
3-107-park-crescent-williamstown-north-vic-3016-16108944,Jawbone Marine Sanctuary,1354.95,197.58
147-stewart-st-brunswick-east-vic-3057-16108585,Carlton Court House Historic Reserve,4104.87,403.02
6-230-dawson-street-brunswick-west-vic-3055-16103397,Lower Maribyrnong River land,5075.03,517.78
2-45-queen-street-ormond-vic-3204-16101296,Sandringham Jetty and Breakwater,7897.85,770.23
6-4-holloway-street-ormond-vic-3204-16099235,Karkarook Park (water authority land),7526.21,736.19
2-45-browns-road-bentleigh-east-vic-3165-16104783,Karkarook Park (water authority land),4313.55,470.12
62-queens-avenue-caulfield-east-vic-3145-16104907,Herring Island,9434.75,832.32
