rent_address,school_name,min_distance,min_duration
24-6-hensley-road-lalor-vic-3075-16093487,Avoca Primary School,644.88,157.49
1-20-lincoln-street-oakleigh-vic-3166-16107897,Alberton Primary School,1011.68,152.74
315-118-russell-street-melbourne-vic-3000-16108688,Allansford and District Primary School,437.87,68.33
1-791-malvern-road-toorak-vic-3142-16098134,Allansford and District Primary School,561.42,54.32
7-680-malvern-road-prahran-vic-3181-16097081,Avenel Primary School,550.01,68.63
23-milan-street-mentone-vic-3194-16094642,Warrandyte Primary School,701.06,158.18
42-cassels-road-brunswick-vic-3056-16110238,Alberton Primary School,870.9,117.32
98a-stawell-street-richmond-vic-3121-16104417,Warrandyte Primary School,1215.54,170.16
2-29-wheeler-street-ormond-vic-3204-16107896,Warrandyte Primary School,485.22,64.4
5-33-parkhill-road-kew-vic-3101-16112182,Allansford and District Primary School,1132.46,97.2
710-stud-road-scoresby-vic-3179-15268201,Alberton Primary School,838.85,122.49
3-112-114-huntingdale-road-mount-waverley-vic-3149-14880327,Alberton Primary School,553.51,95.29
66-spring-street-east-port-melbourne-vic-3207-16111770,Avoca Primary School,471.38,83.27
1140-dandenong-rd-carnegie-vic-3163-16097320,Allansford and District Primary School,1249.71,153.99
108-139-143-bouverie-street-carlton-vic-3053-16100726,Bacchus Marsh Primary School,763.12,110.77
110-brunswick-road-brunswick-vic-3056-16103107,Alberton Primary School,962.26,98.28
2-9-lillimur-road-ormond-vic-3204-16107547,Avoca Primary School,126.41,22.98
2-melville-avenue-geelong-west-vic-3218-16090991,Avoca Primary School,669.25,92.21
112-124-palmerston-street-carlton-vic-3053-16103862,Avoca Primary School,367.55,58.82
152-nelson-road-south-melbourne-vic-3205-16106350,Bacchus Marsh Primary School,436.73,103.43
3-107-park-crescent-williamstown-north-vic-3016-16108944,Allansford and District Primary School,1226.46,123.54
147-stewart-st-brunswick-east-vic-3057-16108585,Allansford and District Primary School,733.59,106.06
6-230-dawson-street-brunswick-west-vic-3055-16103397,Allansford and District Primary School,469.62,65.81
2-45-queen-street-ormond-vic-3204-16101296,Belmont Primary School,186.61,18.17
6-4-holloway-street-ormond-vic-3204-16099235,Avoca Primary School,524.84,86.55
2-45-browns-road-bentleigh-east-vic-3165-16104783,Avoca Primary School,1250.23,121.72
62-queens-avenue-caulfield-east-vic-3145-16104907,Allansford and District Primary School,970.17,93.24
107-35-camberwell-road-hawthorn-east-vic-3123-16104010,Belmont Primary School,782.48,90.25
8-16-marine-parade-st-kilda-vic-3182-16107202,Alberton Primary School,1105.34,193.63
1-1-ellesmere-road-windsor-vic-3181-16107246,Warrandyte Primary School,740.87,86.91
8-52-pender-street-thornbury-vic-3071-16113012,Avoca Primary School,556.7,85.85
12-203-alma-rd-st-kilda-east-vic-3183-16097827,Belmont Primary School,1018.76,96.68
49-pascall-street-mount-waverley-vic-3149-16095717,Avoca Primary School,886.99,142.35
02-378-st-georges-road-fitzroy-north-vic-3068-16111995,Avoca Primary School,268.23,37.99
513-118-franklin-street-melbourne-vic-3000-15397839,Warrandyte Primary School,828.84,98.91
6-164-wattletree-road-malvern-vic-3144-16100356,Warrandyte Primary School,891.14,148.79
4-653-park-street-brunswick-vic-3056-16109007,Alberton Primary School,918.42,93.41
4-25-melrose-drive-wodonga-vic-3690-12527064,Alberton Primary School,1422.12,133.07
5-lightfoot-street-richmond-vic-3121-10274422,Warrandyte Primary School,780.69,123.22
11-regent-avenue-springvale-vic-3171-16110391,Belmont Primary School,724.47,110.11
4-cirrus-close-hampton-park-vic-3976-16112856,Alberton Primary School,379.45,82.92
3-138-mitchell-street-brunswick-vic-3056-16104854,Avoca Primary School,1012.62,134.34
406-631-victoria-street-abbotsford-vic-3067-16102921,Allansford and District Primary School,651.33,79.28
101-67-well-street-brighton-vic-3186-16091137,Avoca Primary School,702.06,98.92
2-14-hiscock-street-chadstone-vic-3148-15363745,Alberton Primary School,367.38,56.35
20-523-burwood-road-hawthorn-vic-3122-16103788,Avoca Primary School,45.87,3.3
4-17-hope-street-glen-iris-vic-3146-16110227,Avoca Primary School,314.21,35.67
