rent_address,school_name,min_distance,min_duration
17-6-adam-street-richmond-vic-3121-16100713,Alberton Primary School,1662.8,232.9
701-101-therry-st-melbourne-vic-3000-16069017,Warrandyte Primary School,619.91,78.53
510-77-river-street-south-yarra-vic-3141-16093296,Avoca Primary School,81.54,13.59
1-107-grosvenor-street-balaclava-vic-3183-16096804,Bacchus Marsh Primary School,749.6,82.06
13-7-sutherland-road-armadale-vic-3143-16113177,Avenel Primary School,895.93,120.8
2-27-leaburn-avenue-caulfield-north-vic-3161-16099564,Alberton Primary School,596.36,48.43
11-macquarie-road-wodonga-vic-3690-16100280,Allansford and District Primary School,712.0,92.04
2-mayrose-crescent-brighton-east-vic-3187-16103263,Avoca Primary School,734.57,91.95
4-18-loch-street-coburg-vic-3058-16092618,Allansford and District Primary School,1325.38,174.78
2-8-rupert-street-mitcham-vic-3132-16113687,Alberton Primary School,1198.94,109.49
1-24-charlton-cres-reservoir-vic-3073-16109817,Alberton Primary School,480.54,85.57
1a-monica-street-burwood-vic-3125-16097697,Allansford and District Primary School,735.05,144.43
48-clifton-avenue-clifton-hill-vic-3068-16092358,Alberton Primary School,924.62,181.46
2-28-millward-street-brunswick-west-vic-3055-16103927,Avoca Primary School,534.9,62.6
2-109-grange-road-glen-huntly-vic-3163-16091489,Avenel Primary School,349.96,35.53
5-256-williams-road-toorak-vic-3142-16098967,Avenel Primary School,1129.63,128.92
706-111-leicester-street-carlton-vic-3053-16108027,Bacchus Marsh Primary School,727.18,120.22
105-18-cadow-street-kew-east-vic-3102-16104932,Avoca Primary School,402.45,96.59
232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Allansford and District Primary School,305.41,59.58
1-3-weebill-court-werribee-vic-3030-14233278,Allansford and District Primary School,1896.45,272.87
4-2-4-jessamine-avenue-prahran-vic-3181-16096629,Bacchus Marsh Primary School,981.69,108.43
320-68-la-trobe-street-melbourne-vic-3000-16098385,Avoca Primary School,591.48,78.82
502-201-high-street-prahran-vic-3181-16108215,Allansford and District Primary School,355.97,39.39
2-64-park-street-south-yarra-vic-3141-16093045,Avoca Primary School,691.36,106.47
1412-4-joseph-road-footscray-vic-3011-16106028,Allansford and District Primary School,538.41,74.09
2-10-alford-street-brighton-east-vic-3187-16094684,Alberton Primary School,1061.17,119.87
1202-620-collins-street-melbourne-vic-3000-16114058,Allansford and District Primary School,897.47,114.01
1107-6-joseph-road-footscray-vic-3011-16104041,Allansford and District Primary School,559.68,76.64
209-97-palmerston-crescent-south-melbourne-vic-3205-16099232,Warrandyte Primary School,249.26,51.29
712-68-wests-road-maribyrnong-vic-3032-16093377,Allansford and District Primary School,1292.24,186.06
726-warrigal-road-malvern-east-vic-3145-16092294,Allansford and District Primary School,1131.82,152.64
6-22-french-avenue-northcote-vic-3070-16099680,Alberton Primary School,1337.84,163.62
1a-marriott-street-caulfield-vic-3162-16103818,Warrandyte Primary School,1003.65,80.0
8-bevan-street-ormond-vic-3204-16111581,Alberton Primary School,764.9,155.02
309-501-little-collins-street-melbourne-vic-3000-16107439,Allansford and District Primary School,263.92,44.17
4-74-darebin-st-heidelberg-vic-3084-16113528,Alberton Primary School,572.25,98.83
1008-2-claremont-street-south-yarra-vic-3141-14225672,Avoca Primary School,746.13,90.93
9-26-loch-street-st-kilda-west-vic-3182-16108504,Alberton Primary School,878.5,113.67
203-59-63-warrigal-road-hughesdale-vic-3166-13009899,Avoca Primary School,544.51,89.69
177-urquhart-street-coburg-vic-3058-16099429,Allansford and District Primary School,855.2,125.27
811v-162-albert-street-east-melbourne-vic-3002-16096094,Allansford and District Primary School,673.8,100.71
106-273-lygon-street-brunswick-east-vic-3057-16095784,Alberton Primary School,1240.91,105.98
101-108-flinders-street-melbourne-vic-3000-16104629,Alberton Primary School,645.35,83.96
20-illawarra-street-williamstown-vic-3016-16104991,Alberton Primary School,828.65,136.08
116-288-albert-street-brunswick-vic-3056-16113457,Alberton Primary School,191.68,23.82
1005-285-city-road-southbank-vic-3006-16111246,Allansford and District Primary School,785.62,104.33
11-406-cardigan-street-carlton-vic-3053-16107251,Avoca Primary School,963.67,84.16
20-greenside-cres-keysborough-vic-3173-16110634,Alberton Primary School,1789.17,207.32
4-22-magnolia-road-gardenvale-vic-3185-16109985,Allansford and District Primary School,990.74,130.83
2-40-glenbrook-avenue-clayton-vic-3168-16110582,Alberton Primary School,1014.62,132.01
6-59-61-ormond-esplanade-elwood-vic-3184-16110347,Avoca Primary School,871.44,106.96
12-283-royal-parade-parkville-vic-3052-16096882,Avoca Primary School,1934.13,243.54
301-1150-toorak-road-camberwell-vic-3124-16100175,Alberton Primary School,763.61,99.83
44-bushlark-drive-carrum-downs-vic-3201-16097673,Alberton Primary School,638.58,121.63
