rent_address,school_name,min_distance,min_duration
7-562-little-bourke-street-melbourne-vic-3000-16094300,Allansford and District Primary School,469.61,78.98
g04-652-high-street-prahran-vic-3181-16111416,Avoca Primary School,330.85,46.57
2-309-hawthorn-road-caulfield-north-vic-3161-16110754,Alberton Primary School,799.81,78.54
717-101-tram-road-doncaster-vic-3108-16103524,Alberton Primary School,711.79,123.21
2-70-power-street-hawthorn-vic-3122-16075968,Belmont Primary School,553.78,75.19
2-12-sylvester-street-oak-park-vic-3046-16105234,Alberton Primary School,883.3,211.99
207-79-merton-street-altona-meadows-vic-3028-16107073,Alberton Primary School,585.58,57.95
6-11-kooyong-road-caulfield-north-vic-3161-16035335,Alberton Primary School,1156.46,113.95
201-6-station-st-caulfield-north-vic-3161-16108638,Allansford and District Primary School,547.69,53.25
5-111-ruskin-street-elwood-vic-3184-16104155,Avenel Primary School,401.89,81.65
4-19-chapman-street-north-melbourne-vic-3051-16112887,Warrandyte Primary School,600.21,86.15
1-969-riversdale-road-surrey-hills-vic-3127-16099850,Alberton Primary School,807.45,69.38
6-45-coorigil-road-carnegie-vic-3163-16091052,Alberton Primary School,911.55,91.45
8-27-oxford-street-box-hill-vic-3128-16098733,Alberton Primary School,1645.82,183.74
601-8-exploration-lane-melbourne-vic-3000-16081723,Avoca Primary School,378.07,58.11
494-abbotsford-street-north-melbourne-vic-3051-16093609,Avenel Primary School,327.93,44.24
33-carramar-street-chadstone-vic-3148-16096061,Allansford and District Primary School,55.13,13.23
6-1403-dandenong-road-malvern-east-vic-3145-16094655,Alberton Primary School,689.43,85.74
4-24-lascelles-avenue-toorak-vic-3142-16111381,Alberton Primary School,1261.2,120.53
13-343-beaconsfield-parade-st-kilda-west-vic-3182-16108716,Alberton Primary School,1091.02,166.38
35-233-canterbury-road-st-kilda-west-vic-3182-16109040,Alberton Primary School,416.21,66.24
17-wandoo-avenue-clarinda-vic-3169-16108397,Alberton Primary School,717.53,102.6
6-25-dickens-street-elwood-vic-3184-16099687,Avenel Primary School,226.63,54.39
107-15-bond-street-caulfield-vic-3162-15367271,Allansford and District Primary School,514.39,52.06
10-216-station-street-edithvale-vic-3196-14486078,Alberton Primary School,476.18,65.07
7-54-tennyson-street-elwood-vic-3184-16106407,Warrandyte Primary School,608.61,146.06
814-4-acacia-place-abbotsford-vic-3067-16097710,Allansford and District Primary School,917.87,111.34
610-2-6-railway-road-cheltenham-vic-3192-16092472,Alberton Primary School,533.79,87.64
1908-6-joseph-road-footscray-vic-3011-15399494,Allansford and District Primary School,559.68,76.64
311-7-nepean-highway-elsternwick-vic-3185-16099376,Bacchus Marsh Primary School,669.44,126.43
27-rocco-avenue-donnybrook-vic-3064-16098102,Alberton Primary School,7793.93,594.27
15-4-wills-street-glen-iris-vic-3146-16098084,Avenel Primary School,965.9,147.2
2-119-victoria-road-hawthorn-east-vic-3123-16091571,Allansford and District Primary School,583.68,77.05
5-31-33-o-connor-street-brunswick-east-vic-3057-16109350,Avenel Primary School,970.79,110.03
13-2a-robe-street-st-kilda-vic-3182-16113609,Alberton Primary School,1289.01,183.83
