rent_address,school_name,min_distance,min_duration
211-2a-clarence-street-malvern-east-vic-3145-16106072,Alberton Primary School,623.74,69.79
5-68-edgar-street-north-glen-iris-vic-3146-16105927,Allansford and District Primary School,1305.14,203.35
2-62-screen-street-frankston-vic-3199-16094995,Allansford and District Primary School,1365.55,158.93
1-41-kooyong-rd-caulfield-north-vic-3161-16113276,Alberton Primary School,784.44,84.19
13-raglan-street-port-melbourne-vic-3207-16096777,Avoca Primary School,767.56,114.05
312-57-spencer-street-docklands-vic-3008-16108605,Avoca Primary School,997.15,133.48
3-brisbane-street-murrumbeena-vic-3163-16099765,Alberton Primary School,71.89,10.09
g04-66-waterloo-road-northcote-vic-3070-16108577,Allansford and District Primary School,582.5,139.8
3-197-auburn-road-hawthorn-vic-3122-16096743,Allansford and District Primary School,673.96,52.38
9a-rosamond-street-balaclava-vic-3183-16098659,Alberton Primary School,801.92,99.77
623-539-st-kilda-road-melbourne-vic-3000-16110078,Avenel Primary School,596.98,61.09
1108-20-shamrock-street-abbotsford-vic-3067-15091677,Allansford and District Primary School,1001.47,137.8
13-112-riversdale-road-hawthorn-vic-3122-16106515,Avoca Primary School,438.05,31.54
501-243-franklin-street-melbourne-vic-3000-16098203,Allansford and District Primary School,679.1,94.82
206-801-whitehorse-road-mont-albert-vic-3127-16107016,Alberton Primary School,1074.16,123.71
6-33-grove-rd-hawthorn-vic-3122-16094567,Avoca Primary School,707.03,101.0
9-21-rockley-road-south-yarra-vic-3141-16109121,Avoca Primary School,726.42,104.61
7-6-ripon-grove-elsternwick-vic-3185-16100128,Belmont Primary School,678.09,145.7
9-182-hawdon-street-heidelberg-vic-3084-16105331,Alberton Primary School,833.05,105.35
7-162-brighton-road-ripponlea-vic-3185-16100540,Belmont Primary School,878.03,154.86
5-selbourne-street-hawthorn-vic-3122-16100969,Avoca Primary School,515.63,102.62
14-3-balston-street-balaclava-vic-3183-16112313,Ballarat Primary School (Dana Street),478.6,70.59
38-vermont-street-wodonga-vic-3690-16093688,Avoca Primary School,640.18,83.14
g2-26-nicholson-street-fitzroy-north-vic-3068-16108768,Avenel Primary School,270.93,29.16
203-120-hotham-street-st-kilda-east-vic-3183-16098448,Avenel Primary School,503.86,54.83
3-43-gillies-street-fairfield-vic-3078-16100715,Warrandyte Primary School,363.51,87.24
205-1-redhill-terrace-doncaster-east-vic-3109-16094041,Avenel Primary School,1770.13,242.79
28-rimmington-way-rockbank-vic-3335-16099477,Alberton Primary School,2376.04,280.79
124-abbott-st-sandringham-vic-3191-16111338,Avenel Primary School,823.8,94.71
15-queen-street-fitzroy-north-vic-3068-16098797,Belmont Primary School,470.78,84.74
2-2-rae-court-prahran-vic-3181-16092519,Avenel Primary School,726.46,86.41
303-88-beaconsfield-parade-albert-park-vic-3206-16095682,Avoca Primary School,619.92,79.39
14-lesney-street-richmond-vic-3121-16111270,Alberton Primary School,530.95,81.62
147-patterson-road-bentleigh-vic-3204-16099099,Avoca Primary School,719.75,65.6
2-4-prior-rd-malvern-east-vic-3145-16096071,Alberton Primary School,782.22,100.56
20-davison-street-richmond-vic-3121-6782699,Allansford and District Primary School,468.74,94.21
8-pindari-drive-bayswater-vic-3153-16113044,Allansford and District Primary School,764.27,120.18
6-27-gladwyn-avenue-bentleigh-east-vic-3165-15284183,Alberton Primary School,905.39,112.59
41-balgowlah-avenue-keysborough-vic-3173-16104670,Avoca Primary School,1091.36,219.32
9-parer-street-oakleigh-vic-3166-16093353,Alberton Primary School,910.3,156.68
4-16-toward-street-murrumbeena-vic-3163-16094879,Allansford and District Primary School,1543.89,170.95
101-96-curzon-street-north-melbourne-vic-3051-16099695,Alberton Primary School,827.59,128.09
4-11-allambee-avenue-camberwell-vic-3124-16100759,Warrandyte Primary School,850.89,90.53
206-470-smith-street-collingwood-vic-3066-16095724,Ballarat Primary School (Dana Street),804.09,128.63
165-patterson-road-bentleigh-vic-3204-16096720,Alberton Primary School,611.0,50.36
71-balcombe-drive-mount-martha-vic-3934-16113110,Alberton Primary School,1043.17,159.58
2b-donald-street-brunswick-vic-3056-16094762,Alberton Primary School,513.27,72.3
3-kingsley-grove-mount-waverley-vic-3149-16098328,Allansford and District Primary School,1952.31,212.46
7-2-graham-street-port-melbourne-vic-3207-16107609,Avoca Primary School,352.62,57.45
19-60-wattletree-road-armadale-vic-3143-16109919,Alberton Primary School,1442.9,145.36
303-960-high-street-armadale-vic-3143-16100725,Alberton Primary School,715.45,78.32
4-28-banksia-street-clayton-vic-3168-16109082,Allansford and District Primary School,1150.08,173.09
1-150-grange-road-alphington-vic-3078-16099545,Alberton Primary School,1432.92,151.67
19-32-queens-road-melbourne-vic-3004-16099040,Avoca Primary School,948.03,105.92
3-allan-street-brunswick-vic-3056-16091524,Avoca Primary School,918.48,90.03
9-17-st-leondards-avenue-st-kilda-vic-3182-16110829,Alberton Primary School,1263.86,225.54
79-buckingham-street-richmond-vic-3121-16100639,Avoca Primary School,442.61,90.7
69-brighton-street-richmond-vic-3121-16096202,Alberton Primary School,106.87,25.65
110-raglan-street-preston-vic-3072-16103893,Alberton Primary School,839.95,80.99
2-26-may-park-avenue-ashwood-vic-3147-16112429,Avoca Primary School,831.76,119.7
78a-teddington-road-hampton-vic-3188-16105795,Avoca Primary School,320.25,26.92
39-lawrence-street-wodonga-vic-3690-16114126,Alberton Primary School,1419.63,148.38
2-melville-avenue-newtown-vic-3220-16090991,Avoca Primary School,669.25,92.21
7-1-duncraig-avenue-armadale-vic-3143-16107324,Warrandyte Primary School,965.14,170.56
g01-8-carroll-street-richmond-vic-3121-16105144,Bacchus Marsh Primary School,661.84,96.06
27-ellsworth-crescent-camberwell-vic-3124-16093229,Avoca Primary School,1012.03,218.82
10-chucklecreek-lane-armstrong-creek-vic-3217-16110820,Avoca Primary School,916.51,96.07
33-broomfield-road-hawthorn-east-vic-3123-16098753,Avenel Primary School,1278.05,113.95
5-548-moreland-road-brunswick-west-vic-3055-16109592,Allansford and District Primary School,1363.29,165.4
22-174-peel-street-windsor-vic-3181-16109077,Belmont Primary School,413.41,69.14
32-632-st-kilda-road-melbourne-vic-3004-16091641,Allansford and District Primary School,725.01,99.62
3-14-carmichael-road-oakleigh-east-vic-3166-16091410,Allansford and District Primary School,883.99,97.93
1109-2-joseph-road-footscray-vic-3011-15421439,Allansford and District Primary School,610.37,82.72
2-413a-waverley-road-malvern-east-vic-3145-16112451,Avoca Primary School,844.58,86.86
702-74-queens-road-melbourne-vic-3004-16113717,Allansford and District Primary School,444.64,78.96
1003-225-elizabeth-street-melbourne-vic-3000-16111540,Bacchus Marsh Primary School,759.2,105.01
9-62-wattletree-road-armadale-vic-3143-16091210,Avoca Primary School,1280.43,200.33
207-2-6-mccutcheon-street-northcote-vic-3070-15874383,Warrandyte Primary School,528.84,65.07
72-austin-crescent-pascoe-vale-vic-3044-16108578,Avoca Primary School,1091.54,159.34
29-1066-lygon-street-carlton-north-vic-3054-16099369,Allansford and District Primary School,358.61,53.43
4-31-33-o-connor-street-brunswick-east-vic-3057-16109419,Avenel Primary School,970.79,110.03
304-708-burwood-rd-hawthorn-vic-3122-16096604,Avoca Primary School,879.25,72.52
23-11-auburn-gr-hawthorn-east-vic-3123-16106129,Allansford and District Primary School,685.48,62.4
12-55-alexandra-street-st-kilda-east-vic-3183-16096796,Belmont Primary School,730.79,64.72
308-71-canterbury-street-richmond-vic-3121-14973757,Alberton Primary School,1096.59,174.6
2-116-anderson-street-south-yarra-vic-3141-16100924,Allansford and District Primary School,168.63,22.4
304a-33-inkerman-st-st-kilda-vic-3182-16104398,Alberton Primary School,942.88,131.87
10-katta-court-ashwood-vic-3147-16092329,Allansford and District Primary School,1091.18,118.06
3-20-parkers-rd-parkdale-vic-3195-16096970,Alberton Primary School,1263.77,140.93
102-8a-evergreen-mews-armadale-vic-3143-16098928,Avoca Primary School,511.22,74.04
304-152-peel-street-windsor-vic-3181-16108695,Belmont Primary School,513.78,92.36
20-sycamore-street-caulfield-south-vic-3162-16111960,Alberton Primary School,546.2,123.3
27-4-wando-grove-st-kilda-east-vic-3183-16098295,Warrandyte Primary School,669.71,85.75
305-1200-high-street-malvern-vic-3144-15192944,Avenel Primary School,577.44,76.05
78-oakover-road-preston-vic-3072-16096755,Allansford and District Primary School,292.55,62.25
3604-568-collins-street-melbourne-vic-3000-16102990,Avoca Primary School,1048.17,132.1
