rent_address,school_name,min_distance,min_duration
12-24-dunoon-street-murrumbeena-vic-3163-16110351,Allansford and District Primary School,1258.79,131.96
385-burke-road-glen-iris-vic-3146-16096642,Avoca Primary School,977.05,141.96
907-37-39-park-street-south-melbourne-vic-3205-15842582,Avoca Primary School,758.24,135.52
406-75-palmerston-crescent-south-melbourne-vic-3205-16093654,Warrandyte Primary School,491.71,89.44
34-abinger-street-richmond-vic-3121-16096038,Bacchus Marsh Primary School,415.02,70.09
121-5-beavers-road-northcote-vic-3070-16088994,Warrandyte Primary School,664.42,82.76
5-1011-glen-huntly-road-caulfield-vic-3162-16111675,Allansford and District Primary School,702.11,67.14
51-spearmint-boulevard-manor-lakes-vic-3024-13582212,Alberton Primary School,1769.71,247.41
8-9-celeste-court-st-kilda-east-vic-3183-16109885,Avoca Primary School,788.18,93.75
104-71-abinger-street-richmond-vic-3121-16096988,Warrandyte Primary School,458.92,71.57
2503-7-katherine-place-melbourne-vic-3000-16096811,Avenel Primary School,909.65,119.54
16-2-armadale-street-armadale-vic-3143-16092266,Avenel Primary School,1034.92,132.96
1-3-7-sebastopol-street-st-kilda-vic-3182-16104975,Bacchus Marsh Primary School,721.39,85.2
1701-620-collins-street-melbourne-vic-3000-16114048,Allansford and District Primary School,897.47,114.01
407-386-spencer-street-west-melbourne-vic-3003-16106534,Allansford and District Primary School,498.39,67.17
2-41-albenca-street-mentone-vic-3194-15355277,Avenel Primary School,1032.05,187.64
7-1344-dandenong-road-hughesdale-vic-3166-16112445,Avoca Primary School,1259.05,150.39
9a-spencer-street-northcote-vic-3070-16103679,Avoca Primary School,910.95,127.41
2-horne-street-brunswick-vic-3056-16107121,Avoca Primary School,959.87,97.48
257-koornang-road-carnegie-vic-3163-16108611,Alberton Primary School,694.14,60.06
815-91-galada-avenue-parkville-vic-3052-16108978,Bacchus Marsh Primary School,985.31,114.64
g02-178-union-rd-surrey-hills-vic-3127-16103762,Avenel Primary School,341.09,24.56
33a-marcus-road-dingley-village-vic-3172-16097552,Alberton Primary School,120.78,8.69
306-63-lygon-street-brunswick-east-vic-3057-16104850,Alberton Primary School,500.28,49.24
60-spring-street-east-port-melbourne-vic-3207-16113151,Avoca Primary School,521.47,94.18
22-399-toorak-rd-south-yarra-vic-3141-16103168,Avoca Primary School,837.53,104.89
507-23-queens-road-melbourne-vic-3004-16098966,Allansford and District Primary School,782.88,98.95
