,rent_address,school_name,min_distance,min_duration,postcode,price
0,3604-568-collins-street-melbourne-vic-3000-16102990,Avoca Primary School,1048.17,132.1,3000,580.0
1,g06-501-little-collins-street-melbourne-vic-3000-16096996,Allansford and District Primary School,263.92,44.17,3000,425.0
2,3006-31-a-beckett-street-melbourne-vic-3000-16104600,Bacchus Marsh Primary School,961.1,114.08,3000,450.0
3,601-8-exploration-lane-melbourne-vic-3000-16081723,Avoca Primary School,378.07,58.11,3000,530.0
4,1202-620-collins-street-melbourne-vic-3000-16114058,Allansford and District Primary School,897.47,114.01,3000,500.0
5,1411-250-elizabeth-street-melbourne-vic-3000-16092022,Bacchus Marsh Primary School,866.52,101.11,3000,520.0
6,1202-31-spring-street-melbourne-vic-3000-16111139,Alberton Primary School,643.27,95.98,3000,570.0
7,1003-225-elizabeth-street-melbourne-vic-3000-16111540,Bacchus Marsh Primary School,759.2,105.01,3000,575.0
8,1014-22-24-jane-bell-lane-melbourne-vic-3000-16103081,Avoca Primary School,585.41,86.18,3000,600.0
9,2503-7-katherine-place-melbourne-vic-3000-16096811,Avenel Primary School,909.65,119.54,3000,415.0
10,1701-620-collins-street-melbourne-vic-3000-16114048,Allansford and District Primary School,897.47,114.01,3000,650.0
11,703-500-flinders-street-melbourne-vic-3000-16102690,Avenel Primary School,835.65,103.36,3000,220.0
12,312b-399-bourke-street-melbourne-vic-3000-16096996,Warrandyte Primary School,568.14,70.43,3000,400.0
13,33-400-little-collins-street-melbourne-vic-3000-16022489,Avenel Primary School,573.43,73.2,3000,400.0
14,315-118-russell-street-melbourne-vic-3000-16108688,Allansford and District Primary School,437.87,68.33,3000,550.0
15,623-539-st-kilda-road-melbourne-vic-3000-16110078,Avenel Primary School,596.98,61.09,3000,475.0
16,501-243-franklin-street-melbourne-vic-3000-16098203,Allansford and District Primary School,679.1,94.82,3000,475.0
17,513-118-franklin-street-melbourne-vic-3000-15397839,Warrandyte Primary School,828.84,98.91,3000,450.0
18,401-408-lonsdale-street-melbourne-vic-3000-16014585,Warrandyte Primary School,803.16,97.51,3000,410.0
19,1713-25-therry-street-melbourne-vic-3000-16097001,Bacchus Marsh Primary School,667.09,90.87,3000,500.0
20,101-108-flinders-street-melbourne-vic-3000-16104629,Alberton Primary School,645.35,83.96,3000,650.0
21,309-501-little-collins-street-melbourne-vic-3000-16107439,Allansford and District Primary School,263.92,44.17,3000,400.0
22,816-101-therry-st-melbourne-vic-3000-16068338,Warrandyte Primary School,619.91,78.53,3000,820.0
23,1309-199-william-street-melbourne-vic-3000-16093914,Avenel Primary School,572.32,87.6,3000,520.0
24,4010-639-lonsdale-street-melbourne-vic-3000-16091026,Allansford and District Primary School,654.44,103.89,3000,650.0
25,320-68-la-trobe-street-melbourne-vic-3000-16098385,Avoca Primary School,591.48,78.82,3000,430.0
26,5707b-639-little-lonsdale-street-melbourne-vic-3000-16111904,Allansford and District Primary School,409.87,84.65,3000,570.0
27,3008-288-spencer-street-melbourne-vic-3000-16097762,Allansford and District Primary School,414.76,85.82,3000,410.0
28,701-101-therry-st-melbourne-vic-3000-16069017,Warrandyte Primary School,619.91,78.53,3000,585.0
29,313-394-collins-street-melbourne-vic-3000-15401052,Avoca Primary School,697.7,85.25,3000,500.0
30,29-400-little-collins-street-melbourne-vic-3000-16022489,Avenel Primary School,573.43,73.2,3000,400.0
31,232-538-little-lonsdale-street-melbourne-vic-3000-16094294,Allansford and District Primary School,305.41,59.58,3000,780.0
32,7-562-little-bourke-street-melbourne-vic-3000-16094300,Allansford and District Primary School,469.61,78.98,3000,380.0
33,806-296-victoria-parade-east-melbourne-vic-3002-13799976,Avoca Primary School,775.67,118.84,3002,1800.0
34,23-102-jolimont-road-east-melbourne-vic-3002-16110025,Allansford and District Primary School,1305.91,210.2,3002,1300.0
35,811v-162-albert-street-east-melbourne-vic-3002-16096094,Allansford and District Primary School,673.8,100.71,3002,600.0
36,18-29-george-street-east-melbourne-vic-3002-16108770,Avenel Primary School,797.89,109.42,3002,350.0
37,29-8-wellington-crescent-east-melbourne-vic-3002-16096702,Allansford and District Primary School,1194.79,167.28,3002,750.0
38,p18w-189-powlett-street-east-melbourne-vic-3002-16107539,Avoca Primary School,593.84,87.81,3002,495.0
39,unit-101m-201-powlett-street-east-melbourne-vic-3002-16109142,Allansford and District Primary School,439.14,58.85,3002,490.0
40,1-62-simpson-st-east-melbourne-vic-3002-16099921,Allansford and District Primary School,975.38,146.21,3002,395.0
41,6-18-ireland-street-west-melbourne-vic-3003-16093709,Avoca Primary School,956.79,124.98,3003,750.0
42,102-9-dryburgh-street-west-melbourne-vic-3003-15235467,Allansford and District Primary School,1678.69,282.83,3003,550.0
43,2613-65-dudley-street-west-melbourne-vic-3003-16108153,Allansford and District Primary School,643.08,89.26,3003,520.0
44,407-386-spencer-street-west-melbourne-vic-3003-16106534,Allansford and District Primary School,498.39,67.17,3003,450.0
45,260-adderley-street-west-melbourne-vic-3003-16103206,Avoca Primary School,1172.9,148.27,3003,950.0
46,409-41-dryburgh-street-west-melbourne-vic-3003-16113705,Allansford and District Primary School,1622.4,263.53,3003,550.0
47,214-15-31-batman-street-west-melbourne-vic-3003-14585741,Allansford and District Primary School,461.78,61.05,3003,400.0
48,5-61-stanley-street-west-melbourne-vic-3003-16105408,Avoca Primary School,807.27,118.04,3003,395.0
49,19-32-queens-road-melbourne-vic-3004-16099040,Avoca Primary School,948.03,105.92,3004,525.0
50,32-632-st-kilda-road-melbourne-vic-3004-16091641,Allansford and District Primary School,725.01,99.62,3004,700.0
51,507-23-queens-road-melbourne-vic-3004-16098966,Allansford and District Primary School,782.88,98.95,3004,575.0
52,906-14-queens-road-melbourne-vic-3004-16104224,Alberton Primary School,504.78,82.36,3004,500.0
53,1011-77-queens-road-melbourne-vic-3004-16109866,Allansford and District Primary School,500.32,86.98,3004,590.0
54,1310-450-st-kilda-road-melbourne-vic-3004-16099990,Alberton Primary School,502.79,82.07,3004,620.0
55,702-74-queens-road-melbourne-vic-3004-16113717,Allansford and District Primary School,444.64,78.96,3004,530.0
56,1402-82-queens-rd-melbourne-vic-3004-16099647,Allansford and District Primary School,667.77,91.38,3004,520.0
57,1204-33-clarke-street-southbank-vic-3006-16093367,Allansford and District Primary School,962.77,134.03,3006,350.0
58,3511-151-city-road-southbank-vic-3006-16094411,Allansford and District Primary School,758.23,112.2,3006,530.0
59,4008-45-clarke-street-southbank-vic-3006-16098289,Allansford and District Primary School,931.7,129.89,3006,650.0
60,808-250-city-road-southbank-vic-3006-16103830,Allansford and District Primary School,1348.24,174.32,3006,575.0
61,3-100-coventry-street-southbank-vic-3006-16111756,Alberton Primary School,677.08,116.32,3006,520.0
62,3201-245-city-road-southbank-vic-3006-16094069,Allansford and District Primary School,900.88,122.65,3006,575.0
63,2512-70-southbank-boulevard-southbank-vic-3006-16097066,Alberton Primary School,1007.57,151.6,3006,600.0
64,56-28-southgate-avenue-southbank-vic-3006-16107621,Alberton Primary School,1485.66,238.74,3006,550.0
65,1005-285-city-road-southbank-vic-3006-16111246,Allansford and District Primary School,785.62,104.33,3006,450.0
66,2902-250-city-road-southbank-vic-3006-16111286,Allansford and District Primary School,1348.24,174.32,3006,450.0
67,3104-45-clarke-street-southbank-vic-3006-14397368,Allansford and District Primary School,931.7,129.89,3006,590.0
68,106-8-wells-st-southbank-vic-3006-16110505,Alberton Primary School,684.35,145.48,3006,1200.0
69,1108-81-south-wharf-drive-docklands-vic-3008-16107733,Alberton Primary School,3073.35,435.14,3008,520.0
70,312-57-spencer-street-docklands-vic-3008-16108605,Avoca Primary School,997.15,133.48,3008,600.0
71,512-4-joseph-rd-footscray-vic-3011-15583218,Allansford and District Primary School,538.41,74.09,3011,520.0
72,1806-8-joseph-road-footscray-vic-3011-16109988,Allansford and District Primary School,568.21,77.66,3011,690.0
73,210-12-napier-street-footscray-vic-3011-16100855,Allansford and District Primary School,783.18,103.15,3011,630.0
74,1508-6-joseph-road-footscray-vic-3011-16091829,Allansford and District Primary School,559.68,76.64,3011,400.0
75,6-217-buckley-street-seddon-vic-3011-16104892,Alberton Primary School,1144.89,175.52,3011,370.0
76,1205-8-joseph-road-footscray-vic-3011-16096365,Allansford and District Primary School,568.21,77.66,3011,485.0
77,15-99-109-creswick-street-footscray-vic-3011-16105427,Alberton Primary School,266.4,33.93,3011,280.0
78,1107-6-joseph-road-footscray-vic-3011-16104041,Allansford and District Primary School,559.68,76.64,3011,500.0
79,801-8-joseph-road-footscray-vic-3011-16109999,Allansford and District Primary School,568.21,77.66,3011,475.0
80,1109-2-joseph-road-footscray-vic-3011-15421439,Allansford and District Primary School,610.37,82.72,3011,530.0
81,1108-2-joseph-road-footscray-vic-3011-16113701,Allansford and District Primary School,610.37,82.72,3011,405.0
82,9-67-ballarat-rd-footscray-vic-3011-16098677,Alberton Primary School,1030.17,136.56,3011,370.0
83,1908-6-joseph-road-footscray-vic-3011-15399494,Allansford and District Primary School,559.68,76.64,3011,410.0
84,1412-4-joseph-road-footscray-vic-3011-16106028,Allansford and District Primary School,538.41,74.09,3011,400.0
85,808-2-joseph-road-footscray-vic-3011-15874277,Allansford and District Primary School,610.37,82.72,3011,390.0
86,1404-4-joseph-road-footscray-vic-3011-15362715,Allansford and District Primary School,538.41,74.09,3011,410.0
87,1605-6-joseph-road-footscray-vic-3011-16109994,Allansford and District Primary School,559.68,76.64,3011,520.0
88,7-regent-street-yarraville-vic-3013-16096035,Alberton Primary School,492.81,69.71,3013,600.0
89,3-107-park-crescent-williamstown-north-vic-3016-16108944,Allansford and District Primary School,1226.46,123.54,3016,500.0
90,20-illawarra-street-williamstown-vic-3016-16104991,Alberton Primary School,828.65,136.08,3016,595.0
91,51-spearmint-boulevard-manor-lakes-vic-3024-13582212,Alberton Primary School,1769.71,247.41,3024,400.0
92,74-myers-parade-altona-meadows-vic-3028-16094320,Alberton Primary School,1677.7,169.44,3028,440.0
93,36a-featherby-way-altona-meadows-vic-3028-16110093,Alberton Primary School,904.09,93.7,3028,395.0
94,207-79-merton-street-altona-meadows-vic-3028-16107073,Alberton Primary School,585.58,57.95,3028,350.0
95,30-390-queen-street-altona-meadows-vic-3028-16110953,Alberton Primary School,601.25,53.77,3028,380.0
96,10-talliver-terrace-truganina-vic-3029-16111383,Alberton Primary School,1252.68,181.62,3029,370.0
97,106-stratus-street-tarneit-vic-3029-16100986,Avenel Primary School,3341.18,361.3,3029,480.0
98,1-3-weebill-court-werribee-vic-3030-14233278,Allansford and District Primary School,1896.45,272.87,3030,380.0
99,5-48-farnham-street-flemington-vic-3031-16103716,Bacchus Marsh Primary School,470.97,66.38,3031,310.0
100,104-71-89-hobsons-road-kensington-vic-3031-16111222,Alberton Primary School,1562.69,220.22,3031,375.0
101,913-1-ascot-vale-road-flemington-vic-3031-14811213,Allansford and District Primary School,731.16,76.65,3031,420.0
102,704-68-wests-road-maribyrnong-vic-3032-16092164,Allansford and District Primary School,1292.24,186.06,3032,475.0
103,1001b-2-wests-road-maribyrnong-vic-3032-16110067,Alberton Primary School,1297.46,152.77,3032,360.0
104,712-68-wests-road-maribyrnong-vic-3032-16093377,Allansford and District Primary School,1292.24,186.06,3032,360.0
105,307-55-cumberland-drive-maribyrnong-vic-3032-16107543,Alberton Primary School,1098.23,158.21,3032,470.0
106,207-8-burrowes-street-ascot-vale-vic-3032-16105755,Allansford and District Primary School,438.72,52.52,3032,450.0
107,3-fortelny-way-moonee-ponds-vic-3039-16103083,Alberton Primary School,467.73,101.06,3039,495.0
108,25-maple-walk-moonee-ponds-vic-3039-16097397,Allansford and District Primary School,1125.1,137.84,3039,850.0
109,10-8-eddy-strret-moonee-ponds-vic-3039-16096123,Allansford and District Primary School,876.79,107.01,3039,330.0
110,1-8-10-lincoln-road-essendon-vic-3040-16095553,Avenel Primary School,421.32,53.99,3040,620.0
111,6-5-winifred-essendon-vic-3040-16105691,Avenel Primary School,970.44,142.77,3040,500.0
112,4-8-10-lincoln-road-essendon-vic-3040-16098657,Avenel Primary School,421.32,53.99,3040,620.0
