rent_address,school_name,min_distance,min_duration
12-rosamond-street-balaclava-vic-3183-16113271,Alberton Primary School,775.9,97.93
g06-3-claire-street-mckinnon-vic-3204-15344621,Allansford and District Primary School,854.72,73.72
3104-45-clarke-street-southbank-vic-3006-14397368,Allansford and District Primary School,931.7,129.89
6-cherry-cl-melton-west-vic-3337-16098222,Alberton Primary School,338.61,48.76
g05-237-napier-street-fitzroy-vic-3065-16099451,Alberton Primary School,227.93,48.32
201-136-murray-street-caulfield-vic-3162-10136316,Allansford and District Primary School,456.49,59.34
202-53-browns-road-bentleigh-east-vic-3165-16097230,Avoca Primary School,1245.02,120.48
4-mandeville-crescent-toorak-vic-3142-16099272,Avenel Primary School,67.31,15.03
2-55-wanda-rd-caulfield-north-vic-3161-16093913,Alberton Primary School,995.32,118.38
station-street-caulfield-north-vic-3161-16094221,Allansford and District Primary School,711.78,66.38
2-parkview-avenue-brunswick-east-vic-3057-16108388,Alberton Primary School,334.84,52.6
31-rubens-grove-canterbury-vic-3126-16112358,Avenel Primary School,266.25,37.66
201a-8-grosvenor-street-abbotsford-vic-3067-16093576,Allansford and District Primary School,844.39,100.1
202-555-burke-road-camberwell-vic-3124-16109562,Allansford and District Primary School,1119.47,89.03
159-richardson-street-carlton-north-vic-3054-16096889,Avoca Primary School,660.11,91.26
g02-236-jasper-road-mckinnon-vic-3204-16111151,Avoca Primary School,555.26,44.76
10-113-eskdale-road-caulfield-north-vic-3161-16112117,Allansford and District Primary School,615.69,74.53
5-48-spray-street-elwood-vic-3184-16092133,Avoca Primary School,375.56,87.31
1011-77-queens-road-melbourne-vic-3004-16109866,Allansford and District Primary School,500.32,86.98
7-55-pleasant-street-pascoe-vale-vic-3044-15507181,Alberton Primary School,1169.19,142.4
504-415-glen-huntly-road-elsternwick-vic-3185-16107407,Avenel Primary School,393.93,45.48
23-bolinda-road-balwyn-north-vic-3104-16098242,Avenel Primary School,445.17,70.75
71-84-trenerry-crescent-abbotsford-vic-3067-16110976,Avenel Primary School,900.16,128.7
3-24-26-burns-street-elwood-vic-3184-16092084,Allansford and District Primary School,633.84,141.37
23-102-jolimont-road-east-melbourne-vic-3002-16110025,Allansford and District Primary School,1305.91,210.2
2-11-barrina-street-blackburn-south-vic-3130-16107646,Allansford and District Primary School,1089.16,173.07
6-1204-glen-huntly-road-glen-huntly-vic-3163-16110831,Avoca Primary School,486.18,52.51
8-1b-kinkora-road-hawthorn-vic-3122-16104258,Avoca Primary School,645.0,82.03
3-198-bluff-road-sandringham-vic-3191-16100496,Avoca Primary School,694.55,81.64
40-kokoda-place-mordialloc-vic-3195-16096229,Alberton Primary School,519.95,79.48
17a-clendon-road-toorak-vic-3142-16105569,Warrandyte Primary School,199.16,33.74
1001b-2-wests-road-maribyrnong-vic-3032-16110067,Alberton Primary School,1297.46,152.77
102-190-alma-rd-st-kilda-east-vic-3183-16098637,Warrandyte Primary School,943.45,92.47
1205-77-river-street-south-yarra-vic-3141-14520896,Avoca Primary School,81.54,13.59
24-kleine-street-noble-park-vic-3174-16102906,Alberton Primary School,401.29,65.94
14-65-george-street-fitzroy-vic-3065-16109661,Allansford and District Primary School,614.59,81.82
3-20-tintern-avenue-toorak-vic-3142-16096159,Avoca Primary School,1178.72,161.44
1-210-tucker-road-bentleigh-vic-3204-16103255,Avoca Primary School,550.59,49.29
209-8-montrose-street-hawthorn-east-vic-3123-16109618,Allansford and District Primary School,560.06,53.51
14-116-albert-street-brunswick-vic-3056-16099340,Allansford and District Primary School,1273.96,134.27
11-8-tattenham-street-caulfield-vic-3162-16110783,Avoca Primary School,718.92,69.91
17-fourth-street-black-rock-vic-3193-16108263,Alberton Primary School,751.84,94.65
7-burnie-street-toorak-vic-3142-16105562,Alberton Primary School,2167.05,295.72
3-483-st-kilda-street-elwood-vic-3184-16094510,Alberton Primary School,904.71,160.38
2-123-cheddar-road-reservoir-vic-3073-16106073,Avoca Primary School,511.69,100.58
69-chapel-street-st-kilda-vic-3182-16107526,Berwick Primary School,367.56,26.46
2-31-33-caroline-street-hawthorn-east-vic-3123-16109612,Avoca Primary School,868.15,102.86
22b-park-ave-glen-huntly-vic-3163-16094731,Allansford and District Primary School,298.63,23.89
40-wellington-street-richmond-vic-3121-16094652,Avoca Primary School,833.24,147.24
1-bethwyn-street-bentleigh-east-vic-3165-16103205,Allansford and District Primary School,925.26,84.59
5-56-58-burwood-road-hawthorn-vic-3122-16096828,Warrandyte Primary School,372.24,47.65
26-clarence-street-elsternwick-vic-3185-12646931,Avenel Primary School,1129.1,168.86
13-47-brighton-road-elwood-vic-3184-16099504,Alberton Primary School,653.83,102.06
1-80-mitchell-street-brunswick-vic-3056-16104131,Avoca Primary School,550.58,73.58
3-31-wanda-road-caulfield-north-vic-3161-15230423,Alberton Primary School,1141.73,111.59
205-6-dart-street-highett-vic-3190-16096414,Alberton Primary School,1015.02,166.74
402-77-abinger-street-richmond-vic-3121-16110511,Warrandyte Primary School,473.33,75.03
10-8-eddy-strret-moonee-ponds-vic-3039-16096123,Allansford and District Primary School,876.79,107.01
425-greenhalghs-road-delacombe-vic-3356-16104213,Allansford and District Primary School,2226.03,245.7
3-92-brougham-street-kew-vic-3101-16092388,Belmont Primary School,124.45,17.92
7-2-heather-street-south-melbourne-vic-3205-16094728,Avenel Primary School,642.56,85.13
3505-14-16-the-esplanadr-st-kilda-vic-3182-16106828,Alberton Primary School,1242.77,187.56
3-60-serrell-st-malvern-east-vic-3145-16107329,Avenel Primary School,764.04,101.94
10-sutton-street-carlton-north-vic-3054-16097594,Alberton Primary School,716.36,113.32
2-16-vale-st-st-kilda-vic-3182-16108973,Alberton Primary School,1202.3,151.72
16-spring-street-prahran-vic-3181-16109263,Belmont Primary School,958.8,114.94
283-mitta-north-road-eskdale-vic-3701-16100349,Alberton Primary School,4349.92,201.54
4-16-wills-street-glen-iris-vic-3146-16111457,Avenel Primary School,870.49,130.02
202-2-separation-street-northcote-vic-3070-16099480,Belmont Primary School,269.98,32.74
2-14-rowell-avenue-camberwell-vic-3124-16097609,Alberton Primary School,727.81,105.66
4-1458-high-street-glen-iris-vic-3146-16103489,Alberton Primary School,954.59,139.65
12-8-10-lincoln-road-essendon-vic-3040-16091133,Avenel Primary School,421.32,53.99
313-1-brunswick-road-brunswick-east-vic-3057-16099118,Belmont Primary School,403.38,71.69
100-settlement-road-belmont-vic-3216-16094466,Alberton Primary School,964.1,192.49
301-2a-nelson-street-balaclava-vic-3183-16104630,Ballarat Primary School (Dana Street),1048.95,168.3
118-864-blackburn-road-clayton-vic-3168-16103508,Cudgee Primary School,1700.6,157.83
16-silvan-street-oakleigh-south-vic-3167-15400067,Campbells Creek Primary School,2779.68,312.8
1-255-derby-street-pascoe-vale-vic-3044-15378014,Alberton Primary School,606.09,98.5
803-222-bay-road-sandringham-vic-3191-16103691,Alberton Primary School,592.97,108.44
